gml_id,sa3_name16,sa3_code16,neg_nil_inc_fam_households,neg_nil_inc_non_fam_househlds,negative_nil_income_tot,hi_1_149_family_households,hi_1_149_non_family_hseholds,hi_1_149_tot,hi_150_299_family_households,hi_150_299_non_fam_househlds,hi_150_299_tot,hi_300_399_family_households,hi_300_399_non_fam_househlds,hi_300_399_tot,hi_400_499_family_households,hi_400_499_non_fam_househlds,hi_400_499_tot,hi_500_649_family_households,hi_500_649_non_fam_househlds,hi_500_649_tot,hi_650_799_family_households,hi_650_799_non_fam_househlds,hi_650_799_tot,hi_800_999_fam_households,hi_800_999_non_fam_hsehlds,hi_800_999_tot,hi_1000_1249_fam_households,hi_1000_1249_non_fam_hsehlds,hi_1000_1249_tot,hi_1250_1499_fam_households,hi_1250_1499_non_fam_hsehlds,hi_1250_1499_tot,hi_1500_1749_fam_households,hi_1500_1749_non_fam_hsehlds,hi_1500_1749_tot,hi_1750_1999_fam_households,hi_1750_1999_non_fam_hsehlds,hi_1750_1999_tot,hi_2000_2499_fam_households,hi_2000_2499_non_fam_hsehlds,hi_2000_2499_tot,hi_2500_2999_fam_households,hi_2500_2999_non_fam_hsehlds,hi_2500_2999_tot,hi_3000_3499_fam_households,hi_3000_3499_non_fam_hsehlds,hi_3000_3499_tot,hi_3500_3999_fam_households,hi_3500_3999_non_fam_hsehlds,hi_3500_3999_tot,hi_4000_more_fam_households,hi_4000_more_non_fam_hsehlds,hi_4000_more_tot,part_inc_stated_fam_household,part_inc_std_non_fam_hhds,partial_income_stated_tot,all_incomes_ns_famly_househld,all_inc_ns_non_famly_househld,all_incomes_not_stated_tot,tot_family_households,tot_non_family_households,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6eab,Queanbeyan,"10102","84","102","177","39","72","105","74","225","298","69","395","468","241","741","981","245","408","646","574","463","1037","567","518","1093","803","640","1442","811","529","1336","772","455","1227","859","320","1178","1884","518","2408","1534","41","1577","1264","44","1306","1009","180","1189","2255","29","2285","1480","85","1568","161","272","437","14716","6049","20765"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6eaa,Snowy Mountains,"10103","27","65","95","30","43","75","43","149","194","35","256","299","144","463","605","132","298","434","417","269","678","288","299","595","422","237","661","435","197","631","329","149","483","325","119","443","596","200","793","366","101","468","206","60","269","143","121","261","212","229","437","527","84","614","83","401","480","4762","3748","8510"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea9,South Coast,"10104","139","216","360","128","166","294","184","588","766","165","1040","1201","818","2338","3157","722","1137","1856","2342","922","3265","1699","933","2632","2232","733","2971","2011","446","2459","1107","273","1377","1123","209","1339","1770","245","2014","945","46","990","512","28","540","264","139","398","482","54","536","1930","130","2058","358","698","1058","18925","10351","29277"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea8,Goulburn - Mulwaree,"10105","61","99","161","56","81","135","71","252","320","82","444","530","293","902","1196","270","429","696","790","338","1131","659","377","1033","787","326","1114","785","199","984","572","183","757","595","139","734","1088","156","1239","705","31","738","451","9","454","240","80","319","433","14","450","881","50","931","183","272","457","9002","4381","13385"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea7,Young - Yass,"10106","68","69","138","46","64","111","60","202","264","76","324","399","289","803","1095","277","366","645","765","323","1091","586","359","945","805","308","1107","759","178","935","584","164","742","588","115","704","1013","163","1175","708","29","741","472","13","487","355","56","414","847","17","862","969","41","1008","156","281","438","9422","3871","13292"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea6,Gosford,"10201","292","497","791","183","259","436","243","948","1194","267","1719","1991","1085","3945","5028","1150","2164","3310","3331","1582","4913","2847","1556","4403","3622","1434","5055","3563","994","4558","2709","717","3427","2893","622","3513","5556","831","6386","3835","129","3962","2494","82","2575","1738","365","2102","3355","85","3440","4485","360","4845","652","1315","1967","44306","19592","63901"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea5,Wyong,"10202","310","400","709","184","215","398","291","860","1149","318","1616","1938","1224","3833","5064","1307","1845","3150","4080","1346","5426","2919","1506","4423","3632","1334","4967","3653","805","4454","2910","605","3516","2787","389","3180","4978","462","5446","3217","96","3313","1791","38","1828","1120","196","1322","1729","40","1767","3856","285","4136","765","1386","2146","41071","17256","58325"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea4,Bathurst,"10301","71","114","179","47","76","121","92","307","397","91","401","483","311","977","1291","349","489","836","837","431","1269","692","458","1148","943","446","1386","993","325","1313","761","254","1011","739","201","938","1416","204","1621","987","34","1023","670","18","694","367","78","448","584","16","602","1101","117","1219","192","277","462","11249","5202","16449"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea3,Lachlan Valley,"10302","130","142","273","91","96","189","148","448","598","158","833","986","538","1521","2061","516","660","1185","1474","601","2075","1093","593","1680","1456","486","1940","1248","317","1564","858","196","1050","883","156","1035","1468","216","1682","807","30","834","487","14","503","261","103","368","507","17","519","1431","65","1496","359","605","969","13900","7107","21007"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea2,Lithgow - Mudgee,"10303","85","159","246","85","102","190","122","399","525","129","637","765","476","1373","1852","423","509","924","1227","457","1680","840","416","1255","1011","420","1427","880","256","1138","640","158","801","667","179","847","1190","271","1462","793","22","815","473","21","489","321","107","429","666","44","709","1156","63","1222","259","446","705","11444","6033","17481"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea1,Orange,"10304","100","157","254","87","93","178","103","392","499","92","653","742","407","1174","1581","464","545","1011","1118","507","1621","865","534","1400","1190","544","1740","1224","329","1551","892","290","1185","990","216","1208","1858","266","2120","1235","42","1277","805","40","839","493","122","618","987","33","1020","1419","96","1514","247","412","661","14581","6447","21030"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6ea0,Clarence Valley,"10401","99","146","242","91","98","190","125","437","556","126","689","815","622","1720","2345","595","726","1322","1851","682","2541","1268","609","1879","1444","506","1951","1217","260","1478","807","204","1010","778","157","940","1135","168","1300","634","36","668","348","24","366","193","96","287","290","49","340","1286","128","1414","246","546","784","13158","7288","20437"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e9f,Coffs Harbour,"10402","161","239","398","98","112","210","154","638","787","168","1078","1249","796","2230","3027","825","1116","1944","2323","1017","3342","1870","1002","2872","2265","878","3147","2181","527","2706","1513","335","1846","1448","266","1715","2383","306","2687","1416","92","1506","777","30","805","496","141","636","819","49","872","2174","204","2376","346","750","1096","22200","11010","33217"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e9e,Bourke - Cobar - Coonamble,"10501","67","82","151","37","53","89","61","271","338","70","377","446","242","613","857","210","250","457","528","294","819","399","323","724","420","327","752","423","209","634","302","152","453","287","122","412","572","177","751","378","17","392","223","20","242","132","74","207","234","15","249","709","55","767","227","396","619","5537","3833","9364"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p28_total_hsehold_income_by_hsehold_census_2016.fid--7a4d496e_1724c35c6d1_-6e9d,Broken Hill and Far West,"10502","41","51","92","26","35","59","49","219","269","62","353","418","237","719","956","222","287","507","543","246","789","398","225","632","457","239","692","370","158","536","247","126","371","292","117","415","461","147","607","323","27","351","195","11","204","115","53","166","211","14","227","549","49","600","173","278","454","4973","3366","8337"
