sa3_code16,negnil_inc_be_wft,negnil_inc_be_wpt,negnil_inc_be_baw,negnil_inc_1eft_othpt,negnil_inc_1eft_othaw,negnil_inc_1eft_othnw,negnil_inc_1ept_othaw,negnil_inc_1ept_othnw,negnil_inc_1aw_othnw,negnil_inc_bnw,negnil_inc_lfsta_ns,negnil_inc_tot,i_1_149_be_wft,i_1_149_be_wpt,i_1_149_be_baw,i_1_149_1eft_othpt,i_1_149_1eft_othaw,i_1_149_1eft_othnw,i_1_149_1ept_othaw,i_1_149_1ept_othnw,i_1_149_1aw_othnw,i_1_149_bnw,i_1_149_lfsta_ns,i_1_149_tot,i_150_299_be_wft,i_150_299_be_wpt,i_150_299_be_baw,i_150_299_1eft_othpt,i_150_299_1eft_othaw,i_150_299_1eft_othnw,i_150_299_1ept_othaw,i_150_299_1ept_othnw,i_150_299_1aw_othnw,i_150_299_bnw,i_150_299_lfsta_ns,i_150_299_tot,i_300_399_be_wft,i_300_399_be_wpt,i_300_399_be_baw,i_300_399_1eft_othpt,i_300_399_1eft_othaw,i_300_399_1eft_othnw,i_300_399_1ept_othaw,i_300_399_1ept_othnw,i_300_399_1aw_othnw,i_300_399_bnw,i_300_399_lfsta_ns,i_300_399_tot,i_400_499_be_wft,i_400_499_be_wpt,i_400_499_be_baw,i_400_499_1eft_othpt,i_400_499_1eft_othaw,i_400_499_1eft_othnw,i_400_499_1ept_othaw,i_400_499_1ept_othnw,i_400_499_1aw_othnw,i_400_499_bnw,i_400_499_lfsta_ns,i_400_499_tot,i_500_649_be_wft,i_500_649_be_wpt,i_500_649_be_baw,i_500_649_1eft_othpt,i_500_649_1eft_othaw,i_500_649_1eft_othnw,i_500_649_1ept_othaw,i_500_649_1ept_othnw,i_500_649_1aw_othnw,i_500_649_bnw,i_500_649_lfsta_ns,i_500_649_tot,i_650_799_be_wft,i_650_799_be_wpt,i_650_799_be_baw,i_650_799_1eft_othpt,i_650_799_1eft_othaw,i_650_799_1eft_othnw,i_650_799_1ept_othaw,i_650_799_1ept_othnw,i_650_799_1aw_othnw,i_650_799_bnw,i_650_799_lfsta_ns,i_650_799_tot,i_800_999_be_wft,i_800_999_be_wpt,i_800_999_be_baw,i_800_999_1eft_othpt,i_800_999_1eft_othaw,i_800_999_1eft_othnw,i_800_999_1ept_othaw,i_800_999_1ept_othnw,i_800_999_1aw_othnw,i_800_999_bnw,i_800_999_lfsta_ns,i_800_999_tot,i_1000_1249_be_wft,i_1000_1249_be_wpt,i_1000_1249_be_baw,i_1000_1249_1eft_othpt,i_1000_1249_1eft_othaw,i_1000_1249_1eft_othnw,i_1000_1249_1ept_othaw,i_1000_1249_1ept_othnw,i_1000_1249_1aw_othnw,i_1000_1249_bnw,i_1000_1249_lfsta_ns,i_1000_1249_tot,i_1250_1499_be_wft,i_1250_1499_be_wpt,i_1250_1499_be_baw,i_1250_1499_1eft_othpt,i_1250_1499_1eft_othaw,i_1250_1499_1eft_othnw,i_1250_1499_1ept_othaw,i_1250_1499_1ept_othnw,i_1250_1499_1aw_othnw,i_1250_1499_bnw,i_1250_1499_lfsta_ns,i_1250_1499_tot,i_1500_1749_be_wft,i_1500_1749_be_wpt,i_1500_1749_be_baw,i_1500_1749_1eft_othpt,i_1500_1749_1eft_othaw,i_1500_1749_1eft_othnw,i_1500_1749_1ept_othaw,i_1500_1749_1ept_othnw,i_1500_1749_1aw_othnw,i_1500_1749_bnw,i_1500_1749_lfsta_ns,i_1500_1749_tot,i_1750_1999_be_wft,i_1750_1999_be_wpt,i_1750_1999_be_baw,i_1750_1999_1eft_othpt,i_1750_1999_1eft_othaw,i_1750_1999_1eft_othnw,i_1750_1999_1ept_othaw,i_1750_1999_1ept_othnw,i_1750_1999_1aw_othnw,i_1750_1999_bnw,i_1750_1999_lfsta_ns,i_1750_1999_tot,i_2000_2499_be_wft,i_2000_2499_be_wpt,i_2000_2499_be_baw,i_2000_2499_1eft_othpt,i_2000_2499_1eft_othaw,i_2000_2499_1eft_othnw,i_2000_2499_1ept_othaw,i_2000_2499_1ept_othnw,i_2000_2499_1aw_othnw,i_2000_2499_bnw,i_2000_2499_lfsta_ns,i_2000_2499_tot,i_2500_2999_be_wft,i_2500_2999_be_wpt,i_2500_2999_be_baw,i_2500_2999_1eft_othpt,i_2500_2999_1eft_othaw,i_2500_2999_1eft_othnw,i_2500_2999_1ept_othaw,i_2500_2999_1ept_othnw,i_2500_2999_1aw_othnw,i_2500_2999_bnw,i_2500_2999_lfsta_ns,i_2500_2999_tot,i_3000_3499_be_wft,i_3000_3499_be_wpt,i_3000_3499_be_baw,i_3000_3499_1eft_othpt,i_3000_3499_1eft_othaw,i_3000_3499_1eft_othnw,i_3000_3499_1ept_othaw,i_3000_3499_1ept_othnw,i_3000_3499_1aw_othnw,i_3000_3499_bnw,i_3000_3499_lfsta_ns,i_3000_3499_tot,i_3500_3999_be_wft,i_3500_3999_be_wpt,i_3500_3999_be_baw,i_3500_3999_1eft_othpt,i_3500_3999_1eft_othaw,i_3500_3999_1eft_othnw,i_3500_3999_1ept_othaw,i_3500_3999_1ept_othnw,i_3500_3999_1aw_othnw,i_3500_3999_bnw,i_3500_3999_lfsta_ns,i_3500_3999_tot,i_4000more_be_wft,i_4000more_be_wpt,i_4000more_be_baw,i_4000more_1eft_othpt,i_4000more_1eft_othaw,i_4000more_1eft_othnw,i_4000more_1ept_othaw,i_4000more_1ept_othnw,sa3_name16
10102,0,0,0,0,0,0,0,0,0,6,0,12,0,0,0,3,0,0,0,0,0,3,0,9,0,3,0,0,0,0,0,0,0,5,0,15,0,0,0,0,0,3,0,0,0,3,0,5,0,3,0,0,0,3,0,7,0,14,0,29,3,3,0,0,0,9,0,5,0,14,0,40,7,0,0,5,0,14,0,13,0,24,0,59,4,13,3,10,0,58,0,20,3,21,0,141,9,23,3,42,3,82,0,25,11,37,0,236,27,14,0,91,10,83,10,17,8,25,0,285,34,7,7,108,3,100,3,9,12,22,0,309,93,8,3,144,20,88,7,17,5,22,3,400,261,22,17,292,47,183,5,22,8,32,3,890,313,28,12,337,87,79,19,25,4,22,0,931,319,22,11,295,69,64,3,13,0,15,0,818,335,14,9,144,31,77,8,4,5,3,0,632,844,23,20,384,71,140,11,14,Queanbeyan
10103,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,3,0,4,0,3,0,15,0,6,0,3,0,8,0,14,3,15,0,39,4,8,0,10,0,13,3,5,3,19,0,70,19,12,0,24,4,31,5,10,3,12,0,118,27,13,0,52,0,25,6,5,0,13,0,155,30,7,0,80,4,23,0,11,0,4,0,163,36,6,0,67,5,24,0,3,0,6,3,151,128,14,0,110,12,29,4,3,3,8,0,312,68,3,3,67,9,14,0,0,4,7,0,182,61,4,3,52,5,9,3,0,0,4,0,130,43,0,0,19,3,8,0,0,0,0,0,74,59,3,3,37,6,0,0,3,Snowy Mountains
10104,3,0,0,0,0,0,0,0,0,15,0,20,0,0,0,0,0,3,0,4,0,3,0,11,0,0,0,4,0,0,0,3,0,8,0,17,0,0,0,0,0,3,0,6,0,4,0,11,3,3,0,9,0,7,0,14,0,31,0,59,4,6,0,10,0,12,0,24,3,34,0,98,7,20,0,13,0,28,0,48,7,66,0,190,10,23,8,36,8,63,5,59,10,63,5,289,40,58,3,140,6,132,10,58,12,110,5,569,64,78,6,230,14,120,10,48,6,71,5,650,65,47,3,193,20,78,3,22,4,42,0,469,84,31,10,212,18,80,10,23,4,32,0,508,226,41,12,314,32,103,5,28,10,43,0,815,163,18,4,195,23,37,8,13,0,13,0,472,112,8,3,90,11,12,0,4,0,11,0,254,67,0,0,41,7,13,0,0,5,3,0,136,92,14,3,73,8,15,3,11,South Coast
10105,0,0,0,0,0,3,0,0,0,5,0,11,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,3,0,6,0,10,3,0,0,3,0,4,0,8,0,12,0,25,3,0,0,3,3,5,0,15,3,13,0,37,0,9,0,6,0,14,0,15,7,18,0,65,10,11,0,25,0,37,6,24,4,45,3,156,13,16,0,46,8,68,0,20,3,50,3,226,24,7,3,97,11,68,5,24,3,18,0,270,41,23,3,116,6,67,4,10,5,16,0,298,59,6,0,120,8,50,0,11,4,12,0,278,157,20,9,219,27,97,14,11,9,15,3,583,142,18,3,170,17,50,9,7,5,4,0,431,129,4,3,92,12,20,4,3,0,9,0,270,85,3,3,26,4,13,0,0,3,0,0,147,125,6,0,62,15,26,3,3,Goulburn - Mulwaree
10106,0,0,0,0,0,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,5,0,12,0,0,0,3,0,0,0,0,0,6,0,11,0,0,0,8,0,0,0,4,4,22,0,38,3,0,0,0,0,6,0,10,0,18,0,39,3,3,0,8,0,10,0,12,3,28,0,66,9,9,0,19,5,32,0,25,3,25,0,138,19,18,3,57,0,72,9,22,6,35,0,249,39,25,7,114,8,78,0,16,0,24,3,308,35,20,5,107,12,71,3,20,4,21,3,294,60,13,5,114,15,54,3,13,6,16,0,298,136,14,7,203,32,91,14,11,10,14,0,533,150,20,10,170,16,26,4,5,3,12,0,408,101,12,0,112,27,20,4,6,4,3,0,287,98,8,3,42,9,28,6,3,0,0,0,197,260,12,5,152,22,46,7,3,Young - Yass
10201,8,0,0,5,0,3,0,0,3,30,0,43,3,0,3,8,0,3,0,6,0,14,0,32,0,0,0,3,0,3,0,9,0,18,0,43,0,0,0,0,0,4,0,4,0,6,0,24,0,0,0,5,0,7,0,13,0,54,0,84,0,8,0,18,0,25,0,38,3,52,3,151,6,20,0,24,3,59,3,49,7,90,0,268,15,42,3,58,11,158,10,77,11,130,3,522,36,78,6,210,17,288,13,126,27,164,5,979,87,95,8,379,27,388,10,118,29,150,0,1297,110,80,7,507,31,391,12,76,22,129,4,1363,200,58,9,543,55,409,12,65,28,98,4,1482,590,123,29,1308,133,628,45,107,32,136,7,3144,636,83,26,1118,111,260,40,50,13,80,3,2404,569,58,24,690,76,117,22,27,11,27,5,1616,418,26,12,301,62,247,4,30,10,19,0,1133,827,55,19,828,96,252,15,38,Gosford
10202,4,0,0,0,0,4,0,0,0,27,0,37,0,5,0,0,0,3,0,6,0,11,0,23,0,3,0,3,0,3,0,10,3,16,0,32,0,0,0,0,0,0,0,6,3,13,0,23,3,0,0,4,4,5,0,14,0,54,0,95,0,3,0,5,0,17,0,38,5,53,0,132,8,13,0,21,4,59,11,65,12,118,3,310,21,37,4,71,11,187,12,127,15,146,4,617,35,78,6,204,21,370,10,134,29,242,8,1145,96,84,9,484,47,410,16,121,24,178,3,1472,127,78,12,530,50,464,23,83,24,136,0,1530,232,66,16,613,53,345,19,59,19,100,9,1518,618,107,26,1221,108,521,33,69,30,106,3,2834,614,55,18,888,115,204,27,28,10,58,0,2025,473,36,9,471,60,75,5,18,11,34,6,1193,311,16,5,184,41,107,8,5,10,9,0,696,471,20,9,356,47,116,8,13,Wyong
10301,4,0,0,0,0,0,0,0,0,8,0,14,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,6,3,13,0,31,0,0,0,7,0,8,0,7,0,24,0,52,5,5,0,7,0,10,0,12,6,40,0,78,8,9,0,28,0,48,3,30,5,33,0,166,18,20,4,68,4,80,3,28,7,52,3,291,47,25,0,146,15,105,0,22,8,30,0,393,63,16,5,127,20,91,9,12,0,20,0,357,63,13,3,144,12,73,6,9,4,16,0,345,203,44,4,322,37,120,10,17,9,13,3,779,236,13,9,237,34,41,6,8,4,10,0,603,189,4,3,163,19,16,3,3,0,3,0,417,120,6,3,61,24,27,3,4,0,0,0,240,184,5,0,101,17,40,7,6,Bathurst
10302,12,0,0,3,0,0,0,0,0,16,0,27,0,0,0,3,0,0,0,0,0,6,0,9,8,0,0,4,0,4,0,7,3,5,0,24,3,0,0,0,0,4,0,3,0,5,0,17,9,3,0,3,0,6,0,7,0,35,0,58,3,0,0,10,5,12,3,13,0,32,0,75,9,10,0,16,0,27,3,26,0,49,0,136,17,12,3,33,3,67,3,29,4,65,3,249,48,23,7,143,11,113,4,32,14,79,3,480,58,22,3,183,15,123,0,23,3,47,5,492,75,19,11,181,23,89,3,14,3,32,0,443,86,22,6,182,5,73,4,7,5,19,0,415,198,14,14,328,40,112,13,21,9,17,7,764,175,7,3,205,28,39,9,8,4,7,0,484,137,3,3,119,19,12,3,0,3,5,0,314,71,0,0,33,10,30,3,0,0,0,0,145,131,3,5,95,15,24,4,3,Lachlan Valley
10303,0,0,0,3,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,3,0,0,0,5,0,10,0,20,0,0,0,0,0,0,0,0,0,8,0,13,3,5,0,6,0,3,0,8,0,35,0,61,0,0,0,5,0,8,0,14,3,22,0,60,4,7,3,16,0,21,0,28,4,65,0,152,9,14,0,24,7,45,0,33,9,62,3,199,18,21,3,64,11,97,4,32,9,61,0,321,29,13,0,123,6,75,4,24,0,38,4,326,31,22,4,125,7,87,7,13,7,23,3,325,56,20,0,119,16,71,5,14,5,8,0,319,102,20,9,255,11,170,6,17,7,19,0,624,104,14,10,237,33,48,8,0,3,12,0,481,118,11,3,117,21,10,5,4,4,7,0,292,77,4,4,55,14,55,0,0,5,0,0,218,148,5,9,183,23,47,3,3,Lithgow - Mudgee
