sa3_code16,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p,sa3_name16
70103,11846,7506,19349,5433,2964,8398,815,1443,2252,549,362,907,288,186,475,7084,4949,12034,2495,1670,4160,4.1,3.8,3.9,59.8,65.9,62.2,57.4,63.5,59.7,81,165,248,60,182,243,438,864,1300,577,762,1337,3715,1112,4830,102,162,261,147,213,357,3960,1483,5447,8520,6830,15348,1875,1286,3158,5441,4457,9901,4481,3207,7695,Litchfield
70104,12572,12445,25016,7764,5181,12947,995,2240,3240,551,559,1110,468,449,922,9786,8432,18218,1664,2909,4571,4.8,5.3,5.1,77.8,67.8,72.8,74.1,64.1,69.1,263,290,556,118,324,436,857,1665,2523,1000,1274,2273,4012,2011,6024,189,291,477,175,293,467,4377,2594,6973,10721,10475,21197,4134,4136,8270,5097,4900,9996,8577,8617,17200,Palmerston
70201,13921,14429,28350,6117,5081,11193,1139,2034,3177,448,525,979,873,761,1639,8588,8398,16986,3396,4051,7452,10.2,9.1,9.6,61.7,58.2,59.9,55.3,52.9,54.1,434,606,1037,177,434,608,1153,2015,3163,874,1029,1898,2576,1272,3846,173,259,434,216,271,485,2970,1800,4765,11903,12431,24333,2842,3115,5955,7637,8122,15758,6235,6584,12811,Alice Springs
70202,2144,2008,4156,706,570,1281,167,180,341,65,73,135,173,117,287,1112,936,2045,770,870,1640,15.6,12.5,14.0,51.9,46.6,49.2,43.8,41.0,42.3,27,37,67,20,31,52,93,170,265,90,100,190,360,172,535,34,56,83,23,28,53,418,253,670,2056,1993,4048,438,400,837,1462,1422,2889,802,771,1575,Barkly
70203,6125,5869,11998,1488,1109,2594,417,546,964,195,204,399,613,455,1067,2713,2310,5022,2533,2799,5324,22.6,19.7,21.2,44.3,39.4,41.9,34.3,31.7,33.0,54,96,153,38,56,100,233,330,562,157,204,368,825,314,1142,125,145,264,120,115,233,1066,575,1640,6522,6293,12809,724,692,1415,5240,5046,10286,1461,1407,2868,Daly - Tiwi - West Arnhem
70204,4640,4656,9295,1340,996,2338,348,539,890,160,154,320,309,258,562,2159,1950,4109,1929,2188,4113,14.3,13.2,13.7,46.5,41.9,44.2,39.8,36.3,38.2,60,102,165,39,86,125,214,319,530,146,201,347,617,296,915,103,129,233,74,94,173,796,520,1318,5265,5255,10516,666,681,1338,4127,4098,8225,1356,1419,2770,East Arnhem
70205,7149,6751,13906,2512,1858,4373,481,733,1211,280,275,557,353,239,587,3627,3105,6733,2206,2502,4706,9.7,7.7,8.7,50.7,46.0,48.4,45.8,42.5,44.2,74,110,186,50,119,169,350,628,986,346,437,784,1268,550,1826,127,165,286,112,110,224,1510,821,2331,6575,6244,12818,1382,1315,2692,4583,4491,9076,2709,2501,5212,Katherine
80101,37964,40050,78013,18304,12877,31181,5138,9026,14159,1141,1596,2743,1391,1156,2551,25976,24658,50633,9967,13267,23228,5.4,4.7,5.0,68.4,61.6,64.9,64.8,58.7,61.6,3980,3542,7519,1227,1943,3173,7516,9021,16540,3142,4035,7175,6073,3254,9327,334,477,812,492,960,1454,6908,4693,11599,35975,37281,73259,7280,7294,14575,23864,25203,49069,17598,17762,35359,Belconnen
80103,1012,443,1455,223,110,335,69,77,140,18,19,30,29,17,41,333,216,549,569,155,727,8.7,7.9,7.5,32.9,48.8,37.7,30.6,46.5,34.7,19,17,34,9,5,12,45,50,94,34,37,74,129,31,159,8,3,11,11,9,26,156,46,199,450,328,780,81,72,154,313,218,538,205,154,361,Canberra East
80104,26346,27624,53975,15936,11022,26956,3284,6542,9830,789,1226,2020,873,919,1792,20881,19717,40596,4241,6690,10932,4.2,4.7,4.4,79.3,71.4,75.2,75.9,68.0,71.9,3613,2691,6307,796,1140,1932,5243,6800,12041,2683,3123,5806,3847,2459,6310,180,329,504,257,528,789,4283,3316,7604,25772,26519,52290,6481,6664,13145,11548,12000,23544,18570,19188,37760,Gungahlin
80105,23115,23284,46406,10362,7725,18083,3319,4872,8189,669,956,1628,963,925,1885,15316,14474,29787,5944,7166,13109,6.3,6.4,6.3,66.3,62.2,64.2,62.1,58.2,60.1,3743,3548,7294,914,1371,2286,5858,6533,12394,1346,1392,2733,1743,983,2726,149,139,294,180,317,496,2071,1446,3519,16757,17026,33788,6830,6898,13728,8541,9262,17804,14604,14239,28844,North Canberra
80106,11079,11990,23075,5746,4614,10362,1223,2045,3266,283,427,705,303,285,592,7560,7368,14930,2613,3631,6250,4.0,3.9,4.0,68.2,61.5,64.7,65.5,59.1,62.1,2138,1908,4049,546,822,1364,3081,3548,6630,725,945,1667,853,494,1348,42,83,130,88,209,295,987,783,1768,8814,9431,18244,2780,2946,5729,5035,5412,10442,6346,6747,13088,South Canberra
80107,33046,35420,68469,17424,12455,29878,4159,8266,12425,1060,1542,2605,1091,928,2010,23733,23188,46922,7814,10568,18374,4.6,4.0,4.3,71.8,65.5,68.5,68.5,62.9,65.6,1996,1551,3549,815,1309,2125,4753,6289,11042,3260,4173,7427,6929,3712,10637,316,544,860,447,984,1435,7697,5238,12937,33925,35300,69220,4480,4718,9192,24445,25635,50078,12304,12977,25278,Tuggeranong
80108,8682,9675,18358,3992,2786,6780,1096,2215,3313,223,419,646,242,201,446,5556,5627,11183,2614,3456,6069,4.4,3.6,4.0,64.0,58.2,60.9,61.2,56.0,58.5,951,868,1817,334,622,955,1850,2270,4119,808,1019,1828,1322,663,1984,62,82,138,117,251,376,1502,992,2497,8771,9400,18176,1326,1397,2724,6245,6747,12994,3465,3691,7154,Weston Creek
80109,13732,14872,28604,6283,4757,11043,1909,3113,5027,387,527,913,443,321,757,9019,8719,17740,3872,5345,9226,4.9,3.7,4.3,65.7,58.6,62.0,62.5,56.5,59.4,2025,1669,3697,578,812,1392,3454,4125,7580,1093,1523,2619,1499,769,2265,64,132,195,143,340,484,1708,1239,2946,12676,13434,26108,2668,2911,5577,8147,8855,17004,6834,7090,13930,Woden Valley
80110,1713,1884,3601,1143,944,2088,185,371,557,64,113,183,35,38,74,1425,1468,2895,155,276,431,2.5,2.6,2.6,83.2,77.9,80.4,81.3,75.8,78.5,272,217,486,56,100,157,474,633,1108,160,178,341,187,118,305,21,18,34,12,34,46,223,165,390,1040,1085,2126,967,1027,1997,44,55,96,1799,1926,3719,Molonglo
80111,239,229,464,138,84,225,24,64,85,12,15,25,0,6,7,181,159,344,28,42,71,0.0,3.8,2.0,75.7,69.4,74.1,72.8,71.2,72.2,18,15,36,5,3,8,27,36,66,23,37,64,72,27,100,0,0,0,3,0,6,78,34,112,269,225,499,13,23,34,145,130,274,116,118,236,Urriarra - Namadgi
90101,963,563,1526,397,186,587,68,97,161,38,30,73,13,12,16,513,326,840,331,142,470,2.5,3.7,1.9,53.3,57.9,55.0,52.2,55.6,53.8,13,15,30,13,14,27,46,51,96,43,44,89,168,51,222,17,14,27,9,10,22,194,76,269,612,498,1112,106,86,200,425,352,781,247,212,461,Christmas Island
90102,211,216,430,79,48,128,31,35,67,20,10,33,0,12,9,132,101,234,59,92,152,0.0,11.9,3.8,62.6,46.8,54.4,61.6,43.1,53.0,0,6,3,0,4,3,8,24,34,3,12,20,48,17,65,4,3,9,5,4,14,63,27,91,225,229,453,22,21,38,178,182,355,42,40,83,Cocos (Keeling) Islands
90103,175,140,312,71,23,93,5,15,21,6,10,15,8,0,13,94,52,146,42,58,98,8.5,0.0,8.9,53.7,37.1,46.8,46.9,34.3,41.3,7,5,15,4,0,4,22,20,41,13,8,26,22,15,33,3,3,8,0,3,3,21,20,41,113,100,216,59,34,98,86,83,167,80,41,122,Jervis Bay
90104,660,787,1450,331,257,591,99,215,314,24,40,70,9,5,16,461,520,983,159,206,364,2.0,1.0,1.6,69.8,66.1,67.8,68.8,65.1,67.2,11,19,26,5,14,19,55,89,150,40,95,137,215,64,282,5,12,15,18,43,60,242,118,358,653,737,1396,104,109,214,516,578,1089,208,241,447,Norfolk Island
