sa3_code16,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p,sa3_name16
50601,30507,31365,61871,15126,7830,22955,3516,7733,11252,1022,1060,2086,1929,1726,3655,21596,18351,39939,6857,11108,17967,8.9,9.4,9.2,70.8,58.5,64.6,64.5,53.0,58.7,911,944,1857,294,541,837,2955,4234,7194,2411,3229,5643,8224,4085,12313,353,583,934,519,827,1346,9101,5495,14595,29545,29755,59309,6097,6520,12616,16835,16812,33648,16612,17443,34050,Armadale
50602,30521,29443,59958,13944,8648,22592,4152,6468,10622,900,906,1814,1838,1431,3271,20842,17460,38302,6481,9157,15638,8.8,8.2,8.5,68.3,59.3,63.9,62.2,54.4,58.4,1703,1648,3349,483,783,1263,5020,6111,11129,2695,2806,5498,5801,2466,8272,247,305,554,396,593,985,6442,3370,9814,23845,23502,47350,7375,6941,14321,13594,13776,27370,16385,15366,31758,Belmont - Victoria Park
50603,38399,39066,77471,15952,8944,24894,6199,9690,15891,1081,1062,2143,2733,2202,4936,25961,21898,47859,10365,15163,25524,10.5,10.1,10.3,67.6,56.1,61.8,60.5,50.4,55.4,2757,2294,5052,614,1034,1649,7334,8308,15642,3541,3816,7354,6608,2831,9434,328,433,763,475,842,1311,7407,4101,11509,34270,35021,69298,8675,8162,16836,21326,22516,43851,20128,19168,39304,Canning
50604,47250,46159,93412,21843,11114,32954,6005,11128,17131,1496,1349,2843,3205,2517,5714,32541,26108,58648,12117,17678,29793,9.8,9.6,9.7,68.9,56.6,62.8,62.1,51.1,56.7,1756,1622,3377,399,692,1091,5041,6656,11701,3579,4269,7855,11028,4763,15790,511,784,1298,654,1134,1788,12191,6675,18869,45593,44962,90553,8449,8489,16937,29416,29124,58541,21989,21668,43663,Gosnells
50605,22772,23505,46275,11201,5782,16978,2650,6164,8816,737,722,1461,1126,947,2071,15717,13611,29327,5632,8564,14196,7.2,7.0,7.1,69.0,57.9,63.4,64.1,53.9,58.9,674,615,1287,324,532,852,2377,3327,5711,1817,2569,4379,6396,2643,9038,186,385,567,354,672,1020,6934,3697,10625,22814,23404,46214,3133,3229,6360,15713,16006,31723,9219,9742,18959,Kalamunda
50606,10323,10153,20475,5570,2759,8332,1038,2850,3882,350,325,680,492,495,988,7446,6431,13881,2239,3188,5423,6.6,7.7,7.1,72.1,63.3,67.8,67.4,58.4,63.0,152,179,329,76,168,245,623,1108,1728,706,1087,1795,3373,1561,4935,90,227,322,143,299,440,3606,2089,5699,9938,9814,19753,2112,2284,4394,5449,5249,10696,5833,6156,11989,Serpentine - Jarrahdale
50607,17370,18567,35933,7796,4997,12792,2520,4492,7011,451,509,964,895,723,1616,11662,10721,22383,4469,6465,10935,7.7,6.7,7.2,67.1,57.7,62.3,62.0,53.8,57.8,1728,1490,3219,479,749,1223,4412,4786,9191,1502,1811,3316,2190,1065,3258,91,181,271,226,374,594,2502,1620,4122,14682,15435,30117,3880,3956,7835,8607,9509,18115,9504,9523,19029,South Perth
50701,39897,41600,81504,20478,11206,31680,4676,11406,16085,1305,1441,2749,2305,1860,4161,28769,25918,54684,8508,13118,21620,8.0,7.2,7.6,72.1,62.3,67.1,66.3,57.8,62.0,1408,1476,2887,513,1065,1583,4791,7006,11800,3220,4277,7498,10731,4500,15226,353,689,1041,637,1063,1703,11725,6250,17976,37923,39072,77000,7631,8078,15706,23882,24555,48441,19527,20392,39915,Cockburn
50702,14969,16145,31121,6317,4071,10384,2127,4292,6418,459,513,970,783,549,1334,9680,9433,19116,3831,5294,9129,8.1,5.8,7.0,64.7,58.4,61.4,59.5,55.0,57.1,1186,1274,2457,382,758,1140,3027,4075,7103,1306,1521,2822,2512,1026,3539,92,146,238,229,309,536,2834,1477,4313,12781,13848,26632,2753,2955,5706,8180,8908,17082,6937,7455,14394,Fremantle
50703,15469,14768,30236,7047,3750,10802,1559,3430,4985,499,518,1016,1079,951,2029,10185,8650,18836,4110,5063,9175,10.6,11.0,10.8,65.8,58.6,62.3,58.9,52.1,55.6,371,374,742,124,278,394,1266,1906,3176,1009,1315,2317,3885,1958,5844,176,328,510,206,388,590,4271,2676,6946,13489,13472,26957,3446,3548,6991,7397,7286,14681,8385,8689,17078,Kwinana
50704,39713,43761,83478,17957,10129,28082,5848,12019,17871,983,1142,2127,1984,1527,3509,26775,24820,51595,10958,16739,27696,7.4,6.2,6.8,67.4,56.7,61.8,62.4,53.2,57.6,3073,2453,5529,991,1689,2674,8933,10589,19520,3868,4713,8579,6844,2826,9675,235,433,676,563,1128,1690,7650,4390,12036,38271,41326,79598,6488,6933,13422,26079,28542,54620,17475,18572,36052,Melville
50705,47817,49377,97197,23100,11468,34567,4683,12267,16953,1762,1557,3318,3148,2793,5941,32692,28089,60777,11073,17874,28951,9.6,9.9,9.8,68.4,56.9,62.5,61.8,51.2,56.4,679,696,1374,354,779,1136,2817,5007,7819,3665,4954,8616,15283,7362,22652,566,1029,1602,800,1349,2149,16653,9746,26398,45178,46188,91361,9920,10538,20455,25609,25980,51584,26633,28053,54682,Rockingham
50901,23858,24203,48062,9703,4987,14690,3031,6365,9398,924,855,1777,825,547,1373,14481,12750,27237,7409,9566,16972,5.7,4.3,5.0,60.7,52.7,56.7,57.2,50.4,53.8,378,410,789,245,540,781,1654,2944,4592,1522,2460,3983,5923,2971,8891,307,519,822,435,653,1092,6660,4148,10805,22120,22513,44631,3972,4069,8046,14887,14989,29875,10091,10617,20704,Albany
50902,23859,21946,45809,10161,4845,15002,2254,5105,7364,946,731,1678,919,645,1563,14278,11328,25605,7242,8627,15865,6.4,5.7,6.1,59.8,51.6,55.9,56.0,48.7,52.5,205,246,454,111,332,443,1086,2096,3179,1137,1904,3041,5982,2321,8308,220,459,680,392,558,953,6600,3347,9939,21956,20623,42576,3391,3335,6726,15166,13968,29131,8886,8811,17697,Wheat Belt - North
50903,8320,7922,16241,4016,1806,5822,709,1907,2617,387,325,713,278,193,473,5391,4232,9620,2047,2881,4928,5.2,4.6,4.9,64.8,53.4,59.2,61.4,51.0,56.4,69,72,141,45,169,213,433,838,1274,360,680,1043,1842,810,2656,102,147,250,132,205,337,2078,1165,3240,7854,7435,15287,1195,1294,2488,5516,5165,10683,2994,3019,6012,Wheat Belt - South
51001,12921,13063,25984,5266,4206,9469,1178,1979,3161,492,524,1014,781,510,1297,7723,7211,14933,3458,4107,7564,10.1,7.1,8.7,59.8,55.2,57.5,53.7,51.4,52.5,202,335,536,133,307,447,920,1737,2657,674,1017,1693,2881,1226,4111,238,334,574,228,277,503,3355,1830,5183,11385,11421,22806,3311,3566,6879,6933,6793,13726,6608,7056,13667,Kimberley
51002,12193,7833,20024,7125,2832,9963,613,1256,1871,668,404,1070,327,318,649,8739,4809,13547,1031,1792,2827,3.7,6.6,4.8,71.7,61.4,67.7,68.9,57.3,64.4,159,118,273,86,147,231,695,929,1617,648,678,1322,4000,940,4937,122,197,316,141,139,278,4258,1270,5535,8405,5822,14222,3435,2744,6175,3708,2456,6157,7375,5416,12785,East Pilbara
51003,17674,9794,27474,11021,3708,14736,936,1877,2805,966,494,1463,430,421,850,13357,6497,19849,1256,2191,3447,3.2,6.5,4.3,75.6,66.3,72.2,73.1,62.1,69.2,314,196,511,102,186,291,1297,1370,2665,1079,945,2027,6209,1313,7522,159,244,403,252,244,497,6623,1803,8422,12178,8012,20185,5255,3395,8649,4544,2837,7380,11781,7572,19356,West Pilbara
51101,6446,6284,12732,3021,1347,4365,619,1627,2251,292,245,535,213,136,352,4146,3356,7500,1494,2229,3727,5.1,4.1,4.7,64.3,53.4,58.9,61.0,51.2,56.2,58,60,112,43,115,163,341,601,938,306,549,853,1615,712,2324,81,159,242,104,172,270,1793,1036,2833,5888,5787,11678,1079,1077,2158,3884,3750,7631,2698,2748,5445,Esperance
51102,3948,3594,7545,1673,1082,2759,373,744,1122,205,172,372,165,96,264,2416,2098,4516,991,1040,2032,6.8,4.6,5.8,61.2,58.4,59.9,57.0,55.6,56.4,35,59,98,24,55,78,244,437,676,213,269,487,1071,358,1427,62,103,162,76,102,175,1207,560,1768,3443,3089,6526,779,755,1535,2193,1885,4072,1790,1740,3537,Gascoyne
51103,16387,14029,30412,8933,4329,13262,1076,2907,3981,685,516,1207,693,610,1300,11390,8365,19756,2800,4126,6920,6.1,7.3,6.6,69.5,59.6,65.0,65.3,55.3,60.7,311,239,550,123,220,338,984,1434,2415,763,1017,1783,4694,1548,6238,143,275,422,220,339,561,5060,2161,7223,14069,12661,26736,3636,3299,6933,8206,7250,15456,8423,7697,16127,Goldfields
51104,22083,21271,43355,9393,5039,14432,2164,5071,7238,913,739,1654,1261,806,2070,13738,11653,25387,6078,7708,13791,9.2,6.9,8.2,62.2,54.8,58.6,56.5,51.0,53.8,263,234,499,157,404,559,1103,2132,3234,1182,1829,3011,6129,2501,8627,332,494,824,358,509,868,6819,3502,10325,20042,19471,39517,3843,3998,7838,13291,12605,25896,9404,9772,19169,Mid West
60101,6268,6827,13092,2656,1431,4092,645,1759,2404,194,218,412,352,234,588,3849,3643,7497,2011,2734,4740,9.1,6.4,7.8,61.4,53.4,57.3,55.8,49.9,52.8,33,65,93,33,64,100,222,366,589,290,440,732,1667,932,2599,82,187,267,87,212,298,1837,1332,3166,6575,6756,13324,951,1086,2035,4700,4711,9414,2305,2690,4994,Brighton
60102,20637,22479,43120,8450,5130,13583,2589,6016,8605,546,773,1319,738,556,1291,12320,12475,24795,7353,8956,16316,6.0,4.5,5.2,59.7,55.5,57.5,56.1,53.0,54.5,664,773,1436,373,650,1027,2297,3354,5650,1720,2059,3786,5173,2482,7651,194,368,562,331,630,966,5695,3487,9179,19983,21753,41731,2952,3160,6105,14166,15269,29434,7910,8842,16750,Hobart - North East
60103,20790,22642,43428,7971,4593,12560,2605,5397,8007,563,726,1289,1147,727,1872,12283,11446,23730,7116,9643,16759,9.3,6.4,7.9,59.1,50.6,54.6,53.6,47.3,50.3,324,410,732,173,345,519,1192,1772,2960,1124,1582,2702,5378,2972,8346,262,520,779,286,538,828,5921,4034,9959,19879,21146,41023,3248,3580,6828,14002,14797,28799,8227,9000,17226,Hobart - North West
60104,12329,13852,26181,5333,3086,8421,1855,4081,5934,346,460,813,438,372,812,7975,8003,15980,3774,5269,9043,5.5,4.6,5.1,64.7,57.8,61.0,61.1,55.1,57.9,732,798,1529,247,508,752,1939,2719,4656,1076,1474,2546,2839,1409,4252,116,226,344,201,363,557,3152,2003,5157,12559,13618,26178,1986,2220,4204,8580,9302,17881,5407,5991,11397,Hobart - South and West
60105,20895,22426,43315,8008,5533,13544,3579,5963,9545,526,711,1237,979,766,1745,13094,12980,26066,6461,8158,14621,7.5,5.9,6.7,62.7,57.9,60.2,58.0,54.4,56.2,2259,2352,4611,667,1135,1805,4912,5894,10807,1570,1978,3554,2712,1342,4057,191,212,402,248,341,591,3152,1895,5044,17760,18868,36632,4562,4774,9339,11284,12272,23559,10533,10955,21488,Hobart Inner
60106,6422,6703,13123,2613,1374,3987,818,1872,2693,203,248,452,275,199,477,3909,3693,7605,2110,2576,4684,7.0,5.4,6.3,60.9,55.1,58.0,56.6,52.1,54.3,116,129,243,53,121,172,404,672,1071,403,649,1051,1936,945,2880,73,161,236,90,176,266,2101,1284,3385,6264,6369,12638,938,1004,1945,4429,4425,8849,2461,2673,5136,Sorell - Dodges Ferry
60201,31642,34863,66510,12499,7073,19574,4215,9106,13318,845,1097,1943,1680,1237,2918,19238,18514,37750,10295,14069,24362,8.7,6.7,7.7,60.8,53.1,56.8,55.5,49.6,52.4,947,968,1914,402,677,1074,3119,4826,7950,2053,2814,4867,7487,3854,11343,357,719,1080,443,907,1342,8287,5474,13767,29362,31750,61115,5684,6157,11835,19863,21401,41263,13893,15164,29062,Launceston
60202,9171,9488,18665,3331,1648,4976,1118,2393,3508,352,359,709,378,270,648,5179,4663,9842,3333,4162,7497,7.3,5.8,6.6,56.5,49.1,52.7,52.3,46.4,49.3,165,185,355,69,182,257,582,1050,1635,590,855,1449,2448,1112,3557,86,213,302,148,315,462,2679,1636,4315,8984,9054,18041,1126,1258,2387,6646,6526,13165,3095,3411,6510,Meander Valley - West Tamar
60203,15469,15381,30849,5517,2558,8075,1713,3677,5387,482,480,956,701,563,1265,8409,7282,15688,5825,6930,12755,8.3,7.7,8.1,54.4,47.3,50.9,49.9,43.7,46.7,221,272,491,99,210,304,781,1476,2257,777,1253,2037,4104,1701,5805,181,346,527,229,432,660,4513,2485,6999,14783,14531,29312,1978,2162,4138,11007,10703,21715,5001,5293,10293,North East
