SA3_MAIN11,Singapore_Before_1941,Singapore_1941_1950,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2005,Singapore_2006,Singapore_2007,Singapore_2008,Singapore_2009,Singapore_2010,Singapore_2011,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1941,South_Africa_1941_1950,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2005,South_Africa_2006,South_Africa_2007,South_Africa_2008,South_Africa_2009,South_Africa_2010,South_Africa_2011,South_Africa_Yr_arrival_ns,South_Africa_Tot,SE_Europe_nfd_Before_1941,SE_Europe_nfd_1941_1950,SE_Europe_nfd_1951_1960,SE_Europe_nfd_1961_1970,SE_Europe_nfd_1971_1980,SE_Europe_nfd_1981_1990,SE_Europe_nfd_1991_2000,SE_Europe_nfd_2001_2005,South_Eastern_Europe_nfd_2006,South_Eastern_Europe_nfd_2007,South_Eastern_Europe_nfd_2008,South_Eastern_Europe_nfd_2009,South_Eastern_Europe_nfd_2010,South_Eastern_Europe_nfd_2011,SE_Europe_nfd_arrival_ns,SE_Europe_nfd_Total,Sri_Lanka_Before_1941,Sri_Lanka_1941_1950,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2005,Sri_Lanka_2006,Sri_Lanka_2007,Sri_Lanka_2008,Sri_Lanka_2009,Sri_Lanka_2010,Sri_Lanka_2011,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1941,Thailand_1941_1950,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2005,Thailand_2006,Thailand_2007,Thailand_2008,Thailand_2009,Thailand_2010,Thailand_2011,Thailand_Yr_arrival_ns,Thailand_Tot,Turkey_Before_1941,Turkey_1941_1950,Turkey_1951_1960,Turkey_1961_1970,Turkey_1971_1980,Turkey_1981_1990,Turkey_1991_2000,Turkey_2001_2005,Turkey_2006,Turkey_2007,Turkey_2008,Turkey_2009,Turkey_2010,Turkey_2011,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1941,United_Kingdom_1941_1950,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2005,United_Kingdom_2006,United_Kingdom_2007,United_Kingdom_2008,United_Kingdom_2009,United_Kingdom_2010,United_Kingdom_2011,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1941,USA_1941_1950,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2005,United_States_America_2006,United_States_America_2007,United_States_America_2008,United_States_America_2009,United_States_America_2010,United_States_America_2011,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1941,Vietnam_1941_1950,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2005,Vietnam_2006,Vietnam_2007,Vietnam_2008,Vietnam_2009,Vietnam_2010,Vietnam_2011,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1941,Born_elsewhere_1941_1950,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2005,Born_elsewhere_2006,Born_elsewhere_2007,Born_elsewhere_2008,Born_elsewhere_2009,Born_elsewhere_2010,Born_elsewhere_2011,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1941,Tot_1941_1950,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2005,Tot_2006,Tot_2007,Tot_2008,Tot_2009,Tot_2010,Tot_2011,Tot_Yr_arrival_NS,Tot_Tot,SA3_NAME11
10101,0,0,0,3,10,8,3,0,0,0,0,0,0,0,3,27,0,0,0,5,12,15,8,10,4,3,4,17,4,0,4,86,0,3,3,22,0,7,5,0,0,3,0,0,0,0,3,46,0,0,0,0,3,5,3,3,0,0,3,0,3,0,3,23,0,0,0,3,4,0,10,14,7,0,6,0,3,4,3,54,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,12,18,123,343,611,360,178,113,77,15,29,14,4,16,4,126,2031,0,0,3,25,27,18,25,22,4,3,10,10,0,0,9,156,0,0,0,0,7,17,4,0,0,0,0,9,0,0,23,60,3,43,73,127,132,72,62,75,20,17,27,22,53,12,57,795,36,260,757,1119,818,618,476,353,73,101,135,105,127,63,409,5450,Goulburn - Yass
10102,0,0,0,8,10,4,5,3,0,4,0,5,0,3,0,42,0,0,3,9,22,20,41,21,14,3,10,7,3,6,4,163,0,3,8,28,17,7,9,4,0,0,0,0,0,0,0,76,0,0,0,3,8,23,15,0,6,0,6,6,12,0,3,82,0,0,3,0,6,8,18,7,6,4,8,0,3,0,5,68,0,0,0,0,3,3,6,3,0,0,0,0,0,0,0,15,6,80,250,647,370,235,174,110,37,33,34,35,31,7,90,2139,0,0,3,23,35,48,52,44,11,10,18,5,8,15,4,276,0,0,0,0,15,19,15,14,0,3,0,0,5,3,5,79,0,59,140,247,254,194,180,136,62,55,56,58,57,38,48,1584,15,318,947,1711,1280,1219,1042,702,245,257,378,331,269,173,350,9237,Queanbeyan
10103,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,11,0,0,0,6,6,6,8,11,0,3,12,4,0,0,0,56,0,3,4,6,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,5,0,0,3,0,3,7,0,0,0,18,0,0,0,0,3,3,3,3,0,0,3,10,3,4,0,32,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,9,41,106,266,102,71,49,33,9,3,5,4,14,8,34,754,0,0,3,8,10,12,5,7,0,9,3,3,3,0,4,67,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,27,75,75,69,48,35,18,0,5,5,9,13,7,29,415,16,129,430,528,321,277,194,129,20,33,43,51,43,27,126,2367,Snowy Mountains
10104,3,3,0,0,4,3,3,3,0,0,3,0,0,0,0,22,0,3,5,17,37,39,20,24,4,3,5,0,0,0,6,163,0,3,11,28,6,3,3,0,0,0,0,0,0,0,5,59,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,7,7,4,7,0,4,0,3,12,0,4,51,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,9,47,234,757,1376,612,330,162,112,17,24,27,27,15,12,197,3949,3,3,5,36,48,40,35,28,5,0,8,8,4,4,10,237,0,0,0,0,5,23,16,0,0,0,0,0,3,3,7,57,9,86,179,206,184,91,60,58,7,3,8,10,7,11,28,947,82,531,1759,2267,1362,885,555,347,71,77,94,80,85,60,405,8660,South Coast
10201,3,0,4,15,18,12,16,13,0,3,0,0,5,0,11,100,0,4,10,40,144,141,222,191,39,42,52,59,10,15,17,986,0,10,15,33,12,0,5,0,0,0,0,0,0,0,3,78,0,0,4,29,22,30,13,13,0,3,3,3,3,0,3,126,0,0,0,3,6,27,58,54,15,10,14,7,12,5,11,222,0,0,0,8,14,7,6,4,0,3,0,0,0,0,3,45,149,394,1041,2689,1534,1377,1054,894,256,229,220,184,157,77,510,10765,3,3,8,54,101,59,113,74,22,25,54,26,20,9,23,594,0,0,0,3,17,31,8,3,4,3,7,7,3,0,8,94,19,150,233,467,525,503,408,344,74,74,87,75,76,38,191,3264,238,944,2452,4479,3668,3887,3358,2434,606,636,681,539,436,222,1246,25826,Gosford
10202,0,0,3,8,13,10,3,3,3,0,3,3,0,0,3,52,0,3,6,33,71,79,73,54,10,3,21,13,9,6,8,389,0,9,19,23,15,8,9,3,0,0,0,0,0,0,0,86,0,0,0,7,9,7,3,4,0,0,3,0,0,0,3,36,0,0,0,3,3,21,17,32,6,15,10,6,5,3,10,131,0,0,0,12,6,4,8,3,0,0,0,3,0,3,0,39,100,346,977,2288,1248,805,499,325,105,69,51,65,64,10,400,7352,0,3,9,36,47,48,80,61,9,7,5,12,10,3,10,340,0,0,0,3,14,21,15,0,0,3,5,0,0,3,8,72,12,109,183,361,455,301,249,129,26,20,50,48,27,21,75,2066,163,767,2199,3877,2930,2565,1984,1116,291,252,286,254,250,129,893,17956,Wyong
10301,0,0,0,5,3,3,3,5,3,0,0,0,0,0,0,22,0,0,3,6,5,6,29,19,0,9,3,18,4,0,0,102,0,3,3,10,3,0,0,0,3,0,0,0,0,0,3,25,0,0,0,0,3,6,5,9,3,3,0,6,0,0,4,39,0,0,0,0,0,3,3,3,0,3,3,3,3,0,3,24,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,9,12,64,166,340,236,107,73,42,16,5,9,11,4,6,58,1149,0,3,0,5,10,12,13,11,5,0,3,0,3,3,3,71,0,0,0,0,5,6,0,5,0,0,4,0,3,3,18,44,0,23,36,55,79,52,73,56,9,20,12,12,10,5,75,517,19,156,385,599,512,414,453,289,78,88,84,109,66,50,378,3680,Bathurst
10302,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,6,3,0,3,3,8,10,21,13,5,7,13,0,0,3,0,89,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,3,3,3,4,0,0,6,0,7,0,0,26,0,0,0,0,3,3,6,3,0,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,44,172,307,114,71,37,29,7,11,6,12,8,3,63,914,0,0,4,5,8,5,7,12,3,0,0,0,14,7,5,70,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,11,0,18,35,51,37,22,23,45,5,10,13,15,13,6,23,316,38,145,381,492,293,258,235,185,54,57,70,73,91,49,162,2583,Lachlan Valley
10303,0,0,3,3,3,3,0,0,0,0,0,0,0,0,3,15,3,0,0,4,8,17,0,11,8,5,17,0,5,3,0,81,0,0,3,6,10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,8,4,0,0,0,0,3,0,0,3,21,0,0,0,0,0,0,6,5,0,0,3,5,3,0,3,25,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,9,31,81,205,487,289,132,51,40,7,10,9,4,0,3,86,1435,0,0,0,15,18,17,11,8,0,0,3,3,3,3,5,86,0,0,0,0,0,8,9,0,0,7,0,0,0,0,7,31,0,38,55,99,67,55,34,22,6,12,9,5,4,11,38,455,41,205,494,873,583,450,271,169,52,45,81,54,44,36,301,3699,Lithgow - Mudgee
10304,0,0,0,0,3,3,0,4,5,0,0,0,0,0,3,18,0,0,0,7,4,20,40,43,9,17,8,7,4,5,3,167,0,5,3,7,3,0,5,0,3,0,0,0,0,0,0,26,0,0,0,3,0,3,9,0,3,3,0,3,3,3,0,30,0,0,0,0,3,4,5,6,4,4,3,5,0,6,0,40,0,0,0,4,0,5,0,0,0,0,5,0,0,0,3,17,22,70,181,389,155,96,77,50,7,13,18,13,12,8,69,1180,0,0,0,15,15,7,8,12,6,0,0,8,3,3,3,80,0,0,0,0,3,4,0,0,0,0,0,0,0,0,5,12,0,52,42,59,54,75,77,190,41,48,46,27,12,14,24,761,37,256,474,722,438,467,444,482,144,155,145,113,82,91,215,4265,Orange
