gml_id,sa3_name16,sa3_code16,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c58,Port Adelaide - East,"40203","422","7348","7771","6852","1367","8219","3866","491","4355","3537","287","3824","1372","126","1499","831","106","936","16883","9725","26603"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c57,Salisbury,"40204","795","12030","12827","13792","2191","15981","8066","696","8758","7224","359","7584","3250","193","3444","2261","87","2348","35384","15555","50937"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c56,Tea Tree Gully,"40205","662","8024","8685","11587","1179","12765","5648","253","5903","5605","178","5784","2003","62","2071","824","25","843","26332","9718","36056"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c55,Mitcham,"40303","516","5695","6217","7011","933","7946","3434","302","3737","4021","172","4194","1445","92","1538","495","34","528","16924","7232","24156"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c54,Onkaparinga,"40304","1323","15983","17300","20314","2813","23127","10134","698","10825","9386","413","9796","3565","165","3727","1417","57","1473","46131","20126","66262"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c53,Charles Sturt,"40401","783","13059","13841","12714","2235","14946","6128","684","6811","5826","369","6196","2005","108","2115","949","56","1000","28407","16509","44919"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c52,Port Adelaide - West,"40402","429","7530","7955","6390","1219","7611","3289","327","3618","2826","165","2990","1112","64","1177","636","46","681","14688","9354","24043"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c51,Murray and Mallee,"40703","483","8472","8956","9306","1669","10976","3414","372","3784","2963","213","3171","1376","114","1492","685","69","760","18223","10912","29140"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c50,Augusta - Margaret River - Busselton,"50101","563","4457","5017","6027","1146","7174","2691","308","3001","2606","219","2829","1031","82","1118","411","43","452","13331","6256","19586"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c4f,Bunbury,"50102","1024","9226","10256","11697","1933","13632","5571","522","6094","5259","364","5620","2292","167","2454","1070","67","1136","26904","12283","39192"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c4e,Manjimup,"50103","238","2586","2824","3167","612","3778","1021","133","1157","927","87","1018","463","35","501","227","21","248","6036","3478","9518"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c4d,Mandurah,"50201","1103","9599","10704","12580","1918","14501","5083","457","5542","4441","257","4700","1945","102","2047","989","53","1035","26146","12383","38531"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c4c,Cottesloe - Claremont,"50301","614","5978","6591","6580","1260","7841","3231","490","3719","3881","286","4169","1886","109","1994","575","44","616","16766","8160","24928"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c4b,Perth City,"50302","1130","15772","16901","11633","3984","15616","4850","1333","6183","4270","590","4863","1429","221","1643","404","99","502","23715","21994","45708"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c4a,Bayswater - Bassendean,"50401","765","8894","9658","9113","1881","11001","4648","582","5235","4080","298","4382","1527","118","1648","784","68","848","20915","11840","32760"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c49,Mundaring,"50402","418","3104","3525","4630","579","5206","2342","165","2511","2201","108","2312","986","41","1024","485","19","499","11058","4019","15076"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c48,Swan,"50403","1016","8327","9340","11805","1953","13760","7604","686","8293","7527","448","7972","3299","202","3500","2070","80","2150","33313","11699","45014"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c47,Joondalup,"50501","1414","9465","10876","16687","1752","18441","9446","559","10010","10434","392","10826","3984","154","4138","1407","44","1454","43378","12371","55742"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c46,Stirling,"50502","1840","22228","24068","21434","4368","25803","10651","1380","12038","9871","756","10628","3861","297","4165","1887","139","2021","49548","29166","78714"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c45,Wanneroo,"50503","1433","10788","12223","16865","2443","19312","11249","913","12162","11857","639","12496","5114","270","5386","2886","146","3032","49402","15197","64601"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c44,Armadale,"50601","641","5871","6512","7885","1320","9211","4909","406","5310","4349","253","4597","1988","104","2091","1281","47","1324","21051","7997","29048"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c43,Belmont - Victoria Park,"50602","673","8816","9490","7530","2418","9954","3746","858","4605","2964","456","3419","1210","187","1398","677","89","771","16803","12833","29630"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c42,Canning,"50603","574","7231","7804","8092","1504","9593","5094","765","5852","5426","517","5946","2372","279","2651","1383","176","1560","22941","10463","33408"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c41,Gosnells,"50604","742","7995","8731","10208","1668","11870","6713","563","7279","6583","377","6959","3338","203","3537","2328","106","2435","29898","10913","40809"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c40,Kalamunda,"50605","548","4240","4788","6358","844","7203","3210","242","3454","3239","147","3384","1445","68","1518","726","29","751","15528","5572","21097"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c3f,Serpentine - Jarrahdale,"50606","224","1134","1355","2547","320","2863","1591","111","1708","1576","95","1670","749","45","792","453","26","477","7142","1727","8870"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c3e,South Perth,"50607","444","5327","5771","4754","1137","5890","2219","446","2665","1984","232","2216","683","57","740","292","29","325","10377","7221","17600"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c3d,Cockburn,"50701","896","7837","8733","10186","1827","12017","6072","567","6644","6336","357","6690","2394","146","2543","1148","59","1211","27039","10800","37838"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p30_hsehold_comp_by_num_pns_present_census_2016.fid--7a4d496e_1724c35c6d1_-6c3c,Fremantle,"50702","468","4882","5345","4178","1071","5249","1996","339","2334","1690","188","1881","600","42","647","203","17","220","9131","6538","15667"
