gml_id,sa3_name16,sa3_code16,p_55_64_ud_wk_l_5_hrs,p_55_64_ud_wk_5_14_hrs,p_55_64_ud_wk_15_29_hrs,p_55_64_ud_wk_30h_more,p_55_64_no_ud_wk,p_55_64_ud_wk_ns,p_55_64_os_v,p_55_64_yr_tot,p_65_74_ud_wk_l_5_hrs,p_65_74_ud_wk_5_14_hrs,p_65_74_ud_wk_15_29_hrs,p_65_74_ud_wk_30h_more,p_65_74_no_ud_wk,p_65_74_ud_wk_ns,p_65_74_os_v,p_65_74_yr_tot,p_75_84_ud_wk_l_5_hrs,p_75_84_ud_wk_5_14_hrs,p_75_84_ud_wk_15_29_hrs,p_75_84_ud_wk_30h_more,p_75_84_no_ud_wk,p_75_84_ud_wk_ns,p_75_84_os_v,p_75_84_yr_tot,p_85ov_ud_wk_l_5_h,p_85ov_ud_wk_5_14_h,p_85ov_ud_wk_15_29_h,p_85ov_ud_wk_30h_more,p_85ov_no_ud_wk,p_85ov_ud_wk_ns,p_85ov_os_v,p_85_yr_over_tot,p_tot_ud_wk_l_5_hrs,p_tot_ud_wk_5_14_hrs,p_tot_ud_wk_15_29_hrs,p_tot_ud_wk_30h_more,p_tot_no_ud_wk,p_tot_ud_wk_ns,p_total_os_v,p_total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-752e,Inverell - Tenterfield,"11002","863","1528","874","717","1097","722","21","5815","519","997","826","924","1200","817","16","5291","277","441","343","389","844","599","4","2903","112","108","61","63","412","282","0","1043","5149","7340","4049","3907","6381","4356","167","31356"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-752d,Moree - Narrabri,"11003","557","875","448","350","767","492","20","3514","317","499","358","330","710","493","7","2715","115","190","125","179","453","334","0","1392","37","44","30","14","150","117","0","392","3618","4868","2349","2114","4577","3209","99","20842"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-752c,Tamworth - Gunnedah,"11004","1761","3020","1563","1128","1930","1063","22","10490","896","1727","1371","1255","1943","1073","19","8288","447","771","626","687","1474","936","12","4944","186","206","118","116","932","396","0","1945","12142","16285","8322","6898","13143","7209","286","64293"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-752b,Lake Macquarie - East,"11101","2625","5080","2666","1709","2516","736","44","15373","1411","3067","2407","2067","2801","920","30","12706","797","1426","1069","985","2216","1037","11","7543","355","466","251","186","1320","694","9","3280","20537","26800","13434","9902","19476","5761","294","96200"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-752a,Lake Macquarie - West,"11102","1602","3063","1627","1166","1731","497","33","9718","916","1967","1538","1391","1913","631","22","8384","468","843","710","581","1491","592","7","4693","198","254","131","110","1067","503","4","2266","12075","16089","8249","6637","13071","3881","172","60177"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7529,Newcastle,"11103","3661","6145","2917","1646","3367","1351","149","19232","1581","3422","2479","1877","3318","1400","65","14141","903","1584","1054","939","2386","1430","17","8308","468","537","334","203","1426","1359","10","4337","32827","37563","15907","11065","27323","10427","1212","136321"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7528,Richmond Valley - Coastal,"11201","2210","4286","2086","1184","1838","1429","71","13101","1188","2664","1819","1339","1968","1245","56","10272","453","989","713","708","1360","873","23","5118","258","309","199","159","1024","661","6","2617","13395","18442","9017","6449","11358","8249","920","67839"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7527,Richmond Valley - Hinterland,"11202","1711","3375","1750","1220","1746","1072","27","10894","775","1784","1361","1222","1613","881","16","7658","392","695","520","595","1218","718","4","4142","197","212","123","108","865","372","5","1876","10573","15129","7758","6481","10896","6297","285","57424"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7526,Tweed Valley,"11203","2376","4415","2123","1311","2406","1214","92","13932","1373","2902","2181","1724","3225","1486","94","12989","783","1322","958","890","2571","1407","63","7999","333","374","203","171","1606","914","11","3612","14980","19896","10110","7736","16974","8312","562","78565"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7525,Griffith - Murrumbidgee (West),"11301","992","1582","834","578","1260","754","54","6061","525","801","597","565","1052","668","18","4222","303","420","339","320","779","593","3","2762","134","140","66","54","465","349","3","1210","7293","8949","4386","3713","8579","5024","526","38473"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7524,Tumut - Tumbarumba,"11302","340","570","313","255","366","261","3","2117","175","330","276","284","397","209","3","1671","89","158","124","124","258","181","0","934","41","41","23","29","148","147","0","420","1935","2781","1550","1371","2279","1685","42","11650"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7523,Wagga Wagga,"11303","1857","3499","1821","1222","1932","1019","45","11404","1052","1836","1324","1273","2088","960","23","8552","476","893","592","663","1599","836","11","5067","222","276","146","141","1096","404","3","2289","15460","19419","9100","7495","16077","7533","283","75379"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7522,Shoalhaven,"11401","2277","4560","2574","1790","2425","1236","43","14904","1363","3374","2697","2331","3099","1470","36","14375","720","1400","1048","1099","2335","1336","11","7945","286","368","222","191","1261","805","4","3138","14346","21026","11447","9437","16356","8899","313","81821"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7521,Southern Highlands,"11402","1196","2211","1125","719","832","425","30","6531","814","1818","1368","1099","1159","608","18","6884","389","796","599","574","906","493","10","3776","135","195","96","101","604","302","4","1442","7874","10713","5713","4395","6791","3318","174","38978"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7520,Baulkham Hills,"11501","3328","6154","3170","1990","2491","458","584","18171","1706","3571","2491","1861","2405","527","437","13004","732","1326","875","743","1664","540","91","5970","304","397","221","141","1163","671","8","2907","28719","31347","15124","11132","23070","4388","1930","115709"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-751f,Dural - Wisemans Ferry,"11502","574","1130","609","468","414","187","37","3414","321","763","558","480","472","186","20","2799","177","296","233","190","333","126","6","1358","75","78","38","39","309","61","0","600","4858","5606","2925","2422","3874","1333","147","21172"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-751e,Hawkesbury,"11503","508","1132","582","381","401","278","8","3293","269","547","433","419","387","239","3","2289","106","175","111","151","201","87","3","829","29","45","19","22","99","39","0","251","4191","5474","2670","2209","3130","1647","60","19389"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-751d,Rouse Hill - McGraths Hill,"11504","606","999","541","368","563","141","94","3319","309","491","378","309","474","132","47","2145","107","174","116","99","235","68","9","811","43","32","20","13","96","25","3","236","6145","6773","3347","2376","5025","1081","252","24997"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-751c,Blacktown,"11601","2472","3979","1991","1557","3811","892","510","15214","1194","2096","1332","1206","3056","829","292","10010","559","847","557","526","1760","618","60","4933","199","210","114","91","1052","314","3","1984","22724","25320","11023","9872","30497","7129","1466","108033"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-751b,Blacktown - North,"11602","1506","2425","1144","820","1709","441","370","8412","636","1182","693","596","1228","325","317","4983","230","336","219","138","616","158","74","1770","76","53","27","23","263","41","13","494","16621","18998","8121","6411","15074","4217","1122","70572"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-751a,Mount Druitt,"11603","1709","2546","1212","1120","3473","906","307","11272","841","1277","781","810","2626","821","194","7351","359","457","278","254","1306","431","47","3131","93","84","43","35","719","117","7","1095","16566","17441","7568","7963","28127","7466","1026","86163"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7519,Botany,"11701","872","1250","520","363","1160","475","226","4868","467","719","402","327","1092","424","117","3541","298","382","222","167","688","312","31","2104","102","104","39","38","289","184","5","758","9516","9165","3439","2527","11135","3958","1395","41133"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7518,Sydney Inner City,"11703","4114","5293","1703","765","3521","3806","2155","21358","1913","2948","1253","614","2790","2286","950","12763","684","963","495","282","1689","1231","222","5567","206","221","97","49","780","583","38","1972","62765","46243","10539","5537","54090","37282","22433","238900"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7517,Eastern Suburbs - North,"11801","2964","3938","1409","673","1774","1200","241","12197","1962","2954","1392","707","2107","1184","173","10480","873","1271","669","424","1551","939","59","5778","414","510","164","122","1263","662","12","3140","32985","26324","8686","5426","20115","12126","2693","108350"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7516,Eastern Suburbs - South,"11802","2694","4190","1650","1012","2364","1315","359","13583","1427","2469","1436","952","2287","1164","172","9915","743","1246","686","509","1948","854","40","6024","404","391","197","139","1491","584","12","3215","32431","28873","10105","6581","29379","12180","3376","122923"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7515,Bankstown,"11901","3121","4754","2443","1919","5322","1310","313","19187","1580","2676","1741","1424","4061","1051","212","12745","916","1303","878","690","2983","867","64","7707","430","471","252","173","2133","541","9","4014","27327","27556","12748","12260","44085","10602","1347","135922"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7514,Canterbury,"11902","2241","3078","1600","1320","4210","884","338","13674","1225","1924","1129","1000","3038","799","169","9280","792","1158","701","564","2300","611","42","6173","327","300","170","117","1328","304","3","2544","22224","21730","9795","9446","35948","8333","1434","108916"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7513,Hurstville,"11903","2614","4206","2268","1518","3318","699","585","15194","1427","2514","1705","1234","2573","658","327","10441","813","1315","889","712","2084","616","81","6514","361","467","228","149","1671","439","9","3331","24187","24474","11182","8552","30758","5977","2087","107206"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7512,Kogarah - Rockdale,"11904","2641","3780","1795","1177","3569","1006","552","14530","1504","2394","1495","1113","3123","953","251","10826","872","1286","775","640","2425","944","77","7013","350","381","198","141","1593","790","10","3463","26340","26396","10610","8243","34903","9352","2262","118101"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7511,Canada Bay,"12001","1900","2872","1311","772","1649","527","363","9389","1072","1834","1093","742","1469","538","139","6884","538","855","526","385","1313","388","27","4031","248","246","122","98","1093","247","11","2070","18095","18257","7215","5119","17191","4711","1288","71868"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7510,Leichhardt,"12002","1361","2323","748","315","768","490","65","6074","741","1315","629","313","853","349","80","4283","228","368","208","131","606","198","11","1752","81","114","43","27","396","85","8","739","13175","13991","4610","2572","6829","3778","503","45460"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-750f,Strathfield - Burwood - Ashfield,"12003","2813","4514","2107","1334","3269","958","555","15547","1485","2448","1442","1082","2648","724","264","10090","912","1318","842","581","2351","581","79","6666","401","407","199","140","1826","376","8","3351","31939","30596","11977","8390","36577","9354","2664","131493"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-750e,Chatswood - Lane Cove,"12101","2492","3895","1761","985","1628","610","503","11872","1377","2472","1475","865","1555","526","282","8559","645","1109","734","440","1320","363","70","4671","295","410","189","129","1271","309","17","2612","24556","25225","10282","6907","19004","5302","2740","94026"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-750d,Hornsby,"12102","1773","3161","1536","875","1298","328","343","9310","838","1834","1316","902","1115","321","202","6522","405","818","551","416","939","281","49","3461","191","237","115","87","755","229","7","1621","15489","18414","8519","5909","12288","2849","1045","64510"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-750c,Ku-ring-gai,"12103","2696","4847","2520","1342","1542","371","439","13743","1526","3240","2329","1412","1354","410","272","10538","903","1744","1214","950","1500","525","90","6925","512","670","373","280","1550","683","8","4074","23923","26010","13273","9143","16813","4042","1772","94970"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-750b,North Sydney - Mosman,"12104","2761","3605","1320","614","1241","770","261","10569","1703","2833","1360","682","1483","677","161","8893","620","1120","625","345","969","386","41","4106","272","345","158","80","788","359","9","2018","25140","23521","7604","4446","12726","6411","1471","81309"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-750a,Manly,"12201","986","1603","674","286","506","283","86","4423","553","986","613","328","544","243","54","3320","244","419","253","189","396","219","11","1732","121","154","87","59","250","214","0","884","9840","9567","3735","2381","5544","2625","716","34402"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7509,Marrickville - Sydenham - Petersham,"11702","1007","1633","625","378","1110","425","82","5249","464","858","488","293","951","312","30","3397","283","355","236","163","792","215","10","2056","92","107","49","31","487","66","3","839","13871","12752","4016","2380","9192","4116","542","46873"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7508,Pittwater,"12202","1703","3178","1316","623","812","362","52","8048","955","1952","1278","804","1011","428","40","6459","480","839","530","380","791","408","22","3453","189","235","118","95","611","395","7","1661","11882","14120","6534","4111","7692","2881","442","47659"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7507,Warringah,"12203","3354","5404","2352","1142","2257","792","188","15490","1811","3484","2124","1358","2361","743","136","12018","922","1714","1104","829","2143","871","50","7630","472","607","283","216","1942","789","5","4315","31352","33356","14059","9072","22978","7305","1281","119406"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7506,Camden,"12301","1136","1932","1025","642","985","250","36","6006","532","951","704","566","901","265","26","3946","196","364","218","204","609","224","13","1820","85","91","38","27","413","208","3","854","11619","13287","5920","4381","9476","2335","191","47210"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7505,Campbelltown (NSW),"12302","3199","5280","2499","1961","4351","1256","329","18875","1458","2573","1765","1474","3563","1198","211","12246","561","839","531","458","1697","774","50","4909","158","188","88","71","718","499","8","1730","26375","29647","13054","11801","33319","9940","1135","125267"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7504,Wollondilly,"12303","860","1582","830","610","715","370","10","4983","372","805","618","637","698","327","7","3461","160","283","229","249","435","253","0","1617","64","68","47","30","241","161","0","607","6973","8537","4228","3617","5818","2497","92","31760"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7503,Blue Mountains,"12401","2074","4418","2017","1127","1312","554","110","11608","1038","2651","1812","1370","1510","610","48","9035","401","844","629","598","1131","417","15","4040","192","213","113","104","792","186","8","1605","13767","19253","9062","6534","9788","3491","806","62708"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7502,Blue Mountains - South,"12402","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","3","5","0","8"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7501,Penrith,"12403","2623","4670","2389","1663","2852","924","167","15285","1228","2445","1639","1431","2716","895","114","10475","483","786","535","474","1630","617","21","4547","201","208","86","72","943","234","5","1748","25123","29426","12603","10385","24163","7533","661","109888"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7500,Richmond - Windsor,"12404","742","1233","573","458","775","278","14","4074","358","617","454","433","728","292","5","2886","171","289","198","187","528","255","4","1633","65","63","34","30","360","137","0","693","6622","7210","3293","2871","6383","3255","98","29744"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ff,St Marys,"12405","1152","1856","880","700","1556","506","57","6709","462","789","509","474","1145","336","37","3758","176","272","144","116","559","248","7","1517","50","57","33","24","231","141","3","536","9170","10287","4264","3852","11465","3484","217","42742"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74fe,Auburn,"12501","1430","1967","956","809","2577","724","388","8848","649","913","583","466","1418","411","145","4580","291","448","224","181","885","228","57","2304","104","96","48","37","566","138","3","990","15374","13990","5627","5384","25864","8121","1556","75920"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74fd,Carlingford,"12502","1335","2388","1214","844","1664","333","302","8082","644","1329","935","660","1223","330","188","5307","403","711","446","398","915","265","62","3201","166","178","93","78","530","196","9","1255","12327","13251","6254","5105","13454","2760","1040","54185"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74fc,Merrylands - Guildford,"12503","2386","3556","1776","1518","4476","1155","287","15145","1270","2098","1271","1198","3416","909","168","10331","712","844","601","524","2230","683","40","5632","286","286","143","96","1428","375","6","2625","22840","22707","10290","10417","41439","10137","1133","118955"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74fb,Parramatta,"12504","2104","3440","1676","1224","2845","1120","1146","13559","1046","2040","1399","1167","2440","783","490","9372","622","968","624","476","1936","690","81","5400","241","280","152","102","1417","448","3","2652","24324","27401","11861","9987","31672","10443","3295","118989"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74fa,Pennant Hills - Epping,"12601","1090","2108","1090","703","681","140","217","6041","511","1176","835","528","614","108","150","3923","259","563","392","319","576","153","38","2300","127","180","115","64","487","120","3","1105","9571","10569","5174","3597","8184","1267","807","39170"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f9,Ryde - Hunters Hill,"12602","2773","4521","2325","1447","2661","735","615","15068","1462","2728","1807","1169","2239","601","352","10355","796","1350","890","624","2052","546","87","6352","444","507","248","170","1892","499","20","3773","27774","28726","12440","8624","28434","6399","3032","115430"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f8,Bringelly - Green Valley,"12701","1725","2492","1202","1052","3103","823","117","10527","794","1148","637","667","2004","661","75","5991","369","480","260","255","1079","404","27","2863","93","77","44","37","465","103","7","822","16721","16449","7021","6959","24768","6444","427","78790"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f7,Fairfield,"12702","3540","5021","2741","2648","8061","1406","227","23635","1929","2690","1612","1523","5438","1067","108","14366","988","1201","801","597","3694","756","38","8078","327","277","148","110","1959","321","14","3145","28875","27188","12592","12379","58965","10014","1006","151015"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f6,Liverpool,"12703","1957","2754","1269","1102","3425","1111","261","11888","993","1497","929","807","2488","828","161","7714","473","605","354","330","1646","597","58","4066","143","139","79","52","908","262","8","1599","18524","19535","8432","7913","28275","8835","1011","92529"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f5,Cronulla - Miranda - Caringbah,"12801","2733","4631","2045","1151","2020","708","104","13390","1419","2763","1818","1293","2110","621","70","10090","776","1355","970","777","1837","633","37","6390","418","515","297","202","1683","471","5","3589","22626","24197","10611","7435","18435","5359","574","89229"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f4,Sutherland - Menai - Heathcote,"12802","2579","4828","2401","1332","1771","424","88","13422","1234","2660","1887","1366","1787","422","66","9422","455","977","641","631","1405","384","26","4518","233","287","138","128","1369","205","3","2371","21234","24707","11367","7795","16448","3255","449","85269"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f3,Ballarat,"20101","1989","3920","1894","1217","2168","832","50","12067","1003","2153","1538","1386","2196","931","26","9233","476","894","687","641","1648","838","12","5198","221","327","149","137","1128","384","3","2355","18180","22287","10107","8130","16992","6611","360","82673"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f2,Creswick - Daylesford - Ballan,"20102","762","1402","764","553","649","455","4","4591","340","798","632","635","738","449","7","3600","139","270","192","206","424","299","4","1535","62","63","37","44","288","156","0","658","4244","6179","3271","2802","3896","2624","84","23094"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f1,Maryborough - Pyrenees,"20103","616","1052","660","556","792","398","11","4088","357","682","646","614","865","546","7","3711","117","266","235","246","579","352","0","1804","57","68","44","40","317","164","0","692","3414","4849","2825","2711","4417","2544","43","20806"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74f0,Bendigo,"20201","1947","3559","1784","1112","1887","831","52","11170","892","1907","1412","1325","1948","894","31","8400","467","875","616","665","1501","907","11","5034","215","282","163","148","1070","613","3","2499","16540","20275","9163","7407","14984","6720","326","75420"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p20b_unpaid_domestic_work_hrs_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-74ef,Heathcote - Castlemaine - Kyneton,"20202","1194","2449","1207","783","922","709","14","7273","616","1434","1120","985","1031","719","7","5915","243","512","383","441","669","531","9","2788","100","135","65","85","469","284","3","1148","7108","10726","5459","4431","5882","4652","146","38403"
