sa3_name16,sa3_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,os_vis_m,os_vis_f,os_vis_p,count_psns_occ_priv_dwgs_m,count_psns_occ_priv_dwgs_f,count_psns_occ_priv_dwgs_p,count_persons_other_dwgs_m,count_persons_other_dwgs_f,count_persons_other_dwgs_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p
Queanbeyan,10102,29145,28573,57721,1984,1735,3720,3880,3672,7551,1885,1729,3617,1659,1682,3337,3904,4012,7917,4042,4058,8101,4654,4579,9229,3718,3535,7257,2246,2140,4387,911,995,1904,255,434,698,129,149,273,27909,27929,55834,1241,644,1889,837,849,1684,24,10,33,20,15,35,879,872,1751,21407,21240,42650,4864,4917,9774,23074,22827,45906,3363,3499,6865,24775,24633,49401,406,321,724,3500,3317,6815,1364,1272,2632,488,548,1039,880,1376,2255,11970,12926,24898,1524,1324,2849,4913,4595,9505,1286,1161,2448,912,843,1754,84,91,178
Snowy Mountains,10103,17365,15169,32532,737,670,1409,2127,1972,4102,962,783,1748,1277,1049,2327,2423,2016,4444,2290,2107,4400,2406,2234,4639,2443,1998,4442,1803,1459,3271,700,586,1284,185,289,474,418,341,760,11025,10527,21550,6339,4643,10981,301,224,520,11,15,27,3,0,5,312,239,550,12307,10771,23076,1997,1877,3874,13431,11946,25384,869,880,1750,13677,12164,25843,193,163,358,1764,1632,3399,527,455,985,166,187,358,303,556,858,6566,6295,12867,860,707,1565,2936,2362,5299,718,598,1316,445,355,806,39,26,60
South Coast,10104,34424,35862,70288,1515,1453,2964,3970,3696,7660,1797,1761,3556,1244,1180,2423,2507,2624,5138,3123,3497,6618,4416,4813,9228,6143,6632,12778,5844,5713,11553,2935,3042,5978,937,1461,2395,125,138,263,33227,34543,67770,1203,1319,2524,1458,1562,3023,23,22,46,34,26,61,1517,1609,3124,27069,28111,55184,4298,4560,8859,30706,31948,62648,1143,1311,2452,30723,32095,62817,388,353,742,3513,3284,6798,1151,1175,2328,189,231,418,439,1012,1448,10293,11818,22111,2414,2564,4976,8625,8729,17354,2647,2600,5241,1761,1579,3340,81,61,141
Goulburn - Mulwaree,10105,18176,17489,35672,1078,974,2055,2265,2054,4321,1071,997,2070,1056,824,1878,2145,2012,4165,2197,2008,4203,2519,2449,4971,2431,2450,4883,2043,1978,4025,1044,1162,2205,317,574,892,65,78,138,16742,16871,33610,1436,620,2055,662,605,1267,22,15,37,19,11,27,698,628,1333,15007,14443,29454,1754,1590,3344,15594,15527,31119,768,745,1512,15704,15651,31354,249,250,499,2043,1856,3897,686,652,1344,164,199,367,341,647,987,4862,5474,10332,944,981,1928,4560,4293,8852,1325,1268,2600,965,746,1710,90,53,143
Young - Yass,10106,17507,18028,35539,1156,1064,2214,2565,2455,5019,1093,1090,2181,824,867,1691,1574,1737,3310,2094,2253,4345,2472,2650,5115,2446,2356,4799,2049,1954,4008,946,1075,2023,295,533,830,41,53,101,17164,17638,34803,345,393,741,634,587,1219,13,16,32,6,9,14,654,608,1263,14791,15126,29916,1368,1538,2904,15739,16306,32048,633,609,1245,15984,16418,32400,285,270,556,2327,2260,4582,748,774,1516,173,229,404,273,690,957,5315,6452,11762,987,1083,2064,4026,3719,7741,1190,1079,2267,852,690,1540,62,49,112
Gosford,10201,81039,86638,167672,4974,4615,9584,10568,10113,20675,5141,5004,10146,4612,4268,8881,8716,9001,17723,9943,10577,20515,10903,11945,22854,10509,11612,22121,8810,9790,18601,4776,6158,10933,2089,3550,5636,342,455,802,79470,84649,164114,1570,1990,3562,2301,2303,4609,54,65,121,26,31,62,2389,2401,4791,62441,66117,128558,13637,14861,28497,71171,75320,146493,5305,6314,11619,71709,76451,148161,1316,1248,2562,9781,9399,19179,3782,3765,7548,1477,1535,3014,1860,3479,5338,29929,32823,62756,4789,4452,9237,18006,19865,37868,4958,5769,10731,2435,2780,5214,187,183,371
Wyong,10202,75988,81078,157069,4918,4687,9605,10694,9870,20562,4982,4832,9810,4594,4598,9195,8430,9069,17503,8955,9723,18679,9835,10498,20332,9243,10317,19566,7891,9005,16902,4712,5640,10353,1721,2840,4563,159,222,381,74700,79490,154195,1290,1585,2875,3679,3724,7407,85,91,173,56,79,139,3824,3888,7714,61989,65434,127420,9020,10018,19039,68250,72134,140382,3434,4038,7475,68302,72625,140923,1340,1269,2609,9838,9065,18905,3331,3351,6684,1069,1305,2381,1351,3045,4391,20203,23400,43601,4753,4621,9378,20643,21893,42529,5967,6712,12684,3269,3424,6700,248,187,439
Bathurst,10301,23399,23151,46546,1479,1375,2850,3217,2958,6180,1781,1738,3517,1943,1755,3693,3038,2630,5665,2709,2688,5402,2937,3006,5944,2749,2827,5570,2202,2255,4460,1001,1258,2254,342,661,1004,52,59,109,21278,21891,43169,2120,1254,3375,1249,1089,2338,25,30,53,24,27,54,1302,1150,2446,19423,19150,38568,2100,1961,4064,19780,20426,40206,973,956,1928,19880,20481,40364,349,332,681,2953,2719,5675,1253,1267,2520,606,755,1363,545,990,1542,6968,8567,15542,1285,1160,2451,5367,4965,10331,1425,1393,2815,914,774,1689,53,54,113
Lachlan Valley,10302,27489,27571,55060,1717,1703,3421,3777,3600,7376,1589,1571,3159,1442,1303,2750,2723,2793,5518,2883,2946,5826,3576,3564,7138,3880,3719,7598,3376,3159,6530,1897,2120,4016,634,1101,1731,64,84,143,26525,26669,53195,965,904,1864,2395,2487,4884,36,29,59,38,36,76,2465,2558,5021,23116,23142,46256,1394,1509,2898,24205,24338,48543,657,693,1352,24380,24482,48864,403,446,850,3333,3176,6511,951,1032,1983,157,249,407,305,774,1076,5969,7404,13378,1472,1629,3106,7404,6913,14319,2357,2088,4449,1895,1361,3256,97,48,150
Lithgow - Mudgee,10303,23442,22814,46256,1505,1425,2926,2996,2792,5788,1342,1196,2537,1215,1052,2266,2640,2438,5078,2589,2681,5272,3264,3176,6439,3233,3132,6371,2905,2718,5625,1372,1556,2929,386,653,1042,50,68,121,22400,22303,44703,1041,519,1560,1297,1212,2504,32,20,54,25,11,37,1350,1242,2596,18831,18187,37016,1909,1909,3816,19998,19731,39732,662,731,1392,20016,19795,39815,289,316,605,2614,2397,5007,847,777,1627,142,230,370,354,780,1136,5110,6379,11484,1356,1297,2657,6497,5659,12154,1754,1740,3490,1290,1068,2364,67,48,108
Orange,10304,28263,29334,57597,2142,1956,4093,4243,3976,8216,1953,1938,3891,1487,1581,3071,3360,3684,7050,3526,3679,7208,3679,3810,7486,3473,3496,6972,2556,2728,5283,1407,1667,3076,451,812,1259,70,89,158,26961,28262,55222,1305,1073,2382,1530,1539,3071,26,31,53,35,26,56,1594,1592,3180,23673,24570,48243,2340,2546,4886,24932,26019,50948,1343,1449,2798,25236,26365,51600,464,459,921,3837,3620,7459,1274,1406,2686,343,479,822,715,1275,1996,8125,10080,18214,1466,1595,3055,6826,6513,13337,1867,1847,3715,1323,1165,2489,88,81,161
Clarence Valley,10401,25689,26073,51763,1336,1173,2507,3058,2784,5847,1537,1433,2964,1115,996,2112,2118,2161,4283,2488,2699,5188,3264,3471,6737,4147,4326,8474,4004,3894,7899,2014,2118,4125,616,1022,1635,89,99,191,24690,25230,49918,1004,845,1847,1592,1557,3150,28,39,64,24,38,68,1648,1628,3281,21445,21676,43115,1897,2095,3995,23030,23551,46577,503,628,1130,22915,23471,46391,328,300,625,2730,2502,5237,979,984,1958,175,223,403,362,852,1221,6174,7000,13172,1456,1599,3050,7140,7513,14649,2346,2235,4583,1589,1343,2935,71,56,133
Coffs Harbour,10402,42734,45687,88424,2409,2359,4770,5576,5438,11020,2628,2475,5097,2135,2104,4242,4294,4679,8971,4574,5106,9680,5374,6236,11604,6463,6905,13366,5451,5624,11072,2884,3223,6107,948,1531,2483,322,406,722,41048,43786,84832,1687,1905,3594,1906,2042,3947,38,38,80,36,43,83,1979,2124,4109,33473,35327,68799,5665,6364,12027,36613,38860,75478,2804,3179,5984,37012,39566,76578,637,602,1232,5037,4916,9958,1754,1733,3487,432,643,1070,843,1922,2762,12901,15105,28005,2726,2754,5478,10164,10854,21025,3186,3145,6335,1933,1779,3711,168,203,368
Bourke - Cobar - Coonamble,10501,13046,12236,25281,881,878,1752,1642,1633,3276,571,543,1111,679,692,1371,1622,1573,3189,1369,1351,2722,1812,1697,3516,1976,1594,3573,1603,1310,2914,719,698,1418,172,276,447,25,36,61,12329,11809,24144,717,425,1140,2972,3175,6146,16,22,36,29,34,63,3012,3232,6247,10315,9631,19946,733,793,1525,10796,10193,20982,419,429,845,10951,10284,21235,185,210,398,1369,1354,2717,278,295,577,48,93,137,142,363,506,2692,3234,5920,744,798,1539,3084,2525,5604,1103,906,2010,958,596,1557,89,41,131
Broken Hill and Far West,10502,10324,10494,20813,587,545,1135,1130,1133,2260,564,517,1077,582,598,1185,1235,1264,2500,1108,1087,2202,1427,1364,2793,1614,1572,3183,1288,1252,2546,577,745,1328,195,410,606,49,44,87,9543,9844,19387,778,652,1428,1109,1127,2234,7,10,13,7,10,19,1127,1141,2266,8689,8866,17554,486,517,1002,8917,9082,18000,259,276,541,9047,9301,18347,146,134,280,1004,993,1998,323,316,635,70,108,177,177,392,570,2029,2350,4379,745,647,1394,2696,2758,5446,938,1005,1941,824,719,1540,31,16,51
Dubbo,10503,34621,35582,70209,2411,2357,4769,4931,4549,9475,2136,2036,4170,2044,1970,4016,4121,4496,8614,3862,4044,7905,4321,4592,8911,4526,4693,9221,3650,3605,7257,1956,2230,4191,654,1012,1670,105,163,265,32270,33865,66140,2352,1717,4072,5139,5064,10203,57,64,120,67,98,159,5270,5220,10490,28880,29690,58572,2298,2383,4678,29672,31021,60690,1332,1439,2774,29804,31239,61046,581,564,1142,4336,4029,8358,1322,1349,2669,261,423,686,582,1247,1830,8532,10954,19484,1838,2093,3924,8584,8215,16804,2614,2448,5059,1907,1484,3392,100,91,193
Lower Hunter,10601,44008,43648,87656,2937,2869,5802,6213,5880,12094,3008,2752,5761,2891,2495,5391,5465,5524,10992,5486,5452,10943,5848,5837,11683,5575,5626,11204,4179,4063,8239,1875,2084,3961,528,1052,1579,119,144,263,41611,42507,84117,2398,1138,3538,2877,2594,5466,89,70,154,63,63,127,3027,2725,5752,37575,36959,74533,2839,2950,5791,39174,39513,78694,903,1005,1908,38928,39194,78118,674,706,1377,5557,5275,10828,1813,1819,3629,451,522,969,604,1390,1994,9434,11381,20813,2948,2561,5507,12586,11549,24132,3598,3889,7489,2088,1956,4040,94,66,163
Maitland,10602,35758,37604,73362,2866,2641,5507,5495,5149,10646,2480,2301,4779,2201,2346,4544,4793,5293,10082,4766,4902,9670,4420,4978,9403,4049,4249,8300,2893,3174,6063,1358,1746,3098,427,834,1260,78,108,186,35167,36959,72126,589,645,1235,1744,1801,3552,46,53,99,56,46,102,1853,1902,3749,31111,32599,63711,2827,3023,5850,32670,34222,66898,1360,1581,2934,32843,34471,67311,681,605,1288,5099,4788,9886,1765,1699,3459,548,703,1248,803,1523,2324,9785,11834,21625,2324,2190,4511,9554,9534,19084,2590,2887,5473,1246,1295,2543,88,64,153
Port Stephens,10603,35015,36078,71089,1937,1909,3839,4557,4179,8739,2122,2059,4179,1840,1715,3554,3295,3389,6680,3762,4049,7815,4583,4823,9405,4851,5215,10069,4862,4989,9851,2496,2639,5129,718,1110,1826,105,154,258,33919,35089,69002,1097,987,2085,1638,1647,3285,46,45,88,31,33,69,1718,1726,3444,28312,28957,57271,3858,4165,8022,31377,32197,63577,1166,1330,2499,31347,32156,63506,487,504,995,4168,3821,7987,1429,1396,2823,364,480,843,537,1179,1717,9461,10608,20077,2304,2143,4447,9672,9829,19503,2844,3062,5911,1390,1266,2655,105,83,184
Upper Hunter,10604,15325,14986,30304,1096,1008,2096,2231,2191,4421,886,882,1767,826,868,1690,2052,1988,4036,1984,1896,3884,2097,2013,4106,1940,1732,3671,1374,1259,2630,647,792,1438,205,355,554,63,105,163,14528,14549,29077,795,431,1228,1017,995,2015,17,17,37,17,15,37,1055,1031,2088,12651,12413,25067,1219,1124,2337,13278,13265,26543,504,500,1009,13174,13088,26266,260,245,508,1992,1953,3950,587,586,1179,75,153,235,207,444,656,3257,4165,7422,890,887,1785,4223,3580,7810,1185,1154,2338,798,635,1436,41,29,66
Dapto - Port Kembla,10701,36608,38041,74649,2417,2333,4742,4978,4646,9621,2445,2363,4806,2349,2200,4549,4353,4552,8907,4535,4735,9268,4851,5014,9863,4419,4689,9108,3453,3649,7111,2125,2657,4776,699,1207,1905,102,133,229,36088,37300,73385,518,741,1266,1255,1373,2632,30,18,49,24,28,48,1308,1422,2729,27127,27693,54827,7378,8116,15492,28883,29646,58528,6034,6680,12719,32729,33910,66642,677,667,1342,4594,4321,8919,1738,1772,3508,641,688,1333,742,1286,2031,10312,11401,21716,2266,2069,4332,9458,9455,18915,2627,2845,5472,2077,2439,4516,273,425,696
Illawarra Catchment Reserve,10702,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,7,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Kiama - Shellharbour,10703,43224,45461,88679,2837,2604,5440,6010,5722,11729,3061,2902,5966,2718,2585,5301,4729,5072,9799,5170,5630,10799,5688,6207,11894,5580,6070,11652,4392,4649,9038,2271,2731,4995,772,1290,2059,103,165,269,42729,44725,87452,494,730,1224,1406,1461,2869,37,37,79,28,24,51,1471,1523,2994,33928,35123,69047,6728,7479,14205,37249,38814,76061,3784,4240,8027,38981,40722,79703,822,729,1544,5568,5326,10898,2164,2171,4336,747,834,1579,760,1543,2298,12859,14315,27168,2666,2574,5245,11402,11817,23223,2942,3277,6214,1798,1942,3741,160,205,367
Wollongong,10704,63649,65092,128736,3729,3519,7251,7585,7307,14892,4341,4159,8502,5976,5433,11401,8822,8441,17266,8180,8381,16560,8140,8357,16496,7139,7691,14831,5313,5790,11105,3196,3891,7091,1233,2117,3352,672,786,1461,61132,62625,123761,2515,2459,4977,1254,1280,2535,35,18,61,28,25,55,1320,1328,2645,45543,46516,92055,13919,14229,28147,49179,50256,99437,10601,10876,21481,53343,55237,108581,1018,973,1990,7115,6812,13930,3365,3374,6732,3293,2902,6190,2925,3331,6257,27039,28103,55146,3222,2721,5948,12154,12221,24373,3216,3629,6845,2198,2759,4958,289,390,687
Great Lakes,10801,15295,16082,31381,663,656,1319,1590,1546,3135,799,707,1502,527,533,1059,1059,1133,2193,1325,1482,2808,1874,1968,3842,2438,2601,5039,2802,2843,5645,1643,1745,3388,580,870,1456,40,49,85,14906,15520,30426,394,565,953,775,793,1568,18,16,29,11,15,28,800,831,1624,12412,13093,25504,1583,1641,3223,13817,14508,28318,392,441,827,13789,14452,28236,191,187,382,1403,1372,2777,523,482,1009,89,102,194,180,449,631,3664,4036,7698,914,912,1820,4458,4860,9320,1579,1698,3274,975,831,1801,45,33,77
Kempsey - Nambucca,10802,24189,24520,48705,1262,1232,2491,2888,2805,5697,1367,1290,2651,1120,998,2114,2080,2142,4224,2306,2402,4708,3018,3148,6170,4016,4171,8188,3728,3528,7256,1787,1836,3625,606,971,1581,82,93,174,23176,23851,47027,1009,669,1677,2274,2370,4643,30,23,49,58,60,119,2358,2456,4810,19995,20074,40072,1879,2011,3890,21248,21826,43070,503,628,1133,21195,21837,43029,342,310,653,2579,2469,5046,872,853,1722,116,187,304,282,757,1035,5284,6165,11445,1425,1390,2809,6518,6696,13206,2308,2316,4620,1569,1366,2939,75,57,128
Lord Howe Island,10803,253,223,474,10,13,18,18,10,34,5,4,13,13,10,23,26,24,52,41,28,68,38,34,73,43,61,100,33,30,65,18,5,25,4,3,8,4,8,15,177,145,328,75,76,147,3,3,3,0,0,0,0,0,0,3,3,3,167,151,313,41,36,75,189,180,362,14,10,27,188,174,366,0,0,0,18,8,26,0,3,3,0,5,3,4,6,11,103,107,214,15,14,21,47,37,84,7,0,13,3,5,7,0,0,0
Port Macquarie,10804,37998,41189,79182,1963,1918,3886,4753,4523,9277,2235,2163,4394,1592,1573,3169,3240,3559,6795,3890,4262,8154,4830,5406,10233,5299,5967,11268,5705,6153,11858,3327,3802,7135,1158,1859,3016,143,195,341,36695,39643,76336,1302,1541,2845,1535,1582,3118,20,17,34,15,16,32,1570,1621,3184,30805,33370,64174,4316,4769,9090,34384,37233,71621,1136,1340,2478,34134,37018,71151,551,561,1109,4379,4174,8548,1588,1608,3190,313,472,789,703,1532,2236,11049,12776,23827,2468,2536,5007,9741,10947,20693,3152,3209,6369,1733,1682,3414,74,75,150
Taree - Gloucester,10805,26093,27504,53592,1436,1270,2704,3236,3099,6338,1548,1492,3039,1130,1159,2289,2082,2317,4398,2403,2707,5108,3292,3635,6927,4116,4448,8565,4111,4106,8212,2054,2217,4276,682,1057,1741,85,101,185,25392,26693,52089,695,810,1506,1742,1820,3562,44,30,72,41,24,64,1824,1871,3698,21751,22766,44513,2156,2363,4519,23679,24825,48507,606,748,1359,23666,24863,48529,392,353,738,2941,2798,5742,1013,1037,2044,164,256,421,331,899,1226,6068,7218,13288,1454,1520,2973,7429,7819,15248,2533,2595,5120,1688,1478,3165,60,51,114
Albury,10901,29745,31316,61063,1995,1891,3885,4038,3880,7918,1954,1990,3943,1905,2043,3944,3621,3801,7424,3549,3783,7332,3889,4039,7933,3859,4031,7885,2900,3002,5904,1459,1866,3324,586,985,1569,135,117,253,28389,29969,58358,1352,1348,2702,829,845,1669,22,18,40,14,13,28,865,878,1740,24312,25667,49977,2995,3172,6164,25767,27243,53013,1757,1935,3690,26179,27720,53897,429,414,844,3690,3556,7243,1348,1440,2782,443,748,1188,691,1289,1980,8845,10974,19815,2552,2618,5174,6446,6149,12597,2076,1946,4019,1309,1221,2528,142,162,302
Lower Murray,10902,6976,6396,13374,404,344,752,842,790,1631,378,321,701,378,347,731,732,699,1433,748,680,1424,1013,895,1914,1092,986,2073,868,771,1632,429,413,841,97,152,242,61,76,136,6360,6084,12446,615,314,929,511,500,1012,0,3,4,14,12,30,534,513,1044,5549,5109,10662,429,457,885,5788,5352,11139,262,276,532,5885,5459,11342,82,89,173,719,682,1393,225,212,439,26,54,80,57,160,224,1416,1762,3179,736,669,1407,1461,1143,2605,594,459,1053,532,385,922,36,13,44
Upper Murray exc. Albury,10903,20870,20902,41766,1200,1091,2288,2476,2502,4982,1123,1062,2186,953,846,1806,1894,1987,3881,2110,2174,4284,2540,2675,5216,3295,3215,6512,3081,2790,5869,1642,1754,3396,560,791,1354,80,77,154,20116,20247,40361,750,649,1403,499,588,1084,20,21,33,8,11,21,519,616,1136,17207,17195,34405,1467,1515,2982,18454,18522,36982,590,556,1148,18394,18523,36919,271,247,515,2191,2237,4423,690,749,1438,117,166,283,224,543,766,4671,6027,10695,2348,2353,4701,4706,4013,8716,1897,1560,3450,1388,1116,2508,72,46,120
Armidale,11001,18190,19345,37538,1054,1022,2078,2322,2363,4688,1530,1631,3163,1681,1747,3430,2061,2156,4220,1917,2087,4001,2304,2443,4749,2282,2396,4680,1875,1857,3735,870,1112,1981,282,529,808,186,163,344,16462,17449,33909,1730,1898,3624,1196,1256,2449,23,20,41,24,11,39,1248,1293,2533,14477,15386,29858,2016,2145,4161,15452,16455,31905,1211,1292,2505,15561,16613,32173,287,257,546,2116,2134,4245,1120,1257,2374,823,978,1802,708,1086,1792,6913,8215,15130,875,920,1799,3491,3344,6837,1074,1039,2114,777,661,1439,50,42,90
Inverell - Tenterfield,11002,18934,19444,38376,1096,1109,2200,2428,2392,4826,1130,998,2132,861,924,1785,1745,1780,3523,1914,2087,4005,2395,2465,4864,2907,2908,5815,2679,2616,5291,1426,1477,2903,351,693,1043,71,120,188,18228,18792,37015,702,660,1360,1393,1366,2764,25,27,53,38,47,81,1456,1438,2897,15668,15856,31528,1151,1279,2428,16494,17032,33531,446,482,934,16551,17027,33584,272,250,518,2133,2093,4221,673,659,1329,89,175,264,206,532,739,4043,5180,9228,983,1090,2071,4931,4896,9824,1693,1508,3204,1444,1064,2512,59,51,111
Moree - Narrabri,11003,13398,12941,26338,953,990,1940,1784,1767,3552,751,632,1380,724,701,1426,1551,1663,3217,1629,1559,3183,1909,1712,3618,1853,1657,3514,1422,1291,2715,681,707,1392,143,253,392,38,77,109,12738,12572,25308,662,372,1030,1983,2210,4190,23,26,49,42,48,84,2045,2284,4327,10867,10476,21347,704,680,1385,11372,10979,22352,387,360,750,11474,11066,22543,214,214,422,1491,1508,3006,396,358,754,75,106,179,163,339,503,3105,3701,6810,753,745,1498,3199,2755,5955,1064,836,1898,816,526,1340,62,36,90
Tamworth - Gunnedah,11004,39847,40753,80598,2787,2539,5326,5680,5299,10986,2607,2350,4953,2184,2111,4296,4810,4941,9750,4573,4724,9297,5026,5302,10328,5158,5328,10490,4077,4205,8288,2256,2691,4944,682,1264,1945,178,133,312,38085,39489,77574,1760,1269,3026,4132,4185,8324,84,76,161,81,74,155,4297,4339,8635,33589,34531,68121,2506,2536,5043,35109,36409,71522,1379,1259,2638,35178,36327,71505,680,677,1362,5078,4755,9825,1596,1555,3151,295,463,759,629,1362,1988,9813,12105,21923,2214,2291,4512,10179,10122,20297,3120,3001,6124,2240,1711,3950,133,112,249
Lake Macquarie - East,11101,57328,60775,118107,3668,3428,7093,7650,7159,14808,3861,3528,7383,3397,3221,6615,6360,6695,13060,6868,7479,14354,7638,8257,15893,7407,7967,15373,5965,6745,12706,3319,4222,7543,1203,2073,3280,131,200,328,56630,59787,116417,703,985,1691,2090,2126,4218,27,29,52,28,37,64,2144,2189,4330,49489,51831,101322,5415,6052,11470,52677,55315,107993,2491,2948,5442,53189,56102,109293,970,936,1907,7237,6790,14024,2849,2695,5549,1104,1172,2278,1209,2228,3433,18157,20462,38619,3472,2996,6471,14958,15738,30703,4382,5240,9627,2181,2316,4501,137,132,264
Lake Macquarie - West,11102,35925,37869,73794,2351,2215,4572,4592,4451,9048,2429,2264,4692,2141,2029,4166,3987,4229,8219,4162,4513,8673,4520,4844,9360,4706,5016,9718,4049,4333,8384,2150,2543,4693,840,1426,2266,82,114,196,35160,36810,71970,764,1056,1820,1721,1734,3456,59,45,100,48,40,89,1827,1817,3645,30642,31921,62561,3672,4090,7764,33083,34559,67644,1431,1658,3086,33110,34769,67878,583,558,1135,4301,4172,8473,1695,1652,3350,561,632,1186,705,1390,2095,9857,11536,21398,2341,2163,4505,10162,10310,20465,3085,3311,6397,1555,1537,3091,104,80,183
Newcastle,11103,80688,83412,164099,5100,4599,9702,9311,8759,18078,4869,4732,9598,7141,7171,14317,12391,12214,24606,10312,10707,21014,10246,10520,20761,9406,9827,19232,6811,7336,14141,3633,4667,8308,1455,2884,4337,541,744,1284,76867,79483,156345,3823,3931,7749,2777,2928,5703,61,56,116,64,57,121,2901,3041,5939,65458,67511,132975,10965,11505,22463,68263,70090,138352,7615,8126,15744,71321,73928,145249,1309,1124,2429,8702,8211,16916,3616,3583,7199,3343,3566,6902,3562,4565,8129,32261,34696,66954,4277,3789,8062,16685,16890,33569,4857,5483,10342,2647,2908,5549,251,337,588
Richmond Valley - Coastal,11201,39038,41980,81015,1997,1933,3936,4770,4474,9240,2284,2113,4402,1585,1678,3265,3717,4102,7818,4601,5209,9815,5331,6107,11439,6307,6792,13101,5155,5112,10272,2314,2803,5118,967,1651,2617,438,561,1000,37677,40426,78105,1360,1559,2911,974,1043,2019,54,45,103,32,38,67,1068,1120,2184,29491,31350,60842,5082,5725,10809,33059,35399,68456,1782,2069,3851,33067,35514,68583,502,518,1022,4191,3949,8137,1551,1495,3040,309,430,742,845,1760,2605,13693,15821,29513,2382,2414,4799,8232,8838,17066,2244,2394,4641,1347,1349,2698,82,69,149
Richmond Valley - Hinterland,11202,34464,35763,70229,1933,1882,3819,4658,4333,8993,2280,2223,4504,1953,1898,3853,3269,3533,6805,3723,4201,7917,4747,5018,9769,5492,5402,10894,3856,3799,7658,1903,2245,4142,660,1216,1876,132,181,317,33526,34689,68219,936,1069,2006,1865,1891,3753,44,43,92,40,45,84,1951,1977,3930,28402,29342,57752,2823,3103,5932,30398,31399,61792,1163,1433,2599,30590,31786,62375,459,489,945,4150,3884,8039,1465,1549,3008,453,618,1063,827,1594,2418,9382,10968,20347,1980,2146,4127,8749,9034,17782,2652,2357,5012,1911,1763,3674,101,75,179
Tweed Valley,11203,45244,48796,94033,2546,2300,4839,5433,5194,10625,2568,2554,5120,2092,1937,4034,3999,4404,8402,4869,5510,10381,5655,6445,12098,6507,7423,13932,6343,6642,12989,3753,4252,7999,1480,2134,3612,272,335,603,43809,47017,90820,1436,1780,3213,1518,1579,3091,143,122,270,159,141,300,1822,1847,3667,34885,37253,72129,6417,7278,13697,39979,42881,82858,1743,2208,3946,39471,42495,81968,568,472,1037,4878,4710,9589,1767,1891,3661,492,603,1095,797,1858,2658,13784,15777,29557,3066,3098,6163,11116,12262,23373,3087,3298,6381,2072,2102,4174,101,101,202
