sa3_name16,sa3_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,os_vis_m,os_vis_f,os_vis_p,count_psns_occ_priv_dwgs_m,count_psns_occ_priv_dwgs_f,count_psns_occ_priv_dwgs_p,count_persons_other_dwgs_m,count_persons_other_dwgs_f,count_persons_other_dwgs_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p
Holland Park - Yeronga,30302,35345,36557,71907,1957,1910,3868,3499,3293,6794,1958,1898,3859,3758,3915,7681,7660,7778,15439,5316,5230,10547,4275,4416,8691,3285,3452,6737,2034,2225,4254,1126,1465,2598,468,971,1436,415,598,1016,34187,35279,69470,1160,1281,2435,367,335,698,40,56,91,30,31,64,436,420,856,23307,23999,47314,9291,9664,18955,25923,26552,52475,6735,7173,13904,27719,28767,56480,306,335,641,3235,3033,6269,1525,1513,3041,1833,1947,3779,2124,2689,4816,20910,21872,42784,1526,1263,2789,3183,3479,6662,646,609,1252,750,995,1740,127,176,298
Mt Gravatt,30303,34759,37222,71986,2100,2070,4168,4310,4241,8552,2408,2417,4830,3267,3364,6628,5839,6023,11858,4805,5057,9864,4244,4628,8874,3291,3789,7074,2586,2948,5535,1426,1778,3202,487,908,1391,658,920,1580,34168,36425,70586,592,802,1397,351,368,723,35,45,77,31,36,70,426,446,871,19414,20226,39636,13221,14552,27765,20653,21356,42003,12082,13492,25575,26130,27469,53599,336,342,678,4004,3913,7913,1892,1995,3887,1646,1843,3487,1602,2083,3687,18849,19846,38693,1565,1430,2994,3809,4588,8392,850,837,1684,976,1345,2315,183,275,461
Nathan,30304,19369,19723,39091,1324,1216,2538,2280,2154,4435,1225,1186,2413,1843,1764,3613,3499,3334,6824,2881,2897,5783,2429,2496,4921,1741,1873,3611,1156,1349,2505,701,951,1653,291,502,799,278,379,653,18773,19155,37931,597,568,1159,224,243,471,15,20,36,11,14,31,247,285,533,12017,12226,24242,6077,6118,12199,13050,13163,26218,5092,5217,10310,14938,15417,30355,256,214,463,2086,2004,4087,969,935,1904,952,954,1903,1133,1199,2334,10560,10785,21346,813,674,1492,2031,2252,4280,481,444,928,563,719,1284,116,141,259
Rocklea - Acacia Ridge,30305,29622,30520,60141,2466,2201,4665,4082,3880,7970,2039,1906,3945,2207,2070,4284,5066,5412,10481,4331,4488,8824,3583,4010,7599,2973,3333,6303,1849,1868,3720,740,885,1628,269,459,725,488,778,1268,29312,30113,59425,309,406,711,344,356,706,37,25,63,36,38,75,418,417,835,14682,14580,29256,13121,13879,26994,15740,15433,31173,12143,13128,25266,21895,22163,44060,386,322,712,3712,3555,7268,1482,1493,2975,902,913,1810,1114,1543,2658,14610,15318,29932,1500,1391,2891,3401,3566,6969,763,747,1510,790,1018,1809,268,359,627
Mudgeeraba - Tallebudgera,30905,16072,17145,33222,1073,1061,2135,2767,2718,5487,1247,1178,2431,843,819,1659,1490,1754,3252,2236,2738,4968,2440,2634,5071,1844,2056,3894,1379,1391,2768,603,591,1194,150,214,366,116,137,259,16013,16981,32992,64,163,230,236,226,462,21,20,36,7,23,27,263,270,529,11397,11946,23341,3779,4242,8023,14104,14858,28964,1112,1371,2486,13671,14465,28142,264,219,483,2563,2526,5091,889,884,1774,244,302,544,309,675,978,6298,7389,13687,1165,1178,2340,2990,3019,6007,635,607,1243,336,287,620,26,21,46
Nerang,30906,32697,34547,67249,2251,2147,4398,4793,4615,9405,2300,2188,4491,1980,2017,3991,4016,4474,8493,4549,4966,9520,4473,4906,9381,3676,4026,7698,2819,2971,5789,1369,1500,2876,464,731,1198,304,375,678,32413,34162,66575,292,384,674,560,625,1187,25,19,41,16,25,45,602,667,1275,22005,22883,44889,8465,9174,17640,27558,28633,56188,3083,3603,6690,26217,27539,53762,506,438,950,4390,4218,8612,1540,1564,3100,475,565,1040,610,1389,2000,12185,13943,26131,2601,2563,5160,6319,6586,12913,1559,1385,2940,838,848,1685,72,82,160
Ormeau - Oxenford,30907,59013,61831,120847,5014,4815,9828,9949,9492,19438,4177,4247,8430,3660,3787,7447,8054,8986,17044,8590,9554,18139,7726,8132,15859,5470,6024,11494,4299,4341,8635,1670,1715,3381,417,735,1153,474,578,1049,58581,61250,119832,434,582,1017,1043,1126,2166,49,48,101,37,39,80,1126,1215,2341,38776,39997,78772,15867,17190,33056,50260,51966,102226,4639,5496,10141,45850,47893,93741,1016,989,2009,9002,8604,17611,2757,2979,5736,776,1045,1823,1037,2524,3564,21359,24634,45993,4504,4586,9090,10640,10759,21402,2521,2213,4738,1222,1167,2390,122,110,232
Outback - South,31503,10547,10262,20805,596,564,1162,1120,1044,2168,449,416,866,503,583,1082,1058,1190,2252,1044,1042,2089,1362,1430,2795,1840,1709,3546,1753,1510,3259,670,557,1229,143,210,353,56,93,148,9723,9642,19369,822,621,1443,884,920,1798,36,40,73,26,16,45,945,980,1923,8813,8435,17253,699,774,1471,9426,9139,18568,242,257,505,9358,9005,18363,83,79,164,989,901,1891,169,204,375,33,98,131,99,270,366,2845,3499,6342,625,718,1346,2612,2298,4915,716,473,1181,947,619,1561,64,39,99
Buderim,31601,25272,28978,54245,1584,1531,3117,3807,3805,7616,1943,2165,4107,1733,1885,3623,2726,3070,5798,3069,3698,6770,3291,3996,7289,2741,3223,5969,2328,2806,5139,1456,1868,3318,581,924,1508,268,440,701,24650,27990,52636,621,983,1604,361,364,728,22,22,46,10,19,27,395,406,797,18145,20591,38736,5717,6623,12346,22536,25462,48000,1448,1920,3367,21430,24530,45955,310,302,611,3571,3576,7143,1378,1647,3024,610,766,1373,717,1447,2163,10836,12814,23650,1825,2019,3846,4264,5216,9479,948,974,1922,579,689,1268,32,32,66
Caloundra,31602,39535,43180,82719,2229,2075,4306,5374,4975,10355,2565,2341,4909,1988,1981,3973,3938,4403,8342,4715,5289,10001,4975,5703,10682,4753,5590,10347,4893,5751,10648,3055,3397,6455,1045,1667,2713,478,580,1055,37869,41158,79028,1668,2019,3686,747,717,1465,38,37,71,30,17,49,817,771,1586,29472,31708,61175,7417,8422,15838,35382,38273,73653,1687,2141,3831,34010,36904,70913,421,387,810,4981,4577,9563,1680,1665,3350,437,643,1077,747,1593,2338,14652,16366,31016,2843,3074,5913,8399,9712,18113,1806,1947,3752,1567,1847,3410,74,79,155
