sa3_code16,nsq_ce_ii_indst_nsp,nsq_crt_ii_totm,nsq_crt_ii_totf,nsq_crt_ii_totp,nsq_crt_iii_ovr_ind_m,nsq_crt_iii_ovr_ind_f,nsq_crt_iii_ovr_ind_p,nsq_cer_iii_ov_no_in_m,nsq_cer_iii_ov_no_in_f,nsq_cer_iii_ov_no_in_p,nsq_ce_iii_ov_ind_s_nsm,nsq_ce_iii_ov_ind_s_nsf,nsq_ce_iii_ov_ind_s_nsp,nsq_crt_iii_ovr_totm,nsq_crt_iii_ovr_totf,nsq_crt_iii_ovr_totp,mig_sme_add_1_yr_ago_indig_m,mig_sme_add_1_yr_ago_indig_f,mig_sme_add_1_yr_ago_indig_p,mig_sme_add_1_yr_ago_no_ind_m,mig_sme_add_1_yr_ago_no_ind_f,mig_sme_add_1_yr_ago_no_ind_p,mig_sa_ad_1_yr_ag_indst_nsm,mig_sa_ad_1_yr_ag_indst_nsf,mig_sa_ad_1_yr_ag_indst_nsp,mig_sme_add_1_yr_ago_totm,mig_sme_add_1_yr_ago_totf,mig_sme_add_1_yr_ago_totp,mig_diff_add_1_yr_ago_indig_m,mig_diff_add_1_yr_ago_indig_f,mig_diff_add_1_yr_ago_indig_p,mig_diff_ad_1_yr_ago_no_ind_m,mig_diff_ad_1_yr_ago_no_ind_f,mig_diff_ad_1_yr_ago_no_ind_p,mig_dif_ad_1_yr_ag_in_st_nsm,mig_dif_ad_1_yr_ag_in_st_nsf,mig_dif_ad_1_yr_ag_in_st_nsp,mig_diff_add_1_yr_ago_totm,mig_diff_add_1_yr_ago_totf,mig_diff_add_1_yr_ago_totp,mig_sme_add_5_ago_indig_m,mig_sme_add_5_ago_indig_f,mig_sme_add_5_ago_indig_p,mig_sme_ad_5_ago_no_ind_m,mig_sme_ad_5_ago_no_ind_f,mig_sme_ad_5_ago_no_ind_p,mig_sa_ad_5_ag_in_st_nsm,mig_sa_ad_5_ag_in_st_nsf,mig_sa_ad_5_ag_in_st_nsp,mig_sme_add_5_ago_totm,mig_sme_add_5_ago_totf,mig_sme_add_5_ago_totp,mig_diff_add_5_ago_ind_m,mig_diff_add_5_ago_ind_f,mig_diff_add_5_ago_ind_p,mig_diff_ad_5_ag_no_ind_m,mig_diff_ad_5_ag_no_ind_f,mig_diff_ad_5_ag_no_ind_p,mi_dif_ad_5_ag_in_st_nsm,mi_dif_ad_5_ag_in_st_nsf,mi_dif_ad_5_ag_in_st_nsp,mig_diff_add_5_ago_totm,mig_diff_add_5_ago_totf,mig_diff_add_5_ago_totp,sa3_name16
10102,3,157,337,499,123,104,227,5197,2290,7485,46,11,61,5362,2403,7774,648,645,1296,20979,20703,41675,200,200,397,21823,21546,43371,158,169,336,3878,3924,7800,31,25,55,4065,4123,8191,361,363,723,13911,13696,27604,124,137,258,14393,14193,28584,378,400,779,9845,10042,19887,83,71,148,10310,10510,20818,Queanbeyan
10103,4,71,159,224,41,21,59,2348,953,3307,31,7,36,2417,981,3401,170,128,297,7184,6908,14095,92,75,167,7447,7113,14555,41,44,79,1279,1234,2517,16,15,29,1333,1293,2625,106,81,186,5120,4904,10023,64,64,130,5294,5049,10340,80,77,156,3026,2922,5949,32,27,56,3135,3024,6157,Snowy Mountains
10104,5,255,527,787,177,146,328,8134,3440,11573,78,36,112,8391,3622,12011,1156,1192,2350,25261,26273,51538,338,338,675,26752,27806,54562,255,295,551,4070,4357,8419,64,48,110,4382,4700,9081,666,676,1344,17760,18129,35884,233,224,457,18650,19031,37685,577,678,1252,10761,11692,22458,144,132,273,11486,12503,23986,South Coast
10105,11,133,234,366,78,54,129,3809,1848,5661,35,26,52,3924,1931,5848,440,485,923,12809,12829,25632,169,167,338,13415,13479,26897,101,118,220,2148,2214,4363,42,31,67,2286,2361,4647,250,283,532,8757,8675,17434,119,120,238,9119,9079,18203,228,258,483,5491,5717,11209,72,61,128,5788,6039,11824,Goulburn - Mulwaree
10106,10,112,234,346,83,55,139,3449,1551,4996,27,13,44,3559,1621,5176,472,448,922,13375,13761,27130,150,172,320,13996,14374,28366,129,126,252,1987,2190,4175,23,24,53,2143,2342,4480,289,265,557,9574,9683,19260,114,133,242,9974,10088,20056,240,253,493,4999,5555,10559,53,50,105,5289,5862,11152,Young - Yass
10201,12,546,1088,1629,394,294,694,17307,8258,25565,160,64,224,17857,8620,26479,1780,1824,3604,61671,65720,127388,601,679,1279,64054,68224,132274,433,418,856,10047,10982,21031,103,81,184,10584,11483,22068,1034,1065,2101,41458,44187,85642,406,463,870,42898,45715,88616,973,1013,1984,27894,30303,58196,221,232,453,29090,31542,60635,Gosford
10202,8,551,1167,1715,573,493,1070,17689,9109,26799,147,68,210,18409,9673,28084,2825,2896,5720,56205,59517,115723,587,638,1223,59618,63050,122666,761,758,1517,9383,10362,19742,101,100,206,10240,11225,21467,1616,1597,3210,37125,38974,76100,432,491,924,39172,41057,80228,1585,1725,3309,25880,28497,54383,211,217,427,27671,30441,58117,Wyong
10301,6,179,388,565,147,126,266,4882,2112,6994,37,23,57,5065,2253,7316,748,773,1527,15947,16320,32268,173,177,354,16871,17278,34153,250,284,535,3015,3157,6171,26,18,41,3286,3456,6750,390,396,785,10474,10598,21073,136,122,260,10999,11114,22117,475,567,1037,7684,8137,15819,59,59,110,8216,8752,16967,Bathurst
10302,4,209,472,679,311,272,584,5075,2407,7481,47,28,78,5440,2710,8145,1939,2002,3941,19118,19149,38264,294,282,578,21349,21435,42778,407,441,849,2459,2707,5169,31,37,68,2902,3187,6092,1266,1285,2550,13965,13738,27706,218,195,410,15444,15218,30666,805,918,1724,6671,7147,13820,76,97,179,7556,8164,15723,Lachlan Valley
10303,5,198,391,588,220,133,359,5253,2190,7442,60,24,83,5534,2349,7886,997,953,1941,16135,16089,32220,248,261,517,17380,17302,34678,223,225,447,2455,2608,5059,54,36,94,2734,2868,5605,576,557,1132,11290,10941,22233,157,168,321,12023,11666,23690,473,503,975,6485,6856,13339,107,90,192,7059,7454,14510,Lithgow - Mudgee
10304,8,214,409,627,197,165,359,5482,2864,8348,43,25,74,5722,3052,8777,1108,1128,2234,20051,20916,40962,256,258,511,21407,22296,43701,352,329,682,3712,3976,7684,35,34,74,4096,4341,8435,623,623,1241,13296,13633,26926,189,188,377,14111,14442,28553,662,699,1360,9227,10115,19345,75,90,158,9958,10901,20859,Orange
10401,3,207,403,604,196,196,385,5448,2699,8142,56,25,84,5698,2914,8615,1117,1176,2296,17696,18174,35875,264,276,538,19077,19633,38705,308,347,655,2834,2949,5786,35,56,90,3175,3353,6526,634,695,1325,12727,12905,25630,185,201,382,13543,13796,27344,624,677,1306,7040,7599,14644,95,112,202,7765,8388,16153,Clarence Valley
10402,7,359,730,1092,306,257,562,8880,4208,13082,72,28,98,9248,4485,13735,1489,1569,3060,29547,31273,60821,336,379,709,31374,33221,64592,359,431,787,5738,6319,12055,66,47,113,6166,6790,12954,865,845,1707,19703,20509,40214,210,249,461,20779,21608,42384,808,957,1767,14383,15968,30348,156,143,297,15349,17064,32414,Coffs Harbour
10501,0,94,183,274,256,223,477,1685,662,2347,36,11,44,1981,888,2867,2415,2634,5052,6474,5865,12347,157,142,299,9049,8649,17690,366,386,754,909,967,1877,18,21,37,1291,1373,2668,1775,1929,3701,4756,4113,8866,118,99,219,6649,6138,12791,716,825,1548,2334,2383,4715,40,46,86,3092,3253,6344,Bourke - Cobar - Coonamble
10502,0,80,161,237,105,89,189,2012,906,2920,27,11,37,2145,1004,3151,802,874,1682,6865,7027,13890,120,112,233,7787,8013,15805,209,206,416,805,924,1730,12,9,26,1029,1146,2171,543,614,1159,5328,5409,10740,107,90,195,5978,6117,12094,345,378,720,2051,2293,4342,28,25,46,2425,2692,5114,Broken Hill and Far West
10503,18,250,558,812,613,522,1133,6205,3135,9345,73,39,106,6893,3691,10584,3675,3773,7450,21360,22190,43550,309,333,640,25347,26288,51636,927,1056,1988,3470,3801,7275,38,45,84,4441,4905,9338,2135,2235,4375,14932,15265,30196,220,236,453,17288,17731,35024,1912,2100,4011,8870,9704,18572,95,101,196,10878,11907,22784,Dubbo
10601,11,328,789,1116,446,326,771,10510,4945,15452,80,40,119,11038,5305,16341,2119,2055,4176,30860,31360,62214,398,385,785,33378,33799,67178,477,527,1008,4958,5036,9996,46,54,96,5481,5613,11102,1277,1212,2487,21407,21216,42618,277,273,552,22959,22702,45657,1047,1133,2178,12712,13492,26202,126,127,255,13890,14753,28640,Lower Hunter
10602,8,247,621,871,302,239,542,8515,4265,12785,50,25,76,8868,4531,13402,1363,1429,2792,26456,27510,53968,213,227,443,28037,29162,57196,381,392,773,4751,5241,9996,37,37,77,5174,5669,10844,728,742,1469,16825,17310,34134,151,149,300,17704,18202,35900,833,894,1731,12788,14118,26907,79,102,177,13705,15119,28821,Maitland
10603,5,268,554,824,265,208,481,8869,3899,12769,70,34,101,9207,4144,13351,1287,1279,2570,25358,25923,51285,282,303,588,26934,27504,54442,333,358,693,4471,4713,9191,38,38,77,4846,5115,9963,762,789,1549,16831,17134,33961,201,232,438,17795,18153,35950,695,679,1366,12058,12533,24599,97,100,193,12849,13309,26154,Port Stephens
10604,3,103,234,335,152,115,265,3321,1548,4864,34,10,44,3504,1671,5175,738,715,1455,10501,10455,20954,136,150,283,11376,11315,22693,216,244,462,1756,1865,3616,25,15,40,1990,2127,4118,404,387,795,7006,6855,13863,92,103,191,7509,7348,14853,449,488,930,4608,4870,9473,52,49,105,5101,5406,10507,Upper Hunter
10701,3,265,553,815,170,162,326,8354,3904,12259,68,27,95,8593,4093,12684,992,1107,2099,28788,29819,58606,337,436,770,30124,31360,61478,203,221,423,3623,3772,7401,56,84,140,3888,4071,7960,622,681,1300,21203,21600,42801,216,266,482,22043,22545,44586,440,509,949,9870,10605,20475,106,141,246,10412,11254,21672,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,Illawarra Catchment Reserve
10703,4,275,639,913,223,171,399,10436,4859,15302,75,28,98,10733,5064,15800,1152,1188,2338,33546,35023,68576,335,325,660,35037,36538,71574,240,247,491,4886,5245,10139,39,48,91,5165,5546,10716,693,735,1432,23574,24478,48049,227,252,478,24493,25466,49957,563,566,1133,13303,14383,27681,118,102,223,13982,15054,29036,Kiama - Shellharbour
10704,7,370,740,1109,228,139,366,12134,5178,17314,78,25,106,12440,5338,17780,1016,1014,2029,47470,48774,96244,399,382,775,48877,50169,99051,226,235,463,9054,9007,18059,48,62,108,9332,9303,18635,611,659,1269,32091,33248,65339,274,293,567,32978,34199,67170,539,507,1040,22600,22762,45363,124,123,246,23260,23391,46654,Wollongong
10801,0,115,248,362,112,81,198,3744,1529,5277,39,17,61,3894,1628,5526,587,616,1198,10919,11423,22345,141,149,289,11644,12183,23826,188,164,351,1921,2092,4010,22,28,48,2131,2282,4407,366,357,723,7455,7742,15192,105,108,211,7925,8206,16127,332,328,654,4983,5422,10403,56,58,119,5366,5809,11173,Great Lakes
10802,11,237,404,644,251,231,480,5135,2412,7547,65,31,103,5450,2672,8126,1636,1770,3400,16123,16413,32529,288,297,585,18047,18472,36518,383,442,830,2400,2588,4990,48,50,95,2832,3086,5914,1105,1143,2249,11695,11797,23496,196,201,394,12997,13140,26137,676,825,1492,6135,6548,12680,100,113,214,6916,7479,14392,Kempsey - Nambucca
10803,0,0,3,3,0,0,0,58,19,79,0,0,0,59,19,77,3,3,3,135,144,278,3,3,8,140,148,292,0,0,3,23,24,48,0,0,0,27,27,50,0,3,0,98,99,196,3,0,4,102,106,201,0,0,5,60,59,116,0,0,3,64,57,117,Lord Howe Island
