SA3_MAIN11,Bosnia_Herzegovina_Befre_1941,Bosnia_Herzegovina_1941_1950,Bosnia_Herzegovina_1951_1960,Bosnia_Herzegovina_1961_1970,Bosnia_Herzegovina_1971_1980,Bosnia_Herzegovina_1981_1990,Bosnia_Herzegovina_1991_2000,Bosnia_Herzegovina_2001_2005,Bosnia_Herzegovina_2006,Bosnia_Herzegovina_2007,Bosnia_Herzegovina_2008,Bosnia_Herzegovina_2009,Bosnia_Herzegovina_2010,Bosnia_Herzegovina_2011,Bosnia_Herzegovina_arrival_ns,Bosnia_Herzegovina_Tot,Cambodia_Before_1941,Cambodia_1941_1950,Cambodia_1951_1960,Cambodia_1961_1970,Cambodia_1971_1980,Cambodia_1981_1990,Cambodia_1991_2000,Cambodia_2001_2005,Cambodia_2006,Cambodia_2007,Cambodia_2008,Cambodia_2009,Cambodia_2010,Cambodia_2011,Cambodia_Yr_arrival_ns,Cambodia_Tot,Canada_Before_1941,Canada_1941_1950,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2005,Canada_2006,Canada_2007,Canada_2008,Canada_2009,Canada_2010,Canada_2011,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1941,China_exc_SARs_Taiwan_41_50,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_05,China_exc_SARs_Taiwan_2006,China_exc_SARs_Taiwan_2007,China_exc_SARs_Taiwan_2008,China_exc_SARs_Taiwan_2009,China_exc_SARs_Taiwan_2010,China_exc_SARs_Taiwan_2011,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1941,Croatia_1941_1950,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2005,Croatia_2006,Croatia_2007,Croatia_2008,Croatia_2009,Croatia_2010,Croatia_2011,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1941,Egypt_1941_1950,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2005,Egypt_2006,Egypt_2007,Egypt_2008,Egypt_2009,Egypt_2010,Egypt_2011,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1941,Fiji_1941_1950,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2005,Fiji_2006,Fiji_2007,Fiji_2008,Fiji_2009,Fiji_2010,Fiji_2011,Fiji_Yr_arrival_NS,Fiji_Tot,Frmr_Y_R_M_FYROM_Bef_1941,Frmr_Y_R_M_FYROM_1941_1950,Frmr_Y_R_M_FYROM_1951_1960,Frmr_Y_R_M_FYROM_1961_1970,Frmr_Y_R_M_FYROM_1971_1980,Frmr_Y_R_M_FYROM_1981_1990,Frmr_Y_R_M_FYROM_1991_2000,Frmr_Y_R_M_FYROM_2001_2005,Frmr_Yug_Rep_Mac_FYROM_2006,Frmr_Yug_Rep_Mac_FYROM_2007,Frmr_Yug_Rep_Mac_FYROM_2008,Frmr_Yug_Rep_Mac_FYROM_2009,Frmr_Yug_Rep_Mac_FYROM_2010,Frmr_Yug_Rep_Mac_FYROM_2011,Frmr_Y_R_M_FYROM_arrival_ns,Frmr_Yug_Rep_Mac_FYROM_Tot,Germany_Before_1941,Germany_1941_1950,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2005,Germany_2006,Germany_2007,Germany_2008,Germany_2009,Germany_2010,Germany_2011,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1941,Greece_1941_1950,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2005,Greece_2006,Greece_2007,Greece_2008,Greece_2009,Greece_2010,Greece_2011,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1941,Hng_Kng_SAR_China_1941_1950,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2005,Hong_Kong_SAR_China_2006,Hong_Kong_SAR_China_2007,Hong_Kong_SAR_China_2008,Hong_Kong_SAR_China_2009,Hong_Kong_SAR_China_2010,Hong_Kong_SAR_China_2011,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1941,India_1941_1950,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2005,India_2006,India_2007,India_2008,India_2009,India_2010,India_2011,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1941,Indonesia_1941_1950,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2005,SA3_NAME11
50607,0,0,0,4,0,4,21,5,0,0,0,0,0,0,0,34,0,0,0,0,3,5,5,5,0,0,0,0,0,0,0,18,0,0,0,4,18,20,23,17,4,16,18,10,17,14,3,164,0,0,3,3,11,45,92,92,27,52,64,74,78,79,43,663,3,0,10,14,6,3,20,4,0,0,0,0,0,0,0,60,0,3,3,5,0,3,5,5,0,3,5,0,7,3,0,42,0,0,3,3,3,5,3,3,0,0,4,0,0,0,0,24,0,0,0,0,5,3,6,0,0,0,0,0,0,0,0,14,0,26,21,12,21,18,11,8,7,9,7,16,8,17,12,193,3,5,10,14,7,10,3,0,0,0,0,0,4,0,3,59,0,3,3,10,21,50,34,32,5,10,12,12,3,7,16,218,0,21,13,69,50,45,73,100,43,50,98,77,39,36,19,733,3,0,7,4,18,54,146,126,South Perth
50701,0,0,3,16,4,9,234,45,0,3,3,3,3,0,7,330,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,9,0,0,3,10,18,21,33,22,13,24,7,12,6,7,3,179,3,0,0,3,0,56,93,109,74,124,89,106,68,32,105,862,21,8,152,364,113,73,292,112,7,12,8,0,0,7,53,1222,0,9,23,17,3,7,4,0,0,0,0,0,0,0,8,71,0,0,0,4,4,15,11,0,0,0,0,0,0,0,3,37,0,3,0,5,5,3,0,0,0,0,0,0,0,0,0,16,0,38,52,45,40,61,51,30,13,13,11,10,8,0,13,385,0,4,9,9,7,3,0,0,0,0,0,0,0,0,3,35,0,0,0,10,31,25,49,23,5,7,7,3,3,0,10,173,0,18,8,68,100,72,123,127,65,88,102,67,18,14,34,904,0,0,3,4,10,55,169,75,Cockburn
50702,0,0,0,15,8,3,23,5,0,0,0,3,0,0,0,57,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,12,22,27,29,18,6,8,15,9,12,7,3,171,0,0,0,0,5,6,10,9,8,4,5,0,4,3,4,58,4,3,62,74,10,15,13,3,0,0,0,0,0,0,9,193,0,5,9,8,4,0,0,0,0,0,0,0,0,0,0,26,0,0,3,3,3,0,0,0,0,0,0,0,3,0,3,15,0,0,0,0,3,3,0,3,0,0,0,0,0,0,3,12,0,19,27,21,10,40,22,25,6,10,15,14,16,6,14,245,3,3,7,3,3,0,3,0,0,0,0,0,3,0,3,28,0,3,0,3,3,4,3,3,4,5,4,0,3,0,0,35,0,8,11,37,18,19,4,9,10,12,5,17,18,6,9,183,0,0,3,0,3,3,10,9,Fremantle
50703,0,0,0,0,0,0,18,3,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,15,3,3,4,3,3,0,0,3,50,0,0,0,0,0,4,9,15,8,24,21,11,6,3,6,107,0,0,7,13,0,0,29,13,3,0,0,5,0,0,7,77,0,0,0,4,0,0,5,6,0,0,0,0,0,0,0,15,0,0,0,0,5,3,7,0,4,0,3,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,47,29,9,15,16,3,0,0,6,0,0,0,3,138,0,0,0,7,6,3,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,7,6,0,8,0,0,0,0,0,21,0,11,5,23,15,8,23,28,17,27,22,21,3,6,13,222,0,0,0,0,4,4,14,12,Kwinana
50704,0,0,0,0,5,0,53,10,0,3,0,0,0,0,6,77,0,0,0,0,0,3,0,3,3,0,0,5,0,0,0,14,0,0,4,22,39,42,68,45,17,11,18,3,21,12,12,314,0,4,4,12,29,204,254,168,58,73,98,54,81,34,60,1133,3,10,43,87,23,10,37,3,3,3,0,3,0,3,9,237,3,13,36,16,14,11,9,3,0,0,0,3,3,3,0,114,0,0,0,5,9,11,3,3,0,0,3,3,0,3,0,40,0,0,0,5,4,0,8,0,0,0,0,0,0,0,0,17,0,46,75,39,43,75,47,50,17,16,11,9,15,11,21,475,3,5,26,34,7,3,0,0,0,3,0,0,0,0,5,86,0,0,5,12,85,183,146,44,19,25,22,35,22,10,19,627,0,37,36,157,131,153,290,185,65,88,128,83,63,43,42,1501,0,8,19,13,49,332,557,273,Melville
50705,0,0,0,4,9,6,84,7,0,0,0,0,0,0,3,113,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,8,0,0,9,18,25,38,45,14,20,7,9,19,8,0,3,215,0,0,0,3,5,16,10,16,15,5,7,3,7,3,3,93,0,0,16,61,20,9,38,16,0,3,3,0,4,0,8,178,0,3,10,4,3,3,3,4,0,3,3,3,0,0,0,39,0,0,0,5,5,12,8,5,3,6,0,11,0,4,0,59,0,0,0,4,3,6,7,0,0,0,5,0,0,0,0,25,0,39,106,73,52,67,30,33,9,11,23,6,3,3,21,476,0,6,0,10,0,3,0,3,0,0,0,0,0,0,0,22,0,0,0,4,5,5,9,8,5,0,0,4,3,0,0,43,0,26,16,65,56,31,41,40,15,11,30,20,24,8,18,401,0,0,5,4,6,13,30,20,Rockingham
50801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,0,0,4,0,3,3,26,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,11,3,15,12,3,0,0,0,0,0,0,3,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,3,0,3,0,0,3,0,3,0,4,19,0,0,3,0,3,0,3,4,Esperance
50802,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,4,3,0,0,0,3,0,0,0,3,0,0,13,0,0,3,0,0,0,0,0,5,0,3,0,0,0,3,14,0,0,6,27,4,4,0,0,0,3,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,0,0,9,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,6,0,3,7,5,3,7,0,6,3,3,3,4,4,0,5,53,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,3,3,3,3,0,3,0,0,3,0,0,0,3,21,0,3,0,0,0,0,3,3,Gascoyne
50803,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,8,8,11,14,3,0,12,0,3,3,0,65,0,0,0,3,0,6,10,25,3,12,27,14,21,7,8,136,0,0,7,13,3,10,4,0,0,3,0,0,0,0,5,45,0,0,3,0,0,3,9,0,0,0,3,0,0,0,0,18,0,0,0,0,3,11,6,7,5,10,14,6,15,0,4,81,0,0,0,0,3,3,0,0,0,0,0,0,3,0,0,9,0,10,35,19,7,8,10,4,3,6,7,0,4,3,5,121,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,3,12,7,14,11,49,31,46,32,35,29,22,13,304,0,0,0,3,3,3,11,21,Goldfields
50804,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,3,5,5,3,3,3,0,4,3,0,46,0,0,4,0,0,0,0,0,4,0,0,3,0,5,0,16,0,0,0,3,3,3,3,0,0,0,0,0,0,0,3,15,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,8,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,5,16,6,5,18,26,22,3,4,3,8,16,5,10,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,5,3,3,26,0,0,3,8,5,4,5,9,9,11,9,4,13,14,0,94,0,4,3,0,0,9,6,5,Kimberley
