sa3_code16,negnil_inc_be_wft,negnil_inc_be_wpt,negnil_inc_be_baw,negnil_inc_1eft_othpt,negnil_inc_1eft_othaw,negnil_inc_1eft_othnw,negnil_inc_1ept_othaw,negnil_inc_1ept_othnw,negnil_inc_1aw_othnw,negnil_inc_bnw,negnil_inc_lfsta_ns,negnil_inc_tot,i_1_149_be_wft,i_1_149_be_wpt,i_1_149_be_baw,i_1_149_1eft_othpt,i_1_149_1eft_othaw,i_1_149_1eft_othnw,i_1_149_1ept_othaw,i_1_149_1ept_othnw,i_1_149_1aw_othnw,i_1_149_bnw,i_1_149_lfsta_ns,i_1_149_tot,i_150_299_be_wft,i_150_299_be_wpt,i_150_299_be_baw,i_150_299_1eft_othpt,i_150_299_1eft_othaw,i_150_299_1eft_othnw,i_150_299_1ept_othaw,i_150_299_1ept_othnw,i_150_299_1aw_othnw,i_150_299_bnw,i_150_299_lfsta_ns,i_150_299_tot,i_300_399_be_wft,i_300_399_be_wpt,i_300_399_be_baw,i_300_399_1eft_othpt,i_300_399_1eft_othaw,i_300_399_1eft_othnw,i_300_399_1ept_othaw,i_300_399_1ept_othnw,i_300_399_1aw_othnw,i_300_399_bnw,i_300_399_lfsta_ns,i_300_399_tot,i_400_499_be_wft,i_400_499_be_wpt,i_400_499_be_baw,i_400_499_1eft_othpt,i_400_499_1eft_othaw,i_400_499_1eft_othnw,i_400_499_1ept_othaw,i_400_499_1ept_othnw,i_400_499_1aw_othnw,i_400_499_bnw,i_400_499_lfsta_ns,i_400_499_tot,i_500_649_be_wft,i_500_649_be_wpt,i_500_649_be_baw,i_500_649_1eft_othpt,i_500_649_1eft_othaw,i_500_649_1eft_othnw,i_500_649_1ept_othaw,i_500_649_1ept_othnw,i_500_649_1aw_othnw,i_500_649_bnw,i_500_649_lfsta_ns,i_500_649_tot,i_650_799_be_wft,i_650_799_be_wpt,i_650_799_be_baw,i_650_799_1eft_othpt,i_650_799_1eft_othaw,i_650_799_1eft_othnw,i_650_799_1ept_othaw,i_650_799_1ept_othnw,i_650_799_1aw_othnw,i_650_799_bnw,i_650_799_lfsta_ns,i_650_799_tot,i_800_999_be_wft,i_800_999_be_wpt,i_800_999_be_baw,i_800_999_1eft_othpt,i_800_999_1eft_othaw,i_800_999_1eft_othnw,i_800_999_1ept_othaw,i_800_999_1ept_othnw,i_800_999_1aw_othnw,i_800_999_bnw,i_800_999_lfsta_ns,i_800_999_tot,i_1000_1249_be_wft,i_1000_1249_be_wpt,i_1000_1249_be_baw,i_1000_1249_1eft_othpt,i_1000_1249_1eft_othaw,i_1000_1249_1eft_othnw,i_1000_1249_1ept_othaw,i_1000_1249_1ept_othnw,i_1000_1249_1aw_othnw,i_1000_1249_bnw,i_1000_1249_lfsta_ns,i_1000_1249_tot,i_1250_1499_be_wft,i_1250_1499_be_wpt,i_1250_1499_be_baw,i_1250_1499_1eft_othpt,i_1250_1499_1eft_othaw,i_1250_1499_1eft_othnw,i_1250_1499_1ept_othaw,i_1250_1499_1ept_othnw,i_1250_1499_1aw_othnw,i_1250_1499_bnw,i_1250_1499_lfsta_ns,i_1250_1499_tot,i_1500_1749_be_wft,i_1500_1749_be_wpt,i_1500_1749_be_baw,i_1500_1749_1eft_othpt,i_1500_1749_1eft_othaw,i_1500_1749_1eft_othnw,i_1500_1749_1ept_othaw,i_1500_1749_1ept_othnw,i_1500_1749_1aw_othnw,i_1500_1749_bnw,i_1500_1749_lfsta_ns,i_1500_1749_tot,i_1750_1999_be_wft,i_1750_1999_be_wpt,i_1750_1999_be_baw,i_1750_1999_1eft_othpt,i_1750_1999_1eft_othaw,i_1750_1999_1eft_othnw,i_1750_1999_1ept_othaw,i_1750_1999_1ept_othnw,i_1750_1999_1aw_othnw,i_1750_1999_bnw,i_1750_1999_lfsta_ns,i_1750_1999_tot,i_2000_2499_be_wft,i_2000_2499_be_wpt,i_2000_2499_be_baw,i_2000_2499_1eft_othpt,i_2000_2499_1eft_othaw,i_2000_2499_1eft_othnw,i_2000_2499_1ept_othaw,i_2000_2499_1ept_othnw,i_2000_2499_1aw_othnw,i_2000_2499_bnw,i_2000_2499_lfsta_ns,i_2000_2499_tot,i_2500_2999_be_wft,i_2500_2999_be_wpt,i_2500_2999_be_baw,i_2500_2999_1eft_othpt,i_2500_2999_1eft_othaw,i_2500_2999_1eft_othnw,i_2500_2999_1ept_othaw,i_2500_2999_1ept_othnw,i_2500_2999_1aw_othnw,i_2500_2999_bnw,i_2500_2999_lfsta_ns,i_2500_2999_tot,i_3000_3499_be_wft,i_3000_3499_be_wpt,i_3000_3499_be_baw,i_3000_3499_1eft_othpt,i_3000_3499_1eft_othaw,i_3000_3499_1eft_othnw,i_3000_3499_1ept_othaw,i_3000_3499_1ept_othnw,i_3000_3499_1aw_othnw,i_3000_3499_bnw,i_3000_3499_lfsta_ns,i_3000_3499_tot,i_3500_3999_be_wft,i_3500_3999_be_wpt,i_3500_3999_be_baw,i_3500_3999_1eft_othpt,i_3500_3999_1eft_othaw,i_3500_3999_1eft_othnw,i_3500_3999_1ept_othaw,i_3500_3999_1ept_othnw,i_3500_3999_1aw_othnw,i_3500_3999_bnw,i_3500_3999_lfsta_ns,i_3500_3999_tot,i_4000more_be_wft,i_4000more_be_wpt,i_4000more_be_baw,i_4000more_1eft_othpt,i_4000more_1eft_othaw,i_4000more_1eft_othnw,i_4000more_1ept_othaw,i_4000more_1ept_othnw,sa3_name16
10304,5,0,0,3,0,0,0,4,0,52,0,62,0,3,3,4,0,0,0,3,0,40,0,55,0,3,0,0,0,3,0,5,0,21,0,43,0,0,0,0,0,4,0,3,0,9,0,20,6,3,0,5,0,15,0,19,4,211,0,265,3,12,0,3,0,18,0,48,5,66,0,154,17,19,0,14,0,38,0,57,13,569,19,739,12,21,4,26,3,72,4,55,4,208,0,422,26,39,7,99,7,85,9,72,6,230,3,575,109,38,8,123,6,70,4,34,3,145,0,546,81,17,7,91,9,51,3,18,4,37,0,316,131,21,3,93,12,55,3,24,5,37,0,386,288,32,11,141,16,65,4,27,11,54,5,666,210,5,5,102,13,21,4,7,0,18,3,393,133,7,3,48,4,9,4,5,3,17,0,244,63,6,0,21,3,15,0,7,0,11,0,121,137,17,3,70,9,20,3,8,Orange
10401,5,3,0,0,0,0,0,3,0,57,0,66,3,0,0,4,0,0,0,3,0,49,0,64,0,3,0,0,0,0,0,5,0,31,0,46,0,0,0,0,0,0,0,7,0,23,0,31,7,5,0,4,0,4,0,28,7,372,9,439,3,11,0,12,0,10,0,48,10,126,0,227,16,39,0,25,0,34,9,92,8,1193,17,1434,12,49,3,42,5,67,0,104,15,393,9,700,38,45,10,75,3,75,6,72,12,366,6,723,98,47,7,101,9,54,10,40,6,249,0,623,43,24,3,78,4,43,0,24,6,60,0,280,76,25,3,87,5,37,8,23,4,66,0,331,143,27,6,129,7,55,6,15,9,74,3,478,74,14,3,66,10,27,0,5,4,32,0,232,57,6,0,18,3,9,0,10,3,7,0,107,25,3,0,8,3,16,0,0,0,3,0,59,36,3,0,24,3,11,0,4,Clarence Valley
10402,0,0,0,0,0,0,0,3,0,87,7,100,3,0,0,0,0,3,0,6,0,38,0,50,3,0,0,0,0,0,0,11,0,45,0,58,0,0,0,0,0,3,0,7,0,26,4,42,13,18,0,7,0,4,0,36,3,418,8,509,5,18,0,7,0,16,3,72,15,170,0,305,20,44,3,15,0,45,8,129,12,1356,20,1655,30,75,6,50,3,109,6,167,12,548,5,1006,40,93,3,124,5,125,12,134,8,554,9,1114,105,96,6,212,9,99,21,89,12,382,9,1041,111,46,4,171,8,64,6,41,8,108,0,570,156,35,6,150,9,67,12,25,3,132,3,599,294,53,6,236,26,91,8,38,11,115,4,878,216,22,5,119,14,47,11,8,5,53,0,495,122,15,0,45,8,9,5,5,3,21,0,241,57,4,0,23,0,19,0,3,5,16,0,118,110,14,6,45,9,21,5,16,Coffs Harbour
10501,22,0,0,3,0,3,0,0,0,15,0,52,8,0,0,3,0,0,0,0,0,6,0,22,0,0,0,0,0,4,0,3,0,5,0,18,0,0,0,0,0,0,0,0,0,8,0,13,3,3,0,0,0,0,0,9,0,86,3,115,3,0,0,0,3,10,0,20,0,26,0,62,22,18,5,11,0,10,0,19,0,238,3,324,22,10,3,21,0,33,3,17,4,67,3,179,41,17,0,18,3,27,0,16,6,48,0,179,45,14,3,51,0,33,0,9,0,36,0,199,38,4,0,29,3,27,0,0,0,4,3,117,62,3,0,25,3,21,3,3,0,13,0,131,135,9,5,58,7,28,0,3,0,12,3,257,90,3,4,31,3,5,0,0,0,3,0,153,59,6,3,13,3,4,0,0,0,0,0,89,33,0,0,3,0,7,0,0,0,0,0,43,60,4,0,19,0,7,0,3,Bourke - Cobar - Coonamble
10502,7,0,0,3,0,0,0,0,0,12,3,29,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,3,0,7,6,0,0,0,0,3,0,8,0,105,4,133,0,0,0,0,0,7,0,10,0,33,0,55,9,3,3,3,0,5,0,28,4,316,4,386,10,6,0,6,4,30,3,39,3,73,3,178,12,23,3,19,3,29,3,15,3,81,3,194,24,9,4,29,0,28,0,10,3,64,8,171,19,3,0,19,3,19,0,0,0,4,0,71,29,0,5,33,0,23,0,0,0,17,5,118,78,3,3,48,7,38,6,3,8,14,0,203,87,3,0,31,5,5,3,0,0,0,0,130,44,0,0,12,0,3,0,0,0,0,0,65,19,0,0,3,0,6,0,0,0,0,0,34,32,4,0,10,0,11,0,0,Broken Hill and Far West
10503,13,0,0,0,0,5,0,0,0,50,0,74,3,0,0,3,0,3,0,3,0,33,3,54,5,0,0,0,0,0,3,10,6,18,0,44,0,3,0,0,0,3,0,5,0,22,0,37,14,3,3,8,0,8,0,36,0,268,3,345,9,8,0,8,0,17,0,38,3,91,0,161,29,29,3,24,3,68,3,93,5,820,14,1091,58,22,3,47,0,94,0,91,7,204,3,529,85,46,7,102,8,92,12,75,12,259,9,699,157,44,7,153,8,70,3,37,13,170,3,660,119,16,9,124,4,58,6,15,4,34,0,387,195,22,8,107,12,52,6,19,3,36,0,452,390,25,9,156,24,67,4,22,8,59,5,771,263,12,4,95,8,20,4,5,6,21,0,434,162,3,0,59,7,12,0,3,0,3,0,263,84,3,4,12,3,8,0,3,0,0,0,128,128,11,3,49,9,25,0,8,Dubbo
10601,3,3,0,0,0,3,0,3,0,79,0,96,3,3,0,0,0,0,0,16,0,52,0,69,0,3,0,0,0,3,0,13,0,37,0,56,0,0,0,0,0,0,0,9,0,22,0,33,11,9,3,4,0,7,0,35,0,352,7,431,3,14,0,7,0,16,0,61,3,139,0,248,16,27,3,16,3,39,0,90,11,1120,14,1335,27,33,0,23,3,92,9,108,12,353,5,663,33,61,6,107,8,121,8,81,17,355,6,795,103,54,6,152,7,110,11,58,11,226,3,744,76,26,0,129,13,107,3,36,9,51,3,459,151,17,5,126,8,82,9,27,6,67,3,492,373,45,9,219,25,175,10,39,13,75,4,986,235,29,9,153,14,32,8,5,0,27,0,513,215,9,9,73,11,7,3,5,5,12,0,341,80,0,6,19,0,45,4,3,3,0,0,158,175,13,3,74,10,40,3,14,Lower Hunter
10602,0,0,0,0,0,0,0,3,0,58,0,62,5,0,0,0,0,3,0,3,0,45,0,57,0,0,0,0,0,4,0,5,0,27,0,34,3,0,0,0,0,0,0,7,3,17,0,33,3,4,0,5,0,3,3,26,0,256,4,305,5,3,0,4,0,9,0,33,0,121,0,183,5,14,0,13,0,35,0,80,8,873,5,1034,6,28,3,25,3,68,3,100,8,355,0,592,23,48,0,65,7,86,4,70,15,357,3,678,78,37,7,137,8,83,11,42,7,201,3,614,97,19,3,140,3,102,0,31,4,68,0,471,144,20,6,114,14,75,6,21,9,57,0,468,441,17,0,219,18,125,6,16,10,54,3,916,294,18,5,128,14,35,11,10,14,13,3,551,208,5,3,57,8,11,3,4,3,8,0,322,73,3,0,7,5,30,0,3,3,4,0,129,127,14,4,62,7,19,0,12,Maitland
10603,3,0,0,0,0,0,0,0,0,90,0,94,0,0,0,0,0,0,0,9,0,68,0,76,0,0,0,0,0,3,0,8,0,39,0,56,0,0,0,0,0,0,0,3,0,18,0,28,0,13,0,5,0,5,3,33,0,390,11,469,0,12,0,0,0,16,0,53,3,161,0,253,12,29,0,11,0,27,0,84,13,1311,15,1499,10,43,0,27,5,75,3,98,16,560,8,834,21,72,0,79,11,119,11,95,6,620,3,1047,69,53,8,142,4,80,5,71,18,409,12,865,68,22,3,115,9,83,5,41,7,119,3,467,112,25,5,112,7,68,3,30,9,115,4,489,267,32,6,168,17,109,12,31,11,163,3,813,193,11,5,127,20,30,8,12,0,48,0,452,96,4,9,67,14,14,0,0,6,21,0,230,56,0,0,17,3,30,3,5,4,6,0,123,72,9,0,62,5,23,4,16,Port Stephens
10604,10,0,0,3,0,0,0,0,0,42,0,55,3,0,0,0,0,0,0,0,0,23,0,33,0,0,0,0,0,0,0,11,0,13,0,24,0,0,0,0,0,4,0,4,0,12,0,13,13,0,0,3,0,3,0,11,0,101,3,126,4,0,0,0,0,10,0,11,3,34,0,61,8,12,0,9,0,21,0,29,3,309,0,400,11,14,3,14,0,45,0,36,3,108,0,228,34,23,0,54,3,34,0,26,5,109,3,287,44,27,0,82,3,32,5,14,3,69,0,280,49,9,0,43,8,23,0,5,3,17,0,158,74,3,0,44,0,32,3,9,5,21,0,188,131,10,3,92,12,60,3,5,7,22,0,344,117,11,3,50,9,15,5,3,3,8,0,218,76,3,0,36,8,0,3,3,0,3,0,131,38,0,0,8,3,11,0,0,3,3,0,66,78,5,5,34,8,8,3,0,Upper Hunter
