sa3_code16,negnil_inc_be_wft,negnil_inc_be_wpt,negnil_inc_be_baw,negnil_inc_1eft_othpt,negnil_inc_1eft_othaw,negnil_inc_1eft_othnw,negnil_inc_1ept_othaw,negnil_inc_1ept_othnw,negnil_inc_1aw_othnw,negnil_inc_bnw,negnil_inc_lfsta_ns,negnil_inc_tot,i_1_149_be_wft,i_1_149_be_wpt,i_1_149_be_baw,i_1_149_1eft_othpt,i_1_149_1eft_othaw,i_1_149_1eft_othnw,i_1_149_1ept_othaw,i_1_149_1ept_othnw,i_1_149_1aw_othnw,i_1_149_bnw,i_1_149_lfsta_ns,i_1_149_tot,i_150_299_be_wft,i_150_299_be_wpt,i_150_299_be_baw,i_150_299_1eft_othpt,i_150_299_1eft_othaw,i_150_299_1eft_othnw,i_150_299_1ept_othaw,i_150_299_1ept_othnw,i_150_299_1aw_othnw,i_150_299_bnw,i_150_299_lfsta_ns,i_150_299_tot,i_300_399_be_wft,i_300_399_be_wpt,i_300_399_be_baw,i_300_399_1eft_othpt,i_300_399_1eft_othaw,i_300_399_1eft_othnw,i_300_399_1ept_othaw,i_300_399_1ept_othnw,i_300_399_1aw_othnw,i_300_399_bnw,i_300_399_lfsta_ns,i_300_399_tot,i_400_499_be_wft,i_400_499_be_wpt,i_400_499_be_baw,i_400_499_1eft_othpt,i_400_499_1eft_othaw,i_400_499_1eft_othnw,i_400_499_1ept_othaw,i_400_499_1ept_othnw,i_400_499_1aw_othnw,i_400_499_bnw,i_400_499_lfsta_ns,i_400_499_tot,i_500_649_be_wft,i_500_649_be_wpt,i_500_649_be_baw,i_500_649_1eft_othpt,i_500_649_1eft_othaw,i_500_649_1eft_othnw,i_500_649_1ept_othaw,i_500_649_1ept_othnw,i_500_649_1aw_othnw,i_500_649_bnw,i_500_649_lfsta_ns,i_500_649_tot,i_650_799_be_wft,i_650_799_be_wpt,i_650_799_be_baw,i_650_799_1eft_othpt,i_650_799_1eft_othaw,i_650_799_1eft_othnw,i_650_799_1ept_othaw,i_650_799_1ept_othnw,i_650_799_1aw_othnw,i_650_799_bnw,i_650_799_lfsta_ns,i_650_799_tot,i_800_999_be_wft,i_800_999_be_wpt,i_800_999_be_baw,i_800_999_1eft_othpt,i_800_999_1eft_othaw,i_800_999_1eft_othnw,i_800_999_1ept_othaw,i_800_999_1ept_othnw,i_800_999_1aw_othnw,i_800_999_bnw,i_800_999_lfsta_ns,i_800_999_tot,i_1000_1249_be_wft,i_1000_1249_be_wpt,i_1000_1249_be_baw,i_1000_1249_1eft_othpt,i_1000_1249_1eft_othaw,i_1000_1249_1eft_othnw,i_1000_1249_1ept_othaw,i_1000_1249_1ept_othnw,i_1000_1249_1aw_othnw,i_1000_1249_bnw,i_1000_1249_lfsta_ns,i_1000_1249_tot,i_1250_1499_be_wft,i_1250_1499_be_wpt,i_1250_1499_be_baw,i_1250_1499_1eft_othpt,i_1250_1499_1eft_othaw,i_1250_1499_1eft_othnw,i_1250_1499_1ept_othaw,i_1250_1499_1ept_othnw,i_1250_1499_1aw_othnw,i_1250_1499_bnw,i_1250_1499_lfsta_ns,i_1250_1499_tot,i_1500_1749_be_wft,i_1500_1749_be_wpt,i_1500_1749_be_baw,i_1500_1749_1eft_othpt,i_1500_1749_1eft_othaw,i_1500_1749_1eft_othnw,i_1500_1749_1ept_othaw,i_1500_1749_1ept_othnw,i_1500_1749_1aw_othnw,i_1500_1749_bnw,i_1500_1749_lfsta_ns,i_1500_1749_tot,i_1750_1999_be_wft,i_1750_1999_be_wpt,i_1750_1999_be_baw,i_1750_1999_1eft_othpt,i_1750_1999_1eft_othaw,i_1750_1999_1eft_othnw,i_1750_1999_1ept_othaw,i_1750_1999_1ept_othnw,i_1750_1999_1aw_othnw,i_1750_1999_bnw,i_1750_1999_lfsta_ns,i_1750_1999_tot,i_2000_2499_be_wft,i_2000_2499_be_wpt,i_2000_2499_be_baw,i_2000_2499_1eft_othpt,i_2000_2499_1eft_othaw,i_2000_2499_1eft_othnw,i_2000_2499_1ept_othaw,i_2000_2499_1ept_othnw,i_2000_2499_1aw_othnw,i_2000_2499_bnw,i_2000_2499_lfsta_ns,i_2000_2499_tot,i_2500_2999_be_wft,i_2500_2999_be_wpt,i_2500_2999_be_baw,i_2500_2999_1eft_othpt,i_2500_2999_1eft_othaw,i_2500_2999_1eft_othnw,i_2500_2999_1ept_othaw,i_2500_2999_1ept_othnw,i_2500_2999_1aw_othnw,i_2500_2999_bnw,i_2500_2999_lfsta_ns,i_2500_2999_tot,i_3000_3499_be_wft,i_3000_3499_be_wpt,i_3000_3499_be_baw,i_3000_3499_1eft_othpt,i_3000_3499_1eft_othaw,i_3000_3499_1eft_othnw,i_3000_3499_1ept_othaw,i_3000_3499_1ept_othnw,i_3000_3499_1aw_othnw,i_3000_3499_bnw,i_3000_3499_lfsta_ns,i_3000_3499_tot,i_3500_3999_be_wft,i_3500_3999_be_wpt,i_3500_3999_be_baw,i_3500_3999_1eft_othpt,i_3500_3999_1eft_othaw,i_3500_3999_1eft_othnw,i_3500_3999_1ept_othaw,i_3500_3999_1ept_othnw,i_3500_3999_1aw_othnw,i_3500_3999_bnw,i_3500_3999_lfsta_ns,i_3500_3999_tot,i_4000more_be_wft,i_4000more_be_wpt,i_4000more_be_baw,i_4000more_1eft_othpt,i_4000more_1eft_othaw,i_4000more_1eft_othnw,i_4000more_1ept_othaw,i_4000more_1ept_othnw,sa3_name16
10102,4,0,0,3,0,0,0,0,0,45,0,53,0,0,0,4,0,3,0,4,0,18,0,25,0,0,0,0,0,0,0,7,0,21,0,28,0,0,0,0,0,0,0,8,0,14,0,17,5,10,0,4,0,4,0,15,0,121,3,159,0,4,0,4,0,6,0,19,3,44,0,90,6,8,0,13,0,22,3,25,5,301,3,396,12,15,0,24,0,45,3,31,7,156,3,296,32,26,0,58,3,65,7,41,5,180,3,420,59,20,0,92,9,48,4,26,3,134,6,407,62,10,3,61,4,57,0,25,9,84,0,321,101,13,4,82,13,59,3,21,4,58,3,361,346,26,6,126,15,100,6,45,13,92,0,769,278,8,3,89,22,46,0,18,3,47,0,517,237,8,5,64,20,37,5,13,0,11,0,399,192,4,7,26,8,48,0,3,0,6,0,299,336,18,10,80,27,57,0,16,Queanbeyan
10103,7,0,0,0,0,0,0,0,0,6,0,14,0,0,0,0,0,0,0,3,0,13,0,18,0,0,0,3,0,3,0,3,0,14,0,16,0,0,0,0,0,0,0,0,0,3,0,10,6,10,0,3,0,3,0,3,0,75,0,96,7,3,0,0,0,4,3,10,0,26,0,57,8,12,0,12,0,10,0,24,3,225,6,305,12,10,0,18,3,23,3,17,8,81,0,171,34,23,4,29,3,19,0,23,0,80,0,226,56,25,3,52,3,17,3,9,0,53,0,219,31,7,0,42,3,16,0,8,5,15,0,135,75,6,0,22,7,3,0,6,0,23,0,148,114,15,0,62,4,18,4,6,0,13,0,234,79,8,0,35,4,14,3,3,0,10,3,158,31,5,0,7,4,3,0,0,0,7,0,68,23,0,0,6,0,3,0,0,0,3,0,39,39,3,3,11,0,12,0,3,Snowy Mountains
10104,7,0,3,3,0,4,0,0,0,81,5,105,3,0,0,3,0,4,0,12,0,67,0,99,3,0,0,3,0,4,0,19,0,62,0,101,0,0,0,0,0,0,0,9,0,38,0,44,12,20,0,9,0,13,0,46,4,454,6,581,8,23,0,8,4,20,6,76,6,165,3,329,11,39,7,28,0,41,4,135,17,1509,31,1833,28,79,3,39,3,90,9,169,17,617,9,1060,61,111,6,132,10,102,7,148,19,760,3,1371,116,107,7,187,13,88,13,89,11,503,3,1139,81,28,3,123,10,76,5,45,6,135,4,508,126,39,3,96,6,52,3,42,13,143,4,519,242,40,11,172,15,77,8,52,17,182,7,829,139,14,3,86,12,34,10,18,3,82,0,407,86,14,5,36,3,15,4,10,7,43,0,225,38,3,0,14,0,14,0,8,5,18,0,91,49,25,5,43,7,19,0,9,South Coast
10105,5,0,0,3,0,0,0,0,0,36,0,48,0,0,0,0,0,0,0,0,0,27,0,36,0,0,0,0,0,0,0,6,3,16,0,21,0,0,0,0,0,0,0,0,0,17,0,22,8,8,4,5,0,10,0,10,0,147,5,196,0,6,0,8,0,6,0,29,0,40,3,90,10,14,0,17,0,28,0,40,5,443,12,555,19,17,0,28,0,43,3,55,3,163,0,335,24,22,3,56,11,60,3,42,7,169,7,406,57,30,0,82,7,40,3,29,6,124,0,383,39,13,3,56,8,27,4,8,3,28,0,191,92,7,3,75,5,37,0,12,0,26,0,262,173,26,6,105,8,52,0,18,0,29,4,421,115,3,0,70,7,22,0,9,3,13,0,247,72,0,0,31,8,7,4,3,0,7,0,138,40,0,0,8,0,11,0,0,0,3,0,71,49,8,0,39,3,12,3,4,Goulburn - Mulwaree
10106,6,0,0,3,0,3,0,0,0,20,0,37,0,0,0,3,0,0,0,3,0,25,3,35,0,3,0,3,0,0,0,3,0,9,0,22,0,0,0,0,0,0,0,3,0,12,0,17,7,3,3,9,0,12,0,16,3,115,11,168,4,4,0,5,0,16,0,23,5,52,0,105,15,9,6,14,0,28,0,38,8,442,11,566,23,18,0,26,0,48,4,47,7,149,0,323,39,31,3,60,0,57,8,47,3,175,4,415,55,38,4,68,3,28,4,24,8,117,3,359,39,14,0,55,3,33,0,18,3,43,0,222,83,9,3,53,4,24,0,10,4,37,3,240,169,16,11,87,10,39,5,23,4,47,0,402,122,9,4,64,4,21,6,14,3,15,0,265,92,3,3,36,7,17,0,4,0,12,0,173,69,3,3,28,0,14,0,6,4,3,0,125,138,20,3,49,13,38,3,4,Young - Yass
10201,4,0,0,3,0,9,0,3,0,200,5,225,4,0,0,0,0,0,0,19,0,95,0,120,0,5,0,0,0,3,0,23,0,69,0,95,0,0,0,0,0,3,0,5,0,49,0,64,12,22,3,3,0,12,0,62,8,605,8,735,8,14,0,6,0,29,3,82,6,263,0,411,6,49,8,26,0,70,5,150,12,2126,36,2495,32,77,10,52,8,173,3,237,21,969,11,1584,62,104,3,143,13,201,15,199,23,1058,17,1839,146,109,8,261,12,196,11,161,18,736,10,1667,122,68,3,211,16,155,6,74,7,215,6,885,263,49,5,239,18,153,7,66,7,227,3,1036,715,88,12,400,31,236,20,75,18,269,10,1868,548,36,17,275,25,71,10,58,11,121,0,1174,378,21,18,147,28,27,11,13,8,42,0,694,197,12,9,59,14,84,6,11,3,29,0,420,347,48,10,183,15,68,8,38,Gosford
10202,0,0,0,3,0,3,0,4,4,188,6,210,4,3,0,0,0,0,0,18,3,91,6,124,0,3,0,0,0,4,0,28,3,74,0,110,0,0,0,0,0,4,0,24,3,39,0,69,7,13,0,3,0,5,0,34,5,663,14,747,3,20,0,4,0,25,3,96,4,241,3,396,4,50,7,23,0,71,3,160,24,2648,45,3042,17,52,0,47,5,191,4,183,23,843,19,1386,52,105,8,153,12,221,3,159,31,828,18,1583,161,82,16,273,19,203,14,110,21,561,17,1477,195,38,14,245,13,160,5,54,11,144,0,881,257,43,6,234,14,131,9,64,9,124,0,890,709,63,18,363,42,210,13,48,7,143,3,1624,476,29,9,216,16,51,15,17,3,53,0,889,260,12,6,78,8,27,3,8,0,26,0,433,138,9,3,26,5,67,5,6,3,20,0,275,164,13,3,63,12,30,6,14,Wyong
10301,3,0,0,3,0,3,0,0,0,38,0,49,4,0,0,0,0,0,0,3,0,19,0,33,4,4,0,4,0,0,0,6,0,21,0,31,0,0,0,0,0,0,0,4,0,10,0,19,4,3,0,4,0,3,0,18,7,150,3,196,0,5,0,3,0,10,0,23,3,46,0,92,10,9,0,15,0,29,0,53,8,454,11,587,14,23,6,24,0,44,0,43,3,165,6,330,27,25,4,58,0,55,3,68,8,185,0,439,76,26,3,95,6,59,3,31,7,130,3,450,66,17,3,79,10,52,3,24,4,36,0,287,79,18,0,78,9,38,3,13,4,41,3,278,234,21,6,124,17,52,7,29,0,48,4,541,182,8,5,72,9,31,0,3,0,18,3,337,133,8,8,43,3,4,0,3,3,9,0,216,46,6,0,16,3,13,0,0,0,4,0,102,85,4,0,40,0,14,3,9,Bathurst
10302,10,3,4,5,0,6,0,3,0,60,0,91,6,3,0,3,0,3,0,3,0,40,0,61,5,3,0,3,0,9,0,14,0,31,0,59,3,0,0,0,0,0,0,14,0,15,0,29,13,13,3,10,0,4,0,21,3,250,11,328,3,8,0,7,0,21,0,43,0,75,0,160,35,23,11,26,0,55,4,74,9,818,11,1064,35,26,3,46,4,77,3,84,13,240,3,526,72,52,10,114,11,97,14,74,5,261,3,706,114,42,5,164,12,62,12,33,10,130,0,586,80,15,0,95,12,46,4,18,3,33,0,301,152,21,7,91,4,37,3,13,6,44,3,376,265,24,3,134,15,61,3,19,6,52,3,580,143,8,3,58,9,18,0,12,5,18,3,288,92,9,0,27,0,15,0,3,0,5,0,159,52,0,3,20,3,7,0,0,0,4,0,94,85,8,5,49,3,18,0,3,Lachlan Valley
10303,7,8,0,8,0,3,0,0,0,40,3,63,4,3,0,4,0,3,0,5,0,42,0,59,3,0,0,0,0,0,0,10,3,11,3,32,0,0,0,3,0,0,0,5,0,13,0,25,10,7,0,12,3,5,0,21,0,222,4,287,3,3,0,9,0,11,0,39,0,70,4,145,17,30,3,13,0,38,0,57,6,650,6,824,21,23,5,28,3,57,3,56,5,230,4,430,27,33,5,72,7,70,0,48,3,234,10,509,76,50,3,78,4,67,7,37,7,118,0,433,48,16,0,76,0,32,0,17,5,30,0,233,77,17,3,62,3,40,3,11,3,37,0,259,174,20,0,115,11,67,7,14,7,46,0,472,106,8,0,79,3,24,3,4,0,14,0,252,94,3,7,36,0,10,3,3,0,10,0,166,41,0,0,11,0,19,0,0,0,4,0,87,85,6,3,54,11,17,0,0,Lithgow - Mudgee
