sa3_code16,sme_usl_ad_1_yr_ago_as_2016_m,sme_usl_ad_1_yr_ago_as_2016_f,sme_usl_ad_1_yr_ago_as_2016_p,dif_usl_ad_1_yr_ago_sme_sa2_m,dif_usl_ad_1_yr_ago_sme_sa2_f,dif_usl_ad_1_yr_ago_sme_sa2_p,dif_us_ad_1_ago_dif_sa2_nsw_m,dif_us_ad_1_ago_dif_sa2_nsw_f,dif_us_ad_1_ago_dif_sa2_nsw_p,dif_us_ad_1_ago_dif_sa2_vic_m,dif_us_ad_1_ago_dif_sa2_vic_f,dif_us_ad_1_ago_dif_sa2_vic_p,dif_us_ad_1_ago_dif_sa2_qld_m,dif_us_ad_1_ago_dif_sa2_qld_f,dif_us_ad_1_ago_dif_sa2_qld_p,dif_us_ad_1_ago_dif_sa2_sa_m,dif_us_ad_1_ago_dif_sa2_sa_f,dif_us_ad_1_ago_dif_sa2_sa_p,dif_us_ad_1_ago_dif_sa2_wa_m,dif_us_ad_1_ago_dif_sa2_wa_f,dif_us_ad_1_ago_dif_sa2_wa_p,dif_us_ad_1_ago_dif_sa2_tas_m,dif_us_ad_1_ago_dif_sa2_tas_f,dif_us_ad_1_ago_dif_sa2_tas_p,dif_us_ad_1_ago_dif_sa2_nt_m,dif_us_ad_1_ago_dif_sa2_nt_f,dif_us_ad_1_ago_dif_sa2_nt_p,dif_us_ad_1_ago_dif_sa2_act_m,dif_us_ad_1_ago_dif_sa2_act_f,dif_us_ad_1_ago_dif_sa2_act_p,dif_us_ad_1_ago_dif_sa2_ot_m,dif_us_ad_1_ago_dif_sa2_ot_f,dif_us_ad_1_ago_dif_sa2_ot_p,dif_us_ad_1_ago_dif_sa2_tot_m,dif_us_ad_1_ago_dif_sa2_tot_f,dif_us_ad_1_ago_dif_sa2_tot_p,difnt_usl_add_1_yr_ago_os_m,difnt_usl_add_1_yr_ago_os_f,difnt_usl_add_1_yr_ago_os_p,difnt_usl_add_1_yr_ago_ns_m,difnt_usl_add_1_yr_ago_ns_f,difnt_usl_add_1_yr_ago_ns_p,difnt_usl_add_1_yr_ago_tot_m,difnt_usl_add_1_yr_ago_tot_f,difnt_usl_add_1_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p,sa3_name16
10102,21823,21546,43371,773,832,1606,1603,1654,3260,122,102,224,149,148,301,48,38,82,43,44,90,15,10,24,25,35,64,950,960,1908,0,0,0,2961,2991,5948,272,249,522,62,54,117,4065,4123,8191,2550,2460,5005,28446,28126,56567,Queanbeyan
10103,7447,7113,14555,540,544,1084,493,480,971,53,38,93,66,57,124,5,12,18,5,11,15,5,3,9,9,16,18,60,54,117,0,0,0,694,672,1366,81,59,143,16,15,35,1333,1293,2625,1154,885,2040,9931,9291,19215,Snowy Mountains
10104,26752,27806,54562,1509,1639,3146,1919,2048,3965,258,262,522,125,145,268,30,21,48,46,44,89,19,24,42,25,22,50,251,281,531,0,0,0,2674,2850,5524,102,119,219,98,94,187,4382,4700,9081,3197,3243,6448,34339,35756,70090,South Coast
10105,13415,13479,26897,1022,1102,2131,976,981,1958,21,21,48,44,48,90,4,7,8,16,11,27,0,3,4,0,4,8,67,72,133,0,0,0,1132,1143,2272,95,87,179,43,22,68,2286,2361,4647,2087,1549,3637,17792,17391,35188,Goulburn - Mulwaree
10106,13996,14374,28366,846,915,1760,698,787,1486,28,25,55,68,69,134,19,18,35,20,20,34,8,6,12,9,6,12,370,399,771,0,0,3,1210,1326,2535,57,62,123,31,28,61,2143,2342,4480,1335,1358,2686,17471,18069,35541,Young - Yass
10201,64054,68224,132274,2243,2521,4766,7192,7703,14895,90,89,179,206,221,425,26,29,56,62,64,129,17,12,31,27,25,47,38,42,74,0,0,0,7652,8192,15847,516,604,1118,166,169,340,10584,11483,22068,6298,6625,12922,80931,86327,167259,Gosford
10202,59618,63050,122666,2189,2469,4653,7125,7739,14865,68,68,133,217,236,461,24,36,67,73,60,129,8,11,20,24,31,51,30,40,70,0,0,0,7571,8229,15802,283,335,613,196,197,391,10240,11225,21467,6141,6639,12782,75997,80919,156918,Wyong
10301,16871,17278,34153,1265,1359,2620,1693,1794,3493,40,34,74,73,69,142,3,11,13,21,10,39,3,6,14,3,7,11,23,17,39,0,0,0,1866,1949,3817,105,117,220,54,32,87,3286,3456,6750,3008,2152,5151,23163,22885,46048,Bathurst
10302,21349,21435,42778,1545,1680,3219,1015,1123,2138,29,34,64,117,114,233,21,23,42,22,22,44,7,15,20,5,15,22,31,37,68,0,0,0,1253,1375,2629,54,76,122,60,62,122,2902,3187,6092,2897,2932,5832,27146,27560,54701,Lachlan Valley
10303,17380,17302,34678,1137,1200,2335,1327,1386,2711,14,17,36,94,92,191,23,17,42,24,15,35,3,7,10,5,8,11,9,13,16,0,0,0,1499,1554,3048,60,74,129,45,48,91,2734,2868,5605,3135,2662,5791,23248,22823,46078,Lithgow - Mudgee
10304,21407,22296,43701,1375,1489,2867,2310,2426,4743,42,42,84,92,106,198,11,10,18,38,39,80,6,7,15,8,13,22,21,25,43,0,0,0,2539,2665,5200,115,147,258,65,39,109,4096,4341,8435,2347,2344,4691,27849,28981,56829,Orange
10401,19077,19633,38705,1292,1414,2701,1235,1282,2510,54,48,105,367,391,756,13,9,26,44,38,85,7,6,21,31,18,48,19,12,32,0,0,0,1762,1813,3575,57,71,132,60,50,109,3175,3353,6526,2411,2145,4561,24665,25128,49791,Clarence Valley
10402,31374,33221,64592,1827,2116,3939,3185,3411,6592,151,157,302,393,384,776,40,34,71,74,80,150,16,22,36,38,38,76,26,32,55,0,0,0,3912,4155,8063,290,399,692,137,125,256,6166,6790,12954,3701,3930,7628,41239,43942,85177,Coffs Harbour
10501,9049,8649,17690,597,654,1248,486,515,1004,23,21,47,67,63,130,18,14,28,18,18,41,4,3,8,6,9,10,3,4,8,3,0,4,630,658,1285,25,28,57,46,30,79,1291,1373,2668,1782,1663,3451,12125,11681,23810,Bourke - Cobar - Coonamble
10502,7787,8013,15805,610,711,1326,177,197,372,39,42,83,35,29,64,75,51,130,16,20,32,3,3,8,7,7,14,11,9,17,0,0,0,349,362,715,26,33,61,38,33,74,1029,1146,2171,1039,977,2022,9859,10138,19997,Broken Hill and Far West
10503,25347,26288,51636,1451,1650,3106,2456,2662,5115,58,81,139,144,186,328,24,20,42,29,32,59,3,6,6,18,21,35,13,8,24,0,0,0,2740,3008,5749,171,184,356,79,57,134,4441,4905,9338,3960,3571,7535,33749,34763,68511,Dubbo
10601,33378,33799,67178,1980,2124,4108,2814,2935,5750,68,39,113,257,187,452,31,9,43,74,54,129,12,8,26,30,27,56,23,15,41,0,0,0,3311,3286,6598,95,101,201,90,101,197,5481,5613,11102,4528,3831,8352,43388,43249,86635,Lower Hunter
