sa3_name16,sa3_code16,indigenous_aboriginal_m,indigenous_aboriginal_f,indigenous_aboriginal_p,indigenous_torres_strait_is_m,indigenous_torres_strait_is_f,indigenous_torres_strait_is_p,indig_bth_abor_torr_strt_is_m,indig_bth_abor_torr_strt_is_f,indig_bth_abor_torr_strt_is_p,indigenous_totm,indigenous_totf,indigenous_totp,non_indig_m,non_indig_f,non_indig_p,indigenous_status_nsm,indigenous_status_nsf,indigenous_status_nsp,tot_m,tot_f,tot_p
Serpentine - Jarrahdale,50606,274,252,527,5,9,13,4,0,4,282,260,544,12541,12288,24823,810,694,1509,13631,13241,26873
South Perth,50607,270,249,514,3,0,6,10,3,10,283,251,535,18981,19902,38884,1310,1312,2623,20580,21466,42042
Cockburn,50701,741,776,1516,16,8,22,24,26,44,774,811,1585,46603,48095,94697,2944,2802,5746,50322,51705,102028
Fremantle,50702,242,226,462,7,8,16,3,4,12,246,242,486,15939,17240,33173,1495,1440,2937,17684,18920,36605
Burnside,40103,53,66,126,7,4,10,3,0,7,62,80,139,19880,22286,42159,783,825,1611,20723,23185,43911
Campbelltown (SA),40104,114,144,254,6,11,17,11,8,12,129,162,290,23588,24988,48572,849,815,1667,24561,25962,50525
Prospect - Walkerville,40106,107,99,210,3,7,4,0,0,0,112,103,215,13200,13358,26560,662,640,1299,13969,14103,28079
Kwinana,50703,842,531,1371,9,3,9,20,4,27,869,534,1406,17722,17186,34907,1381,1222,2599,19970,18948,38918
Melville,50704,345,329,670,9,3,15,3,10,10,357,344,699,46078,49637,95721,2166,2094,4257,48603,52076,100677
Rockingham,50705,1185,1264,2443,34,30,63,23,22,52,1240,1315,2560,56085,57690,113772,4704,4073,8777,62028,63083,125114
Albany,50901,1157,935,2090,20,19,42,18,5,24,1201,962,2159,26154,26382,52534,2286,2191,4479,29638,29530,59173
Wheat Belt - North,50902,1180,1200,2382,8,13,19,7,8,19,1195,1219,2416,25174,23264,48443,2692,2384,5075,29063,26872,55935
Wheat Belt - South,50903,464,473,940,3,7,13,17,18,39,488,502,988,8826,8443,17264,1041,953,1998,10355,9889,20245
Kimberley,51001,6704,7163,13866,43,48,88,161,189,346,6905,7391,14299,8534,8110,16642,1718,1701,3417,17158,17207,34364
East Pilbara,51002,2110,2054,4168,99,63,161,82,79,160,2294,2196,4486,9832,6623,16451,2664,1461,4122,14781,10274,25055
West Pilbara,51003,1897,1641,3539,83,86,173,63,56,119,2043,1786,3828,15976,10025,26001,3342,1326,4672,21369,13133,34497
Esperance,51101,305,306,607,3,7,10,0,0,0,311,310,622,6814,6702,13516,983,849,1836,8108,7861,15971
Gascoyne,51102,636,626,1260,3,0,3,3,3,11,643,636,1275,3739,3352,7091,612,501,1114,4995,4491,9485
Goldfields,51103,2261,2402,4661,20,20,42,35,50,88,2316,2472,4794,16137,14121,30253,2342,1710,4050,20800,18295,39097
Mid West,51104,2476,2593,5062,25,9,35,43,26,76,2543,2631,5177,22376,21723,44101,2571,2162,4737,27497,26517,54019
Brighton,60101,675,701,1379,55,58,113,28,37,66,760,798,1559,7022,7342,14364,565,581,1150,8344,8723,17072
Hobart - North East,60102,862,841,1701,57,54,110,41,42,85,966,932,1894,23357,24919,48272,1168,1264,2431,25488,27114,52606
Hobart - North West,60103,1096,1222,2325,75,62,133,54,59,113,1219,1349,2574,22838,24311,47154,1678,1756,3428,25739,27416,53154
Hobart - South and West,60104,554,546,1103,20,15,33,19,16,30,589,577,1167,14472,15826,30293,716,705,1421,15774,17106,32879
Hobart Inner,60105,336,326,662,10,10,20,14,14,29,360,346,709,22758,24125,46887,1517,1443,2965,24640,25920,50558
Sorell - Dodges Ferry,60106,284,260,546,24,24,46,21,17,42,329,301,635,7141,7350,14490,474,489,958,7945,8140,16083
Launceston,60201,1197,1252,2451,51,52,105,35,48,78,1277,1353,2635,35224,37939,73159,2452,2671,5124,38958,41960,80916
Meander Valley - West Tamar,60202,288,330,616,16,11,31,14,22,36,326,363,688,10035,10194,20229,789,743,1533,11142,11302,22448
North East,60203,568,605,1178,43,37,78,17,24,35,629,657,1292,16612,16464,33082,1422,1323,2747,18670,18451,37118
Central Highlands (Tas.),60301,246,289,539,17,14,28,15,16,29,276,314,596,5161,4657,9819,434,381,815,5876,5354,11224
Huon - Bruny Island,60302,743,759,1502,25,29,57,24,26,48,794,818,1614,8161,8046,16209,663,657,1324,9623,9520,19144
South East Coast,60303,156,150,307,9,9,13,7,4,8,167,159,335,2970,2818,5792,308,315,623,3451,3297,6746
Burnie - Ulverstone,60401,1517,1630,3149,73,70,139,53,72,128,1641,1770,3410,19927,21410,41337,1378,1398,2781,22949,24578,47530
Devonport,60402,1143,1192,2335,72,69,139,47,39,88,1261,1301,2564,18900,20223,39121,1252,1314,2570,21409,22840,44254
West Coast,60403,873,857,1729,37,29,65,33,36,70,944,914,1857,7289,6814,14099,670,611,1280,8901,8342,17238
Darwin City,70101,551,616,1162,32,16,47,33,15,48,616,647,1260,11430,10070,21499,1747,1334,3074,13789,12047,25836
Darwin Suburbs,70102,1857,2070,3925,112,123,230,244,247,498,2214,2437,4651,22155,21691,43846,2716,2552,5265,27084,26679,53762
Litchfield,70103,1428,709,2141,51,22,74,62,47,110,1541,783,2321,9939,7566,17506,2531,1177,3700,14009,9520,23528
Holdfast Bay,40301,103,99,206,5,6,10,6,8,16,114,116,228,15052,16588,31637,888,947,1834,16055,17649,33703
Marion,40302,479,485,961,28,29,51,12,17,30,517,528,1042,40994,44375,85371,1793,1856,3648,43304,46763,90067
Palmerston,70104,1609,1692,3296,88,70,154,130,140,265,1820,1902,3722,13753,13405,27151,1431,1389,2822,16997,16698,33695
Barkly,70202,1795,1671,3468,10,4,10,11,17,23,1807,1695,3505,883,789,1671,202,156,358,2892,2640,5536
Daly - Tiwi - West Arnhem,70203,5343,5467,10802,18,27,39,80,76,152,5434,5564,11003,2200,1755,3954,640,512,1154,8272,7832,16105
East Arnhem,70204,4307,4376,8679,18,13,35,73,82,152,4400,4464,8868,1867,1729,3599,309,239,552,6577,6439,13014
Katherine,70205,4372,4477,8847,29,27,58,119,133,254,4524,4638,9158,3804,3314,7115,1322,1116,2441,9648,9062,18710
Alice Springs,70201,6251,6548,12799,41,37,85,90,92,178,6384,6680,13062,9740,9786,19521,1784,1719,3500,17900,18179,36077
Belconnen,80101,753,765,1519,23,30,50,19,21,41,796,822,1611,44304,45532,89837,2308,2297,4598,47409,48640,96049
Canberra East,80103,103,15,121,3,0,3,0,0,0,107,15,128,837,421,1262,117,76,195,1062,515,1578
Gungahlin,80104,458,446,912,13,12,23,6,9,11,479,463,948,33194,33981,67178,1547,1472,3019,35222,35920,71142
North Canberra,80105,291,271,567,12,6,19,10,10,20,315,288,601,24172,24542,48714,1962,1724,3690,26449,26554,53002
South Canberra,80106,153,151,301,6,4,14,4,10,12,163,166,328,12025,12858,24882,891,900,1799,13082,13930,27007
Tuggeranong,80107,946,1024,1969,26,30,59,30,24,55,1003,1086,2088,38896,40635,79532,1743,1792,3535,41642,43512,85154
Weston Creek,80108,146,154,299,4,0,12,8,4,14,157,160,323,10407,11215,21622,525,522,1042,11090,11893,22988
Woden Valley,80109,189,187,377,4,4,11,8,6,22,203,204,403,15749,16767,32518,964,873,1831,16921,17839,34760
Molonglo,80110,13,19,32,3,3,5,0,4,4,20,22,42,2060,2151,4212,157,171,324,2236,2341,4578
Urriarra - Namadgi,80111,4,0,9,0,0,0,0,0,0,4,0,9,285,254,539,28,26,58,312,288,599
Christmas Island,90101,0,3,3,3,0,8,0,0,0,3,7,9,973,604,1581,154,101,255,1130,712,1843
Cocos (Keeling) Islands,90102,0,0,0,4,3,6,0,0,0,3,3,6,243,256,496,22,22,38,268,273,544
Jervis Bay,90103,98,103,201,0,0,0,0,0,0,97,107,207,91,48,138,34,18,50,216,172,391
Norfolk Island,90104,3,4,8,0,0,0,0,0,0,3,9,9,768,854,1626,43,66,106,819,930,1748
