sa3_name16,sa3_code16,indigenous_aboriginal_m,indigenous_aboriginal_f,indigenous_aboriginal_p,indigenous_torres_strait_is_m,indigenous_torres_strait_is_f,indigenous_torres_strait_is_p,indig_bth_abor_torr_strt_is_m,indig_bth_abor_torr_strt_is_f,indig_bth_abor_torr_strt_is_p,indigenous_totm,indigenous_totf,indigenous_totp,non_indig_m,non_indig_f,non_indig_p,indigenous_status_nsm,indigenous_status_nsf,indigenous_status_nsp,tot_m,tot_f,tot_p
Sutherland - Menai - Heathcote,12802,599,580,1178,18,15,32,12,19,27,628,616,1239,50704,52851,103549,1602,1647,3248,52930,55109,108036
Ballarat,20101,657,747,1400,28,40,68,13,16,30,697,796,1500,46274,49862,96137,2992,3191,6180,49961,53854,103815
Creswick - Daylesford - Ballan,20102,128,132,257,5,6,13,3,6,12,138,147,284,12676,12992,25665,1140,1226,2360,13951,14358,28307
Maryborough - Pyrenees,20103,168,178,351,5,16,24,4,7,12,181,198,380,11830,11429,23259,873,847,1723,12887,12481,25365
Bendigo,20201,779,794,1574,28,33,55,14,23,39,825,847,1669,41694,45009,86701,2944,3061,6009,45463,48916,94378
Heathcote - Castlemaine - Kyneton,20202,234,188,420,3,3,11,3,3,4,241,195,435,21371,21760,43129,1793,1933,3726,23406,23889,47291
Loddon - Elmore,20203,65,87,152,4,3,9,4,3,7,71,93,168,5194,5000,10195,556,503,1059,5828,5590,11421
Barwon - West,20301,67,67,133,3,3,8,3,0,4,76,69,143,8980,8800,17780,556,540,1096,9609,9411,19018
Geelong,20302,923,988,1916,44,39,88,22,18,45,997,1048,2044,85092,90265,175362,5235,5541,10779,91328,96854,188180
Surf Coast - Bellarine Peninsula,20303,245,253,495,14,4,14,3,3,10,258,262,523,32591,34538,67127,2029,2052,4075,34873,36852,71729
Upper Goulburn Valley,20401,338,329,667,16,15,31,8,10,13,360,358,718,24387,24374,48760,2206,2165,4368,26952,26890,53840
Wangaratta - Benalla,20402,305,322,631,10,14,18,3,3,8,319,341,653,20391,21792,42186,1595,1668,3260,22303,23797,46100
Wodonga - Alpine,20403,562,668,1229,32,20,59,21,12,34,616,710,1323,31661,32522,64181,2386,2352,4743,34667,35580,70249
Baw Baw,20501,229,221,447,7,10,18,3,8,14,244,235,484,21842,23117,44959,1540,1645,3187,23621,25004,48626
Marrickville - Sydenham - Petersham,11702,380,415,794,4,5,9,15,3,17,398,425,825,24470,25250,49727,2100,1965,4061,26974,27635,54609
Gippsland - East,20502,618,646,1266,3,13,13,3,4,9,627,660,1289,19643,20393,40040,1902,1920,3819,22174,22974,45146
Gippsland - South West,20503,263,246,508,21,12,39,18,13,34,305,277,576,27522,29031,56553,2217,2323,4534,30038,31626,61668
Latrobe Valley,20504,529,572,1102,17,27,45,22,13,37,574,614,1180,32347,33904,66248,2784,2883,5664,35700,37398,73099
Wellington,20505,302,302,608,10,8,22,9,7,20,324,321,640,19678,19369,39042,1634,1560,3188,21631,21238,42871
Brunswick - Coburg,20601,181,225,407,14,8,20,4,3,9,203,238,436,39142,41882,81021,2384,2408,4791,41727,44532,86257
Darebin - South,20602,135,178,309,4,11,13,5,3,4,141,184,334,22934,25692,48625,1513,1598,3113,24589,27481,52065
Essendon,20603,135,115,249,3,4,7,6,5,10,144,129,272,29830,32281,62108,2089,2119,4217,32066,34534,66595
Melbourne City,20604,243,177,421,5,14,25,13,18,25,261,207,470,58363,62113,120471,7522,7507,15028,66144,69825,135969
Port Phillip,20605,179,176,357,9,11,18,7,10,13,196,197,393,44065,46336,90407,5042,5028,10072,49309,51563,100872
Stonnington - West,20606,111,87,200,3,5,10,0,5,5,122,90,212,26722,30004,56726,2707,2821,5528,29556,32911,62467
Yarra,20607,184,175,354,14,8,20,4,4,10,196,188,385,38421,40978,79394,3795,3877,7675,42415,45041,87453
Boroondara,20701,159,140,291,9,11,18,0,5,8,164,150,317,76156,83029,159181,3828,3908,7733,80145,87085,167231
Manningham - West,20702,70,66,132,3,7,13,3,0,8,77,72,147,41854,44969,86821,1581,1811,3400,43519,46853,90369
Whitehorse - West,20703,104,81,184,8,10,19,0,3,3,113,99,205,47091,50795,97887,1914,2029,3941,49118,52920,102040
Bayside,20801,92,82,178,11,3,14,0,0,0,104,86,189,43735,48180,91913,2390,2598,4987,46229,50862,97087
Darebin - North,20902,379,411,795,10,12,23,8,13,21,399,432,837,42727,44659,87385,3187,3250,6433,46313,48341,94653
Nillumbik - Kinglake,20903,122,153,269,6,10,12,0,0,0,132,155,287,30688,31227,61918,1418,1496,2919,32237,32886,65123
Whittlesea - Wallan,20904,856,904,1762,25,31,57,31,38,68,907,973,1880,99531,101634,201165,5260,5395,10661,105705,108009,213708
Keilor,21001,82,86,166,8,7,17,4,0,4,91,94,188,27131,28585,55714,1309,1360,2660,28526,30038,58565
Macedon Ranges,21002,94,83,181,8,6,16,0,4,5,106,98,202,13738,13904,27645,857,870,1731,14703,14868,29574
Banyule,20901,329,335,669,14,8,25,4,8,13,350,354,703,56243,59550,115794,2632,2734,5364,59222,62644,121865
Moreland - North,21003,157,171,327,14,7,28,13,5,19,178,193,372,34926,35652,70574,2301,2260,4558,37406,38103,75506
Sunbury,21004,196,173,371,12,16,28,4,3,9,214,194,409,18011,18968,36981,983,997,1975,19212,20156,39369
Tullamarine - Broadmeadows,21005,469,526,992,42,30,74,10,18,25,513,571,1085,75230,75174,150402,4488,4383,8867,80228,80126,160353
Knox,21101,358,350,710,20,15,35,3,8,8,380,372,754,72081,75551,147630,2882,2893,5774,75341,78814,154154
Manningham - East,21102,23,28,48,7,8,11,0,0,0,31,33,65,12275,12580,24859,526,542,1073,12834,13153,25986
Maroondah,21103,262,270,533,12,17,28,3,8,10,274,291,566,50755,54084,104841,2151,2383,4529,53179,56755,109933
Whitehorse - East,21104,65,73,139,5,9,10,0,3,3,68,79,151,28200,30261,58462,1019,1135,2155,29289,31482,60769
Yarra Ranges,21105,594,681,1274,22,20,47,20,18,38,638,721,1355,69144,70897,140044,3644,3718,7360,73430,75331,148760
Cardinia,21201,351,374,726,17,17,30,10,9,17,381,401,774,43441,44801,88245,2618,2643,5267,46442,47843,94288
Casey - North,21202,257,288,545,21,19,42,8,13,19,291,318,608,62066,62839,124908,2828,2780,5607,65181,65939,131119
Casey - South,21203,458,486,942,31,14,42,8,13,20,500,512,1010,78958,79445,158410,4384,4375,8760,83842,84335,168177
Dandenong,21204,246,265,509,29,30,55,14,10,23,282,303,588,89567,86848,176416,5044,4579,9624,94898,91729,186623
Monash,21205,180,180,360,10,11,21,11,10,19,200,210,405,82132,84911,167036,3776,3838,7613,86102,88955,175056
Brimbank,21301,360,352,710,36,22,61,6,9,15,402,388,786,87028,86994,174014,5616,5403,11014,93039,92780,185816
Hobsons Bay,21302,194,209,403,11,10,18,13,0,10,211,224,430,38631,40473,79108,2227,2238,4461,41066,42936,84006
Maribyrnong,21303,214,179,399,12,13,30,0,0,0,229,199,429,38409,37976,76382,2763,2706,5469,41405,40883,82288
Melton - Bacchus Marsh,21304,710,747,1449,26,13,37,5,15,24,743,775,1514,70764,72719,143485,4156,4280,8434,75666,77773,153438
Wyndham,21305,904,811,1715,18,27,48,13,16,30,935,850,1790,104845,104156,209003,5587,5520,11106,111366,110525,221895
Frankston,21401,629,604,1236,30,34,60,11,21,36,677,661,1338,60741,63858,124597,3999,4205,8205,65418,68727,134143
Mornington Peninsula,21402,616,588,1202,39,35,72,6,21,30,661,642,1305,70011,74988,144999,4202,4493,8694,74875,80125,154999
Grampians,21501,401,360,761,29,25,49,9,12,23,434,391,827,27218,27037,54254,1830,1908,3739,29485,29334,58820
Mildura,21502,919,1048,1963,31,34,58,23,18,44,977,1093,2065,23266,24206,47475,2238,2095,4335,26481,27398,53878
Murray River - Swan Hill,21503,499,521,1026,23,26,49,8,13,26,538,562,1100,16314,16209,32527,1907,1809,3713,18753,18583,37336
Campaspe,21601,413,409,825,20,13,36,14,8,22,449,429,874,16596,17023,33623,1327,1384,2709,18368,18841,37208
Moira,21602,239,227,466,9,9,19,5,9,11,249,250,500,13153,13275,26427,1105,1078,2184,14514,14598,29112
Shepparton,21603,1017,1047,2061,35,29,61,39,28,67,1083,1103,2186,28081,28417,56501,2445,2517,4959,31618,32036,63649
Glenelg - Southern Grampians,21701,322,361,679,10,3,13,18,14,27,345,372,721,15974,16424,32393,1227,1211,2440,17543,18013,35558
Colac - Corangamite,21703,192,187,379,12,7,21,3,0,3,209,193,402,16990,16960,33952,1382,1305,2686,18574,18460,37040
Warrnambool,21704,375,348,721,4,6,16,11,0,14,391,356,744,22242,23553,45793,1756,1807,3559,24386,25720,50099
Capalaba,30101,674,723,1402,47,37,90,28,44,72,750,806,1561,33237,34072,67312,1338,1365,2701,35328,36245,71569
Cleveland - Stradbroke,30102,855,893,1746,62,47,102,43,58,99,955,994,1954,37483,39501,76984,1933,1946,3883,40373,42443,82814
Wynnum - Manly,30103,652,741,1394,66,49,119,34,47,76,751,835,1591,31225,32892,64113,1541,1456,3001,33520,35184,68703
Bald Hills - Everton Park,30201,269,274,544,16,14,29,15,26,39,303,309,615,18603,20104,38711,729,737,1461,19642,21153,40790
Chermside,30202,566,619,1186,43,54,95,39,49,90,652,729,1374,31114,33538,64655,1503,1531,3036,33274,35801,69069
Nundah,30203,366,338,709,28,29,56,34,25,60,429,394,823,17835,18107,35944,967,933,1895,19235,19436,38666
Sandgate,30204,627,684,1309,61,52,113,41,47,87,730,783,1507,26089,27775,53867,1287,1325,2609,28107,29879,57993
Carindale,30301,255,280,535,20,25,40,16,15,30,287,322,607,22779,24561,47340,1102,1131,2226,24168,26013,50179
Holland Park - Yeronga,30302,373,340,710,42,56,98,33,34,63,439,422,870,32363,33394,65752,2242,2117,4359,35048,35929,70983
Mt Gravatt,30303,361,366,721,37,40,79,34,38,66,429,442,876,32625,34778,67404,1448,1484,2932,34500,36702,71208
Nathan,30304,222,235,461,15,20,36,11,13,30,247,274,526,18089,18279,36364,1013,964,1977,19349,19518,38872
Rocklea - Acacia Ridge,30305,355,364,722,37,24,61,38,40,83,429,434,858,27786,28443,56226,1271,1173,2441,29486,30050,59530
Mudgeeraba - Tallebudgera,30905,231,226,459,22,20,35,7,18,32,260,265,526,15155,15972,31124,863,870,1732,16276,17108,33382
Glen Eira,20802,107,132,236,8,11,15,3,3,9,116,141,264,68315,73113,141424,3325,3421,6747,71759,76673,148437
Kingston,20803,221,236,453,22,12,38,7,8,16,249,259,503,53183,57227,110416,2850,3041,5893,56283,60527,116817
Stonnington - East,20804,40,48,86,0,0,0,0,0,0,42,47,89,18836,20494,39334,933,1010,1943,19816,21548,41367
Nerang,30906,563,625,1188,24,23,41,17,26,44,607,671,1274,30337,31744,62087,1920,2003,3927,32870,34423,67285
Ormeau - Oxenford,30907,1042,1135,2177,52,52,102,37,36,73,1131,1221,2353,54305,56334,110641,3969,3918,7893,59411,61474,120883
Outback - South,31503,875,929,1804,35,42,72,38,19,62,947,988,1938,7241,7132,14373,681,659,1344,8871,8787,17659
Buderim,31601,367,367,736,23,21,47,10,20,21,398,414,810,23961,27119,51082,1300,1294,2596,25658,28829,54483
Caloundra,31602,751,702,1450,38,37,70,29,16,47,821,751,1574,35958,38914,74872,1981,2084,4068,38763,41750,80512
Maroochy,31603,439,461,901,36,42,74,32,23,61,512,521,1033,24645,26538,51186,2020,2073,4089,27171,29136,56308
Noosa,31605,215,247,461,10,11,20,6,5,9,229,265,494,18289,19868,38158,1256,1250,2509,19778,21381,41152
Sunshine Coast Hinterland,31606,433,445,875,25,26,47,15,26,40,475,489,965,22418,23390,45810,1424,1391,2810,24316,25267,49582
Nambour,31607,550,528,1079,31,27,56,35,32,68,617,588,1209,18935,20074,39006,1237,1172,2409,20793,21836,42624
Noosa Hinterland,31608,210,178,386,10,11,21,3,8,10,228,196,417,9917,10188,20100,700,632,1329,10837,11016,21852
Charters Towers - Ayr - Ingham,31801,2066,2010,4073,134,107,235,330,324,660,2525,2441,4970,17139,16936,34073,1629,1551,3179,21295,20926,42226
Townsville,31802,4788,4804,9591,912,987,1894,761,791,1549,6461,6581,13040,79757,80829,160581,7165,6020,13183,93377,93430,186808
Bundaberg,31901,1535,1650,3182,97,79,172,111,99,205,1740,1824,3568,38312,40040,78344,2975,2878,5857,43025,44744,87765
Burnett,31902,1785,1795,3582,49,33,80,81,86,166,1909,1918,3825,20806,20510,41314,2069,1853,3926,24791,24279,49067
Gympie - Cooloola,31903,827,770,1597,46,55,99,31,37,69,906,864,1766,21686,22235,43927,1948,1840,3790,24538,24947,49486
Hervey Bay,31904,1026,1073,2103,45,39,87,57,37,94,1120,1159,2278,24175,26418,50591,1876,1929,3805,27170,29509,56678
Sunnybank,30306,179,199,375,14,13,29,17,20,31,204,238,438,23567,23743,47310,1046,1014,2055,24813,24990,49805
Centenary,30401,128,138,267,8,9,17,5,9,11,144,148,294,15305,16044,31351,443,444,884,15898,16634,32529
Kenmore - Brookfield - Moggill,30402,93,89,190,6,14,13,6,4,10,110,105,216,21375,22325,43699,759,698,1456,22244,23125,45374
Sherwood - Indooroopilly,30403,134,128,256,17,12,34,4,8,12,156,149,304,23415,24923,48343,1201,1230,2435,24776,26301,51079
The Gap - Enoggera,30404,386,362,745,54,37,92,18,23,40,462,419,881,23059,24248,47311,920,896,1819,24441,25569,50010
Brisbane Inner,30501,300,273,569,31,22,50,26,27,50,354,322,672,30372,29287,59657,3893,3364,7256,34616,32966,67583
Brisbane Inner - East,30502,215,227,447,21,18,37,20,12,26,253,258,509,18497,19141,37635,1234,1215,2451,19980,20616,40594
Brisbane Inner - North,30503,402,423,825,33,32,63,19,29,47,454,482,933,38911,40257,79162,3103,2962,6067,42463,43701,86163
Brisbane Inner - West,30504,210,189,401,16,18,32,23,8,30,247,211,458,25591,26555,52140,1689,1582,3271,27520,28347,55865
Cairns - North,30601,660,655,1318,231,237,473,171,154,323,1063,1051,2116,22879,23822,46704,1962,1881,3839,25904,26752,52656
Cairns - South,30602,2615,3131,5747,1655,1910,3568,1135,1241,2377,5410,6286,11696,39416,40055,79467,4871,4759,9629,49689,51102,100791
Innisfail - Cassowary Coast,30603,2183,2316,4500,232,234,472,309,301,612,2728,2853,5579,13499,12598,26096,1617,1439,3055,17846,16888,34731
Port Douglas - Daintree,30604,323,349,671,30,21,52,73,70,145,424,442,871,4718,4480,9198,753,786,1542,5894,5712,11609
Tablelands (East) - Kuranda,30605,1492,1610,3108,139,105,246,176,170,347,1808,1886,3700,16335,16779,33114,1786,1804,3590,19927,20467,40401
Darling Downs (West) - Maranoa,30701,1410,1474,2886,32,40,65,33,35,68,1478,1547,3024,18494,17588,36083,2658,2304,4959,22627,21434,44062
Darling Downs - East,30702,998,1026,2021,28,11,39,32,18,50,1051,1060,2114,18520,18203,36731,1700,1585,3282,21275,20847,42123
Granite Belt,30703,793,823,1618,26,33,54,13,27,41,834,886,1714,17685,18169,35857,1293,1236,2526,19805,20293,40101
Central Highlands (Qld),30801,980,980,1956,26,17,44,55,63,115,1065,1056,2115,12195,11195,23388,1972,1481,3456,15225,13734,28960
Rockhampton,30803,3209,3320,6535,238,212,446,268,232,498,3718,3767,7482,49589,50181,99767,4729,4025,8754,58025,57970,116000
Biloela,30804,240,278,519,14,6,17,23,19,44,279,301,579,6489,6087,12576,620,540,1162,7388,6928,14319
Gladstone,30805,1099,1110,2205,35,47,82,102,108,209,1239,1261,2503,28026,26572,54607,2382,2156,4535,31647,29989,61640
Broadbeach - Burleigh,30901,327,324,651,15,17,35,11,12,24,353,353,708,27193,29113,56305,2251,2370,4622,29800,31838,61635
Coolangatta,30902,530,538,1067,42,25,64,37,34,72,601,602,1200,23455,24823,48277,1816,1889,3706,25873,27315,53189
Gold Coast - North,30903,460,502,961,35,19,57,22,18,36,518,539,1060,28494,31604,60100,2302,2444,4741,31315,34584,65902
Gold Coast Hinterland,30904,159,127,285,7,10,10,9,7,19,172,143,315,8174,8546,16722,763,712,1477,9100,9405,18512
Robina,30908,261,327,588,15,15,30,8,12,17,276,360,638,21767,24167,45934,1345,1569,2915,23385,26094,49477
Southport,30909,498,504,1003,26,30,52,13,11,29,540,546,1081,26055,27550,53605,2098,2109,4209,28686,30204,58896
Surfers Paradise,30910,158,158,315,4,12,22,5,4,13,173,173,348,17650,17762,35413,2615,2460,5078,20438,20397,40836
Forest Lake - Oxley,31001,1224,1001,2228,81,57,140,74,84,163,1384,1146,2528,32626,32307,64932,2350,2414,4764,36354,35875,72230
Ipswich Hinterland,31002,1112,1070,2188,59,39,100,66,64,129,1235,1172,2410,27901,27444,55347,2485,2480,4964,31626,31100,62726
Ipswich Inner,31003,2359,2295,4652,108,90,204,98,93,191,2564,2479,5044,45375,47183,92560,3301,3300,6606,51240,52966,104207
Springfield - Redbank,31004,1291,1391,2687,105,81,189,71,70,134,1462,1543,3005,37649,38292,75941,2477,2491,4966,41587,42323,83910
Beaudesert,31101,312,353,666,14,9,27,21,19,39,348,382,723,5968,6186,12155,517,517,1033,6825,7084,13915
Beenleigh,31102,656,709,1362,53,41,95,24,32,54,725,783,1508,17981,18891,36871,1231,1313,2547,19935,20993,40928
Browns Plains,31103,1106,1142,2253,75,58,126,83,84,165,1263,1282,2548,35552,36579,72126,2573,2565,5136,39393,40423,79812
Jimboomba,31104,636,626,1264,38,45,80,25,18,44,692,696,1389,20800,20691,41491,1412,1301,2707,22905,22686,45587
Loganlea - Carbrook,31105,706,739,1436,44,59,98,57,59,114,800,847,1654,26760,27768,54528,1737,1859,3600,29301,30477,59779
Springwood - Kingston,31106,1092,1213,2302,113,124,232,88,90,181,1289,1429,2719,34795,35206,69999,2291,2269,4562,38367,38904,77280
Bowen Basin - North,31201,751,735,1481,75,84,164,66,81,150,896,905,1800,14323,12884,27205,2705,1790,4494,17917,15578,33494
Mackay,31202,1770,1894,3664,618,679,1292,452,494,946,2839,3067,5909,50196,49917,100117,5217,3730,8951,58256,56713,114969
Whitsunday,31203,226,255,479,37,26,64,19,27,48,286,303,585,9117,8609,17731,1591,1314,2905,10993,10227,21224
Bribie - Beachmere,31301,415,426,840,24,17,38,18,13,33,454,460,911,14592,15569,30160,961,1004,1962,16008,17028,33043
Caboolture,31302,1422,1543,2962,67,60,126,88,91,185,1580,1695,3266,29221,30675,59897,2108,2181,4293,32914,34549,67460
Caboolture Hinterland,31303,359,186,546,19,7,27,21,5,28,407,197,600,6162,5380,11547,568,514,1080,7137,6094,13232
Narangba - Burpengary,31304,903,963,1875,49,72,129,51,43,99,1006,1084,2096,28271,29276,57544,1635,1612,3247,30908,31973,62884
Redcliffe,31305,755,825,1587,60,56,109,37,40,75,852,920,1771,25835,28404,54240,1657,1806,3462,28342,31127,59469
The Hills District,31401,485,508,992,42,43,83,27,21,49,558,568,1130,40576,41381,81964,1612,1487,3105,42751,43439,86194
