SA3_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,SA3_NAME11
21205,67283,69867,137150,29111,17139,46250,9151,15342,24493,2009,2123,4132,2659,2292,4951,42930,36896,79826,21332,30110,51442,6.2,6.2,6.2,63.8,52.8,58.2,59.9,49.5,54.6,5606,4178,9784,1274,1955,3229,13527,14494,28021,6448,7154,13602,9976,5235,15211,64805,67352,132157,11493,11253,22746,44830,47521,92351,27760,27406,55166,Monash
21301,70181,70798,140979,29721,15876,45597,8320,13132,21452,2833,2407,5240,3533,3198,6731,44407,34613,79020,20563,31311,51874,8.0,9.2,8.5,63.3,48.9,56.1,58.2,44.4,51.3,1509,1293,2802,499,744,1243,6463,7863,14326,4630,5091,9721,12495,6863,19358,70984,71800,142784,9714,9349,19063,50195,51358,101553,25048,24646,49694,Brimbank
21302,31877,33093,64970,15630,8894,24524,3510,7286,10796,1158,1124,2282,1192,944,2136,21490,18248,39738,8477,12954,21431,5.5,5.2,5.4,67.4,55.1,61.2,63.7,52.3,57.9,1382,1332,2714,519,1045,1564,4365,5302,9667,2383,2854,5237,6859,3058,9917,31625,32727,64352,5110,5037,10147,22041,23023,45064,12345,12341,24686,Hobsons Bay
21303,30326,29442,59768,13812,8820,22632,4040,5931,9971,982,1086,2068,1393,1215,2608,20227,17052,37279,7314,10319,17633,6.9,7.1,7.0,66.7,57.9,62.4,62.1,53.8,58.0,1877,1637,3514,598,1082,1680,5520,6130,11650,2503,2490,4993,4199,2451,6650,26581,26651,53232,6086,5810,11896,15840,16535,32375,14540,13692,28232,Maribyrnong
21304,46242,47938,94180,25422,13052,38474,4540,11226,15766,1872,1913,3785,1802,1819,3621,33636,28010,61646,10327,17707,28034,5.4,6.5,5.9,72.7,58.4,65.5,68.8,54.6,61.6,977,862,1839,429,761,1190,3879,5671,9550,2948,4140,7088,11868,6870,18738,49063,50123,99186,8265,8898,17163,29317,29553,58870,23080,24547,47627,Melton - Bacchus Marsh
21305,62833,64112,126945,34882,18596,53478,6563,14291,20854,2418,2346,4764,2573,2829,5402,46436,38062,84498,13005,22870,35875,5.5,7.4,6.4,73.9,59.4,66.6,69.8,55.0,62.3,3060,2387,5447,785,1122,1907,7056,9011,16067,4943,5798,10741,14045,8175,22220,62114,62898,125012,14631,15107,29738,35271,35982,71253,34765,35748,70513,Wyndham
21401,49368,52776,102144,25016,13107,38123,5481,13161,18642,1919,1896,3815,1823,1813,3636,34239,29977,64216,12362,20000,32362,5.3,6.0,5.7,69.4,56.8,62.9,65.7,53.4,59.3,762,744,1506,503,999,1502,3722,5454,9176,3645,5039,8684,14227,7989,22216,49330,51679,101009,8698,9166,17864,32474,33865,66339,21643,23194,44837,Frankston
20606,23232,25257,48489,12329,9526,21855,2910,4561,7471,640,824,1464,698,684,1382,16577,15595,32172,4500,7772,12272,4.2,4.4,4.3,71.4,61.7,66.3,68.3,59.0,63.5,2353,2144,4497,572,1027,1599,7255,7865,15120,1934,2750,4684,2042,1475,3517,17895,19418,37313,5496,6176,11672,10058,11180,21238,12346,13526,25872,Stonnington - West
20607,32009,33936,65945,16519,13320,29839,4292,7080,11372,942,1290,2232,1162,1001,2163,22915,22691,45606,6345,8925,15270,5.1,4.4,4.7,71.6,66.9,69.2,68.0,63.9,65.9,3054,3371,6425,1133,1919,3052,9377,10629,20006,2286,2735,5021,3163,2083,5246,25514,27045,52559,7514,8304,15818,14573,15658,30231,16736,18027,34763,Yarra
20701,62336,69080,131416,30746,18663,49409,8980,17837,26817,1815,2253,4068,2013,1751,3764,43554,40504,84058,15972,25786,41758,4.6,4.3,4.5,69.9,58.6,64.0,66.6,56.1,61.1,7573,5691,13264,2031,3437,5468,18049,19923,37972,5274,7345,12619,5707,4018,9725,61869,67193,129062,10901,11967,22868,41734,45905,87639,27338,29622,56960,Boroondara
