SA3_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,SA3_NAME11
30306,18697,19156,37853,8291,4844,13135,2742,4287,7029,628,643,1271,950,832,1782,12611,10606,23217,5197,7798,12995,7.5,7.8,7.7,67.4,55.4,61.3,62.4,51.0,56.6,1322,1109,2431,213,326,539,3204,3627,6831,1549,1829,3378,3313,1700,5013,17717,18383,36100,3825,3739,7564,10852,11457,22309,9430,9346,18776,Sunnybank
30401,12306,13293,25599,7015,4208,11223,1534,3531,5065,388,503,891,434,373,807,9371,8615,17986,2566,4318,6884,4.6,4.3,4.5,76.1,64.8,70.3,72.6,62.0,67.1,1093,692,1785,249,369,618,2540,3000,5540,1141,1359,2500,2444,1360,3804,13059,13795,26854,1983,2042,4025,8548,9092,17640,5479,5822,11301,Centenary
30402,16474,17851,34325,8699,4741,13440,2288,5274,7562,540,623,1163,496,433,929,12023,11071,23094,3952,6097,10049,4.1,3.9,4.0,73.0,62.0,67.3,70.0,59.6,64.6,2153,1501,3654,417,735,1152,4177,4706,8883,1517,1961,3478,2371,1344,3715,17820,18669,36489,2707,2762,5469,11567,12159,23726,7804,8169,15973,Kenmore - Brookfield - Moggill
30403,19656,20922,40578,8570,5548,14118,3051,5202,8253,540,719,1259,974,906,1880,13135,12375,25510,5407,7456,12863,7.4,7.3,7.4,66.8,59.2,62.9,61.9,54.8,58.2,2665,2201,4866,461,764,1225,5379,5813,11192,1315,1652,2967,1907,1279,3186,15660,16521,32181,6029,6228,12257,8405,9175,17580,12254,12649,24903,Sherwood - Indooroopilly
30404,18292,19464,37756,10081,5830,15911,2270,5113,7383,653,798,1451,590,505,1095,13594,12246,25840,4079,6600,10679,4.3,4.1,4.2,74.3,62.9,68.4,71.1,60.3,65.5,1113,896,2009,445,701,1146,3400,4045,7445,1665,1996,3661,3817,2091,5908,18395,19369,37764,3892,3811,7703,11675,12730,24405,9019,9054,18073,The Gap - Enoggera
30501,27892,25387,53279,13329,9558,22887,3605,4900,8505,738,732,1470,1197,997,2194,18869,16187,35056,5268,6552,11820,6.3,6.2,6.3,67.6,63.8,65.8,63.4,59.8,61.7,2570,2264,4834,592,893,1485,6988,7008,13996,2071,2251,4322,3316,1867,5183,16847,15980,32827,8983,8560,17543,7391,7223,14614,17621,16563,34184,Brisbane Inner
30502,15387,15621,31008,9075,6263,15338,1786,3756,5542,507,558,1065,491,430,921,11859,11007,22866,2480,3834,6314,4.1,3.9,4.0,77.1,70.5,73.7,73.9,67.7,70.8,1045,964,2009,388,610,998,3568,4142,7710,1327,1634,2961,2907,1524,4431,13310,13327,26637,4051,4293,8344,7097,7301,14398,9135,9283,18418,Brisbane Inner - East
30503,31241,32405,63646,17254,12149,29403,4163,7682,11845,955,1227,2182,1090,952,2042,23462,22010,45472,5934,8953,14887,4.6,4.3,4.5,75.1,67.9,71.4,71.6,65.0,68.2,2438,2146,4584,776,1306,2082,7836,8692,16528,2656,3139,5795,4883,2866,7749,26273,27469,53742,8309,8733,17042,14578,15414,29992,18074,18996,37070,Brisbane Inner - North
30504,21709,23030,44739,11885,8270,20155,3203,6259,9462,680,939,1619,756,720,1476,16524,16188,32712,4040,5928,9968,4.6,4.4,4.5,76.1,70.3,73.1,72.6,67.2,69.8,2349,2053,4402,614,1056,1670,6339,7267,13606,1614,2023,3637,2916,1681,4597,18725,19553,38278,5899,6407,12306,10475,11264,21739,12722,13348,26070,Brisbane Inner - West
30703,14782,15774,30556,6568,3308,9876,1627,3837,5464,551,522,1073,458,420,878,9204,8087,17291,4825,6986,11811,5.0,5.2,5.1,62.3,51.3,56.6,59.2,48.6,53.7,166,161,327,113,205,318,795,1394,2189,649,1114,1763,3742,2204,5946,15191,15511,30702,2675,3137,5812,9909,10077,19986,6799,7512,14311,Granite Belt
30801,11982,10275,22257,7773,3425,11198,713,2528,3241,589,445,1034,213,246,459,9288,6644,15932,1413,2898,4311,2.3,3.7,2.9,77.5,64.7,71.6,75.7,62.3,69.5,96,101,197,45,117,162,607,1124,1731,505,739,1244,3783,1503,5286,10837,9664,20501,3264,3003,6267,5964,5255,11219,6858,6315,13173,Central Highlands (Qld)
30802,29095,26621,55716,17447,7433,24880,2017,6449,8466,1429,1039,2468,756,777,1533,21649,15698,37347,5160,9296,14456,3.5,4.9,4.1,74.4,59.0,67.0,71.8,56.1,64.3,316,263,579,192,343,535,1618,2574,4192,1241,1674,2915,9797,4011,13808,27343,25645,52988,7041,6604,13645,16735,15276,32011,15009,14488,29497,Gladstone - Biloela
30803,42916,43576,86492,21033,11641,32674,3850,9929,13779,1757,1629,3386,1423,1253,2676,28063,24452,52515,11252,16105,27357,5.1,5.1,5.1,65.4,56.1,60.7,62.1,53.2,57.6,708,600,1308,366,594,960,2735,4559,7294,1905,2759,4664,11944,5713,17657,40569,41257,81826,8963,9352,18315,25127,25488,50615,20847,21879,42726,Rockhampton
30901,23869,25668,49537,10139,6541,16680,3392,6172,9564,766,827,1593,1070,914,1984,15367,14454,29821,6192,9004,15196,7.0,6.3,6.7,64.4,56.3,60.2,59.9,52.7,56.2,624,604,1228,187,398,585,2694,3522,6216,1835,2553,4388,6351,3441,9792,20037,21272,41309,5327,5847,11174,11912,12935,24847,12035,12826,24861,Broadbeach - Burleigh
30902,20096,21594,41690,8214,4943,13157,2805,5552,8357,682,697,1379,1108,866,1974,12809,12058,24867,5880,8179,14059,8.7,7.2,7.9,63.7,55.8,59.6,58.2,51.8,54.9,356,387,743,181,321,502,1688,2470,4158,1333,2147,3480,6106,2977,9083,18627,19452,38079,4017,4446,8463,11683,12286,23969,9687,10387,20074,Coolangatta
30903,23906,26545,50451,9687,6180,15867,3050,5836,8886,730,797,1527,1272,1032,2304,14739,13845,28584,7262,10761,18023,8.6,7.5,8.1,61.7,52.2,56.7,56.3,48.3,52.1,596,569,1165,176,329,505,1982,2865,4847,1606,2513,4119,6683,3704,10387,20860,22673,43533,5436,6151,11587,11668,12865,24533,12957,14381,27338,Gold Coast - North
30904,6758,7002,13760,2932,1632,4564,991,1894,2885,249,236,485,285,234,519,4457,3996,8453,2012,2754,4766,6.4,5.9,6.1,66.0,57.1,61.4,61.7,53.7,57.7,218,168,386,63,142,205,631,1041,1672,561,815,1376,2172,1010,3182,6793,7094,13887,1208,1186,2394,4496,4611,9107,3012,3239,6251,Gold Coast Hinterland
30905,11390,12329,23719,5668,3180,8848,1657,3707,5364,382,401,783,555,485,1040,8262,7773,16035,2591,4042,6633,6.7,6.2,6.5,72.6,63.0,67.6,67.7,59.1,63.2,316,278,594,125,228,353,1148,1534,2682,911,1361,2272,3527,1993,5520,12164,12611,24775,2185,2518,4703,6952,7143,14095,6394,7040,13434,Mudgeeraba - Tallebudgera
30906,23756,25420,49176,11632,6600,18232,3183,6876,10059,804,821,1625,1279,1133,2412,16898,15430,32328,5453,8555,14008,7.6,7.3,7.5,71.1,60.7,65.7,65.8,56.2,60.8,441,428,869,159,320,479,1763,2659,4422,1574,2606,4180,7260,4009,11269,23896,24937,48833,4706,5124,9830,13588,14022,27610,13032,14046,27078,Nerang
30907,34721,36189,70910,19075,10413,29488,3956,9509,13465,1195,1222,2417,1587,1600,3187,25813,22744,48557,7060,11831,18891,6.1,7.0,6.6,74.3,62.8,68.5,69.8,58.4,64.0,677,626,1303,261,517,778,2697,3949,6646,2555,4018,6573,10719,5860,16579,34285,35041,69326,9261,9833,19094,15984,16001,31985,23855,25406,49261,Ormeau - Oxenford
31106,28731,29713,58444,13381,7910,21291,3206,6120,9326,1150,1088,2238,1591,1357,2948,19328,16475,35803,7454,11593,19047,8.2,8.2,8.2,67.3,55.4,61.3,61.7,50.9,56.2,569,491,1060,196,363,559,2168,3082,5250,1715,2251,3966,7231,4276,11507,28774,29661,58435,5735,5827,11562,17965,18309,36274,13626,14322,27948,Springwood - Kingston
31201,15105,12211,27316,9049,3815,12864,932,2837,3769,805,528,1333,242,303,545,11028,7483,18511,1979,3739,5718,2.2,4.0,2.9,73.0,61.3,67.8,71.4,58.8,65.8,123,100,223,67,120,187,735,1199,1934,491,741,1232,4522,1793,6315,12525,11019,23544,4203,3643,7846,7182,6205,13387,8166,7207,15373,Bowen Basin - North
31202,45912,42926,88838,27171,12636,39807,3261,10490,13751,2122,1664,3786,937,1203,2140,33491,25993,59484,8237,14842,23079,2.8,4.6,3.6,72.9,60.6,67.0,70.9,57.7,64.5,432,465,897,269,521,790,2353,4241,6594,1885,2974,4859,15881,6260,22141,43110,41780,84890,9856,9737,19593,26096,25119,51215,23098,22841,45939,Mackay
31203,7932,7169,15101,4206,2343,6549,766,1700,2466,303,253,556,235,233,468,5510,4529,10039,1393,1991,3384,4.3,5.1,4.7,69.5,63.2,66.5,66.5,59.9,63.4,89,77,166,33,84,117,364,721,1085,486,664,1150,2707,1190,3897,6476,5996,12472,1946,1982,3928,3760,3427,7187,4083,4045,8128,Whitsunday
31303,4818,4260,9078,1833,922,2755,554,1046,1600,165,153,318,132,116,248,2684,2237,4921,1842,1818,3660,4.9,5.2,5.0,55.7,52.5,54.2,53.0,49.8,51.5,32,43,75,34,65,99,190,300,490,195,309,504,1243,661,1904,4268,4193,8461,762,865,1627,2773,2703,5476,1918,2050,3968,Caboolture Hinterland
31304,21635,22911,44546,10891,5858,16749,2296,5786,8082,918,803,1721,991,902,1893,15096,13349,28445,5382,8457,13839,6.6,6.8,6.7,69.8,58.3,63.9,65.2,54.3,59.6,194,200,394,139,256,395,1097,1807,2904,1254,1914,3168,6804,3781,10585,22951,23625,46576,4206,4481,8687,13802,14100,27902,11236,12039,23275,Narangba - Burpengary
31305,21952,24239,46191,9443,5637,15080,2454,5162,7616,777,756,1533,980,841,1821,13654,12396,26050,6979,10667,17646,7.2,6.8,7.0,62.2,51.1,56.4,57.7,47.7,52.5,369,352,721,183,384,567,1497,2404,3901,1410,2087,3497,6247,3505,9752,20515,22295,42810,4709,5154,9863,12545,13628,26173,11095,12232,23327,Redcliffe
31401,30356,31331,61687,17792,9576,27368,3835,9631,13466,1112,1345,2457,918,819,1737,23657,21371,45028,5752,9083,14835,3.9,3.8,3.9,77.9,68.2,73.0,74.9,65.6,70.2,1137,935,2072,544,892,1436,4173,5437,9610,2993,3384,6377,8580,4018,12598,33513,33871,67384,4943,5067,10010,21872,22040,43912,13926,14417,28343,Hills District
31402,18642,20183,38825,10970,6289,17259,1903,4979,6882,727,809,1536,669,768,1437,14269,12845,27114,3587,6608,10195,4.7,6.0,5.3,76.5,63.6,69.8,73.0,59.8,66.1,361,289,650,169,295,464,1490,2377,3867,1518,1986,3504,5574,3377,8951,18327,19297,37624,5428,5952,11380,8611,9025,17636,12942,14222,27164,North Lakes
31403,13599,14274,27873,7415,4329,11744,1419,3427,4846,569,567,1136,644,520,1164,10047,8843,18890,2983,4906,7889,6.4,5.9,6.2,73.9,62.0,67.8,69.1,58.3,63.6,205,172,377,119,235,354,907,1394,2301,908,1271,2179,4182,2360,6542,14192,14708,28900,2383,2427,4810,9080,9443,18523,6246,6531,12777,Strathpine
31501,11909,10098,22007,4468,2879,7347,1353,1772,3125,535,422,957,561,426,987,6917,5499,12416,3990,3870,7860,8.1,7.7,7.9,58.1,54.5,56.4,53.4,50.2,51.9,75,124,199,66,140,206,462,806,1268,437,635,1072,2823,1465,4288,11769,11127,22896,1919,1817,3736,8659,8169,16828,3777,3618,7395,Far North
31502,13715,11508,25223,7741,4183,11924,773,1885,2658,694,478,1172,425,346,771,9633,6892,16525,2056,3275,5331,4.4,5.0,4.7,70.2,59.9,65.5,67.1,56.9,62.5,138,148,286,66,145,211,694,1214,1908,450,656,1106,3832,1423,5255,11859,10472,22331,3311,2969,6280,7110,6167,13277,6792,6103,12895,Outback - North
30908,17284,19669,36953,7521,4838,12359,2467,4909,7376,567,623,1190,845,853,1698,11400,11223,22623,4611,7128,11739,7.4,7.6,7.5,66.0,57.1,61.2,61.1,52.7,56.6,575,516,1091,141,271,412,1949,2489,4438,1368,1999,3367,4211,2713,6924,15471,17134,32605,4377,4907,9284,8351,9317,17668,10314,11464,21778,Robina
30909,22063,23784,45847,8871,5611,14482,3112,5592,8704,707,741,1448,1299,1074,2373,13989,13018,27007,6195,8849,15044,9.3,8.3,8.8,63.4,54.7,58.9,57.5,50.2,53.7,765,684,1449,187,292,479,2366,3228,5594,1556,2302,3858,5133,2966,8099,18923,20063,38986,5321,5748,11069,10913,11819,22732,11903,12588,24491,Southport
30910,15850,15366,31216,6302,3977,10279,2418,3330,5748,442,435,877,818,676,1494,9980,8418,18398,3860,5282,9142,8.2,8.0,8.1,63.0,54.8,58.9,57.8,50.4,54.1,545,475,1020,148,200,348,2117,2133,4250,1282,1589,2871,3287,1786,5073,11563,11395,22958,4061,4027,8088,6368,6529,12897,8582,8284,16866,Surfers Paradise
31001,24727,24803,49530,10862,6588,17450,2403,4825,7228,786,762,1548,1107,1055,2162,15158,13230,28388,8098,10098,18196,7.3,8.0,7.6,61.3,53.3,57.3,56.8,49.1,53.0,742,604,1346,224,320,544,2243,2976,5219,1450,1853,3303,4823,2911,7734,23127,24439,47566,4736,4878,9614,13831,14838,28669,11722,12279,24001,Forest Lake - Oxley
31002,22533,22258,44791,9962,4997,14959,2092,5070,7162,879,705,1584,837,761,1598,13770,11533,25303,7337,9543,16880,6.1,6.6,6.3,61.1,51.8,56.5,57.4,48.4,52.9,191,217,408,128,244,372,841,1630,2471,1058,1603,2661,6175,3366,9541,22525,22293,44818,3877,4063,7940,14541,14252,28793,10033,10476,20509,Ipswich Hinterland
31003,35992,37628,73620,17377,9786,27163,3527,8336,11863,1410,1331,2741,1717,1462,3179,24031,20915,44946,9971,14940,24911,7.1,7.0,7.1,66.8,55.6,61.1,62.0,51.7,56.7,564,549,1113,321,517,838,2328,3591,5919,2166,2819,4985,10446,5820,16266,36293,37322,73615,7555,8014,15569,22252,22612,44864,18048,19361,37409,Ipswich Inner
31004,23919,24666,48585,13614,7717,21331,2384,5357,7741,930,997,1927,1231,1238,2469,18159,15309,33468,4560,8244,12804,6.8,8.1,7.4,75.9,62.1,68.9,70.8,57.0,63.8,463,370,833,156,286,442,1653,2403,4056,1488,2098,3586,6433,4105,10538,24145,24195,48340,6774,7133,13907,12184,12008,24192,15678,16370,32048,Springfield - Redbank
31101,4771,4953,9724,2111,1094,3205,470,1121,1591,182,174,356,195,177,372,2958,2566,5524,1546,2149,3695,6.6,6.9,6.7,62.0,51.8,56.8,57.9,48.2,53.0,46,51,97,27,42,69,203,327,530,190,355,545,1279,717,1996,4630,4844,9474,995,1075,2070,2863,2946,5809,2357,2588,4945,Beaudesert
31301,12444,13473,25917,3772,2104,5876,1209,2456,3665,389,331,720,493,450,943,5863,5341,11204,5832,7434,13266,8.4,8.4,8.4,47.1,39.6,43.2,43.2,36.3,39.6,159,149,308,76,126,202,636,919,1555,758,1033,1791,3797,1793,5590,11575,12221,23796,2352,2627,4979,6880,7264,14144,6328,6884,13212,Bribie - Beachmere
31302,21602,23230,44832,9708,5259,14967,2314,5231,7545,853,778,1631,1232,1100,2332,14107,12368,26475,5783,9237,15020,8.7,8.9,8.8,65.3,53.2,59.1,59.6,48.5,53.9,166,170,336,121,212,333,859,1600,2459,1042,1666,2708,6230,4067,10297,21005,21798,42803,5384,6029,11413,11542,12084,23626,12419,13559,25978,Caboolture
31503,7891,7648,15539,4571,2767,7338,580,1581,2161,382,314,696,188,164,352,5721,4826,10547,1634,2421,4055,3.3,3.4,3.3,72.5,63.1,67.9,70.1,60.9,65.6,53,56,109,29,94,123,313,825,1138,350,522,872,1789,1058,2847,7734,7480,15214,1621,1742,3363,5075,4801,9876,3535,3729,7264,Outback - South
31601,16995,19513,36508,7598,4247,11845,2391,5479,7870,607,608,1215,747,731,1478,11343,11065,22408,4989,7891,12880,6.6,6.6,6.6,66.7,56.7,61.4,62.3,53.0,57.3,493,407,900,213,414,627,1853,2658,4511,1453,2072,3525,4977,2830,7807,16870,18828,35698,3852,4456,8308,9633,10884,20517,9862,11225,21087,Buderim
31602,26941,30022,56963,10932,6126,17058,3393,7381,10774,901,861,1762,1211,1039,2250,16437,15407,31844,9137,13252,22389,7.4,6.7,7.1,61.0,51.3,55.9,56.5,47.9,52.0,502,442,944,309,476,785,2211,3301,5512,2021,2815,4836,8476,4307,12783,25831,27775,53606,6073,6752,12825,14443,15591,30034,15527,17090,32617,Caloundra
31603,20524,22303,42827,8605,5361,13966,2898,5724,8622,693,686,1379,1036,941,1977,13232,12712,25944,5926,8488,14414,7.8,7.4,7.6,64.5,57.0,60.6,59.4,52.8,56.0,397,386,783,240,414,654,1992,2806,4798,1471,2252,3723,6242,3414,9656,17758,18970,36728,5208,5887,11095,9924,10754,20678,11636,12783,24419,Maroochy
31604,22409,23698,46107,8935,4833,13768,3240,6521,9761,857,804,1661,1073,933,2006,14105,13091,27196,7158,9607,16765,7.6,7.1,7.4,62.9,55.2,59.0,58.2,51.3,54.6,423,409,832,233,448,681,1715,2744,4459,1555,2539,4094,7050,3679,10729,22839,23478,46317,4049,4438,8487,14365,14558,28923,10749,11693,22442,Nambour - Pomona
31605,13885,15523,29408,5139,3046,8185,2142,3998,6140,458,417,875,631,526,1157,8370,7987,16357,4687,6706,11393,7.5,6.6,7.1,60.3,51.5,55.6,55.7,48.1,51.7,386,342,728,157,326,483,1563,1964,3527,1168,1908,3076,3995,2017,6012,12931,14086,27017,3235,3618,6853,7475,8110,15585,7730,8696,16426,Noosa
31606,18007,19018,37025,7370,3942,11312,2537,5076,7613,662,618,1280,741,648,1389,11310,10284,21594,5660,7787,13447,6.6,6.3,6.4,62.8,54.1,58.3,58.7,50.7,54.6,419,398,817,212,428,640,1455,2304,3759,1277,2041,3318,5528,2865,8393,18208,18920,37128,3133,3357,6490,11393,11530,22923,8733,9563,18296,Sunshine Coast Hinterland
31701,52508,57581,110089,25999,14319,40318,5714,14175,19889,1998,1936,3934,1733,1621,3354,35444,32051,67495,14141,22541,36682,4.9,5.1,5.0,67.5,55.7,61.3,64.2,52.8,58.3,1494,1251,2745,563,991,1554,4730,7151,11881,3202,4639,7841,13721,8009,21730,51698,55454,107152,11898,12849,24747,30559,32869,63428,28376,30935,59311,Toowoomba
31801,17200,17022,34222,8472,3919,12391,1446,3844,5290,709,552,1261,553,490,1043,11180,8805,19985,4902,7381,12283,4.9,5.6,5.2,65.0,51.7,58.4,61.8,48.9,55.4,103,105,208,62,145,207,691,1259,1950,538,845,1383,4784,2119,6903,17880,17528,35408,2601,2781,5382,12643,12244,24887,6418,6820,13238,Charters Towers - Ayr - Ingham
31802,68372,69323,137695,36107,21732,57839,6808,16540,23348,2966,2899,5865,2342,2354,4696,48223,43525,91748,14956,21731,36687,4.9,5.4,5.1,70.5,62.8,66.6,67.1,59.4,63.2,1498,1518,3016,520,1078,1598,5443,9285,14728,3808,5191,8999,20000,9830,29830,62790,63567,126357,16682,17655,34337,36112,36053,72165,37635,39627,77262,Townsville
31901,33071,35213,68284,12583,7041,19624,3260,7346,10606,1107,1002,2109,1687,1437,3124,18637,16826,35463,12317,16431,28748,9.1,8.5,8.8,56.4,47.8,51.9,51.3,43.7,47.4,343,339,682,219,404,623,1712,2970,4682,1430,2243,3673,9556,5037,14593,32332,33510,65842,6618,7197,13815,20033,20582,40615,16403,17808,34211,Bundaberg
31902,18697,18749,37446,7434,3732,11166,1822,4017,5839,648,598,1246,776,570,1346,10680,8917,19597,6783,8831,15614,7.3,6.4,6.9,57.1,47.6,52.3,53.0,44.5,48.7,129,128,257,94,211,305,702,1420,2122,750,1324,2074,4685,2749,7434,18835,18845,37680,3471,3603,7074,12346,12094,24440,8435,8934,17369,Burnett
31903,17895,18410,36305,6555,3400,9955,2015,4120,6135,671,560,1231,799,649,1448,10040,8729,18769,6683,8542,15225,8.0,7.4,7.7,56.1,47.4,51.7,51.6,43.9,47.7,146,132,278,90,223,313,786,1388,2174,835,1338,2173,5272,2884,8156,17925,17990,35915,3317,3574,6891,11302,11277,22579,8497,8930,17427,Gympie - Cooloola
31904,20133,22573,42706,6079,3850,9929,2047,4351,6398,629,610,1239,1220,1033,2253,9975,9844,19819,9035,11600,20635,12.2,10.5,11.4,49.5,43.6,46.4,43.5,39.0,41.1,247,236,483,145,289,434,1075,1846,2921,1131,1663,2794,6117,3484,9601,19274,20820,40094,4671,5397,10068,11009,11863,22872,11352,12829,24181,Hervey Bay
31905,17207,17221,34428,5592,3036,8628,1569,3420,4989,581,493,1074,848,670,1518,8590,7619,16209,7522,8595,16117,9.9,8.8,9.4,49.9,44.2,47.1,45.0,40.4,42.7,98,116,214,92,189,281,603,1191,1794,757,1097,1854,5130,2696,7826,16557,16843,33400,2979,3173,6152,10524,10611,21135,7760,8280,16040,Maryborough
39797,265,187,452,120,37,157,14,32,46,20,15,35,5,3,8,159,87,246,57,68,125,3.1,3.4,3.3,59.8,46.8,54.4,57.9,45.2,52.7,3,4,7,0,0,0,14,12,26,18,7,25,74,30,104,176,137,313,48,29,77,111,105,216,108,61,169,Migratory - Offshore - Shipping (Qld)
39999,6606,4879,11485,1534,714,2248,459,526,985,208,152,360,573,397,970,2774,1789,4563,2659,2550,5209,20.7,22.2,21.3,42.0,36.7,39.7,33.3,28.5,31.3,123,115,238,33,74,107,470,635,1105,330,390,720,1627,601,2228,1476,904,2380,4300,3768,8068,876,524,1400,4652,3959,8611,Special Purpose Codes SA3 (Qld)
40104,19178,21218,40396,8424,4805,13229,2546,5266,7812,637,716,1353,653,584,1237,12260,11371,23631,6245,9100,15345,5.3,5.1,5.2,63.9,53.6,58.5,60.5,50.8,55.4,816,674,1490,293,472,765,2792,3426,6218,1507,1796,3303,4022,2216,6238,19706,21155,40861,2740,3031,5771,13900,15027,28927,7364,7952,15316,Campbelltown (SA)
40202,30147,31409,61556,12809,6187,18996,3046,6612,9658,1101,1031,2132,1809,1430,3239,18765,15260,34025,9735,14580,24315,9.6,9.4,9.5,62.2,48.6,55.3,56.2,44.0,50.0,166,148,314,102,168,270,861,1564,2425,1275,1730,3005,7730,5231,12961,31179,31415,62594,5883,6423,12306,20013,19890,39903,13777,14819,28596,Playford
31102,14339,15149,29488,6547,3681,10228,1581,3236,4817,517,436,953,728,701,1429,9373,8054,17427,3932,6154,10086,7.8,8.7,8.2,65.4,53.2,59.1,60.3,48.5,54.3,120,138,258,61,115,176,619,1099,1718,759,1096,1855,3981,2469,6450,13841,14322,28163,3208,3383,6591,7824,7936,15760,7805,8456,16261,Beenleigh
31103,26903,27805,54708,14345,7881,22226,2763,6165,8928,1152,1036,2188,1332,1255,2587,19592,16337,35929,5873,10056,15929,6.8,7.7,7.2,72.8,58.8,65.7,67.9,54.2,60.9,268,230,498,105,202,307,1186,2049,3235,1112,1996,3108,7759,4430,12189,28433,28541,56974,5439,5873,11312,17011,17036,34047,13957,14628,28585,Browns Plains
31104,13936,13802,27738,7952,4193,12145,1451,3699,5150,645,511,1156,517,525,1042,10565,8928,19493,2754,4334,7088,4.9,5.9,5.3,75.8,64.7,70.3,72.1,60.9,66.5,138,158,296,87,166,253,591,1234,1825,683,1245,1928,4962,2212,7174,15768,15294,31062,2177,2258,4435,9871,9469,19340,6739,6893,13632,Jimboomba
31105,20895,22142,43037,10851,6398,17249,2446,5417,7863,781,769,1550,929,870,1799,15007,13454,28461,4759,7574,12333,6.2,6.5,6.3,71.8,60.8,66.1,67.4,56.8,61.9,322,313,635,142,275,417,1443,2281,3724,1239,1975,3214,6285,3350,9635,21249,22025,43274,3998,4347,8345,12867,13175,26042,10521,11332,21853,Loganlea - Carbrook
40203,24924,25240,50164,10207,5908,16115,3116,5383,8499,808,888,1696,1111,819,1930,15242,12998,28240,8290,10988,19278,7.3,6.3,6.8,61.1,51.5,56.3,56.7,48.3,52.4,997,874,1871,265,442,707,2974,3684,6658,1671,1941,3612,5255,3064,8319,23382,24000,47382,4755,4603,9358,14763,15521,30284,11429,11252,22681,Port Adelaide - East
40204,50601,51698,102299,23615,12308,35923,5484,11519,17003,1860,1821,3681,2404,2011,4415,33363,27659,61022,14643,21650,36293,7.2,7.3,7.2,65.9,53.5,59.7,61.2,49.6,55.3,818,621,1439,253,465,718,3019,4101,7120,2461,3368,5829,13105,7688,20793,51647,52669,104316,8069,8036,16105,35216,35670,70886,20246,20879,41125,Salisbury
40205,36392,38659,75051,18718,10041,28759,4326,10951,15277,1253,1359,2612,1229,1059,2288,25526,23410,48936,9717,14041,23758,4.8,4.5,4.7,70.1,60.6,65.2,66.8,57.8,62.2,863,612,1475,404,651,1055,3482,4599,8081,3096,3593,6689,10726,5659,16385,38687,40386,79073,4431,4709,9140,28291,29286,57577,12478,13403,25881,Tea Tree Gully
40301,13622,15304,28926,6134,3666,9800,1796,3772,5568,471,513,984,439,352,791,8840,8303,17143,4058,6275,10333,5.0,4.2,4.6,64.9,54.3,59.3,61.7,52.0,56.5,698,596,1294,221,447,668,2267,2634,4901,1277,1443,2720,2920,1644,4564,12233,13685,25918,2568,2671,5239,7936,9092,17028,6262,6611,12873,Holdfast Bay
40302,33668,37015,70683,15449,9169,24618,4406,9433,13839,1129,1367,2496,1275,1043,2318,22259,21012,43271,10048,14642,24690,5.7,5.0,5.4,66.1,56.8,61.2,62.3,53.9,57.9,1040,995,2035,455,779,1234,3944,5474,9418,2623,3220,5843,8902,4686,13588,33104,35618,68722,5564,6047,11611,22601,24528,47129,13903,14973,28876,Marion
