SA3_MAIN11,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total,SA3_NAME11
11101,15208,1366,514,192,3,17283,14482,479,250,14,6,15231,3346,888,877,33,3,5147,1276,534,576,0,0,2386,1633,270,231,26,3,2163,51,45,84,0,0,180,128,24,18,43,0,213,112,14,21,5,0,152,6546,1775,1807,107,6,10241,144,103,63,5,0,315,788,159,114,25,0,1086,37168,3882,2748,343,15,44156,Lake Macquarie - East
11102,8485,422,272,174,9,9362,9218,114,57,8,0,9397,2474,172,195,18,0,2859,721,216,82,0,0,1019,1224,60,60,8,0,1352,109,37,89,0,0,235,151,57,8,101,6,323,103,5,13,7,0,128,4782,547,447,134,6,5916,87,86,117,5,0,295,490,46,73,34,0,643,23062,1215,966,355,15,25613,Lake Macquarie - West
11103,16872,1410,907,40,10,19239,17287,1185,958,35,12,19477,5615,2015,3031,75,30,10766,958,1070,1715,0,6,3749,2883,700,883,37,18,4521,135,213,120,3,0,471,366,98,65,11,0,540,205,56,60,0,0,321,10162,4152,5874,126,54,20368,205,121,79,3,0,408,1055,217,364,3,7,1646,45581,7085,8182,207,83,61138,Newcastle
11201,9068,828,569,516,10,10991,6881,617,299,40,7,7844,2366,1032,926,28,3,4355,310,166,320,0,0,796,1934,402,329,80,13,2758,93,61,72,3,0,229,228,18,31,174,0,451,185,33,26,12,0,256,5116,1712,1704,297,16,8845,152,27,124,10,0,313,478,97,134,91,0,800,21695,3281,2830,954,33,28793,Richmond Valley - Coastal
11202,9377,213,212,191,7,10000,7985,135,132,50,5,8307,2053,393,772,29,3,3250,525,115,170,3,0,813,1873,128,210,50,3,2264,173,45,60,0,0,278,207,17,33,117,0,374,203,11,13,10,0,237,5034,709,1258,209,6,7216,152,24,33,6,0,215,513,60,71,27,0,671,23061,1141,1706,483,18,26409,Richmond Valley - Hinterland
11203,9360,2238,1026,764,13,13401,7587,1256,509,51,4,9407,2136,1353,1424,18,10,4941,265,383,264,0,0,912,1540,644,509,47,10,2750,66,61,53,0,0,180,160,66,70,193,5,494,136,42,42,20,0,240,4303,2549,2362,278,25,9517,129,131,58,13,0,331,514,242,191,53,3,1003,21893,6416,4146,1159,45,33659,Tweed Valley
11301,5617,151,140,68,0,5976,4742,86,83,11,6,4928,1417,314,412,9,3,2155,460,23,50,0,0,533,1118,75,106,13,5,1317,73,17,33,0,0,123,401,13,53,39,0,506,207,10,23,3,0,243,3676,452,677,64,8,4877,110,9,4,3,0,126,465,26,51,23,0,565,14610,724,955,169,14,16472,Griffith - Murrumbidgee (West)
11302,2179,20,35,19,0,2253,1540,0,14,6,0,1560,443,8,134,0,0,585,180,18,12,0,0,210,361,5,39,7,0,412,13,10,0,0,0,23,126,3,14,13,0,156,63,3,12,0,0,78,1186,47,211,20,0,1464,32,4,5,0,0,41,148,3,6,10,18,185,5085,74,271,55,18,5503,Tumut - Tumbarumba
11303,10825,254,361,65,3,11508,10346,144,194,34,3,10721,2786,352,1307,41,14,4500,1255,69,185,4,0,1513,1825,80,231,32,4,2172,74,26,78,0,7,185,651,28,44,27,0,750,243,9,21,10,6,289,6834,564,1866,114,31,9409,184,46,58,4,3,295,724,49,140,16,6,935,28913,1057,2619,233,46,32868,Wagga Wagga
11401,14275,529,294,429,22,15549,9714,166,107,18,11,10016,3486,556,484,15,0,4541,806,217,258,0,0,1281,1721,124,138,30,5,2018,162,53,76,0,0,291,460,15,26,104,10,615,178,13,11,6,0,208,6813,978,993,155,15,8954,177,90,42,8,8,325,813,84,80,41,4,1022,31792,1847,1516,651,60,35866,Shoalhaven
