sa3_name16,sa3_code16,south_africa_before_1946,south_africa_1946_1955,south_africa_1956_1965,south_africa_1966_1975,south_africa_1976_1985,south_africa_1986_1995,south_africa_1996_2005,south_africa_2006_2010,south_africa_2011,south_africa_2012,south_africa_2013,south_africa_2014,south_africa_2015,south_africa_2016,south_africa_yr_arrival_notstated,south_africa_tot,sri_lanka_before_1946,sri_lanka_1946_1955,sri_lanka_1956_1965,sri_lanka_1966_1975,sri_lanka_1976_1985,sri_lanka_1986_1995,sri_lanka_1996_2005,sri_lanka_2006_2010,sri_lanka_2011,sri_lanka_2012,sri_lanka_2013,sri_lanka_2014,sri_lanka_2015,sri_lanka_2016,sri_lanka_yr_arrival_notstated,sri_lanka_tot,thailand_before_1946,thailand_1946_1955,thailand_1956_1965,thailand_1966_1975,thailand_1976_1985,thailand_1986_1995,thailand_1996_2005,thailand_2006_2010,thailand_2011,thailand_2012,thailand_2013,thailand_2014,thailand_2015,thailand_2016,thailand_yr_arrival_notstated,thailand_tot,fmr_yugoslav_rep_of_macedonia_before_1946,fmr_yugoslav_rep_of_macedonia_1946_1955,fmr_yugoslav_rep_of_macedonia_1956_1965,fmr_yugoslav_rep_of_macedonia_1966_1975,fmr_yugoslav_rep_of_macedonia_1976_1985,fmr_yugoslav_rep_of_macedonia_1986_1995,fmr_yugoslav_rep_of_macedonia_1996_2005,fmr_yugoslav_rep_of_macedonia_2006_2010,fmr_yugoslav_rep_of_macedonia_2011,fmr_yugoslav_rep_of_macedonia_2012,fmr_yugoslav_rep_of_macedonia_2013,fmr_yugoslav_rep_of_macedonia_2014,fmr_yugoslav_rep_of_macedonia_2015,fmr_yugoslav_rep_of_macedonia_2016,fmr_yugoslav_rep_of_macedonia_arrival_notstated,fmr_yugoslav_rep_of_macedonia_tot,turkey_before_1946,turkey_1946_1955,turkey_1956_1965,turkey_1966_1975,turkey_1976_1985,turkey_1986_1995,turkey_1996_2005,turkey_2006_2010,turkey_2011,turkey_2012,turkey_2013,turkey_2014,turkey_2015,turkey_2016,turkey_yr_arrival_notstated,turkey_tot,united_kingdom_before_1946,united_kingdom_1946_1955,united_kingdom_1956_1965,united_kingdom_1966_1975,united_kingdom_1976_1985,united_kingdom_1986_1995,united_kingdom_1996_2005,united_kingdom_2006_2010,united_kingdom_2011,united_kingdom_2012,united_kingdom_2013,united_kingdom_2014,united_kingdom_2015,united_kingdom_2016,united_kingdom_yr_arrival_notstated,united_kingdom_tot,usa_before_1946,usa_1946_1955,usa_1956_1965,usa_1966_1975,usa_1976_1985,usa_1986_1995,usa_1996_2005,usa_2006_2010,united_states_america_2011,united_states_america_2012,united_states_america_2013,united_states_america_2014,united_states_america_2015,united_states_america_2016,usa_year_of_arrival_notstated,usa_total,vietnam_before_1946,vietnam_1946_1955,vietnam_1956_1965,vietnam_1966_1975,vietnam_1976_1985,vietnam_1986_1995,vietnam_1996_2005,vietnam_2006_2010,vietnam_2011,vietnam_2012,vietnam_2013,vietnam_2014,vietnam_2015,vietnam_2016,vietnam_yr_arrival_notstated,vietnam_tot,zimbabwe_before_1946,zimbabwe_1946_1955,zimbabwe_1956_1965,zimbabwe_1966_1975,zimbabwe_1976_1985,zimbabwe_1986_1995,zimbabwe_1996_2005,zimbabwe_2006_2010,zimbabwe_2011,zimbabwe_2012,zimbabwe_2013,zimbabwe_2014,zimbabwe_2015,zimbabwe_2016,zimbabwe_yr_arrival_notstated,zimbabwe_tot,born_elsewhere_before_1946,born_elsewhere_1946_1955,born_elsewhere_1956_1965,born_elsewhere_1966_1975,born_elsewhere_1976_1985,born_elsewhere_1986_1995,born_elsewhere_1996_2005,born_elsewhere_2006_2010,born_elsewhere_2011,born_elsewhere_2012,born_elsewhere_2013,born_elsewhere_2014,born_elsewhere_2015,born_elsewhere_2016,born_elsewhere_yr_arrival_notstated,born_elsewhere_tot,tot_before_1946,tot_1946_1955,tot_1956_1965,tot_1966_1975,tot_1976_1985,tot_1986_1995,tot_1996_2005,tot_2006_2010,tot_2011,tot_2012,tot_2013,tot_2014,tot_2015,tot_2016,tot_yr_arrival_notstated,tot_tot
Queanbeyan,10102,0,0,7,15,14,20,64,34,10,8,7,0,13,3,0,196,0,0,0,7,7,20,16,23,8,0,5,0,14,0,3,102,0,0,0,9,3,14,22,20,4,5,0,4,3,8,4,86,0,13,18,179,51,141,41,18,3,6,12,11,9,0,17,519,0,0,0,0,0,6,9,0,0,0,0,3,0,0,0,19,3,109,343,551,243,184,204,173,21,40,16,25,27,7,70,2030,0,3,10,35,29,46,58,34,21,9,11,11,13,7,7,298,0,0,0,0,24,18,10,20,3,3,5,5,0,0,3,92,0,0,3,3,8,0,18,7,3,0,0,3,0,0,0,50,0,73,160,338,166,181,197,273,43,62,68,70,78,45,64,1806,7,497,1053,1613,970,1077,1187,1425,280,261,272,344,319,161,302,9774
Snowy Mountains,10103,0,0,9,9,20,17,30,15,3,0,0,0,0,4,4,111,0,0,0,0,0,7,0,13,0,0,0,0,0,0,0,24,0,0,3,3,3,8,14,21,9,3,6,3,8,0,10,76,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,11,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,12,4,83,215,312,127,108,140,83,10,8,13,7,15,9,45,1199,0,3,3,24,18,21,22,15,3,3,3,3,5,3,14,133,0,0,0,0,9,4,5,3,0,0,0,0,0,0,13,31,0,0,0,0,0,8,4,4,0,0,0,0,0,0,0,16,3,62,96,129,59,74,65,60,7,8,10,23,49,9,61,720,16,317,519,701,406,442,456,331,47,64,77,86,113,42,255,3874
South Coast,10104,0,0,21,29,45,30,42,11,0,3,3,3,0,14,5,202,0,3,3,4,0,0,3,3,0,0,3,0,3,4,0,29,0,0,0,0,7,6,13,21,3,3,13,0,5,4,11,82,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,10,37,497,986,1162,406,232,183,92,9,27,26,18,4,4,160,3834,3,4,8,51,36,38,44,27,13,0,3,9,3,0,7,246,0,0,0,0,20,10,5,4,4,0,3,3,0,0,3,57,0,0,3,3,4,0,7,3,0,3,0,0,0,0,0,27,8,114,191,292,111,96,94,54,10,19,5,12,3,7,39,1066,71,1114,1839,2138,1041,735,667,419,78,102,102,81,52,51,371,8859
Goulburn - Mulwaree,10105,0,0,3,5,5,6,10,18,3,0,0,0,4,0,3,60,0,0,0,0,0,0,7,3,0,3,3,3,0,0,0,23,0,0,0,0,0,7,6,9,3,0,0,3,3,0,5,46,0,0,0,4,4,0,9,0,0,0,0,0,0,0,0,15,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,10,9,93,227,320,103,78,33,44,6,10,5,6,8,0,65,1017,0,0,4,17,0,5,17,20,3,0,0,0,6,3,0,77,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,25,0,0,6,0,3,0,3,11,3,0,0,0,0,3,0,27,4,23,48,92,39,30,57,96,10,24,14,12,23,8,42,519,11,228,423,638,305,288,296,400,76,71,54,92,113,59,278,3344
Young - Yass,10106,0,0,5,6,0,3,12,21,0,3,0,0,3,0,3,60,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,11,0,0,0,0,0,3,10,3,0,3,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,119,207,289,108,81,95,31,21,12,14,0,16,4,42,1038,0,0,6,13,9,15,33,20,3,4,3,0,0,0,3,117,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,15,0,0,3,0,3,0,0,3,0,0,0,3,3,0,0,19,0,26,41,91,62,40,58,25,3,11,13,7,8,0,23,404,12,249,373,586,353,286,395,249,64,57,52,38,46,31,122,2904
Gosford,10201,3,3,26,71,137,126,374,221,42,14,26,16,33,21,29,1148,0,3,24,30,22,30,20,21,5,8,0,3,0,3,5,174,0,0,0,4,11,33,110,86,16,12,19,20,15,6,32,359,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,17,0,0,0,25,6,13,13,3,0,0,0,0,0,0,0,67,71,678,1573,2374,1140,1154,1409,1102,192,201,156,123,118,51,323,10674,0,5,22,91,61,90,137,131,36,33,13,13,23,16,21,693,0,0,0,8,38,27,15,28,5,5,12,9,6,3,20,176,0,0,0,3,22,14,50,38,8,0,7,8,3,4,0,157,17,148,310,796,441,456,591,451,71,80,54,88,70,39,94,3702,153,1645,2929,4666,3373,3557,4619,3476,632,648,552,530,473,284,946,28497
Wyong,10202,0,3,14,44,66,78,116,70,8,7,9,4,5,3,7,447,3,0,7,14,8,11,5,5,4,0,0,0,6,0,0,61,0,0,0,3,4,28,49,51,10,3,18,16,13,8,15,218,0,0,4,11,0,6,0,0,0,0,0,0,0,0,0,20,0,0,0,6,5,4,0,0,0,0,0,0,0,0,3,26,46,613,1387,2039,800,644,608,377,57,63,59,58,26,15,278,7069,0,7,20,40,40,52,85,36,7,6,10,9,6,10,17,346,0,0,0,0,22,17,19,20,6,10,7,8,13,3,5,131,0,0,3,0,15,3,44,35,0,0,7,0,3,0,3,118,15,145,201,664,303,308,277,186,46,51,30,34,23,15,94,2382,102,1490,2584,3925,2338,2403,2298,1576,313,332,292,274,242,135,737,19039
Bathurst,10301,0,0,10,0,8,12,26,38,3,6,0,10,3,4,0,116,0,3,0,0,0,5,12,16,3,0,6,0,0,0,0,53,0,0,0,0,0,13,9,12,3,3,3,9,3,3,0,56,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,128,235,311,142,89,66,54,15,12,25,0,11,13,57,1167,0,0,4,8,4,6,23,8,0,0,3,9,4,3,0,81,0,0,0,0,6,10,7,6,4,3,3,3,0,0,19,65,0,0,4,0,5,3,3,3,0,0,0,0,6,0,0,26,3,32,38,117,45,48,99,78,13,8,8,17,23,21,47,604,20,296,429,631,399,392,534,465,105,104,106,95,109,72,306,4064
Lachlan Valley,10302,0,0,3,9,17,6,45,22,0,13,0,0,0,0,0,118,0,0,0,0,0,4,0,13,3,6,0,0,0,0,0,30,0,0,0,0,0,4,10,3,5,0,0,0,3,3,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,111,192,262,60,52,46,23,3,7,3,6,11,3,38,845,0,0,0,12,3,3,14,5,5,0,3,0,3,0,3,55,0,0,0,0,3,12,0,12,0,0,0,0,0,0,0,27,0,0,0,0,3,0,0,9,0,4,0,0,0,0,0,25,0,28,27,67,18,25,64,28,5,10,17,16,3,3,15,341,27,315,354,484,230,244,334,328,69,136,65,98,49,28,127,2898
Lithgow - Mudgee,10303,0,0,3,7,7,15,22,17,9,19,0,0,0,0,3,98,0,0,0,0,4,3,0,6,0,0,0,4,0,0,3,20,0,0,0,0,0,5,10,13,3,3,0,3,8,0,3,47,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,131,279,452,167,81,82,39,5,4,4,3,8,0,74,1337,0,0,0,21,12,9,17,18,0,5,0,0,0,0,6,94,0,0,0,0,7,5,7,11,8,0,4,3,0,3,19,67,0,0,0,0,4,0,4,7,0,0,0,0,0,0,0,16,0,35,63,131,45,40,46,30,0,10,3,7,8,7,56,476,21,329,549,846,441,348,371,306,46,80,42,48,62,27,303,3816
Orange,10304,0,0,0,3,14,17,53,60,7,18,10,3,0,3,5,200,0,0,0,0,0,5,4,20,0,11,13,0,0,0,0,67,0,0,0,0,0,6,6,15,0,3,4,0,0,3,0,48,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,19,16,124,224,342,107,87,112,66,12,27,28,9,7,9,52,1224,0,0,3,12,9,17,16,20,4,8,3,0,3,0,6,99,0,0,0,0,7,5,3,7,3,0,0,3,3,0,3,45,0,0,0,0,4,3,30,33,12,4,22,4,0,0,0,109,6,46,50,74,49,60,124,153,36,32,15,28,22,21,30,748,36,371,462,678,438,444,627,724,156,260,180,128,112,82,194,4886
Clarence Valley,10401,0,0,5,9,14,17,23,14,4,3,9,0,0,0,3,91,0,4,3,3,6,8,0,6,0,0,0,3,0,0,0,29,0,0,0,0,0,5,7,7,0,7,0,5,3,3,3,43,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,18,186,386,463,139,98,88,59,12,19,5,13,15,3,72,1572,0,3,14,23,13,8,13,14,6,4,5,4,3,7,0,121,0,0,0,0,0,0,0,9,4,3,0,0,0,0,10,31,0,0,3,0,0,6,7,7,0,4,0,0,0,0,0,29,0,40,51,100,61,44,45,30,3,4,7,11,14,8,26,448,28,441,624,820,472,400,343,293,59,77,57,77,66,37,200,3995
Coffs Harbour,10402,0,3,15,33,49,36,84,92,11,8,0,4,13,11,4,349,0,0,6,0,0,7,3,11,3,0,0,0,0,0,0,30,0,0,0,0,10,10,19,30,11,6,12,13,9,11,9,143,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,3,3,0,0,0,0,0,3,0,0,15,29,377,756,1088,373,290,338,235,61,58,47,19,29,10,148,3860,0,7,8,50,49,35,47,45,8,4,9,6,6,3,12,284,0,0,0,3,3,6,3,8,0,3,0,8,5,0,0,49,0,0,0,3,14,3,18,3,3,0,0,0,3,0,0,49,12,71,145,234,126,152,231,338,72,146,150,147,184,116,101,2231,66,842,1373,1959,1264,1133,1331,1471,269,373,386,398,418,268,482,12027
Bourke - Cobar - Coonamble,10501,0,0,0,3,7,0,3,28,0,6,9,0,0,0,0,57,0,0,0,0,0,4,3,3,0,0,3,3,0,0,0,19,0,0,0,0,0,0,4,3,0,0,4,0,0,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,55,56,85,25,23,19,21,3,4,3,4,3,4,21,319,0,0,0,3,3,4,3,8,0,0,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,15,0,13,37,79,23,26,12,57,11,24,3,11,6,0,27,316,4,115,156,252,143,151,130,247,54,59,50,47,30,17,74,1525
Broken Hill and Far West,10502,0,0,0,0,3,3,3,14,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5,3,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,52,72,17,25,14,16,0,3,5,0,3,3,15,259,0,3,0,4,4,0,5,4,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,9,9,19,12,14,18,15,3,4,3,0,10,0,6,123,4,106,110,144,77,100,97,134,23,38,37,25,34,15,56,1002
Dubbo,10503,0,0,4,4,8,17,33,16,3,9,3,8,7,0,0,113,0,0,0,0,3,11,21,54,12,13,8,8,17,3,3,145,0,0,0,0,3,0,7,5,0,0,3,0,9,0,0,37,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,10,12,145,214,288,96,63,49,41,15,9,19,14,7,9,47,1011,0,0,14,13,13,14,24,12,0,3,3,0,0,0,4,95,0,0,0,0,10,6,5,16,0,3,3,0,5,5,10,55,0,0,4,3,3,0,13,43,0,0,0,0,10,5,0,85,3,25,58,77,38,43,61,209,37,27,39,25,27,49,51,761,21,318,442,576,365,376,482,827,161,186,187,154,185,125,273,4678
Lower Hunter,10601,0,0,3,6,17,12,54,94,5,17,9,3,6,0,3,229,0,0,0,0,0,3,0,9,3,0,0,6,3,0,3,34,0,0,0,0,3,8,25,32,3,5,3,16,7,4,8,110,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,9,8,210,358,549,235,175,156,124,13,15,13,14,8,4,89,1978,0,3,6,12,14,18,38,22,8,3,4,5,3,8,8,152,0,0,0,0,7,3,10,5,0,3,3,7,0,0,7,49,0,0,0,3,6,3,7,8,3,0,0,0,0,0,0,34,3,52,51,113,76,56,74,58,3,23,3,11,13,3,60,607,22,489,614,960,697,642,712,694,150,153,92,114,81,35,349,5791
Maitland,10602,0,0,0,8,18,18,74,114,11,19,18,11,11,0,3,301,0,3,0,0,7,6,0,10,3,0,3,6,3,0,0,38,0,0,0,0,6,4,22,8,3,6,9,3,0,4,4,69,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,7,22,151,269,370,218,165,167,147,37,13,21,25,8,7,55,1679,0,3,3,12,20,16,24,23,4,15,0,3,14,0,0,135,0,0,0,0,8,6,11,6,0,5,3,10,0,0,0,50,0,0,0,0,6,5,25,54,3,7,3,0,6,0,0,114,3,40,45,93,83,63,119,77,18,25,25,17,18,11,30,670,27,482,501,716,671,630,856,924,197,170,170,154,121,59,168,5850
Port Stephens,10603,0,0,6,16,54,29,50,83,10,14,6,7,0,0,0,290,0,0,4,3,0,4,0,0,0,0,0,0,0,0,5,18,0,0,0,0,4,9,32,15,5,3,8,8,0,5,8,99,0,0,4,10,4,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,0,7,3,0,0,0,0,0,0,0,3,15,27,367,607,911,404,222,278,271,44,33,46,21,15,5,102,3349,0,0,9,17,21,13,46,31,6,5,9,5,5,8,8,187,0,0,0,3,7,3,4,15,0,0,3,0,0,0,3,37,0,0,3,0,9,4,4,12,3,0,0,3,0,0,0,39,3,74,103,232,119,84,86,84,19,10,7,19,18,4,35,895,43,816,1129,1643,1035,747,860,798,154,120,114,115,100,62,300,8022
Upper Hunter,10604,0,0,0,4,13,6,11,37,10,0,0,0,0,0,0,78,0,0,0,0,0,10,0,8,0,7,3,0,0,0,0,27,0,0,0,0,0,4,4,10,3,0,0,0,0,5,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,46,94,167,40,32,44,33,17,4,19,5,21,7,29,565,0,0,3,4,4,7,9,7,0,0,4,0,3,0,9,46,0,0,0,0,3,3,0,8,0,3,0,0,24,0,11,51,0,0,0,3,3,0,9,19,0,0,3,0,0,0,0,43,0,6,9,33,12,20,35,68,10,14,12,10,19,0,24,266,6,111,152,306,182,217,258,369,86,97,127,78,125,48,182,2337
Dapto - Port Kembla,10701,0,4,0,14,8,3,32,16,4,3,0,0,0,0,0,88,0,0,0,5,9,17,9,19,0,3,0,0,3,0,0,65,0,0,0,3,8,12,45,27,3,3,10,0,6,0,3,122,0,3,164,1072,234,160,80,48,0,3,4,5,4,0,67,1856,0,0,0,58,35,35,26,5,0,0,6,0,0,0,11,167,22,455,807,1690,386,188,132,107,18,24,28,9,14,4,172,4041,0,0,7,18,13,17,33,40,9,6,8,0,6,15,4,173,0,0,0,0,116,44,24,22,9,8,7,3,0,3,6,240,0,0,0,0,0,0,15,10,0,3,0,0,0,0,0,31,5,86,401,1020,358,353,251,187,27,40,74,156,65,68,138,3214,43,1113,2620,4696,1673,1361,1247,896,145,190,274,259,150,137,683,15492
