sa3_name16,sa3_code16,hysc_y10_e_no_in_f,hysc_y10_e_no_in_p,hysc_y10_e_in_s_nsm,hysc_y10_e_in_s_nsf,hysc_y10_e_in_s_nsp,hysc_y10_e_totm,hysc_y10_e_totf,hysc_y10_e_totp,hysc_y9_e_ind_m,hysc_y9_e_ind_f,hysc_y9_e_ind_p,hysc_y9_e_no_in_m,hysc_y9_e_no_in_f,hysc_y9_e_no_in_p,hysc_y9_e_in_st_nsm,hysc_y9_e_in_st_nsf,hysc_y9_e_in_st_nsp,hysc_y9_e_totm,hysc_y9_e_totf,hysc_y9_e_totp,hysc_y8_bel_ind_m,hysc_y8_bel_ind_f,hysc_y8_bel_ind_p,hysc_y8_bel_no_ind_m,hysc_y8_bel_no_ind_f,hysc_y8_bel_no_ind_p,hysc_y8_be_in_st_nsm,hysc_y8_be_in_st_nsf,hysc_y8_be_in_st_nsp,hysc_y8_bel_totm,hysc_y8_bel_totf,hysc_y8_bel_totp,hysc_dng_to_sc_ind_m,hysc_dng_to_sc_ind_f,hysc_dng_to_sc_ind_p,hysc_dng_to_sc_no_in_m,hysc_dng_to_sc_no_in_f,hysc_dng_to_sc_no_in_p,hysc_dng_sc_in_st_nsm,hysc_dng_sc_in_st_nsf,hysc_dng_sc_in_st_nsp,hysc_dng_to_sc_totm,hysc_dng_to_sc_totf,hysc_dng_to_sc_totp,tpe_ur_occ_pvte_dwg_sh_indi_m,tpe_ur_occ_pvte_dwg_sh_indi_f,tpe_ur_occ_pvte_dwg_sh_indi_p,tpe_ur_occ_pte_dw_sh_no_ind_m,tpe_ur_occ_pte_dw_sh_no_ind_f,tpe_ur_occ_pte_dw_sh_no_ind_p,t_ur_occ_pte_dw_sh_in_st_nsm,t_ur_occ_pte_dw_sh_in_st_nsf,t_ur_occ_pte_dw_sh_in_st_nsp,tpe_ur_occ_pvte_dwg_sh_totm,tpe_ur_occ_pvte_dwg_sh_totf,tpe_ur_occ_pvte_dwg_sh_totp,t_ur_oc_p_dw_im_h_t_s_o_in_m,t_ur_oc_p_dw_im_h_t_s_o_in_f,t_ur_oc_p_dw_im_h_t_s_o_in_p,t_ur_o_pr_d_i_h_t_s_o_no_in_m,t_ur_o_pr_d_i_h_t_s_o_no_in_f,t_ur_o_pr_d_i_h_t_s_o_no_in_p,t_ur_o_p_d_i_h_t_s_o_i_s_nsm,t_ur_o_p_d_i_h_t_s_o_i_s_nsf,t_ur_o_p_d_i_h_t_s_o_i_s_nsp,t_ur_o_p_d_i_h_t_s_o_totm,t_ur_o_p_d_i_h_t_s_o_totf,t_ur_o_p_d_i_h_t_s_o_totp,ty_ur_oc_p_dw_ot_p_dw_in_m,ty_ur_oc_p_dw_ot_p_dw_in_f,ty_ur_oc_p_dw_ot_p_dw_in_p,ty_ur_o_pr_d_ot_pr_d_no_in_m,ty_ur_o_pr_d_ot_pr_d_no_in_f,ty_ur_o_pr_d_ot_pr_d_no_in_p,ty_ur_o_p_d_o_p_d_in_st_nsm,ty_ur_o_p_d_o_p_d_in_st_nsf,ty_ur_o_p_d_o_p_d_in_st_nsp,ty_ur_oc_pr_dw_ot_pr_dw_totm,ty_ur_oc_pr_dw_ot_pr_dw_totf,ty_ur_oc_pr_dw_ot_pr_dw_totp,ty_ur_occ_pri_dw_tot_ind_m,ty_ur_occ_pri_dw_tot_ind_f,ty_ur_occ_pri_dw_tot_ind_p,ty_ur_occ_pri_dw_tot_no_ind_m,ty_ur_occ_pri_dw_tot_no_ind_f,ty_ur_occ_pri_dw_tot_no_ind_p,ty_ur_oc_pr_dw_tot_in_st_nsm,ty_ur_oc_pr_dw_tot_in_st_nsf,ty_ur_oc_pr_dw_tot_in_st_nsp,ty_ur_occ_pri_dw_tot_totm,ty_ur_occ_pri_dw_tot_totf,ty_ur_occ_pri_dw_tot_totp,ty_ur_non_pri_dw_ind_m,ty_ur_non_pri_dw_ind_f,ty_ur_non_pri_dw_ind_p,ty_ur_non_pri_dw_nonind_m,ty_ur_non_pri_dw_nonind_f,ty_ur_non_pri_dw_nonind_p,ty_ur_non_pri_dw_indst_nsm,ty_ur_non_pri_dw_indst_nsf,ty_ur_non_pri_dw_indst_nsp,tpe_ur_non_pvte_dwg_totm,tpe_ur_non_pvte_dwg_totf,tpe_ur_non_pvte_dwg_totp
Queanbeyan,10102,4366,9072,47,49,90,4901,4607,9514,71,74,149,1226,1080,2309,14,9,20,1309,1174,2482,39,29,72,858,796,1649,13,13,26,912,837,1748,4,0,3,83,95,171,0,3,3,84,95,182,648,648,1303,19869,19754,39618,1284,1319,2597,21801,21719,43521,0,0,0,34,27,62,7,9,18,46,34,80,163,173,338,4429,4506,8929,401,366,760,4985,5047,10032,809,827,1641,24334,24279,48617,1686,1692,3381,26834,26804,53635,9,4,14,164,196,360,126,57,186,302,255,555
Snowy Mountains,10103,1857,4040,26,22,48,2268,1922,4192,16,16,36,585,501,1085,4,4,15,606,525,1133,12,15,22,395,330,726,4,7,11,416,345,761,0,0,0,37,23,58,0,0,0,43,23,61,178,142,316,6870,6839,13710,454,462,913,7496,7442,14940,0,5,4,10,5,19,6,0,9,16,12,27,21,12,36,762,631,1390,102,92,197,888,744,1626,193,161,359,7645,7471,15119,563,561,1119,8401,8196,16597,32,0,30,464,190,656,148,127,273,643,318,961
South Coast,10104,8359,16750,103,100,207,8760,8796,17560,159,161,321,2460,2418,4876,39,28,74,2658,2604,5265,116,110,227,1643,1433,3074,16,25,44,1777,1564,3337,6,10,17,66,47,114,0,0,3,72,58,138,1194,1306,2500,24407,25385,49792,1683,1715,3402,27288,28411,55699,3,0,4,48,39,88,16,10,31,67,53,123,183,178,367,3149,3460,6605,365,373,742,3699,4014,7714,1387,1484,2873,27604,28880,56487,2067,2099,4174,31061,32472,63528,9,6,20,356,622,974,88,93,187,451,723,1177
Goulburn - Mulwaree,10105,4173,8573,52,50,104,4563,4345,8917,42,58,104,1289,1211,2495,15,17,34,1344,1288,2632,38,30,69,901,715,1619,12,13,30,956,759,1714,3,7,5,79,50,133,0,3,3,87,58,141,492,553,1044,13383,13477,26864,900,890,1790,14771,14915,29689,0,0,0,30,29,65,3,0,3,31,30,65,39,39,75,1010,1066,2072,110,119,235,1159,1228,2381,530,593,1122,14417,14581,28999,1019,1011,2027,15967,16178,32143,126,9,131,738,348,1084,40,23,57,900,381,1282
Young - Yass,10106,3601,7521,46,40,92,4097,3775,7876,47,56,99,1163,1035,2193,15,18,30,1221,1107,2324,49,37,78,797,641,1436,11,22,41,860,696,1553,0,3,7,62,41,105,0,0,3,69,46,112,565,535,1103,14097,14553,28648,872,908,1785,15535,15996,31533,0,0,0,23,14,39,3,3,7,30,22,54,36,25,63,633,751,1382,84,80,166,753,857,1610,606,558,1160,14755,15320,30071,960,997,1959,16320,16876,33195,3,4,3,131,252,379,14,14,26,139,267,410
Gosford,10201,19516,37109,172,166,344,18257,20202,38458,207,183,390,4770,5584,10353,57,58,113,5032,5825,10853,99,98,198,2321,2654,4973,43,50,88,2460,2800,5260,8,9,18,173,173,346,3,0,4,189,178,371,1768,1840,3608,59292,61436,120725,2548,2598,5143,63605,65871,129479,0,0,0,9,7,11,3,3,3,7,9,15,409,419,828,11586,14287,25873,846,1024,1870,12847,15731,28580,2175,2266,4442,70885,75722,146610,3400,3621,7020,76461,81608,158069,60,3,68,726,1141,1864,139,226,366,929,1373,2299
Wyong,10202,21109,40994,170,206,382,20911,22184,43097,331,355,685,5640,6395,12038,63,63,124,6035,6815,12851,155,153,312,3110,3245,6354,54,51,103,3319,3444,6767,8,8,21,233,176,412,6,0,6,255,187,438,3204,3290,6495,57762,60478,118240,2725,2844,5568,63687,66610,130295,0,0,3,23,24,52,8,3,10,34,29,66,390,423,813,7018,8747,15770,776,972,1748,8186,10148,18332,3592,3712,7308,64807,69253,134062,3502,3819,7320,71903,76788,148693,25,19,43,652,912,1563,233,302,536,919,1226,2144
Bathurst,10301,4772,9948,51,54,103,5432,5033,10468,80,100,181,1336,1310,2644,13,11,29,1433,1416,2851,60,43,106,854,740,1590,10,8,17,922,790,1711,3,3,11,53,55,105,3,0,4,55,57,117,882,936,1816,16525,16931,33452,1054,1071,2124,18454,18937,37397,0,0,0,5,3,10,0,0,0,10,4,13,109,141,247,1565,1648,3207,195,217,406,1861,2001,3865,987,1076,2070,18093,18578,36672,1248,1290,2532,20327,20945,41270,222,16,242,1184,551,1731,166,233,400,1577,802,2374
Lachlan Valley,10302,6326,13177,82,70,151,7451,6985,14443,237,227,466,2128,1866,3995,34,33,73,2400,2128,4529,223,145,366,1657,1214,2876,30,23,55,1917,1376,3296,19,8,24,82,45,122,4,3,6,104,52,156,2122,2296,4419,19713,19819,39534,1940,1885,3829,23779,24000,47778,6,3,5,17,16,34,7,4,9,27,18,46,111,88,199,947,1012,1957,174,204,382,1233,1308,2539,2239,2386,4628,20673,20851,41522,2123,2091,4218,25037,25324,50365,31,33,61,268,519,789,60,83,142,363,630,997
Lithgow - Mudgee,10303,5441,11577,84,73,165,6526,5779,12303,108,117,228,1673,1617,3294,17,31,47,1798,1765,3563,90,60,153,1196,991,2185,25,23,49,1316,1073,2387,6,3,11,56,40,99,0,3,3,67,44,109,1105,1100,2212,16587,16674,33265,1922,1914,3836,19616,19696,39313,3,0,3,21,13,34,8,4,13,33,15,48,76,72,151,1319,1344,2661,186,196,384,1574,1619,3191,1188,1178,2360,17923,18035,35957,2118,2116,4230,21224,21330,42551,82,4,86,576,323,900,33,32,64,686,361,1046
