sa3_code16,p_foodhosppersserv_occ_mng,p_foodhosppersserv_occ_pro,p_foodhosppersserv_occ_ttw,p_foodhosppersserv_occ_cps,p_foodhosppersserv_occ_ca,p_foodhosppersserv_occ_sal,p_foodhosppersserv_occ_mod,p_foodhosppersserv_occ_lab,p_foodhosppersserv_occ_idns,p_foodhosppersserv_total,p_mixfieldprog_occ_mng,p_mixfieldprog_occ_pro,p_mixfieldprog_occ_ttw,p_mixfieldprog_occ_cps,p_mixfieldprog_occ_ca,p_mixfieldprog_occ_sal,p_mixfieldprog_occ_mod,p_mixfieldprog_occ_lab,p_mixfieldprog_occ_idns,p_mixfieldprog_total,p_fs_id_occ_mng,p_fs_id_occ_pro,p_fs_id_occ_ttw,p_fs_id_occ_cps,p_fs_id_occ_ca,p_fs_id_occ_sal,p_fs_id_occ_mod,p_fs_id_occ_lab,p_fs_id_occ_idns,p_fs_id_total,p_fs_ns_occ_mng,p_fs_ns_occ_pro,p_fs_ns_occ_ttw,p_fs_ns_occ_cps,p_fs_ns_occ_ca,p_fs_ns_occ_sal,p_fs_ns_occ_mod,p_fs_ns_occ_lab,p_fs_ns_occ_idns,p_fs_ns_total,p_tot_occ_mng,p_tot_occ_pro,p_tot_occ_ttw,p_tot_occ_cps,p_tot_occ_ca,p_tot_occ_sal,p_tot_occ_mod,p_tot_occ_lab,p_tot_occ_idns,p_total_total,sa3_name16
10102,108,35,341,121,191,95,42,76,19,1030,4,4,0,3,3,3,0,0,0,20,76,64,27,37,65,11,20,17,19,340,66,57,81,57,92,34,32,59,67,552,3747,5300,3019,2013,3264,925,583,806,413,20083,Queanbeyan
10103,62,3,138,61,41,29,11,40,3,395,0,0,0,0,0,0,0,0,0,10,27,14,9,16,9,6,6,3,8,98,55,15,30,33,33,20,34,36,32,285,1209,1183,1014,737,688,392,297,503,108,6135,Snowy Mountains
10104,141,28,501,189,115,146,44,171,16,1342,0,0,0,0,0,0,0,3,0,13,36,31,25,23,27,10,13,30,3,212,78,55,112,76,55,84,37,115,64,671,2296,3916,3233,2294,1828,1154,655,1408,253,17046,South Coast
10105,68,10,199,106,53,56,24,52,4,577,0,0,0,0,0,0,3,7,0,10,19,11,9,13,15,3,18,6,13,104,70,26,44,60,33,35,46,59,45,414,1473,1990,1621,1581,1102,512,555,641,146,9623,Goulburn - Mulwaree
10106,68,16,173,68,64,35,33,79,3,542,0,0,0,0,3,0,0,3,0,6,33,29,12,14,23,0,12,13,3,148,58,38,63,43,49,37,38,66,33,420,2239,2408,1592,1119,1258,462,397,776,162,10409,Young - Yass
10201,307,94,999,482,331,308,97,241,19,2874,5,6,7,10,7,5,0,5,0,50,82,131,63,60,74,36,51,27,23,550,128,124,208,160,159,119,96,166,204,1359,6686,14943,8367,6041,6501,3090,1527,2619,767,50535,Gosford
10202,297,82,967,466,300,311,124,259,25,2822,0,3,8,3,7,0,4,13,0,45,50,48,69,57,45,16,60,42,20,405,85,85,224,166,134,153,141,229,167,1385,4439,8528,8125,5853,4902,2758,2005,2880,658,40153,Wyong
10301,91,20,286,133,68,56,40,88,7,800,0,4,0,0,4,3,3,4,0,19,15,19,16,18,21,7,20,8,13,146,49,25,63,37,31,29,33,80,49,406,1821,3439,2349,1793,1540,742,677,948,191,13505,Bathurst
10302,109,15,222,116,68,71,47,74,5,721,4,0,0,0,4,0,0,0,0,12,24,22,14,17,12,6,19,11,3,122,135,52,91,66,33,68,78,109,66,696,2741,2736,2188,1522,1344,712,829,999,214,13272,Lachlan Valley
10303,52,24,242,120,74,67,70,75,10,731,3,0,4,0,0,7,4,7,0,24,17,12,14,11,12,4,32,15,3,127,51,28,94,42,51,52,82,75,47,521,1535,2124,2448,1324,1255,581,1180,813,167,11418,Lithgow - Mudgee
