SA3_MAIN11,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,SA3_NAME11
21402,43,1733,538,260,1351,1.1,1055,2.4,Mornington Peninsula
21501,44,997,478,145,1093,1.1,854,2.3,Grampians
21502,39,1270,463,170,1092,1.1,878,2.5,Mildura
21503,42,1054,450,140,1022,1.1,819,2.4,Murray River - Swan Hill
21601,42,1300,469,170,1100,1.1,886,2.4,Campaspe
21602,44,1200,437,160,1001,1.1,828,2.4,Moira
21603,38,1300,510,185,1206,1.1,980,2.5,Shepparton
10101,41,1517,530,180,1307,1.1,1013,2.5,Goulburn - Yass
10102,37,2045,833,280,2069,1.1,1685,2.6,Queanbeyan
10103,41,1300,555,180,1256,1.1,967,2.3,Snowy Mountains
10104,49,1304,437,205,972,1.1,813,2.3,South Coast
10201,42,1950,534,280,1395,1.1,1090,2.5,Gosford
10202,40,1733,469,260,1169,1.1,932,2.5,Wyong
10301,37,1619,542,210,1416,1.1,1122,2.5,Bathurst
10302,42,1083,437,140,1025,1.1,824,2.4,Lachlan Valley
10303,42,1517,446,180,1181,1.1,903,2.4,Lithgow - Mudgee
10304,37,1600,573,210,1450,1.1,1159,2.5,Orange
10401,46,1300,397,210,925,1.1,769,2.4,Clarence Valley
10402,43,1517,460,250,1065,1.1,881,2.4,Coffs Harbour
10501,39,953,461,115,1112,1.1,875,2.4,Bourke - Cobar - Coonamble
10502,43,920,417,140,988,1.1,792,2.3,Broken Hill and Far West
10503,39,1300,506,160,1162,1.1,932,2.5,Dubbo
10601,37,1700,511,235,1416,1.1,1182,2.6,Lower Hunter
10602,36,1740,569,260,1583,1.1,1315,2.7,Maitland
10603,43,1700,493,250,1212,1.1,979,2.5,Port Stephens
10604,36,1733,584,200,1534,1.1,1235,2.5,Upper Hunter
10701,39,1775,437,205,1241,1.1,1004,2.6,Dapto - Port Kembla
10702,16,0,100,221,900,0.0,1375,1.0,Illawarra Catchment Reserve
20606,35,2405,972,361,2447,1.1,1695,2.0,Stonnington - West
20607,33,2284,865,370,2195,1.2,1682,2.2,Yarra
20701,38,2400,773,364,2505,1.1,1893,2.6,Boroondara
20702,43,2000,547,360,1609,1.1,1387,2.7,Manningham - West
20703,38,2000,544,325,1702,1.1,1295,2.6,Whitehorse - West
20801,42,2400,758,390,2426,1.1,1826,2.6,Bayside
20902,36,1800,457,281,1253,1.2,1053,2.5,Darebin - North
20903,39,1950,689,309,2031,1.1,1826,3.0,Nillumbik - Kinglake
20904,34,1842,526,300,1387,1.1,1286,3.0,Whittlesea - Wallan
21001,41,1900,545,310,1543,1.1,1293,2.7,Keilor
21002,40,1733,629,258,1757,1.1,1542,2.8,Macedon Ranges
21003,37,1800,463,295,1240,1.1,1044,2.6,Moreland - North
21004,36,1647,627,270,1634,1.1,1416,2.8,Sunbury
11702,36,2500,730,360,1884,1.2,1567,2.4,Marrickville - Sydenham - Petersham
11703,32,2515,888,465,2273,1.3,1644,2.0,Sydney Inner City
21005,32,1733,436,289,1222,1.1,1157,3.1,Tullamarine - Broadmeadows
21101,38,1733,598,300,1610,1.1,1401,2.8,Knox
20802,37,2100,674,335,1916,1.1,1441,2.5,Glen Eira
20803,39,2000,639,300,1723,1.1,1318,2.5,Kingston
20804,36,2500,783,348,2485,1.1,1769,2.5,Stonnington - East
20901,39,1900,618,300,1730,1.1,1394,2.6,Banyule
