gml_id,sa3_code16,tot_mgr,tot_pfn,tot_tch_trwk,tot_co_pswk,tot_cl_adwk,tot_sal,tot_mchop,tot_lab,tot_inad_ns,tot_to,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-600f,"10102","4755","5930","4024","3049","5414","2365","1424","2186","668","29823",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-600e,"10103","2900","3152","2050","1964","1672","1284","951","1448","251","15679",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-600d,"10104","3386","4228","4076","3287","3032","2921","1442","3261","431","26060",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-600c,"10105","2190","2197","2218","2456","1796","1416","1247","1817","262","15611",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-600b,"10106","3234","2685","2210","1607","2098","1257","893","1902","298","16188",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-600a,"10201","8957","16227","10674","8756","10460","7399","3334","6626","1244","73680",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6009,"10202","6394","9402","10723","8389","8482","7343","4949","7680","1128","64486",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6008,"10301","2560","3682","2920","2692","2407","1964","1471","2346","339","20374",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6007,"10302","4672","3011","3064","2171","2274","1860","1941","2804","412","22208",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6006,"10303","2328","2298","3064","1965","2036","1563","2220","2195","305","17979",Lithgow - Mudgee
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6005,"10304","3426","5042","3759","2761","3273","2285","1891","2790","391","25627",Orange
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6004,"10401","2070","2775","2510","2424","2183","1904","1300","2254","310","17725",Clarence Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6003,"10402","4279","6688","4687","4334","4442","3665","1924","4370","595","34976",Coffs Harbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6002,"10501","2133","1304","1228","1094","906","514","1007","1196","228","9598",Bourke - Cobar - Coonamble
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6001,"10502","1038","1287","1110","1162","802","725","748","959","158","7989",Broken Hill and Far West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-6000,"10503","4842","4965","4047","3660","3525","2871","1912","3417","484","29729",Dubbo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fff,"10601","3763","4348","6499","4296","4089","3339","5036","4534","588","36493",Lower Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ffe,"10602","3180","5616","5708","3709","4417","3407","3218","3447","488","33192",Maitland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ffd,"10603","3009","4085","4851","3540","3621","2919","2230","3188","465","27921",Port Stephens
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ffc,"10604","1671","1532","2418","1082","1271","984","2050","1898","206","13113",Upper Hunter
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ffb,"10701","2596","4755","5191","3771","4342","3118","2597","3471","494","30342",Dapto - Port Kembla
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ffa,"10702","0","0","0","0","3","0","0","0","0","7",Illawarra Catchment Reserve
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff9,"10703","3937","6592","6517","4945","5062","4036","3110","3780","595","38578",Kiama - Shellharbour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff8,"10704","6495","15492","7734","7097","7599","4787","2828","4272","866","57165",Wollongong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff7,"10801","1223","1580","1594","1291","1118","1245","599","1286","198","10141",Great Lakes
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff6,"10802","1887","2398","2259","2303","1731","1509","1133","2284","338","15854",Kempsey - Nambucca
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff5,"10803","52","28","40","25","27","16","5","37","8","244",Lord Howe Island
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff4,"10804","3361","5908","4397","3809","3929","3255","1633","3124","440","29855",Port Macquarie
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff3,"10805","2232","3059","2568","2290","2021","2115","1251","2508","290","18336",Taree - Gloucester
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff2,"10901","3610","5128","3973","3234","3538","2849","1867","2842","416","27448",Albury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff1,"10902","1201","630","766","514","572","377","522","910","126","5617",Lower Murray
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5ff0,"10903","3584","2273","2372","1782","1834","1460","1331","2611","305","17547",Upper Murray exc. Albury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fef,"11001","2686","3404","1834","1759","1911","1459","681","1962","211","15912",Armidale
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fee,"11002","2992","1870","1736","1568","1396","1272","929","2216","332","14303",Inverell - Tenterfield
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fed,"11003","2198","1585","1452","1004","1276","918","1212","1428","230","11303",Moree - Narrabri
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fec,"11004","4944","5702","4940","3596","3950","3204","3001","4886","579","34798",Tamworth - Gunnedah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5feb,"11101","5274","11246","8093","6018","7692","5316","3058","4812","698","52201",Lake Macquarie - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fea,"11102","2837","5295","5265","3617","4229","3072","2570","3510","522","30909",Lake Macquarie - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fe9,"11103","7603","20295","9728","9253","9881","7047","4032","6605","1074","75514",Newcastle
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fe8,"11201","4589","7582","4633","4042","3552","3359","1414","3411","562","33142",Richmond Valley - Coastal
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fe7,"11202","3497","4842","3547","3376","3394","2791","1775","4185","435","27847",Richmond Valley - Hinterland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fe6,"11203","3964","6293","5580","4952","4413","3986","2030","4200","610","36033",Tweed Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p42b_industry_of_employment_by_occupation_census_2016.fid--7a4d496e_1724c35c6d1_-5fe5,"11301","3806","2692","2812","1817","2371","1827","1729","3951","391","21399",Griffith - Murrumbidgee (West)
