yr,land_area_ha,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,sa3_code16,sa3_name16,ogc_fid
2018,651119.1,,,,,10102,Queanbeyan,1
2017,,3755.0,15.2,1484.0,4.7,10102,Queanbeyan,2
2016,,3259.0,11.8,1417.0,4.0,10102,Queanbeyan,3
2015,,2914.0,14.2,1363.0,3.2,10102,Queanbeyan,4
2014,,2552.0,,1321.0,,10102,Queanbeyan,5
2018,1428342.2,,,,,10103,Snowy Mountains,6
2017,,1499.0,11.3,365.0,2.2,10103,Snowy Mountains,7
2016,,1347.0,12.3,357.0,2.3,10103,Snowy Mountains,8
2015,,1199.0,19.3,349.0,2.6,10103,Snowy Mountains,9
2014,,1005.0,,340.0,,10103,Snowy Mountains,10
2018,986486.8,,,,,10104,South Coast,11
2017,,7518.0,13.5,5327.0,3.3,10104,South Coast,12
2016,,6626.0,9.7,5159.0,2.0,10104,South Coast,13
2015,,6039.0,12.2,5059.0,2.4,10104,South Coast,14
2014,,5382.0,,4940.0,,10104,South Coast,15
2018,909990.9,,,,,10105,Goulburn - Mulwaree,16
2017,,2600.0,16.1,462.0,4.5,10105,Goulburn - Mulwaree,17
2016,,2240.0,10.9,442.0,2.3,10105,Goulburn - Mulwaree,18
2015,,2019.0,12.5,432.0,4.3,10105,Goulburn - Mulwaree,19
2014,,1794.0,,414.0,,10105,Goulburn - Mulwaree,20
2018,1213617.4,,,,,10106,Young - Yass,21
2017,,3311.0,14.3,905.0,3.2,10106,Young - Yass,22
2016,,2897.0,9.4,877.0,4.2,10106,Young - Yass,23
2015,,2648.0,16.2,842.0,2.9,10106,Young - Yass,24
2014,,2278.0,,818.0,,10106,Young - Yass,25
2018,98842.6,,,,,10201,Gosford,26
2017,,9390.0,12.5,5327.0,2.0,10201,Gosford,27
2016,,8350.0,8.4,5225.0,2.7,10201,Gosford,28
2015,,7700.0,10.0,5090.0,2.1,10201,Gosford,29
2014,,7001.0,,4986.0,,10201,Gosford,30
2018,69264.6,,,,,10202,Wyong,31
2017,,10194.0,12.1,5392.0,3.1,10202,Wyong,32
2016,,9090.0,13.1,5232.0,3.1,10202,Wyong,33
2015,,8038.0,13.9,5073.0,3.0,10202,Wyong,34
2014,,7055.0,,4924.0,,10202,Wyong,35
2018,698418.3,,,,,10301,Bathurst,36
2017,,2996.0,11.7,780.0,1.4,10301,Bathurst,37
2016,,2681.0,10.6,769.0,2.4,10301,Bathurst,38
2015,,2423.0,12.9,751.0,3.6,10301,Bathurst,39
2014,,2147.0,,725.0,,10301,Bathurst,40
2018,4100072.0,,,,,10302,Lachlan Valley,41
2017,,5067.0,12.7,1043.0,1.5,10302,Lachlan Valley,42
2016,,4496.0,11.8,1028.0,1.9,10302,Lachlan Valley,43
2015,,4020.0,19.9,1009.0,2.9,10302,Lachlan Valley,44
2014,,3352.0,,981.0,,10302,Lachlan Valley,45
