yr,land_area_ha,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,sa3_code16,sa3_name16,ogc_fid
2018,1604462.5,,,,,10303,Lithgow - Mudgee,46
2017,,3528.0,13.7,1161.0,1.6,10303,Lithgow - Mudgee,47
2016,,3104.0,12.2,1143.0,1.3,10303,Lithgow - Mudgee,48
2015,,2766.0,15.8,1128.0,3.0,10303,Lithgow - Mudgee,49
2014,,2389.0,,1095.0,,10303,Lithgow - Mudgee,50
2018,626753.2,,,,,10304,Orange,51
2017,,3725.0,10.2,1355.0,2.5,10304,Orange,52
2016,,3381.0,7.7,1322.0,4.7,10304,Orange,53
2015,,3139.0,16.5,1263.0,3.7,10304,Orange,54
2014,,2695.0,,1218.0,,10304,Orange,55
2018,926319.4,,,,,10401,Clarence Valley,56
2017,,5617.0,14.0,5067.0,3.5,10401,Clarence Valley,57
2016,,4927.0,8.1,4897.0,4.0,10401,Clarence Valley,58
2015,,4557.0,12.0,4707.0,3.7,10401,Clarence Valley,59
2014,,4069.0,,4537.0,,10401,Clarence Valley,60
2018,396656.4,,,,,10402,Coffs Harbour,61
2017,,8056.0,12.7,9015.0,3.1,10402,Coffs Harbour,62
2016,,7146.0,9.7,8746.0,3.7,10402,Coffs Harbour,63
2015,,6513.0,12.0,8430.0,2.9,10402,Coffs Harbour,64
2014,,5814.0,,8192.0,,10402,Coffs Harbour,65
2018,16276513.0,,,,,10501,Bourke - Cobar - Coonamble,66
2017,,3170.0,21.4,747.0,1.9,10501,Bourke - Cobar - Coonamble,67
2016,,2611.0,16.7,733.0,1.1,10501,Bourke - Cobar - Coonamble,68
2015,,2238.0,22.8,725.0,3.1,10501,Bourke - Cobar - Coonamble,69
2014,,1822.0,,703.0,,10501,Bourke - Cobar - Coonamble,70
2018,14686018.0,,,,,10502,Broken Hill and Far West,71
2017,,3491.0,11.4,165.0,1.2,10502,Broken Hill and Far West,72
2016,,3134.0,9.2,163.0,1.2,10502,Broken Hill and Far West,73
2015,,2869.0,10.4,161.0,1.9,10502,Broken Hill and Far West,74
2014,,2598.0,,158.0,,10502,Broken Hill and Far West,75
2018,2973839.0,,,,,10503,Dubbo,76
2017,,9219.0,10.8,2027.0,2.3,10503,Dubbo,77
2016,,8322.0,11.3,1981.0,2.6,10503,Dubbo,78
2015,,7480.0,9.4,1931.0,3.7,10503,Dubbo,79
2014,,6838.0,,1862.0,,10503,Dubbo,80
2018,856678.1,,,,,10601,Lower Hunter,81
2017,,6377.0,20.0,4283.0,2.9,10601,Lower Hunter,82
2016,,5316.0,10.9,4161.0,3.7,10601,Lower Hunter,83
2015,,4794.0,12.6,4011.0,4.0,10601,Lower Hunter,84
2014,,4256.0,,3858.0,,10601,Lower Hunter,85
2018,38011.7,,,,,10602,Maitland,86
2017,,4987.0,18.6,2755.0,3.1,10602,Maitland,87
2016,,4205.0,12.0,2672.0,3.2,10602,Maitland,88
2015,,3756.0,12.6,2590.0,3.3,10602,Maitland,89
2014,,3337.0,,2507.0,,10602,Maitland,90
2018,107197.7,,,,,10603,Port Stephens,91
2017,,6267.0,16.7,4563.0,4.9,10603,Port Stephens,92
2016,,5368.0,8.6,4349.0,5.0,10603,Port Stephens,93
2015,,4943.0,9.6,4141.0,4.3,10603,Port Stephens,94
2014,,4511.0,,3970.0,,10603,Port Stephens,95
2018,1147241.8,,,,,10604,Upper Hunter,96
2017,,1933.0,18.4,1325.0,2.2,10604,Upper Hunter,97
2016,,1632.0,16.1,1297.0,2.1,10604,Upper Hunter,98
2015,,1406.0,18.1,1270.0,2.4,10604,Upper Hunter,99
2014,,1191.0,,1240.0,,10604,Upper Hunter,100
2018,16369.6,,,,,10701,Dapto - Port Kembla,101
2017,,4027.0,10.6,2274.0,2.8,10701,Dapto - Port Kembla,102
2016,,3642.0,6.6,2211.0,1.4,10701,Dapto - Port Kembla,103
2015,,3416.0,8.9,2180.0,2.0,10701,Dapto - Port Kembla,104
2014,,3138.0,,2137.0,,10701,Dapto - Port Kembla,105
2018,74434.2,,,,,10702,Illawarra Catchment Reserve,106
2014,,4244.0,,3033.0,,10703,Kiama - Shellharbour,107
2018,39079.8,,,,,10703,Kiama - Shellharbour,108
2017,,5361.0,10.1,3221.0,1.9,10703,Kiama - Shellharbour,109
2016,,4869.0,6.1,3160.0,1.8,10703,Kiama - Shellharbour,110
2015,,4591.0,8.2,3103.0,2.3,10703,Kiama - Shellharbour,111
2018,24008.2,,,,,10704,Wollongong,112
2017,,5106.0,11.3,3392.0,2.3,10704,Wollongong,113
2016,,4587.0,7.1,3317.0,1.8,10704,Wollongong,114
2015,,4283.0,10.4,3257.0,2.1,10704,Wollongong,115
2014,,3880.0,,3191.0,,10704,Wollongong,116
2018,313304.5,,,,,10801,Great Lakes,117
2017,,3269.0,11.0,2153.0,3.5,10801,Great Lakes,118
2016,,2946.0,9.3,2081.0,3.6,10801,Great Lakes,119
2015,,2695.0,11.7,2009.0,5.8,10801,Great Lakes,120
2014,,2412.0,,1899.0,,10801,Great Lakes,121
2018,533932.5,,,,,10802,Kempsey - Nambucca,122
2017,,5032.0,11.0,4765.0,2.8,10802,Kempsey - Nambucca,123
2016,,4533.0,8.4,4635.0,2.4,10802,Kempsey - Nambucca,124
2015,,4180.0,9.9,4527.0,3.2,10802,Kempsey - Nambucca,125
2014,,3805.0,,4388.0,,10802,Kempsey - Nambucca,126
2018,1629.2,,,,,10803,Lord Howe Island,127
2017,,41.0,,63.0,,10803,Lord Howe Island,128
2016,,41.0,13.9,63.0,5.0,10803,Lord Howe Island,129
2015,,36.0,12.5,60.0,7.1,10803,Lord Howe Island,130
2014,,32.0,,56.0,,10803,Lord Howe Island,131
2018,368777.0,,,,,10804,Port Macquarie,132
2017,,8414.0,9.9,9317.0,3.5,10804,Port Macquarie,133
2016,,7659.0,7.4,9006.0,4.4,10804,Port Macquarie,134
2015,,7130.0,8.9,8628.0,4.1,10804,Port Macquarie,135
2014,,6549.0,,8288.0,,10804,Port Macquarie,136
2018,667506.8,,,,,10805,Taree - Gloucester,137
2017,,5926.0,10.8,5068.0,2.3,10805,Taree - Gloucester,138
2016,,5346.0,10.3,4952.0,3.0,10805,Taree - Gloucester,139
2015,,4848.0,13.5,4809.0,2.7,10805,Taree - Gloucester,140
2014,,4270.0,,4684.0,,10805,Taree - Gloucester,141
2018,559748.5,,,,,10901,Albury,142
2017,,5381.0,9.9,967.0,3.1,10901,Albury,143
2016,,4895.0,8.5,938.0,6.0,10901,Albury,144
2015,,4511.0,13.8,885.0,6.1,10901,Albury,145
2014,,3965.0,,834.0,,10901,Albury,146
2018,6396823.5,,,,,10902,Lower Murray,147
2017,,1010.0,11.6,399.0,4.2,10902,Lower Murray,148
2016,,905.0,26.0,383.0,4.6,10902,Lower Murray,149
2015,,718.0,30.8,366.0,4.6,10902,Lower Murray,150
2014,,549.0,,350.0,,10902,Lower Murray,151
2018,2823195.5,,,,,10903,Upper Murray exc. Albury,152
2017,,5202.0,8.9,1038.0,7.5,10903,Upper Murray exc. Albury,153
2016,,4777.0,9.1,966.0,8.3,10903,Upper Murray exc. Albury,154
2015,,4379.0,16.9,892.0,8.4,10903,Upper Murray exc. Albury,155
2014,,3745.0,,823.0,,10903,Upper Murray exc. Albury,156
2018,1639564.9,,,,,11001,Armidale,157
2017,,2680.0,15.5,1404.0,1.7,11001,Armidale,158
2016,,2320.0,10.0,1380.0,1.9,11001,Armidale,159
2015,,2110.0,13.0,1354.0,1.9,11001,Armidale,160
2014,,1868.0,,1329.0,,11001,Armidale,161
2018,3056863.8,,,,,11002,Inverell - Tenterfield,162
2017,,3929.0,16.1,1399.0,2.0,11002,Inverell - Tenterfield,163
2016,,3384.0,14.3,1372.0,2.1,11002,Inverell - Tenterfield,164
2015,,2960.0,21.3,1344.0,4.3,11002,Inverell - Tenterfield,165
2014,,2440.0,,1288.0,,11002,Inverell - Tenterfield,166
2018,3202654.0,,,,,11003,Moree - Narrabri,167
2017,,4219.0,10.9,621.0,2.6,11003,Moree - Narrabri,168
2016,,3804.0,12.9,605.0,2.4,11003,Moree - Narrabri,169
2015,,3368.0,15.5,591.0,7.3,11003,Moree - Narrabri,170
2014,,2915.0,,551.0,,11003,Moree - Narrabri,171
2018,2015508.8,,,,,11004,Tamworth - Gunnedah,172
2017,,5964.0,17.9,2886.0,2.1,11004,Tamworth - Gunnedah,173
2016,,5059.0,12.5,2827.0,2.4,11004,Tamworth - Gunnedah,174
2015,,4495.0,16.6,2761.0,2.7,11004,Tamworth - Gunnedah,175
2014,,3856.0,,2688.0,,11004,Tamworth - Gunnedah,176
2018,13808.6,,,,,11101,Lake Macquarie - East,177
2017,,7302.0,13.4,4996.0,2.7,11101,Lake Macquarie - East,178
2016,,6439.0,9.2,4866.0,3.2,11101,Lake Macquarie - East,179
2015,,5896.0,8.4,4716.0,3.9,11101,Lake Macquarie - East,180
2014,,5438.0,,4538.0,,11101,Lake Macquarie - East,181
2018,50763.3,,,,,11102,Lake Macquarie - West,182
2017,,5860.0,15.4,5090.0,3.7,11102,Lake Macquarie - West,183
2016,,5078.0,13.1,4909.0,3.8,11102,Lake Macquarie - West,184
2015,,4489.0,10.2,4731.0,3.8,11102,Lake Macquarie - West,185
2014,,4074.0,,4560.0,,11102,Lake Macquarie - West,186
2018,22489.3,,,,,11103,Newcastle,187
2017,,8652.0,13.3,4242.0,4.2,11103,Newcastle,188
2016,,7635.0,8.8,4072.0,5.2,11103,Newcastle,189
2015,,7019.0,9.4,3871.0,4.9,11103,Newcastle,190
2014,,6415.0,,3691.0,,11103,Newcastle,191
2018,157288.8,,,,,11201,Richmond Valley - Coastal,192
2017,,10994.0,15.0,10074.0,4.2,11201,Richmond Valley - Coastal,193
2016,,9556.0,8.5,9665.0,5.3,11201,Richmond Valley - Coastal,194
2015,,8808.0,9.2,9179.0,5.1,11201,Richmond Valley - Coastal,195
2014,,8068.0,,8730.0,,11201,Richmond Valley - Coastal,196
2018,739059.9,,,,,11202,Richmond Valley - Hinterland,197
2017,,8745.0,14.9,7686.0,3.5,11202,Richmond Valley - Hinterland,198
2016,,7610.0,7.0,7429.0,3.7,11202,Richmond Valley - Hinterland,199
2015,,7109.0,8.8,7161.0,3.6,11202,Richmond Valley - Hinterland,200
2014,,6532.0,,6910.0,,11202,Richmond Valley - Hinterland,201
2018,130765.6,,,,,11203,Tweed Valley,202
2017,,12269.0,15.1,7892.0,2.5,11203,Tweed Valley,203
2016,,10657.0,8.3,7700.0,2.8,11203,Tweed Valley,204
2015,,9841.0,9.0,7492.0,3.6,11203,Tweed Valley,205
2014,,9030.0,,7229.0,,11203,Tweed Valley,206
2018,2885969.0,,,,,11301,Griffith - Murrumbidgee (West),207
2017,,3407.0,11.3,434.0,1.9,11301,Griffith - Murrumbidgee (West),208
2016,,3061.0,12.3,426.0,2.2,11301,Griffith - Murrumbidgee (West),209
2015,,2726.0,23.2,417.0,4.0,11301,Griffith - Murrumbidgee (West),210
2014,,2212.0,,401.0,,11301,Griffith - Murrumbidgee (West),211
2018,917476.5,,,,,11302,Tumut - Tumbarumba,212
2017,,1427.0,19.1,287.0,2.1,11302,Tumut - Tumbarumba,213
2016,,1198.0,12.4,281.0,1.4,11302,Tumut - Tumbarumba,214
2015,,1066.0,20.9,277.0,4.9,11302,Tumut - Tumbarumba,215
2014,,882.0,,264.0,,11302,Tumut - Tumbarumba,216
2018,1895056.6,,,,,11303,Wagga Wagga,217
2017,,6195.0,11.2,1345.0,1.7,11303,Wagga Wagga,218
2016,,5569.0,8.6,1323.0,2.3,11303,Wagga Wagga,219
2015,,5128.0,14.6,1293.0,2.9,11303,Wagga Wagga,220
2014,,4476.0,,1257.0,,11303,Wagga Wagga,221
2018,437442.6,,,,,11401,Shoalhaven,222
2017,,7908.0,11.5,7713.0,3.0,11401,Shoalhaven,223
2016,,7092.0,7.2,7488.0,2.4,11401,Shoalhaven,224
2015,,6618.0,9.0,7316.0,2.9,11401,Shoalhaven,225
2014,,6071.0,,7107.0,,11401,Shoalhaven,226
2018,233001.4,,,,,11402,Southern Highlands,227
2017,,3543.0,14.6,1184.0,2.2,11402,Southern Highlands,228
2016,,3092.0,10.7,1159.0,2.0,11402,Southern Highlands,229
2015,,2792.0,14.0,1136.0,2.9,11402,Southern Highlands,230
2014,,2449.0,,1104.0,,11402,Southern Highlands,231
2018,7202.6,,,,,11501,Baulkham Hills,232
2017,,8087.0,9.7,2329.0,2.4,11501,Baulkham Hills,233
2016,,7372.0,6.6,2274.0,2.3,11501,Baulkham Hills,234
2015,,6913.0,8.8,2222.0,3.5,11501,Baulkham Hills,235
2014,,6352.0,,2147.0,,11501,Baulkham Hills,236
2018,56923.9,,,,,11502,Dural - Wisemans Ferry,237
2017,,1513.0,13.0,851.0,4.0,11502,Dural - Wisemans Ferry,238
2016,,1339.0,11.4,818.0,2.9,11502,Dural - Wisemans Ferry,239
2015,,1202.0,11.5,795.0,4.1,11502,Dural - Wisemans Ferry,240
2014,,1078.0,,764.0,,11502,Dural - Wisemans Ferry,241
2018,249201.0,,,,,11503,Hawkesbury,242
2017,,1506.0,13.1,837.0,3.1,11503,Hawkesbury,243
2016,,1331.0,11.3,812.0,3.7,11503,Hawkesbury,244
2015,,1196.0,12.0,783.0,3.2,11503,Hawkesbury,245
2014,,1068.0,,759.0,,11503,Hawkesbury,246
2018,11822.4,,,,,11504,Rouse Hill - McGraths Hill,247
2017,,1953.0,14.9,477.0,2.6,11504,Rouse Hill - McGraths Hill,248
2016,,1699.0,9.5,465.0,2.6,11504,Rouse Hill - McGraths Hill,249
2015,,1552.0,13.0,453.0,5.1,11504,Rouse Hill - McGraths Hill,250
2014,,1374.0,,431.0,,11504,Rouse Hill - McGraths Hill,251
2018,5630.7,,,,,11601,Blacktown,252
2017,,7754.0,6.9,2022.0,1.7,11601,Blacktown,253
2016,,7253.0,6.8,1988.0,2.1,11601,Blacktown,254
2015,,6791.0,10.3,1947.0,4.1,11601,Blacktown,255
2014,,6159.0,,1871.0,,11601,Blacktown,256
2018,10306.7,,,,,11602,Blacktown - North,257
2017,,5976.0,11.2,805.0,1.6,11602,Blacktown - North,258
2016,,5376.0,9.9,792.0,1.8,11602,Blacktown - North,259
2015,,4892.0,12.0,778.0,3.6,11602,Blacktown - North,260
2014,,4366.0,,751.0,,11602,Blacktown - North,261
2018,8271.2,,,,,11603,Mount Druitt,262
2017,,5523.0,8.5,1312.0,1.5,11603,Mount Druitt,263
2016,,5088.0,8.5,1293.0,2.5,11603,Mount Druitt,264
2015,,4689.0,9.4,1261.0,2.7,11603,Mount Druitt,265
2014,,4287.0,,1228.0,,11603,Mount Druitt,266
2018,2779.8,,,,,11701,Botany,267
2017,,810.0,8.3,263.0,1.5,11701,Botany,268
2016,,748.0,9.8,259.0,2.8,11701,Botany,269
2015,,681.0,10.9,252.0,2.9,11701,Botany,270
2014,,614.0,,245.0,,11701,Botany,271
2018,2506.4,,,,,11703,Sydney Inner City,272
2017,,1275.0,13.8,663.0,3.9,11703,Sydney Inner City,273
2016,,1120.0,14.4,638.0,2.4,11703,Sydney Inner City,274
2015,,979.0,14.0,623.0,5.1,11703,Sydney Inner City,275
2014,,859.0,,593.0,,11703,Sydney Inner City,276
2017,,1457.0,14.5,542.0,1.5,11801,Eastern Suburbs - North,283
2016,,1272.0,14.5,534.0,2.9,11801,Eastern Suburbs - North,284
2015,,1111.0,17.9,519.0,3.4,11801,Eastern Suburbs - North,285
2014,,942.0,,502.0,,11801,Eastern Suburbs - North,286
2018,3154.8,,,,,11802,Eastern Suburbs - South,287
2017,,2062.0,10.3,951.0,2.0,11802,Eastern Suburbs - South,288
2016,,1869.0,7.8,932.0,2.9,11802,Eastern Suburbs - South,289
2015,,1733.0,13.2,906.0,1.9,11802,Eastern Suburbs - South,290
2014,,1531.0,,889.0,,11802,Eastern Suburbs - South,291
2018,6866.7,,,,,11901,Bankstown,292
2017,,5530.0,8.1,2265.0,2.2,11901,Bankstown,293
2016,,5115.0,7.6,2217.0,2.5,11901,Bankstown,294
2015,,4755.0,10.8,2162.0,2.4,11901,Bankstown,295
2014,,4291.0,,2112.0,,11901,Bankstown,296
2018,2996.5,,,,,11902,Canterbury,297
2017,,2934.0,12.2,873.0,1.6,11902,Canterbury,298
2016,,2616.0,6.3,859.0,3.7,11902,Canterbury,299
2015,,2460.0,8.1,828.0,2.0,11902,Canterbury,300
2014,,2275.0,,812.0,,11902,Canterbury,301
2018,3395.5,,,,,11903,Hurstville,302
2017,,3519.0,11.7,1337.0,2.0,11903,Hurstville,303
2016,,3151.0,5.8,1311.0,2.3,11903,Hurstville,304
2015,,2977.0,7.7,1282.0,1.9,11903,Hurstville,305
2014,,2763.0,,1258.0,,11903,Hurstville,306
2018,3134.8,,,,,11904,Kogarah - Rockdale,307
2017,,2654.0,10.3,834.0,3.1,11904,Kogarah - Rockdale,308
2016,,2407.0,6.5,809.0,1.4,11904,Kogarah - Rockdale,309
2015,,2260.0,9.3,798.0,2.2,11904,Kogarah - Rockdale,310
2014,,2068.0,,781.0,,11904,Kogarah - Rockdale,311
2018,1974.7,,,,,12001,Canada Bay,312
2017,,1458.0,8.9,414.0,1.7,12001,Canada Bay,313
2016,,1339.0,8.6,407.0,3.6,12001,Canada Bay,314
2015,,1233.0,10.9,393.0,3.4,12001,Canada Bay,315
2014,,1112.0,,380.0,,12001,Canada Bay,316
2018,1065.8,,,,,12002,Leichhardt,317
2017,,1149.0,11.9,887.0,6.9,12002,Leichhardt,318
2016,,1027.0,10.7,830.0,4.5,12002,Leichhardt,319
2015,,928.0,13.6,794.0,5.0,12002,Leichhardt,320
2014,,817.0,,756.0,,12002,Leichhardt,321
2018,3414.3,,,,,12003,Strathfield - Burwood - Ashfield,322
2017,,2780.0,8.0,768.0,3.2,12003,Strathfield - Burwood - Ashfield,323
2016,,2573.0,7.1,744.0,4.1,12003,Strathfield - Burwood - Ashfield,324
2015,,2402.0,7.9,715.0,3.8,12003,Strathfield - Burwood - Ashfield,325
2018,1267.0,,,,,11702,Marrickville - Sydenham - Petersham,277
2014,,2226.0,,689.0,,12003,Strathfield - Burwood - Ashfield,326
2017,,1195.0,10.8,433.0,3.6,11702,Marrickville - Sydenham - Petersham,278
2018,3317.4,,,,,12101,Chatswood - Lane Cove,327
2016,,1079.0,9.5,418.0,4.8,11702,Marrickville - Sydenham - Petersham,279
2017,,2366.0,12.7,672.0,2.1,12101,Chatswood - Lane Cove,328
2015,,985.0,9.8,399.0,3.1,11702,Marrickville - Sydenham - Petersham,280
2016,,2099.0,9.0,658.0,2.3,12101,Chatswood - Lane Cove,329
2014,,897.0,,387.0,,11702,Marrickville - Sydenham - Petersham,281
2018,2618.5,,,,,11801,Eastern Suburbs - North,282
2015,,1926.0,12.1,643.0,3.0,12101,Chatswood - Lane Cove,330
2014,,1718.0,,624.0,,12101,Chatswood - Lane Cove,331
2018,13739.9,,,,,12102,Hornsby,332
2017,,2753.0,9.9,1779.0,2.5,12102,Hornsby,333
2016,,2505.0,7.7,1735.0,2.3,12102,Hornsby,334
2015,,2325.0,10.7,1696.0,1.9,12102,Hornsby,335
2014,,2101.0,,1664.0,,12102,Hornsby,336
2018,8554.7,,,,,12103,Ku-ring-gai,337
2017,,3222.0,13.7,1666.0,3.4,12103,Ku-ring-gai,338
2016,,2834.0,8.8,1611.0,3.6,12103,Ku-ring-gai,339
2015,,2605.0,12.8,1555.0,3.1,12103,Ku-ring-gai,340
2014,,2309.0,,1508.0,,12103,Ku-ring-gai,341
2018,1897.6,,,,,12104,North Sydney - Mosman,342
2017,,1000.0,12.1,361.0,2.3,12104,North Sydney - Mosman,343
2016,,892.0,12.2,353.0,2.3,12104,North Sydney - Mosman,344
2015,,795.0,14.2,345.0,2.7,12104,North Sydney - Mosman,345
2014,,696.0,,336.0,,12104,North Sydney - Mosman,346
2018,1434.6,,,,,12201,Manly,347
2017,,866.0,11.7,279.0,1.5,12201,Manly,348
2016,,775.0,9.9,275.0,3.8,12201,Manly,349
2015,,705.0,11.4,265.0,1.5,12201,Manly,350
2014,,633.0,,261.0,,12201,Manly,351
2018,9065.0,,,,,12202,Pittwater,352
2017,,1938.0,10.6,764.0,3.0,12202,Pittwater,353
2016,,1753.0,9.6,742.0,4.7,12202,Pittwater,354
2015,,1599.0,13.2,709.0,3.2,12202,Pittwater,355
2014,,1413.0,,687.0,,12202,Pittwater,356
2018,14921.2,,,,,12203,Warringah,357
2017,,4813.0,9.6,1664.0,2.8,12203,Warringah,358
2016,,4391.0,6.9,1619.0,2.5,12203,Warringah,359
2015,,4106.0,9.2,1579.0,2.3,12203,Warringah,360
2014,,3761.0,,1543.0,,12203,Warringah,361
2018,7386.9,,,,,12301,Camden,362
2017,,3787.0,13.5,948.0,2.4,12301,Camden,363
2016,,3336.0,9.9,926.0,2.5,12301,Camden,364
2015,,3036.0,13.4,903.0,3.0,12301,Camden,365
2014,,2678.0,,877.0,,12301,Camden,366
2018,33422.2,,,,,12302,Campbelltown (NSW),367
2017,,9346.0,9.3,3867.0,1.1,12302,Campbelltown (NSW),368
2016,,8549.0,6.7,3824.0,1.8,12302,Campbelltown (NSW),369
2015,,8015.0,9.2,3756.0,1.4,12302,Campbelltown (NSW),370
2014,,7337.0,,3703.0,,12302,Campbelltown (NSW),371
2018,87036.0,,,,,12303,Wollondilly,372
2017,,3048.0,13.2,1647.0,3.4,12303,Wollondilly,373
2016,,2693.0,8.4,1593.0,4.0,12303,Wollondilly,374
2015,,2484.0,12.4,1532.0,4.0,12303,Wollondilly,375
2014,,2210.0,,1473.0,,12303,Wollondilly,376
2018,94240.8,,,,,12401,Blue Mountains,377
2017,,6159.0,11.2,1733.0,1.7,12401,Blue Mountains,378
2016,,5537.0,8.1,1704.0,2.3,12401,Blue Mountains,379
2015,,5121.0,12.8,1665.0,2.8,12401,Blue Mountains,380
2014,,4539.0,,1620.0,,12401,Blue Mountains,381
2018,245690.9,,,,,12402,Blue Mountains - South,382
2018,35685.9,,,,,12403,Penrith,383
2017,,7743.0,11.3,2787.0,2.9,12403,Penrith,384
2016,,6957.0,9.9,2708.0,2.4,12403,Penrith,385
2015,,6329.0,10.6,2644.0,3.4,12403,Penrith,386
2014,,5721.0,,2556.0,,12403,Penrith,387
2018,17883.9,,,,,12404,Richmond - Windsor,388
2017,,2039.0,14.0,1059.0,5.0,12404,Richmond - Windsor,389
2016,,1789.0,10.6,1009.0,5.1,12404,Richmond - Windsor,390
2015,,1618.0,12.8,960.0,4.2,12404,Richmond - Windsor,391
2014,,1434.0,,921.0,,12404,Richmond - Windsor,392
2018,3311.5,,,,,12405,St Marys,393
2017,,2988.0,9.0,685.0,1.6,12405,St Marys,394
2016,,2742.0,10.3,674.0,2.6,12405,St Marys,395
2015,,2485.0,11.5,657.0,4.6,12405,St Marys,396
2014,,2228.0,,628.0,,12405,St Marys,397
2018,3306.0,,,,,12501,Auburn,398
2017,,2062.0,6.8,782.0,1.4,12501,Auburn,399
2016,,1930.0,7.0,771.0,1.2,12501,Auburn,400
2015,,1803.0,8.6,762.0,1.3,12501,Auburn,401
2014,,1660.0,,752.0,,12501,Auburn,402
2018,2568.7,,,,,12502,Carlingford,403
2017,,2268.0,7.8,1043.0,1.6,12502,Carlingford,404
2016,,2104.0,6.3,1027.0,2.0,12502,Carlingford,405
2015,,1980.0,6.8,1007.0,3.4,12502,Carlingford,406
2014,,1854.0,,974.0,,12502,Carlingford,407
2018,5579.7,,,,,12503,Merrylands - Guildford,408
2017,,4423.0,9.4,1271.0,2.4,12503,Merrylands - Guildford,409
2016,,4044.0,7.9,1241.0,2.1,12503,Merrylands - Guildford,410
2016,,10635.0,8.2,8359.0,10.0,20302,Geelong,490
2015,,3747.0,9.8,1215.0,2.1,12503,Merrylands - Guildford,411
2014,,3412.0,,1190.0,,12503,Merrylands - Guildford,412
2018,4709.1,,,,,12504,Parramatta,413
2017,,4157.0,7.7,1378.0,2.4,12504,Parramatta,414
2016,,3860.0,6.7,1346.0,2.6,12504,Parramatta,415
2015,,3616.0,8.0,1312.0,4.2,12504,Parramatta,416
2014,,3349.0,,1259.0,,12504,Parramatta,417
2018,2217.4,,,,,12601,Pennant Hills - Epping,418
2017,,1635.0,9.5,687.0,1.0,12601,Pennant Hills - Epping,419
2016,,1493.0,5.4,680.0,2.1,12601,Pennant Hills - Epping,420
2015,,1416.0,7.8,666.0,2.5,12601,Pennant Hills - Epping,421
2014,,1313.0,,650.0,,12601,Pennant Hills - Epping,422
2018,4716.3,,,,,12602,Ryde - Hunters Hill,423
2017,,3399.0,9.6,1300.0,2.4,12602,Ryde - Hunters Hill,424
