sa3_code16,m_ind_15_19_pd_gd_gcl,m_ind_15_19_bdl,m_ind_15_19_adip_dipl,m_ind_15_19_ct_iii_iv,m_ind_15_19_ct_i_ii,m_ind_15_19_cl_nfd,m_ind_15_19_loe_ns,m_ind_15_19_tot,m_ind_20_24_pd_gd_gcl,m_ind_20_24_bdl,m_ind_20_24_adip_dipl,m_ind_20_24_ct_iii_iv,m_ind_20_24_ct_i_ii,m_ind_20_24_cl_nfd,m_ind_20_24_loe_ns,m_ind_20_24_tot,m_ind_25_34_pd_gd_gcl,m_ind_25_34_bdl,m_ind_25_34_adip_dipl,m_ind_25_34_ct_iii_iv,m_ind_25_34_ct_i_ii,m_ind_25_34_cl_nfd,m_ind_25_34_loe_ns,m_ind_25_34_tot,m_ind_35_44_pd_gd_gcl,m_ind_35_44_bdl,m_ind_35_44_adip_dipl,m_ind_35_44_ct_iii_iv,m_ind_35_44_ct_i_ii,m_ind_35_44_cl_nfd,m_ind_35_44_loe_ns,m_ind_35_44_tot,m_ind_45_54_pd_gd_gcl,m_ind_45_54_bdl,m_ind_45_54_adip_dipl,m_ind_45_54_ct_iii_iv,m_ind_45_54_ct_i_ii,m_ind_45_54_cl_nfd,m_ind_45_54_loe_ns,m_ind_45_54_tot,m_ind_55_64_pd_gd_gcl,m_ind_55_64_bdl,m_ind_55_64_adip_dipl,m_ind_55_64_ct_iii_iv,m_ind_55_64_ct_i_ii,m_ind_55_64_cl_nfd,m_ind_55_64_loe_ns,m_ind_55_64_tot,m_ind_65ov_ptgdde_gddp_gdct,m_ind_65ov_bdl,m_ind_65ov_adip_dipl,m_ind_65ov_ct_iii_iv,m_ind_65ov_ct_i_ii,m_ind_65ov_cl_nfd,m_ind_65ov_loe_ns,m_ind_65ov_tot,m_ind_tot_pd_gd_gcl,m_ind_tot_bdl,m_ind_tot_adip_dipl,m_ind_tot_ct_iii_iv,m_ind_tot_ct_i_ii,m_ind_tot_cl_nfd,m_ind_tot_loe_ns,m_ind_tot_tot,m_noni_15_19_pd_gd_gcl,m_noni_15_19_bdl,m_noni_15_19_adip_dipl,m_noni_15_19_ct_iii_iv,m_noni_15_19_ct_i_ii,m_noni_15_19_cl_nfd,m_noni_15_19_loe_ns,m_noni_15_19_tot,m_noni_20_24_pd_gd_gcl,m_noni_20_24_bdl,m_noni_20_24_adip_dipl,m_noni_20_24_ct_iii_iv,m_noni_20_24_ct_i_ii,m_noni_20_24_cl_nfd,m_noni_20_24_loe_ns,m_noni_20_24_tot,m_noni_25_34_pd_gd_gcl,m_noni_25_34_bdl,m_noni_25_34_adip_dipl,m_noni_25_34_ct_iii_iv,m_noni_25_34_ct_i_ii,m_noni_25_34_cl_nfd,m_noni_25_34_loe_ns,m_noni_25_34_tot,m_noni_35_44_pd_gd_gcl,m_noni_35_44_bdl,m_noni_35_44_adip_dipl,m_noni_35_44_ct_iii_iv,m_noni_35_44_ct_i_ii,m_noni_35_44_cl_nfd,m_noni_35_44_loe_ns,m_noni_35_44_tot,m_noni_45_54_pd_gd_gcl,m_noni_45_54_bdl,m_noni_45_54_adip_dipl,m_noni_45_54_ct_iii_iv,m_noni_45_54_ct_i_ii,m_noni_45_54_cl_nfd,m_noni_45_54_loe_ns,m_noni_45_54_tot,m_noni_55_64_pd_gd_gcl,m_noni_55_64_bdl,m_noni_55_64_adip_dipl,m_noni_55_64_ct_iii_iv,m_noni_55_64_ct_i_ii,m_noni_55_64_cl_nfd,m_noni_55_64_loe_ns,m_noni_55_64_tot,m_noni_65ov_ptgdde_gddp_gdct,m_noni_65ov_bdl,m_noni_65ov_adip_dipl,m_noni_65ov_ct_iii_iv,m_noni_65ov_ct_i_ii,m_noni_65ov_cl_nfd,m_noni_65ov_loe_ns,m_noni_65ov_tot,m_noni_totpdde_gddp_gdct,m_noni_tot_bdl,m_noni_tot_adip_dipl,m_noni_tot_ct_iii_iv,m_noni_tot_ct_i_ii,m_noni_tot_cl_nfd,m_noni_tot_loe_ns,m_noni_tot_tot,m_is_ns_15_19_pd_gd_gcll,m_is_ns_15_19_bdl,m_is_ns_15_19_adip_dipl,m_is_ns_15_19_ct_iii_iv_l,m_is_ns_15_19_ct_i_ii,m_is_ns_15_19_cl_nfd,m_is_ns_15_19_loe_ns,m_is_ns_15_19_tot,m_is_ns_20_24_pd_gd_gcll,m_is_ns_20_24_bdl,m_is_ns_20_24_addip_and_dipl,m_is_ns_20_24_ct_iii_iv_l,m_is_ns_20_24_ct_i_ii,m_is_ns_20_24_cl_nfd,m_is_ns_20_24_loe_ns,m_is_ns_20_24_tot,m_is_ns_25_34_pd_gd_gcll,m_is_ns_25_34_bdl,m_is_ns_25_34_addip_and_dipl,m_is_ns_25_34_ct_iii_iv_l,m_is_ns_25_34_ct_i_ii_l,m_is_ns_25_34_cl_nfd,m_is_ns_25_34_loe_ns,m_is_ns_25_34_tot,m_is_ns_35_44_pd_gd_gcll,m_is_ns_35_44_bdl,m_is_ns_35_44_adip_dipl,m_is_ns_35_44_ct_iii_iv_l,m_is_ns_35_44_ct_i_ii_l,m_is_ns_35_44_cl_nfd,m_is_ns_35_44_loe_ns,m_is_ns_35_44_tot,m_is_ns_45_54_pdde_gddp_gdc,m_is_ns_45_54_bdl,m_is_ns_45_54_adip_dipl,m_is_ns_45_54_ct_iii_iv_l,m_is_ns_45_54_ct_i_ii_l,m_is_ns_45_54_cl_nfd,m_is_ns_45_54_loe_ns,m_is_ns_45_54_tot,m_is_ns_55_64_pd_gd_gcl,m_is_ns_55_64_bdl,m_is_ns_55_64_adip_dipl,m_is_ns_55_64_ct_iii_iv_l,m_is_ns_55_64_ct_i_ii_l,m_is_ns_55_64_cl_nfd,m_is_ns_55_64_loe_ns,m_is_ns_55_64_tot,m_is_ns_65ov_pd_gd_gcl,m_is_ns_65ov_bdl,m_is_ns_65ov_adip_dipl,m_is_ns_65ov_ct_iii_iv_l,m_is_ns_65ov_ct_i_ii,m_is_ns_65ov_cl_nfd,m_is_ns_65ov_loe_ns,m_is_ns_65ov_tot,m_is_ns_totpdde_gddp_gdct,m_is_ns_tot_bdl,m_is_ns_tot_adip_dipl,m_is_ns_tot_ct_iii_iv_l,m_is_ns_tot_ct_i_ii,m_is_ns_tot_cl_nfd,m_is_ns_tot_loe_ns,m_is_ns_tot_tot,m_t_15_19_pd_gd_gcl,m_t_15_19_bdl,m_t_15_19_adip_dipl,m_t_15_19_ct_iii_iv,m_t_15_19_ct_i_ii,m_t_15_19_cl_nfd,m_t_15_19_loe_ns,m_t_15_19_tot,sa3_name16
10102,0,0,0,8,3,0,7,20,0,0,0,21,0,0,3,27,4,6,8,36,0,0,6,59,0,7,11,29,0,5,4,51,9,6,12,14,0,0,6,53,0,7,4,12,0,0,4,29,0,0,0,3,0,0,3,10,17,27,33,123,7,5,38,246,0,0,6,47,15,3,63,139,3,105,67,372,37,9,34,627,258,620,347,1075,36,36,84,2465,455,600,449,980,22,45,84,2631,594,556,521,1107,22,65,124,2987,401,420,325,916,16,54,105,2238,277,348,236,700,20,70,202,1856,1997,2644,1955,5197,163,285,706,12942,0,0,0,0,0,0,102,102,0,0,0,3,0,0,103,111,0,4,3,8,0,0,264,276,0,5,3,3,0,0,288,305,3,0,3,13,0,0,330,351,0,3,0,6,0,0,239,258,3,0,0,10,0,0,264,282,11,15,12,46,0,3,1590,1678,0,0,6,59,14,3,170,258,Queanbeyan
10103,0,0,0,0,0,0,3,4,0,0,0,3,0,0,3,5,0,0,0,11,0,0,11,23,0,0,0,15,0,0,17,32,0,0,0,9,0,0,4,16,3,0,0,6,0,0,3,11,0,0,3,0,0,0,5,11,5,3,11,41,3,3,42,103,0,0,0,22,11,3,57,93,0,23,20,137,10,6,26,227,29,104,60,392,17,24,89,710,36,134,93,418,10,16,88,797,42,128,133,481,13,23,96,915,80,137,98,431,16,26,76,865,75,134,108,469,9,43,149,977,270,664,516,2348,79,131,578,4590,0,0,0,0,0,0,41,43,0,0,0,0,0,0,56,55,0,0,0,4,0,0,103,107,0,0,0,3,0,0,79,83,0,0,0,10,0,0,108,115,0,0,0,5,0,0,101,108,0,3,0,8,0,0,155,168,0,3,3,31,0,0,638,672,0,0,0,26,8,3,102,143,Snowy Mountains
10104,0,0,0,5,3,0,24,32,0,0,3,31,4,3,8,44,0,3,8,40,3,4,20,83,3,4,5,40,3,4,16,84,3,4,13,36,3,0,16,72,3,6,8,22,0,0,9,54,3,4,4,7,0,0,12,33,6,26,44,177,19,15,108,403,0,0,0,55,11,5,117,195,3,23,22,328,35,25,50,485,61,163,111,922,40,40,99,1436,93,309,213,1021,33,65,118,1860,172,357,329,1494,45,69,153,2626,304,583,481,1900,51,130,249,3700,425,881,720,2407,54,207,835,5526,1060,2304,1877,8134,278,541,1621,15818,0,0,0,0,0,0,100,100,0,0,0,4,0,0,86,89,0,0,0,7,0,0,159,172,0,3,0,7,0,0,210,227,0,3,6,10,0,0,340,360,0,5,4,22,0,0,411,446,3,5,8,22,0,0,675,716,8,16,14,78,0,3,1976,2106,0,0,0,61,12,5,244,330,South Coast
10105,0,0,0,6,0,0,5,11,0,0,0,3,0,3,23,32,0,4,0,14,0,0,65,88,0,3,7,12,0,0,21,50,0,0,3,19,0,0,16,45,4,0,8,8,0,0,8,25,0,0,3,5,0,0,6,15,4,7,19,78,3,3,141,260,0,0,0,45,11,8,71,131,0,41,32,272,22,14,76,456,50,150,130,640,25,26,188,1210,67,173,171,650,19,35,217,1323,73,154,215,722,29,41,169,1404,126,168,204,650,25,33,146,1359,96,198,185,836,14,64,363,1750,415,884,927,3809,134,228,1226,7633,0,0,0,0,0,0,68,67,0,0,0,0,0,0,56,62,0,0,0,3,3,0,114,120,0,0,0,3,0,0,118,124,4,0,3,4,0,0,158,171,3,0,0,4,0,0,137,144,0,6,3,13,0,0,235,253,4,3,8,35,7,4,887,942,0,0,0,53,11,8,147,210,Goulburn - Mulwaree
10106,0,0,0,0,0,0,6,9,0,0,0,10,3,0,3,19,0,3,6,17,0,0,5,35,3,0,10,10,3,0,5,27,0,0,3,16,3,3,3,31,0,0,3,7,0,0,8,20,0,3,3,10,0,0,4,20,3,5,22,83,10,6,35,170,0,0,0,37,19,6,72,137,0,26,19,227,10,11,20,322,30,173,96,539,17,15,47,916,122,259,206,649,14,33,75,1351,160,243,206,702,20,31,89,1449,140,226,185,607,14,44,114,1334,150,246,177,692,15,56,333,1657,606,1173,888,3449,112,197,744,7168,0,0,0,0,0,0,50,50,0,0,0,0,0,0,54,54,0,0,0,3,0,0,86,93,0,3,0,3,0,0,121,133,0,3,3,6,0,0,140,152,0,0,0,4,0,0,166,175,0,0,0,10,0,0,201,214,7,9,5,27,3,3,821,870,0,0,3,38,19,6,134,200,Young - Yass
10201,0,0,3,17,7,0,18,48,3,7,6,50,9,4,20,101,9,15,17,113,11,3,29,202,7,23,25,74,0,0,17,141,4,10,15,68,3,3,9,114,8,17,19,47,3,5,11,98,4,8,5,20,0,0,10,54,31,83,80,394,30,22,119,760,0,0,19,160,43,17,197,429,14,330,172,887,76,46,118,1642,327,1431,732,2645,94,122,248,5608,625,1646,1157,2884,91,146,292,6842,683,1290,1210,3389,90,213,404,7278,683,1250,1005,3135,84,276,427,6854,725,1469,1209,4210,88,443,1377,9522,3067,7411,5500,17307,566,1254,3061,38163,0,0,0,4,0,0,209,214,0,0,0,13,0,0,194,208,0,6,0,18,0,3,401,430,3,7,5,26,0,3,452,499,3,3,4,26,0,4,496,534,3,6,7,33,0,0,503,548,3,15,10,42,0,0,803,875,10,36,26,160,6,9,3062,3316,0,0,20,180,43,17,427,690,Gosford
10202,0,0,0,22,11,3,24,63,0,9,6,71,14,6,15,124,0,13,26,138,8,3,25,222,3,11,19,117,4,4,19,179,6,11,22,114,3,9,16,184,3,6,17,66,0,4,26,120,3,4,9,43,0,0,24,86,22,55,102,573,40,37,143,972,3,0,17,186,58,23,186,466,13,188,106,979,80,62,123,1544,147,712,584,2979,113,125,264,4917,238,726,879,3042,96,146,272,5404,253,584,841,3344,88,199,383,5691,307,624,678,2988,61,216,372,5254,315,655,741,4165,65,346,1422,7706,1268,3486,3842,17689,561,1108,3023,30982,0,0,0,3,0,0,199,202,0,0,0,11,0,0,207,219,0,3,8,17,0,0,411,438,0,3,0,18,0,0,413,435,0,4,5,23,0,0,472,503,0,0,6,22,0,3,468,505,3,8,4,52,3,3,934,1001,6,17,21,147,3,7,3108,3303,3,0,17,212,66,25,410,729,Wyong
10301,0,0,0,0,0,0,24,25,0,0,5,29,7,0,59,93,0,3,5,46,5,0,92,148,3,3,6,32,0,5,45,104,0,3,8,16,0,3,23,49,0,3,9,11,0,0,7,25,3,0,3,9,0,0,8,23,6,14,25,147,20,6,256,469,0,0,4,60,17,3,69,159,6,80,27,367,29,14,210,730,86,326,149,982,35,38,338,1958,122,300,211,832,25,35,233,1758,157,269,255,939,35,42,188,1882,187,231,230,833,19,61,121,1690,165,248,219,878,13,94,298,1914,725,1460,1096,4882,175,289,1468,10094,0,0,0,0,0,0,111,111,0,0,0,4,0,0,160,169,0,0,0,11,0,0,165,174,0,0,0,6,0,0,155,169,0,0,0,7,0,3,183,204,0,0,0,5,0,0,178,183,0,3,3,6,0,0,299,310,0,4,10,37,3,5,1260,1321,0,0,4,62,14,3,205,299,Bathurst
10302,0,0,0,13,0,0,25,44,0,4,0,59,8,3,14,85,0,4,4,67,3,8,28,112,0,6,12,61,3,3,14,99,5,10,7,74,3,3,26,122,3,3,5,29,3,0,17,63,0,0,3,12,0,0,26,48,11,26,37,311,18,22,155,575,0,0,0,73,15,11,89,194,3,46,23,359,37,12,44,523,47,233,106,856,51,31,66,1394,51,228,166,867,30,49,108,1505,70,195,196,916,32,56,127,1596,74,165,213,961,39,88,198,1731,68,146,195,1047,24,95,577,2156,309,1019,907,5075,223,338,1223,9094,0,0,0,0,0,0,128,128,0,0,0,9,0,0,123,135,0,0,0,3,0,0,199,210,0,3,0,7,0,0,211,225,0,0,0,8,0,0,280,294,0,0,0,4,0,0,311,314,0,3,5,11,0,0,519,534,0,3,5,47,0,3,1782,1841,0,0,0,83,19,17,252,363,Lachlan Valley
10303,0,0,0,4,0,0,12,18,0,0,0,31,3,0,19,56,0,8,6,65,3,0,46,130,0,4,13,44,3,0,31,90,0,6,5,42,4,3,15,72,3,0,3,28,0,6,10,44,0,0,0,17,0,0,20,36,6,19,30,220,15,16,149,450,0,0,0,55,20,4,84,164,3,29,25,353,24,15,76,521,38,174,123,914,43,24,171,1492,54,192,158,861,32,35,180,1506,73,163,203,1066,32,57,186,1784,89,200,183,912,31,65,178,1654,88,225,206,1099,14,99,453,2187,339,983,902,5253,198,304,1319,9301,0,0,0,0,0,0,109,108,0,0,0,0,0,0,91,94,0,3,0,11,0,3,240,257,0,0,0,8,0,0,219,227,0,0,3,16,0,0,305,320,3,4,3,12,0,0,310,333,0,4,0,17,0,0,457,476,3,10,11,60,6,3,1734,1821,0,0,0,61,27,6,200,293,Lithgow - Mudgee
