sa3_name16,sa3_code16,p_85_yrs_ov_no_care_prov,p_85_yrs_ov_unpaid_care_notstated,p_85_yrs_ov_total,p_tot_care_own_child_only,p_tot_care_oth_child_only,p_tot_care_own_and_oth_child,p_tot_care_total,p_tot_no_care_prov,p_tot_unpaid_care_notstated,p_tot_total
Queanbeyan,10102,578,97,693,9637,3340,354,13330,28803,3971,46101
Snowy Mountains,10103,334,116,449,2853,960,91,3908,10253,1939,16097
South Coast,10104,1843,526,2389,8499,4033,400,12930,40926,6175,60033
Goulburn - Mulwaree,10105,629,254,892,5206,2282,233,7723,18040,3409,29165
Young - Yass,10106,610,218,839,5586,2258,239,8085,17819,2786,28685
Gosford,10201,4515,1132,5691,26909,11738,1331,39975,88534,10309,138818
Wyong,10202,3383,1161,4585,25232,10824,1207,37257,80335,10903,128494
Bathurst,10301,772,215,1008,7282,3117,314,10715,22307,4528,37548
Lachlan Valley,10302,1360,368,1749,7710,3234,347,11288,27898,5332,44522
Lithgow - Mudgee,10303,865,179,1051,6724,2747,290,9756,22976,5117,37851
Orange,10304,1039,199,1262,9706,3787,475,13963,27429,3931,45320
Clarence Valley,10401,1349,255,1614,6345,3074,357,9773,27824,4440,42036
Coffs Harbour,10402,1753,658,2437,12810,5132,624,18560,45116,6711,70390
Bourke - Cobar - Coonamble,10501,337,90,444,3095,1116,99,4307,11692,3037,19041
Broken Hill and Far West,10502,505,115,625,2634,1229,106,3977,10909,1904,16795
Dubbo,10503,1358,297,1677,10326,4277,480,15081,33700,6530,55318
Lower Hunter,10601,1275,282,1581,14423,6408,635,21469,41192,7085,69748
Maitland,10602,1009,232,1248,13838,5241,681,19762,34342,3821,57916
Port Stephens,10603,1505,316,1840,10242,4959,503,15700,37593,5516,58816
Upper Hunter,10604,429,118,553,5141,1698,182,7022,14066,2580,23662
Dapto - Port Kembla,10701,1586,341,1940,11989,5645,560,18189,38580,4177,60943
Illawarra Catchment Reserve,10702,0,0,0,0,0,0,0,8,0,8
Kiama - Shellharbour,10703,1573,480,2076,14868,7147,724,22740,44458,5431,72628
Wollongong,10704,2821,435,3312,20371,8922,920,30213,68853,7078,106148
Great Lakes,10801,1117,329,1449,3598,1752,130,5477,18635,2726,26840
Kempsey - Nambucca,10802,1157,409,1573,5840,2705,252,8790,26098,5101,39985
Lord Howe Island,10803,12,0,10,54,17,5,78,211,38,327
