sa3_name16,sa3_code16,count_home_census_nt_0_14_yr,count_hom_census_nt_15_24_yr,count_hom_census_nt_25_34_yr,count_hom_census_nt_35_44_yr,count_hom_census_nt_45_54_yr,count_hom_census_nt_55_64_yr,count_hom_census_nt_65_74_yr,count_hom_census_nt_75_84_yr,count_hom_census_nt_85ov,counted_home_census_night_tot,vis_same_sa2_0_14_yr,vis_same_sa2_15_24_yr,vis_same_sa2_25_34_yr,vis_same_sa2_35_44_yr,vis_same_sa2_45_54_yr,vis_same_sa2_55_64_yr,vis_same_sa2_65_74_yr,vis_same_sa2_75_84_yr,vis_same_sa2_85ov,vis_same_sa2_total,vis_diff_sa2_nsw_0_14_yr,vis_diff_sa2_nsw_15_24_yr,vis_diff_sa2_nsw_25_34_yr,vis_diff_sa2_nsw_35_44_yr,vis_diff_sa2_nsw_45_54_yr,vis_diff_sa2_nsw_55_64_yr,vis_diff_sa2_nsw_65_74_yr,vis_diff_sa2_nsw_75_84_yr,vis_diff_sa2_nsw_85ov,vis_diff_sa2_nsw_total,vis_diff_sa2_vic_0_14_yr,vis_diff_sa2_vic_15_24_yr,vis_diff_sa2_vic_25_34_yr,vis_diff_sa2_vic_35_44_yr,vis_diff_sa2_vic_45_54_yr,vis_diff_sa2_vic_55_64_yr,vis_diff_sa2_vic_65_74_yr,vis_diff_sa2_vic_75_84_yr,vis_diff_sa2_vic_85ov,vis_diff_sa2_vic_total,vis_diff_sa2_qld_0_14_yr,vis_diff_sa2_qld_15_24_yr,vis_diff_sa2_qld_25_34_yr,vis_diff_sa2_qld_35_44_yr,vis_diff_sa2_qld_45_54_yr,vis_diff_sa2_qld_55_64_yr,vis_diff_sa2_qld_65_74_yr,vis_diff_sa2_qld_75_84_yr,vis_diff_sa2_qld_85ov,vis_diff_sa2_qld_total,vis_diff_sa2_sa_0_14_yr,vis_diff_sa2_sa_15_24_yr,vis_diff_sa2_sa_25_34_yr,vis_diff_sa2_sa_35_44_yr,vis_diff_sa2_sa_45_54_yr,vis_diff_sa2_sa_55_64_yr,vis_diff_sa2_sa_65_74_yr,vis_diff_sa2_sa_75_84_yr,vis_diff_sa2_sa_85ov,vis_diff_sa2_sa_total,vis_diff_sa2_wa_0_14_yr,vis_diff_sa2_wa_15_24_yr,vis_diff_sa2_wa_25_34_yr,vis_diff_sa2_wa_35_44_yr,vis_diff_sa2_wa_45_54_yr,vis_diff_sa2_wa_55_64_yr,vis_diff_sa2_wa_65_74_yr,vis_diff_sa2_wa_75_84_yr,vis_diff_sa2_wa_85ov,vis_diff_sa2_wa_total,vis_diff_sa2_tas_0_14_yr,vis_diff_sa2_tas_15_24_yr,vis_diff_sa2_tas_25_34_yr,vis_diff_sa2_tas_35_44_yr,vis_diff_sa2_tas_45_54_yr,vis_diff_sa2_tas_55_64_yr,vis_diff_sa2_tas_65_74_yr,vis_diff_sa2_tas_75_84_yr,vis_diff_sa2_tas_85ov,vis_diff_sa2_tas_total,vis_diff_sa2_nt_0_14_yr,vis_diff_sa2_nt_15_24_yr,vis_diff_sa2_nt_25_34_yr,vis_diff_sa2_nt_35_44_yr,vis_diff_sa2_nt_45_54_yr,vis_diff_sa2_nt_55_64_yr,vis_diff_sa2_nt_65_74_yr,vis_diff_sa2_nt_75_84_yr,vis_diff_sa2_nt_85ov,vis_diff_sa2_nt_total,vis_diff_sa2_act_0_14_yr,vis_diff_sa2_act_15_24_yr,vis_diff_sa2_act_25_34_yr,vis_diff_sa2_act_35_44_yr,vis_diff_sa2_act_45_54_yr,vis_diff_sa2_act_55_64_yr,vis_diff_sa2_act_65_74_yr,vis_diff_sa2_act_75_84_yr,vis_diff_sa2_act_85ov,vis_diff_sa2_act_total,vis_diff_sa2_ot_0_14_yr,vis_diff_sa2_ot_15_24_yr,vis_diff_sa2_ot_25_34_yr,vis_diff_sa2_ot_35_44_yr,vis_diff_sa2_ot_45_54_yr,vis_diff_sa2_ot_55_64_yr,vis_diff_sa2_ot_65_74_yr,vis_diff_sa2_ot_75_84_yr,vis_diff_sa2_ot_85ov,vis_diff_sa2_ot_total,vis_diff_sa2_tot_0_14_yr,vis_diff_sa2_tot_15_24_yr,vis_diff_sa2_tot_25_34_yr,vis_diff_sa2_tot_35_44_yr,vis_diff_sa2_tot_45_54_yr,vis_diff_sa2_tot_55_64_yr,vis_diff_sa2_tot_65_74_yr,vis_diff_sa2_tot_75_84_yr,vis_diff_sa2_tot_85ov,vis_diff_sa2_tot_total,tot_visitrs_0_14_yr,tot_visitrs_15_24_yr,tot_visitrs_25_34_yr,tot_visitrs_35_44_yr,tot_visitrs_45_54_yr,tot_visitrs_55_64_yr,tot_visitrs_65_74_yr,tot_visitrs_75_84_yr,tot_visitrs_85ov,tot_visitrs_total,os_vis_0_14_yr,os_vis_15_24_yr,os_vis_25_34_yr,os_vis_35_44_yr,os_vis_45_54_yr,os_vis_55_64_yr,os_vis_65_74_yr,os_vis_75_84_yr,os_vis_85_yr_over,os_vis_tot,total_0_14_yr,total_15_24_yr,total_25_34_yr,total_35_44_yr,total_45_54_yr,total_55_64_yr,total_65_74_yr,total_75_84_yr,total_85ov,total_total
Queanbeyan,10102,10959,6497,7336,7665,8719,6714,4065,1772,633,54376,4,3,10,4,4,0,3,3,3,38,188,221,314,261,329,308,175,75,34,1903,15,16,32,26,41,34,39,27,12,233,25,30,38,38,61,62,22,4,0,273,0,3,10,6,8,16,4,6,0,50,0,3,5,4,0,10,5,3,0,37,0,4,7,3,10,17,16,3,0,51,0,0,0,0,4,3,0,0,0,5,46,113,119,64,33,44,37,14,9,471,0,0,0,0,0,0,0,0,0,0,275,383,527,399,485,495,297,121,53,3033,274,387,531,406,490,496,302,124,54,3068,32,71,50,31,21,45,19,5,0,273,11272,6956,7917,8101,9229,7257,4387,1904,698,57721
Snowy Mountains,10103,3201,1951,2009,2193,2705,2509,1997,1027,430,18023,7,4,12,4,6,3,3,0,0,44,1574,1237,1454,1498,1302,1394,907,194,32,9590,59,91,125,65,79,79,47,19,3,563,460,311,299,395,327,238,141,22,0,2188,28,58,60,23,23,25,27,4,0,247,21,25,49,33,28,28,19,0,0,205,4,21,5,5,8,10,10,0,0,67,7,7,6,0,0,0,6,0,0,33,120,83,100,132,103,129,114,16,9,811,0,0,0,0,0,0,0,0,0,0,2267,1843,2102,2157,1876,1906,1267,250,47,13704,2275,1851,2108,2159,1878,1914,1265,250,48,13750,32,274,320,44,57,24,3,4,0,760,5511,4074,4444,4400,4639,4442,3271,1284,474,32532
South Coast,10104,10250,5522,4653,6131,8621,11762,10535,5457,2254,65175,24,27,12,20,16,22,18,8,5,157,228,292,322,280,343,528,412,166,76,2640,31,33,47,81,88,212,333,244,45,1119,16,0,9,12,28,24,36,8,0,134,0,0,8,4,9,11,17,5,0,61,3,4,8,3,7,11,5,0,0,38,6,0,0,6,3,17,24,6,0,68,3,0,3,0,3,11,5,0,0,24,42,39,50,53,81,145,134,66,4,617,0,0,0,0,0,0,0,0,0,0,323,376,444,435,557,960,969,499,130,4696,345,400,458,454,574,977,991,506,142,4853,29,52,28,33,40,38,26,10,4,263,10628,5975,5138,6618,9228,12778,11553,5978,2395,70288
Goulburn - Mulwaree,10105,6206,3678,3738,3916,4679,4624,3800,2114,852,33610,16,8,4,3,0,13,7,7,0,59,125,204,342,250,237,185,142,69,29,1577,7,3,12,13,9,17,34,11,3,104,7,9,10,7,12,10,3,3,0,55,0,0,0,0,6,3,4,0,0,16,0,0,4,0,0,3,0,0,0,9,0,0,0,0,3,3,4,3,0,13,0,0,0,0,0,0,0,0,0,6,7,19,16,7,11,15,0,0,0,77,0,0,0,0,0,0,0,0,0,0,146,229,385,277,279,226,191,86,35,1858,158,242,392,283,280,240,198,90,35,1919,9,34,31,8,9,18,20,0,0,138,6375,3946,4165,4203,4971,4883,4025,2205,892,35672
Young - Yass,10106,7058,3581,3053,4154,4937,4555,3789,1930,789,33848,10,9,8,8,7,10,13,11,4,75,116,165,160,130,120,158,116,54,34,1046,8,24,4,12,11,26,29,3,0,105,4,7,3,8,7,6,21,0,0,48,0,0,3,6,4,3,10,0,0,30,7,0,0,4,3,6,0,0,0,18,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,28,69,46,20,33,26,18,19,0,251,0,0,0,0,0,0,0,0,0,0,164,259,217,179,168,227,189,79,39,1515,177,265,227,182,172,234,201,90,39,1596,4,19,31,6,6,14,9,5,0,101,7234,3868,3310,4345,5115,4799,4008,2023,830,35539
Gosford,10201,29478,17997,16711,19717,22042,21201,17873,10531,5396,160935,18,26,13,17,28,18,19,19,12,190,582,785,799,562,552,667,508,305,218,4977,15,25,27,26,30,28,43,9,0,207,26,21,32,39,42,40,40,13,3,258,14,0,7,20,8,7,10,3,0,79,3,6,11,17,23,28,5,5,0,103,5,5,3,3,4,12,4,6,0,36,0,4,0,0,5,0,4,0,0,19,13,14,7,11,8,12,3,3,0,74,0,0,0,0,0,0,4,0,0,4,667,855,901,680,678,789,619,345,222,5756,687,883,909,698,706,812,644,366,233,5942,99,144,104,95,102,118,92,39,11,802,30265,19022,17723,20515,22854,22121,18601,10933,5636,167672
Wyong,10202,29470,18052,16571,18035,19646,18843,16259,10020,4372,151275,35,38,20,18,27,28,27,16,8,218,574,814,775,525,529,512,482,270,165,4647,15,7,9,15,25,34,27,11,0,140,25,18,34,31,36,40,22,8,3,223,0,7,3,0,3,6,13,0,0,36,4,3,7,7,12,9,6,0,0,48,0,0,0,0,4,3,3,0,3,13,3,0,3,0,3,0,3,0,0,9,12,6,14,9,6,10,11,0,0,70,0,0,0,0,0,0,0,0,0,0,640,851,850,597,613,618,565,292,171,5190,676,888,872,614,648,647,589,306,179,5411,29,64,58,29,39,74,48,22,10,381,30171,19001,17503,18679,20332,19566,16902,10353,4563,157069
Bathurst,10301,8827,6303,5344,5191,5695,5300,4250,2142,961,44015,19,13,8,8,3,11,5,12,3,89,162,823,258,166,206,193,150,98,37,2102,3,9,6,8,3,18,3,3,3,55,9,15,9,3,6,17,10,0,0,76,0,0,0,3,0,0,3,0,0,10,0,0,0,3,0,3,3,0,0,11,0,0,0,0,0,5,9,0,0,16,3,3,3,0,0,0,0,0,0,11,0,18,8,3,3,4,9,0,0,43,0,0,0,0,0,0,0,0,0,0,171,871,289,191,225,240,190,101,40,2330,190,884,295,203,235,256,196,110,46,2418,14,25,21,11,15,12,12,3,0,109,9033,7215,5665,5402,5944,5570,4460,2254,1004,46546
Lachlan Valley,10302,10470,5451,5070,5467,6762,7101,6057,3840,1669,51893,25,36,14,16,13,23,20,9,0,156,246,337,315,259,271,311,215,116,51,2126,13,13,34,15,30,52,125,19,6,315,10,7,18,26,34,44,46,4,0,190,10,9,10,6,6,21,37,7,0,99,0,0,12,3,6,3,11,0,0,40,3,0,3,4,0,6,3,10,0,27,0,4,4,0,0,0,0,4,0,12,7,14,10,8,0,14,10,3,0,65,0,0,0,0,0,0,0,0,0,0,289,379,405,325,351,455,442,162,60,2870,309,420,421,342,369,479,466,171,60,3027,9,37,31,21,5,21,10,8,3,143,10795,5911,5518,5826,7138,7598,6530,4016,1731,55060
Lithgow - Mudgee,10303,8488,4466,4704,4991,6113,6012,5343,2823,1001,43938,6,7,20,10,19,13,4,8,0,91,179,279,299,227,265,284,224,90,37,1888,3,3,7,5,6,17,7,3,0,46,8,5,11,15,16,26,12,3,0,99,0,0,0,0,0,5,7,0,0,16,0,3,3,10,3,0,8,3,0,20,3,0,0,0,3,0,3,0,0,7,0,3,3,0,0,0,0,0,0,5,4,8,3,4,3,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0,195,301,334,262,294,334,261,100,42,2115,207,308,352,273,313,342,266,105,43,2204,22,24,20,7,10,15,13,5,0,121,8714,4797,5078,5272,6439,6371,5625,2929,1042,46256
Orange,10304,11982,6304,6540,6800,7046,6554,5009,2950,1203,54386,23,16,7,6,14,7,11,5,3,94,275,538,421,338,353,319,193,110,53,2595,10,17,17,14,21,20,20,3,0,115,3,25,23,26,23,19,26,0,0,145,0,0,0,3,0,3,0,0,0,14,3,4,9,7,5,5,3,0,0,34,0,0,5,0,0,3,0,0,0,14,0,0,0,0,3,3,0,0,0,5,0,20,7,0,5,5,3,0,0,40,0,0,0,0,0,0,0,0,0,0,291,597,480,385,415,375,248,118,55,2963,314,617,483,393,426,383,252,125,57,3058,11,39,24,16,16,27,16,5,0,158,12309,6957,7050,7208,7486,6972,5283,3076,1259,57597
