sa3_code16,sa3_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
31606,Sunshine Coast Hinterland,19.329,18.185,37.510999999999996,23824.0,16420.0,19764.0
31607,Nambour,16.225,15.140999999999998,31.366999999999997,26284.0,18626.0,21961.0
31608,Noosa Hinterland,8.53,8.001,16.524,23399.0,16869.0,19623.0
31801,Charters Towers - Ayr - Ingham,18.472,15.343,33.815,20794.0,15447.0,18071.0
31802,Townsville,77.825,70.962,148.785,34479.0,22621.0,27663.0
31901,Bundaberg,33.394,29.441999999999997,62.833,18469.0,14940.0,16627.0
31902,Burnett,18.828,15.665,34.491,16260.0,12720.0,14530.0
31903,Gympie - Cooloola,16.836,14.837,31.668000000000003,21530.0,15284.0,18200.0
31904,Hervey Bay,16.208,16.044,32.256,25488.0,19558.0,22000.0
51102,Gascoyne,4.478,4.352,8.831,20791.0,11387.0,15322.0
51103,Goldfields,18.529,13.885,32.411,45569.0,20000.0,30878.0
20606,Stonnington - West,33.191,34.208,67.405,27461.0,19700.0,22905.0
20607,Yarra,45.986000000000004,47.787,93.76899999999999,28847.0,21557.0,24904.0
20701,Boroondara,68.461,71.074,139.541,34534.0,20992.0,26394.0
20702,Manningham - West,32.539,32.749,65.291,31824.0,20699.0,25197.0
20703,Whitehorse - West,38.3,38.782,77.079,27906.0,19080.0,22732.0
20801,Bayside,37.138000000000005,39.006,76.15,41236.0,21566.0,29143.0
20902,Darebin - North,37.14,34.411,71.54899999999999,25563.0,20006.0,22637.0
20903,Nillumbik - Kinglake,27.061,28.096,55.156000000000006,39610.0,20523.0,27895.0
20904,Whittlesea - Wallan,81.803,72.116,153.923,33574.0,22318.0,27294.0
21001,Keilor,22.141,21.838,43.982,36824.0,24345.0,29635.0
21002,Macedon Ranges,11.698,11.449000000000002,23.144000000000002,39326.0,20000.0,27433.0
40403,West Torrens,24.311999999999998,23.62,47.931000000000004,27304.0,21600.0,24104.0
40501,Barossa,14.414000000000001,12.948,27.363000000000003,31000.0,18742.0,23683.0
40502,Lower North,8.584,7.545,16.125999999999998,21342.0,16071.0,18428.0
40503,Mid North,9.132,8.184,17.315,25121.0,18691.0,21275.0
40504,Yorke Peninsula,7.853,7.191,15.048,23504.0,17294.0,20122.0
40601,Eyre Peninsula and South West,21.884,18.844,40.728,28497.0,19000.0,22985.0
20802,Glen Eira,60.813,61.54600000000001,122.35799999999999,32351.0,21840.0,26194.0
20803,Kingston,45.801,47.278,93.079,39267.0,23818.0,30077.0
20804,Stonnington - East,17.127,17.559,34.687,35606.0,21497.0,27408.0
20901,Banyule,47.301,48.511,95.809,37308.0,23063.0,28948.0
21003,Moreland - North,30.087,24.945999999999998,55.038000000000004,26916.0,22828.0,24794.0
21004,Sunbury,15.769,14.995,30.77,38811.0,23951.0,30000.0
30306,Sunnybank,22.416999999999998,18.517,40.934,19700.0,16198.0,18012.0
30401,Centenary,13.335,13.283,26.624000000000002,42145.0,25229.0,32080.0
30402,Kenmore - Brookfield - Moggill,17.977,18.624000000000002,36.608000000000004,41567.0,21216.0,28760.0
30403,Sherwood - Indooroopilly,20.464000000000002,19.894000000000002,40.355,27714.0,17329.0,21759.0
30404,The Gap - Enoggera,20.081,19.979,40.066,42360.0,24848.0,32209.0
30501,Brisbane Inner,42.278999999999996,37.692,79.972,18000.0,13802.0,15883.0
30502,Brisbane Inner - East,20.06,19.923,39.985,35971.0,24637.0,29351.0
30503,Brisbane Inner - North,41.538000000000004,40.531,82.069,32776.0,22322.0,26890.0
30504,Brisbane Inner - West,26.438000000000002,27.291999999999998,53.736000000000004,31855.0,20367.0,25037.0
30601,Cairns - North,23.063000000000002,23.546,46.618,30821.0,20661.0,24701.0
30602,Cairns - South,44.368,42.276,86.641,22953.0,17833.0,20162.0
30603,Innisfail - Cassowary Coast,16.741,13.14,29.88,15256.0,12248.0,13777.0
30604,Port Douglas - Daintree,6.0360000000000005,6.005,12.043,16362.0,10821.0,12997.0
30605,Tablelands (East) - Kuranda,19.273,16.097,35.379,12483.0,12019.0,12258.0
30701,Darling Downs (West) - Maranoa,19.925,17.0,36.92,22179.0,15000.0,18595.0
30702,Darling Downs - East,17.977,14.959000000000001,32.939,25579.0,16019.0,20427.0
30703,Granite Belt,18.141,15.7,33.842,14353.0,12082.0,13124.0
30801,Central Highlands (Qld),12.534,10.172,22.709,42253.0,16889.0,25633.0
30803,Rockhampton,46.026,40.189,86.221,34212.0,21409.0,26920.0
30804,Biloela,6.912999999999999,5.593999999999999,12.5,34576.0,17050.0,24085.0
30805,Gladstone,29.180999999999997,20.706,49.891999999999996,43252.0,19584.0,29105.0
30901,Broadbeach - Burleigh,27.987,27.680999999999997,55.662,23991.0,17592.0,20340.0
30902,Coolangatta,21.868000000000002,22.014,43.888999999999996,25582.0,18580.0,21469.0
30903,Gold Coast - North,25.149,24.638,49.787,24143.0,19155.0,21292.0
30904,Gold Coast Hinterland,7.274,6.827000000000001,14.097000000000001,26308.0,19375.0,22223.0
40602,Outback - North and East,9.385,7.831,17.223,36517.0,20329.0,27161.0
40701,Fleurieu - Kangaroo Island,15.823,15.770999999999999,31.590999999999998,22200.0,16309.0,18850.0
40702,Limestone Coast,27.646,24.136999999999997,51.786,24099.0,15994.0,19336.0
40703,Murray and Mallee,28.561999999999998,24.554000000000002,53.119,19150.0,14615.0,16877.0
50101,Augusta - Margaret River - Busselton,23.625,22.724,46.348,22691.0,12231.0,16563.0
50102,Bunbury,44.461999999999996,36.844,81.304,37527.0,18430.0,26011.0
50103,Manjimup,10.879000000000001,9.658999999999999,20.535999999999998,17345.0,10867.0,13754.0
50201,Mandurah,37.873000000000005,31.479,69.34899999999999,36420.0,18608.0,26078.0
50301,Cottesloe - Claremont,28.47,27.055999999999997,55.528999999999996,35856.0,17972.0,24847.0
50302,Perth City,61.433,51.988,113.42299999999999,26669.0,18200.0,22107.0
50401,Bayswater - Bassendean,38.047,33.209,71.252,31994.0,23393.0,27320.0
50402,Mundaring,17.115,15.210999999999999,32.324,39897.0,22310.0,29678.0
30908,Robina,19.601,20.072,39.671,26137.0,19163.0,21842.0
30909,Southport,24.662,23.265,47.925,20807.0,16224.0,18557.0
30910,Surfers Paradise,19.594,18.401,37.995,17000.0,12603.0,14699.0
31001,Forest Lake - Oxley,26.463,23.188000000000002,49.653999999999996,28847.0,21212.0,24790.0
31002,Ipswich Hinterland,23.479,19.719,43.199,26245.0,18305.0,21817.0
31003,Ipswich Inner,39.897,34.654,74.553,33177.0,22994.0,27332.0
31004,Springfield - Redbank,35.586999999999996,29.275,64.859,31052.0,22987.0,26773.0
31101,Beaudesert,5.0489999999999995,4.238,9.282,23727.0,17141.0,20014.0
31102,Beenleigh,16.054000000000002,12.959000000000001,29.016,27402.0,21226.0,24375.0
31103,Browns Plains,33.051,26.721999999999998,59.769,29609.0,23000.0,26125.0
31104,Jimboomba,18.866,16.199,35.056999999999995,36116.0,23631.0,29183.0
31105,Loganlea - Carbrook,24.769000000000002,21.608,46.373000000000005,30595.0,23384.0,26827.0
31106,Springwood - Kingston,31.278000000000002,24.616999999999997,55.898,26823.0,22287.0,24696.0
31201,Bowen Basin - North,14.667,11.899000000000001,26.566,37052.0,14642.0,22870.0
31202,Mackay,52.504,41.417,93.92299999999999,37796.0,20552.0,27877.0
31203,Whitsunday,10.700999999999999,9.124,19.832,22856.0,15600.0,19000.0
31301,Bribie - Beachmere,9.713,8.696,18.407,27151.0,20106.0,23225.0
31302,Caboolture,26.695,22.964000000000002,49.663999999999994,22358.0,16068.0,19102.0
31303,Caboolture Hinterland,4.865,4.003,8.863999999999999,26361.0,18294.0,22511.0
31304,Narangba - Burpengary,24.706999999999997,21.485,46.192,31940.0,21970.0,26257.0
31305,Redcliffe,21.545,20.58,42.125,30517.0,20939.0,25209.0
31401,The Hills District,35.402,34.819,70.226,42908.0,25008.0,32285.0
31402,North Lakes,29.432,26.612,56.047,35766.0,22732.0,28080.0
31403,Strathpine,15.194,13.626,28.822,33817.0,23817.0,28248.0
31501,Far North,9.719,8.761000000000001,18.48,19914.0,14941.0,17252.0
31502,Outback - North,12.989,10.999,23.984,41564.0,20975.0,29005.0
31701,Toowoomba,60.756,56.303999999999995,117.06,26543.0,18727.0,22000.0
31905,Maryborough,12.692,11.237,23.93,26757.0,20771.0,23500.0
50403,Swan,56.15,47.67,103.81700000000001,38741.0,24013.0,30333.0
50501,Joondalup,69.78399999999999,64.791,134.572,40998.0,23001.0,30324.0
50502,Stirling,89.3,81.27199999999999,170.56799999999998,31605.0,21600.0,26052.0
50503,Wanneroo,80.597,70.087,150.683,37858.0,21916.0,28903.0
50601,Armadale,34.488,27.926,62.417,38069.0,23600.0,30047.0
50602,Belmont - Victoria Park,37.983000000000004,29.891,67.87,26581.0,20696.0,23604.0
