gml_id,sa3_name16,sa3_code16,separate_house_nofb_0_i_b,separate_house_nofb_1,separate_house_nofb_2,separate_house_nofb_3,separate_house_nofb_4,separate_house_nofb_5,separate_house_nofb_6_or_m,separate_house_nofb_ns,separate_house_total,se_d_r_or_t_h_t_1_s_nofb_0_ib,se_d_r_or_t_h_t_1_st_nofb_1,se_d_r_or_t_h_t_1_st_nofb_2,se_d_r_or_t_h_t_1_st_nofb_3,se_d_r_or_t_h_t_1_st_nofb_4,se_d_r_or_t_h_t_1_st_nofb_5,se_d_r_or_t_h_t_1_st_nofb_6_m,se_d_r_or_t_h_t_1_st_nofb_ns,se_d_r_or_t_h_t_1_st_total,se_d_r_or_t_h_t_2_s_nofb_0_ib,se_d_r_or_t_h_t_2_sts_nofb_1,se_d_r_or_t_h_t_2_sts_nofb_2,se_d_r_or_t_h_t_2_sts_nofb_3,se_d_r_or_t_h_t_2_sts_nofb_4,se_d_r_or_t_h_t_2_sts_nofb_5,se_d_r_or_t_h_t_2_st_nofb_6_m,se_d_r_or_t_h_t_2_sts_nofb_ns,se_d_r_or_t_h_t_2_sts_total,se_d_r_or_t_h_t_tot_nofb_0_ib,se_d_r_or_t_h_t_tot_nofb_1,se_d_r_or_t_h_t_tot_nofb_2,se_d_r_or_t_h_t_tot_nofb_3,se_d_r_or_t_h_t_tot_nofb_4,se_d_r_or_t_h_t_tot_nofb_5,se_d_r_or_t_h_t_tot_nofb_6_m,se_d_r_or_t_h_t_tot_nofb_ns,se_d_r_or_t_h_t_tot_total,flt_at_1_or2_st_bl_nofb_0_ib,flt_at_in_1_or2_s_b_nofb_1,flt_at_in_1_or2_s_b_nofb_2,flt_at_in_1_or2_s_b_nofb_3,flt_at_in_1_or2_s_b_nofb_4,flt_at_in_1_or2_s_b_nofb_5,flt_at_in_1_or2_s_b_nob_6_m,flt_at_in_1_or2_s_b_nob_ns,flt_at_in_1_or2_s_b_total,flt_apt_3_st_bl_nob_0_ib,flt_apt_in_3_st_bl_nofb_1,flt_apt_in_3_st_bl_nofb_2,flt_apt_in_3_st_bl_nofb_3,flt_apt_in_3_st_bl_nofb_4,flt_apt_in_3_st_bl_nofb_5,flt_apt_in_3_s_bl_nofb_6_m,flt_apt_in_3_st_bl_nofb_ns,flt_apt_in_3_st_bl_total,flt_apt_4_or_m_s_b_nofb_0_ib,flt_apt_4_or_m_s_b_nofb_1,flt_apt_4_or_m_s_b_nofb_2,flt_apt_4_or_m_s_b_nofb_3,flt_apt_4_or_m_s_b_nofb_4,flt_apt_4_or_m_s_b_nofb_5,flt_apt_4_or_m_s_b_nofb_6_m,flt_apt_4_or_m_s_b_nofb_ns,flt_apt_4_or_m_s_b_total,flt_apt_at_to_a_h_nofb_0_ib,flt_apt_at_to_a_hse_nofb_1,flt_apt_at_to_a_hse_nofb_2,flt_apt_at_to_a_hse_nofb_3,flt_apt_at_to_a_hse_nofb_4,flt_apt_at_to_a_hse_nofb_5,flt_apt_at_to_a_hs_nofb_6_m,flt_apt_at_to_a_hs_nofb_ns,flt_apt_at_to_a_hse_total,flt_apart_tot_nofb_0_i_b,flt_apart_tot_nofb_1,flt_apart_tot_nofb_2,flt_apart_tot_nofb_3,flt_apart_tot_nofb_4,flt_apart_tot_nofb_5,flt_apart_tot_nofb_6_or_m,flt_apart_tot_nofb_ns,flt_apart_tot_total,other_dwelling_nofb_0_i_b,other_dwelling_nofb_1,other_dwelling_nofb_2,other_dwelling_nofb_3,other_dwelling_nofb_4,other_dwelling_nofb_5,other_dwelling_nofb_6_or_m,other_dwelling_nofb_ns,other_dwelling_total,dweling_structu_ns_nofb_0_i_b,dweling_structur_ns_nofb_1,dweling_structur_ns_nofb_2,dweling_structur_ns_nofb_3,dweling_structur_ns_nofb_4,dweling_structur_ns_nofb_5,dwelig_struct_ns_nofb_6_or_m,dweling_structur_ns_nofb_ns,dweling_structur_ns_total,total_nofb_0_i_b,total_nofb_1,total_nofb_2,total_nofb_3,total_nofb_4,total_nofb_5,total_nofb_6_or_m,total_nofb_ns,total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-695b,Queanbeyan,"10102","47","239","1133","5516","6193","1453","349","1136","16069","0","125","798","560","46","8","3","149","1693","5","81","565","514","46","3","0","102","1314","5","207","1368","1072","97","9","3","252","3008","24","422","422","59","11","0","0","116","1058","3","131","331","17","3","0","0","67","547","0","214","664","43","0","0","3","112","1045","0","8","3","5","0","0","0","3","17","29","780","1425","116","13","3","5","297","2665","11","29","29","18","6","3","0","90","189","3","6","20","18","11","3","5","13","85","89","1260","3973","6744","6317","1477","364","1782","22008"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-695a,Snowy Mountains,"10103","32","156","872","3027","1672","378","115","506","6757","0","35","86","52","8","0","0","28","214","0","29","82","124","19","6","0","30","286","0","61","171","174","27","6","4","58","501","3","78","179","87","17","0","4","437","804","7","21","37","30","8","0","0","13","110","3","20","14","14","15","0","0","8","75","0","0","0","0","0","0","0","0","4","16","117","224","137","46","3","7","450","994","52","81","64","24","21","3","0","41","283","5","44","56","47","25","3","52","162","396","105","454","1388","3406","1781","398","178","1219","8931"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6959,South Coast,"10104","97","572","3365","11446","6437","1179","250","1788","25136","19","146","820","510","30","3","0","175","1704","3","78","406","402","45","4","4","107","1049","24","227","1233","910","74","6","7","280","2754","17","220","781","334","25","5","6","220","1597","0","14","45","18","4","0","0","17","98","0","0","24","4","0","0","0","5","31","0","0","3","3","0","0","0","0","11","15","232","853","355","24","7","6","239","1732","93","229","287","113","25","0","7","276","1021","12","26","76","78","40","9","11","34","283","230","1288","5806","12903","6604","1204","274","2616","30934"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6958,Goulburn - Mulwaree,"10105","44","211","1387","5395","3666","652","172","866","12400","3","113","344","261","31","9","3","79","843","0","3","73","41","12","3","3","10","140","3","116","410","305","40","9","5","95","981","0","72","184","17","3","0","0","49","335","0","32","37","0","0","0","0","17","80","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3","3","102","225","18","10","0","0","64","420","25","38","31","20","12","3","3","57","190","0","11","13","28","15","3","4","35","112","72","482","2069","5771","3741","668","181","1115","14096"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6957,Young - Yass,"10106","47","217","1344","5031","4007","983","247","858","12737","5","61","280","140","9","3","0","74","580","0","0","5","3","3","0","0","4","20","11","63","283","146","16","3","0","76","595","3","41","214","63","0","3","6","39","366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","41","217","63","0","3","6","39","369","15","31","23","27","10","4","8","39","157","4","7","30","31","24","4","3","19","120","85","354","1894","5295","4059","995","260","1040","13977"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6956,Gosford,"10201","84","780","5572","19730","15643","4024","853","2473","49160","14","256","2697","2425","69","11","7","448","5933","18","277","961","1923","184","10","5","271","3643","23","529","3661","4349","253","20","15","721","9572","70","592","1716","1105","124","15","8","433","4059","4","61","677","291","18","3","0","130","1181","0","62","584","282","9","3","0","93","1033","6","14","15","8","6","0","0","3","44","79","734","2979","1682","156","21","9","658","6317","43","210","260","129","48","8","0","291","984","15","61","77","49","39","5","3","73","325","243","2318","12552","25931","16133","4080","879","4218","66351"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6955,Wyong,"10202","77","765","5886","20357","16184","3062","641","2745","49709","15","334","1768","1316","75","16","13","502","4032","6","201","569","1202","151","15","4","224","2375","25","531","2341","2521","227","27","16","722","6408","7","325","1242","532","45","7","7","338","2502","0","41","331","57","3","0","0","70","502","9","69","474","112","3","0","0","83","750","0","10","9","3","3","0","3","4","29","15","444","2050","711","50","9","6","495","3786","57","159","161","64","22","0","3","174","641","21","46","63","53","18","3","0","86","292","188","1957","10505","23700","16498","3104","665","4229","60836"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6954,Bathurst,"10301","37","187","1200","5887","5119","1063","229","1032","14751","5","102","636","332","40","4","0","137","1254","6","78","89","115","24","6","3","40","357","10","175","727","452","64","6","0","171","1610","17","136","364","56","8","0","6","116","704","0","6","13","0","0","0","0","9","30","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","17","142","377","63","8","0","6","124","737","7","15","24","13","7","0","3","20","82","0","66","27","52","23","7","0","64","235","70","589","2354","6457","5215","1082","242","1406","17419"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6953,Lachlan Valley,"10302","40","319","2506","8826","5505","985","228","1957","20369","0","26","288","118","33","6","3","98","575","0","16","3","6","0","0","0","15","40","3","45","295","120","33","6","3","111","613","24","202","462","55","9","0","3","186","938","0","3","12","0","0","0","0","6","25","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","3","24","204","481","55","9","3","3","193","971","51","89","66","46","22","7","5","111","390","12","33","59","89","44","13","16","30","290","131","688","3407","9136","5604","1009","249","2406","22633"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6952,Lithgow - Mudgee,"10303","49","329","2443","7025","4243","756","190","1807","16843","13","109","391","212","6","3","4","114","862","4","25","38","28","3","0","0","14","113","13","139","433","244","9","3","4","133","975","6","71","172","70","6","3","0","72","405","0","10","10","0","0","0","0","4","33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","80","187","70","6","3","0","79","437","23","75","76","191","105","11","0","149","622","4","17","33","58","30","4","4","43","192","100","637","3168","7590","4398","779","200","2216","19078"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6951,Orange,"10304","38","189","1644","8273","6504","1180","265","1308","19402","9","152","774","272","18","0","7","161","1384","0","76","62","51","10","0","0","33","236","12","231","832","322","23","0","7","193","1622","10","187","300","60","9","0","4","113","694","0","4","33","0","0","0","0","12","56","0","0","14","7","0","0","0","0","16","0","3","3","0","0","0","0","0","6","10","194","348","66","9","0","4","127","767","15","34","19","17","9","3","6","58","164","3","15","30","23","24","7","3","90","192","80","669","2879","8694","6572","1193","279","1780","22145"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6950,Clarence Valley,"10401","69","397","2330","8315","4412","769","184","1345","17816","10","127","336","214","6","3","0","68","762","3","31","149","179","18","4","0","45","430","9","158","491","391","28","6","3","111","1194","5","131","507","187","23","3","0","123","983","0","12","64","34","6","0","0","18","125","0","0","5","0","0","0","0","3","8","0","0","0","0","0","0","0","0","3","3","147","588","219","27","3","0","144","1126","219","404","220","127","43","7","5","253","1282","3","26","37","55","20","4","3","25","186","313","1129","3657","9107","4526","789","204","1881","21605"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-694f,Coffs Harbour,"10402","85","512","2713","11565","7699","1546","340","1663","26116","15","138","1170","659","72","12","0","258","2325","6","88","502","664","108","15","5","152","1536","17","230","1675","1317","178","23","4","407","3861","30","325","1323","422","33","6","3","303","2447","3","47","227","43","0","0","0","46","366","3","55","150","89","10","3","0","44","353","0","4","0","0","0","0","0","3","9","39","439","1694","561","46","9","3","399","3176","236","421","302","127","44","6","3","308","1451","25","66","92","98","45","12","4","78","422","400","1665","6473","13669","8007","1592","356","2858","35019"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-694e,Bourke - Cobar - Coonamble,"10501","45","282","1174","3381","2122","377","106","1219","8711","0","17","60","23","3","0","0","20","118","0","3","5","0","0","0","0","0","11","0","14","61","23","3","0","0","24","125","5","161","193","23","4","0","0","84","470","6","5","18","0","0","0","0","0","29","0","9","3","0","0","0","0","6","17","0","0","0","0","3","0","0","0","3","10","176","209","27","5","0","0","96","526","117","211","92","93","35","4","5","268","827","29","31","31","50","22","10","8","35","217","202","712","1569","3576","2192","392","123","1645","10408"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-694d,Broken Hill and Far West,"10502","14","190","1476","4104","1339","225","79","651","8078","3","38","82","40","6","0","0","27","197","0","0","5","6","0","0","0","4","23","7","36","85","42","9","0","0","32","216","3","88","79","12","5","0","0","46","233","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","88","81","12","5","0","0","46","233","34","43","8","11","3","0","0","57","161","3","4","7","13","5","5","0","41","76","61","364","1660","4181","1358","234","77","825","8767"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-694c,Dubbo,"10503","52","312","2135","9456","7647","1317","258","1860","23043","5","98","688","215","42","4","0","129","1183","0","3","29","18","5","0","0","32","87","5","101","718","231","44","4","0","159","1274","23","315","868","104","21","3","0","207","1542","0","4","9","0","0","0","0","5","29","0","7","3","3","0","0","0","3","22","0","0","0","0","0","0","0","0","0","22","334","884","111","21","3","0","220","1587","76","112","87","132","106","22","11","206","749","3","14","39","56","32","7","7","29","190","161","877","3859","9992","7851","1354","277","2472","26844"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-694b,Lower Hunter,"10601","70","419","3354","12911","8519","1437","307","2132","29143","4","133","785","616","30","6","0","219","1793","0","83","196","110","13","0","0","37","440","4","224","978","720","45","6","0","254","2233","8","186","266","102","12","0","0","104","680","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","5","0","0","0","0","0","0","0","0","0","8","185","271","105","9","0","0","104","685","20","70","45","33","11","0","0","58","242","3","17","37","62","37","4","9","54","225","107","916","4682","13833","8624","1449","313","2600","32529"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-694a,Maitland,"10602","17","153","1365","9306","9959","1413","242","1078","23539","5","126","952","683","64","3","0","182","2013","3","147","242","108","11","0","0","35","555","7","277","1192","790","79","3","3","222","2569","7","238","257","31","5","0","3","96","646","0","0","0","0","0","0","0","0","0","0","12","13","0","0","0","0","4","39","0","3","0","0","0","0","0","0","6","6","252","271","34","8","0","3","110","691","15","24","11","32","17","0","0","48","151","3","45","176","26","18","0","3","106","385","47","763","3021","10190","10078","1420","251","1564","27330"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6949,Port Stephens,"10603","30","212","1817","9040","7966","1378","251","1497","22195","7","124","1061","689","62","0","4","322","2271","0","51","235","1022","297","15","4","139","1755","7","171","1290","1707","359","15","9","462","4025","3","110","203","96","16","3","0","77","502","0","17","127","79","7","0","0","24","254","0","7","213","107","15","3","0","15","359","3","0","3","11","0","0","0","8","27","4","125","544","292","33","11","3","124","1139","62","209","200","96","24","6","3","286","889","3","23","36","26","16","3","0","72","183","103","736","3883","11168","8409","1414","265","2441","28428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6948,Upper Hunter,"10604","19","134","957","4335","3455","587","127","846","10453","3","84","234","158","25","3","0","71","579","0","28","78","51","5","0","0","14","178","3","115","307","205","27","3","0","84","760","4","66","146","60","4","3","0","51","331","0","0","0","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","63","146","66","4","3","0","51","341","13","32","40","11","0","0","0","70","175","0","8","13","28","28","7","3","17","106","44","358","1470","4649","3514","601","133","1073","11833"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6947,Dapto - Port Kembla,"10701","45","252","2066","11697","6733","1353","271","1097","23513","8","192","714","451","25","0","0","110","1504","0","53","242","360","42","5","3","77","781","9","246","961","808","70","7","4","185","2287","45","377","537","182","28","10","3","205","1384","9","57","143","45","4","3","0","62","323","0","33","7","0","0","0","0","0","39","0","8","7","7","3","0","0","3","32","51","474","697","231","35","15","3","269","1779","12","20","34","26","17","7","0","43","150","0","13","14","31","13","3","3","16","82","111","995","3767","12791","6866","1385","280","1613","27808"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6946,Illawarra Catchment Reserve,"10702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6945,Kiama - Shellharbour,"10703","20","164","1177","11654","9459","1907","325","1316","26026","8","81","897","808","41","9","0","159","2001","3","138","731","1161","184","15","3","179","2420","14","220","1633","1971","220","25","4","338","4426","8","210","783","225","31","3","7","171","1446","0","7","53","29","0","0","0","21","115","6","61","92","30","0","0","0","29","214","0","3","0","0","0","0","0","0","4","13","284","930","282","34","3","7","225","1778","27","130","231","44","12","3","0","90","540","3","21","70","40","19","0","18","47","217","78","815","4035","13994","9752","1939","354","2015","32984"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6944,Wollongong,"10704","26","232","2878","13358","8961","2233","498","1270","29452","21","256","1251","887","73","16","4","185","2694","9","329","1499","2247","207","14","4","308","4622","34","584","2756","3134","279","28","8","494","7319","54","798","2470","732","92","13","6","391","4551","22","326","1872","379","17","7","3","459","3072","25","347","2232","1150","47","3","3","427","4240","0","12","5","5","0","0","0","3","22","98","1485","6571","2267","163","23","6","1275","11891","27","118","171","80","18","4","3","280","705","3","28","99","101","25","3","6","145","412","190","2447","12480","18942","9442","2294","526","3464","49785"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6943,Great Lakes,"10801","25","140","1210","4789","2565","467","84","664","9951","4","90","581","786","16","3","0","137","1615","0","33","93","97","10","0","0","29","265","4","120","675","881","25","3","0","167","1881","15","137","348","95","9","4","0","114","725","3","17","237","46","3","0","0","53","361","0","28","286","99","9","0","0","50","476","0","0","0","0","0","0","0","0","0","20","185","877","238","12","4","0","219","1561","65","165","156","58","11","3","4","123","592","5","13","45","28","6","3","5","27","128","120","616","2965","5994","2630","474","95","1206","14110"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6942,Kempsey - Nambucca,"10802","84","413","2738","8143","3746","606","151","1410","17287","24","98","360","101","4","0","0","77","670","0","5","60","35","3","0","0","18","121","19","106","428","131","11","0","0","95","797","17","195","395","155","14","0","3","106","880","0","3","56","36","5","0","0","13","112","0","10","14","9","0","0","0","6","42","0","4","0","0","0","0","0","0","10","14","213","471","195","21","3","3","126","1043","135","273","237","61","21","0","3","166","906","24","51","44","52","25","3","0","40","239","281","1060","3913","8589","3814","613","154","1840","20265"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6941,Lord Howe Island,"10803","0","19","29","45","32","3","0","20","149","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","19","29","45","32","3","0","22","150"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6940,Port Macquarie,"10804","50","231","2275","10785","7409","1348","277","1351","23728","5","149","1611","1109","61","14","3","282","3231","3","53","342","479","82","10","0","81","1048","7","205","1954","1587","142","16","3","363","4281","14","477","876","313","18","0","4","226","1928","0","40","423","75","3","0","0","109","649","0","90","621","267","6","0","0","131","1112","0","0","0","0","0","0","0","0","4","14","610","1919","653","29","0","4","461","3692","115","298","343","111","17","3","0","231","1114","12","29","50","49","32","5","3","33","212","196","1374","6545","13183","7630","1372","291","2445","33027"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-693f,Taree - Gloucester,"10805","68","323","2084","9200","5114","863","186","1253","19091","7","144","817","271","20","3","0","124","1385","3","3","80","108","24","0","0","24","241","12","149","893","379","43","3","0","149","1630","11","204","525","116","7","0","0","107","971","6","7","16","12","0","0","0","9","50","0","0","10","0","0","0","0","0","10","0","3","3","0","0","0","0","0","7","23","215","551","130","5","0","0","113","1032","45","123","148","52","17","9","3","112","504","8","14","23","60","27","12","0","33","174","148","826","3708","9816","5206","884","189","1653","22428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-693e,Albury,"10901","32","175","2192","9364","6077","892","177","1292","20188","14","365","2036","446","29","3","8","338","3238","7","109","160","112","17","0","3","89","494","21","470","2192","560","49","3","9","428","3733","5","64","206","31","3","0","0","118","429","0","8","46","0","0","0","0","22","79","0","3","27","0","0","0","0","10","36","0","0","0","0","0","0","0","5","6","5","80","275","30","3","0","0","149","544","16","35","34","33","16","0","0","31","164","5","9","25","32","23","5","3","14","109","79","768","4717","10010","6161","900","186","1912","24735"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-693d,Lower Murray,"10902","15","80","535","2020","1112","179","40","524","4514","3","12","43","10","0","0","0","13","81","0","0","0","5","0","0","0","0","6","3","12","43","15","0","0","0","15","87","0","45","133","24","3","0","0","47","254","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","133","24","3","0","0","47","254","55","86","22","38","8","0","0","94","308","5","9","9","12","13","4","3","12","69","79","235","748","2117","1142","182","44","691","5229"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-693c,Upper Murray exc. Albury,"10903","24","180","1867","7270","4057","635","133","1418","15587","3","37","348","99","10","0","3","76","575","0","5","4","7","3","0","0","8","35","3","40","355","109","8","0","3","86","608","6","108","649","85","9","3","4","167","1037","0","0","3","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","108","652","85","9","3","4","174","1044","45","129","160","101","30","0","7","126","590","4","3","29","44","7","0","4","22","120","87","464","3058","7612","4118","642","147","1823","17950"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-693b,Armidale,"11001","24","256","1367","5350","3391","787","195","917","12286","4","79","516","156","13","6","0","73","852","0","30","79","22","3","0","0","19","156","5","112","594","176","19","11","0","94","1012","6","155","293","58","9","0","6","95","622","0","9","25","6","3","0","0","8","49","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","6","168","320","62","8","0","6","105","678","21","31","25","24","8","0","0","46","157","0","9","24","45","21","8","3","22","134","56","577","2331","5661","3450","799","211","1181","14266"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-693a,Inverell - Tenterfield,"11002","75","394","2106","6477","3361","644","148","1332","14542","4","73","91","67","5","0","0","27","277","0","3","18","4","0","0","0","4","30","4","75","108","72","11","0","0","27","305","9","186","290","37","5","0","0","85","614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","186","292","37","5","0","0","85","615","64","115","28","31","24","4","6","135","408","9","21","43","86","28","3","7","32","220","159","787","2579","6700","3426","651","158","1620","16085"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6939,Moree - Narrabri,"11003","19","162","885","3472","2389","446","117","1037","8527","3","46","152","85","56","16","0","75","441","0","0","26","12","0","0","0","4","42","3","43","177","95","59","17","0","81","481","18","134","416","67","3","0","0","187","826","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","18","129","418","64","3","0","0","192","832","58","92","44","38","20","0","7","123","376","9","21","9","26","18","0","4","13","95","110","448","1532","3690","2490","463","128","1443","10302"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-6938,Tamworth - Gunnedah,"11004","47","356","2542","12225","8585","1538","321","2232","27834","13","214","993","281","30","0","0","241","1781","0","75","215","59","7","0","0","60","424","17","285","1217","344","38","3","3","305","2210","16","188","387","59","12","7","0","134","802","0","3","38","3","0","0","0","4","45","3","7","35","3","0","0","0","5","55","0","0","0","0","0","0","0","0","3","18","204","460","67","12","6","0","142","899","39","94","66","247","59","4","3","254","767","3","25","29","62","28","6","16","42","213","129","957","4307","12943","8725","1557","333","2977","31926"
