gml_id,sa3_name16,sa3_code16,separate_house_nofb_0_i_b,separate_house_nofb_1,separate_house_nofb_2,separate_house_nofb_3,separate_house_nofb_4,separate_house_nofb_5,separate_house_nofb_6_or_m,separate_house_nofb_ns,separate_house_total,se_d_r_or_t_h_t_1_s_nofb_0_ib,se_d_r_or_t_h_t_1_st_nofb_1,se_d_r_or_t_h_t_1_st_nofb_2,se_d_r_or_t_h_t_1_st_nofb_3,se_d_r_or_t_h_t_1_st_nofb_4,se_d_r_or_t_h_t_1_st_nofb_5,se_d_r_or_t_h_t_1_st_nofb_6_m,se_d_r_or_t_h_t_1_st_nofb_ns,se_d_r_or_t_h_t_1_st_total,se_d_r_or_t_h_t_2_s_nofb_0_ib,se_d_r_or_t_h_t_2_sts_nofb_1,se_d_r_or_t_h_t_2_sts_nofb_2,se_d_r_or_t_h_t_2_sts_nofb_3,se_d_r_or_t_h_t_2_sts_nofb_4,se_d_r_or_t_h_t_2_sts_nofb_5,se_d_r_or_t_h_t_2_st_nofb_6_m,se_d_r_or_t_h_t_2_sts_nofb_ns,se_d_r_or_t_h_t_2_sts_total,se_d_r_or_t_h_t_tot_nofb_0_ib,se_d_r_or_t_h_t_tot_nofb_1,se_d_r_or_t_h_t_tot_nofb_2,se_d_r_or_t_h_t_tot_nofb_3,se_d_r_or_t_h_t_tot_nofb_4,se_d_r_or_t_h_t_tot_nofb_5,se_d_r_or_t_h_t_tot_nofb_6_m,se_d_r_or_t_h_t_tot_nofb_ns,se_d_r_or_t_h_t_tot_total,flt_at_1_or2_st_bl_nofb_0_ib,flt_at_in_1_or2_s_b_nofb_1,flt_at_in_1_or2_s_b_nofb_2,flt_at_in_1_or2_s_b_nofb_3,flt_at_in_1_or2_s_b_nofb_4,flt_at_in_1_or2_s_b_nofb_5,flt_at_in_1_or2_s_b_nob_6_m,flt_at_in_1_or2_s_b_nob_ns,flt_at_in_1_or2_s_b_total,flt_apt_3_st_bl_nob_0_ib,flt_apt_in_3_st_bl_nofb_1,flt_apt_in_3_st_bl_nofb_2,flt_apt_in_3_st_bl_nofb_3,flt_apt_in_3_st_bl_nofb_4,flt_apt_in_3_st_bl_nofb_5,flt_apt_in_3_s_bl_nofb_6_m,flt_apt_in_3_st_bl_nofb_ns,flt_apt_in_3_st_bl_total,flt_apt_4_or_m_s_b_nofb_0_ib,flt_apt_4_or_m_s_b_nofb_1,flt_apt_4_or_m_s_b_nofb_2,flt_apt_4_or_m_s_b_nofb_3,flt_apt_4_or_m_s_b_nofb_4,flt_apt_4_or_m_s_b_nofb_5,flt_apt_4_or_m_s_b_nofb_6_m,flt_apt_4_or_m_s_b_nofb_ns,flt_apt_4_or_m_s_b_total,flt_apt_at_to_a_h_nofb_0_ib,flt_apt_at_to_a_hse_nofb_1,flt_apt_at_to_a_hse_nofb_2,flt_apt_at_to_a_hse_nofb_3,flt_apt_at_to_a_hse_nofb_4,flt_apt_at_to_a_hse_nofb_5,flt_apt_at_to_a_hs_nofb_6_m,flt_apt_at_to_a_hs_nofb_ns,flt_apt_at_to_a_hse_total,flt_apart_tot_nofb_0_i_b,flt_apart_tot_nofb_1,flt_apart_tot_nofb_2,flt_apart_tot_nofb_3,flt_apart_tot_nofb_4,flt_apart_tot_nofb_5,flt_apart_tot_nofb_6_or_m,flt_apart_tot_nofb_ns,flt_apart_tot_total,other_dwelling_nofb_0_i_b,other_dwelling_nofb_1,other_dwelling_nofb_2,other_dwelling_nofb_3,other_dwelling_nofb_4,other_dwelling_nofb_5,other_dwelling_nofb_6_or_m,other_dwelling_nofb_ns,other_dwelling_total,dweling_structu_ns_nofb_0_i_b,dweling_structur_ns_nofb_1,dweling_structur_ns_nofb_2,dweling_structur_ns_nofb_3,dweling_structur_ns_nofb_4,dweling_structur_ns_nofb_5,dwelig_struct_ns_nofb_6_or_m,dweling_structur_ns_nofb_ns,dweling_structur_ns_total,total_nofb_0_i_b,total_nofb_1,total_nofb_2,total_nofb_3,total_nofb_4,total_nofb_5,total_nofb_6_or_m,total_nofb_ns,total_total
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68f3,Baw Baw,"20501","15","140","1478","7984","5315","676","143","1199","16950","3","64","380","134","5","0","0","83","670","0","26","3","8","0","0","0","12","56","3","85","386","142","8","0","0","96","725","0","76","572","99","4","0","0","85","835","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76","572","99","4","0","0","85","835","17","64","52","12","4","3","0","36","186","0","3","16","30","16","7","0","23","102","40","366","2502","8270","5352","687","149","1439","18791"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68f2,Gippsland - East,"20502","44","408","2622","8583","3681","522","96","1472","17428","0","85","340","114","19","3","3","106","667","0","13","21","24","4","0","0","10","72","0","98","360","136","21","4","3","117","736","0","61","171","54","3","0","0","63","354","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","6","0","0","0","0","0","0","0","4","3","0","61","171","54","3","0","0","66","364","44","123","113","45","6","0","4","116","447","4","13","39","59","27","3","3","75","235","91","700","3307","8880","3740","533","105","1848","19212"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68f1,Gippsland - South West,"20503","48","330","3299","12136","5462","760","169","1855","24053","8","190","429","139","10","4","0","101","887","0","6","61","77","11","0","0","16","176","4","204","490","215","23","4","3","118","1061","6","95","232","69","7","0","0","53","467","0","7","5","3","0","0","0","3","18","0","0","0","5","0","0","0","0","9","0","3","0","0","0","0","0","0","7","6","111","238","80","7","0","0","53","493","25","96","136","22","7","0","3","101","384","5","10","27","43","27","0","0","29","146","88","756","4187","12493","5520","773","178","2152","26143"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68f0,Latrobe Valley,"20504","33","217","2639","14518","6001","799","132","2050","26382","29","407","886","199","22","0","6","213","1758","0","12","50","40","3","0","0","31","131","29","413","933","233","18","3","6","246","1891","14","390","877","115","4","0","3","273","1672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","395","877","115","4","0","3","273","1672","5","43","36","17","0","0","0","33","135","3","23","26","16","12","0","3","57","146","86","1087","4514","14898","6034","800","142","2661","30226"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68ef,Wellington,"20505","26","243","1967","7517","4223","609","108","1207","15906","3","104","282","66","3","0","0","64","519","0","42","25","17","0","0","0","31","107","3","143","300","80","3","0","0","93","627","0","64","239","57","5","0","0","51","413","0","0","25","3","0","0","0","4","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","267","66","5","0","0","51","446","22","72","39","29","9","0","0","51","221","0","7","18","22","22","7","3","10","83","56","532","2585","7708","4257","616","117","1409","17283"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68ee,Brunswick - Coburg,"20601","6","182","3485","8643","3260","505","112","944","17146","12","355","2538","952","139","16","12","270","4295","20","232","1897","1922","325","36","20","305","4750","35","587","4431","2870","461","51","26","580","9042","43","1333","1924","235","12","0","11","358","3918","48","419","715","61","9","0","0","146","1410","82","1479","1990","147","11","5","0","357","4075","0","0","4","3","0","0","0","4","13","170","3232","4640","447","33","5","15","869","9414","4","36","77","45","16","6","3","32","217","4","30","45","36","18","3","3","20","158","224","4066","12676","12042","3773","576","157","2448","35971"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68ed,Darebin - South,"20602","5","93","2136","5320","2068","362","67","595","10654","3","196","1417","883","129","15","0","166","2803","18","467","991","855","158","14","7","180","2682","21","665","2404","1740","285","25","6","339","5486","14","1524","1570","164","9","3","5","434","3718","6","201","330","75","3","0","0","68","683","14","312","337","39","0","0","0","132","830","0","0","0","0","0","0","0","0","3","35","2040","2228","277","11","3","5","631","5230","0","21","54","30","3","4","0","38","156","0","12","26","19","7","4","0","11","82","57","2831","6863","7389","2375","406","78","1612","21607"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68ec,Essendon,"20603","8","72","1711","5324","3278","736","139","545","11809","3","89","1261","752","130","13","3","165","2417","7","188","789","1436","286","18","3","171","2899","5","276","2048","2190","411","34","5","337","5312","10","637","1970","627","24","0","0","333","3601","59","1059","1599","104","10","0","0","567","3398","20","518","1710","343","12","0","0","382","2982","0","0","0","0","0","0","0","0","4","91","2213","5279","1080","46","0","3","1277","9988","5","23","48","20","8","4","0","12","113","0","16","29","32","10","0","3","25","112","114","2600","9118","8638","3749","780","150","2196","27337"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68eb,Melbourne City,"20604","4","70","467","705","281","81","36","201","1854","14","260","1208","713","140","27","5","194","2557","20","198","1454","2163","761","195","42","410","5246","32","454","2665","2874","903","217","45","606","7797","47","497","757","305","54","3","21","252","1948","146","1495","2550","548","46","4","9","724","5524","1714","14038","21825","4122","287","26","46","5671","47724","0","5","12","3","0","0","0","4","21","1908","16042","25141","4978","385","35","73","6644","55214","17","22","35","26","11","0","0","360","479","8","110","179","41","15","7","9","82","451","1970","16703","28491","8629","1593","344","165","7898","65791"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p36_dwelling_structure_by_num_bdrooms_census_2016.fid--7a4d496e_1724c35c6d1_-68ea,Port Phillip,"20605","7","87","883","1754","937","237","56","317","4274","11","309","2568","2318","446","83","9","393","6144","11","209","1248","2606","725","121","25","368","5301","21","516","3810","4926","1174","200","39","762","11444","188","1850","3772","631","50","8","6","1063","7569","181","4103","5629","707","29","3","13","1628","12292","149","4175","6235","1598","70","18","11","1856","14107","4","22","15","4","0","0","0","9","51","525","10149","15648","2945","155","31","30","4547","34025","11","212","209","43","6","0","0","169","651","5","41","73","35","8","3","4","48","214","566","10999","20625","9698","2271","472","127","5841","50603"
