SA3_MAIN11,Sme_Usl_ad_5_yr_ago_as_2011_M,Sme_Usl_ad_5_yr_ago_as_2011_F,Sme_Usl_ad_5_yr_ago_as_2011_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P,SA3_NAME11
10201,42919,46301,89220,5379,5994,11373,17435,19029,36464,260,292,552,587,686,1273,67,84,151,145,167,312,55,77,132,41,50,91,123,122,245,0,0,0,18713,20507,39220,1859,1948,3807,440,656,1096,26391,29105,55496,4338,4201,8539,73648,79607,153255,Gosford
10202,38302,40888,79190,5456,6162,11618,16981,18806,35787,164,183,347,648,773,1421,65,70,135,106,132,238,63,68,131,34,40,74,94,83,177,0,0,0,18155,20155,38310,842,911,1753,494,463,957,24947,27691,52638,3633,3694,7327,66882,72273,139155,Wyong
10301,10874,10903,21777,2353,2404,4757,4554,4959,9513,85,88,173,199,192,391,32,35,67,31,37,68,19,22,41,24,26,50,51,48,99,0,0,0,4995,5407,10402,290,283,573,84,62,146,7722,8156,15878,1860,1056,2916,20456,20115,40571,Bathurst
10302,16017,16032,32049,3510,3781,7291,3242,3391,6633,131,141,272,320,315,635,42,31,73,65,77,142,23,20,43,17,20,37,90,106,196,0,0,0,3930,4101,8031,220,236,456,121,112,233,7781,8230,16011,1583,1457,3040,25381,25719,51100,Lachlan Valley
10303,12333,12117,24450,2526,2686,5212,3521,3593,7114,44,43,87,275,277,552,27,22,49,34,41,75,20,31,51,12,18,30,9,20,29,0,4,4,3942,4049,7991,185,207,392,91,68,159,6744,7010,13754,1743,1137,2880,20820,20264,41084,Lithgow - Mudgee
10304,14038,14549,28587,2594,2723,5317,5230,5785,11015,113,119,232,327,360,687,56,61,117,124,108,232,31,38,69,32,28,60,55,61,116,0,0,0,5968,6560,12528,384,430,814,105,99,204,9051,9812,18863,1486,1340,2826,24575,25701,50276,Orange
10401,13270,13664,26934,3156,3521,6677,3333,3551,6884,160,180,340,943,1007,1950,38,35,73,81,79,160,23,29,52,39,32,71,46,46,92,3,0,3,4666,4959,9625,189,220,409,126,90,216,8137,8790,16927,1425,1166,2591,22832,23620,46452,Clarence Valley
10402,20228,21120,41348,4018,4393,8411,7651,8556,16207,396,425,821,1061,1145,2206,99,115,214,162,155,317,80,86,166,72,78,150,130,147,277,0,3,3,9651,10710,20361,918,1032,1950,229,221,450,14816,16356,31172,2010,1964,3974,37054,39440,76494,Coffs Harbour
10501,7181,6577,13758,1520,1507,3027,1484,1549,3033,80,86,166,260,244,504,33,31,64,38,28,66,15,25,40,23,20,43,8,16,24,0,0,0,1941,1999,3940,194,181,375,58,47,105,3713,3734,7447,1158,899,2057,12052,11210,23262,Bourke - Cobar - Coonamble
10502,6534,6701,13235,1176,1294,2470,610,635,1245,116,117,233,106,90,196,246,223,469,24,31,55,12,8,20,37,26,63,12,13,25,0,0,0,1163,1143,2306,80,101,181,40,33,73,2459,2571,5030,862,828,1690,9855,10100,19955,Broken Hill and Far West
10503,17511,18104,35615,3376,3823,7199,5996,6745,12741,107,116,223,402,456,858,32,55,87,45,48,93,22,12,34,40,40,80,47,51,98,0,0,0,6691,7523,14214,306,333,639,153,165,318,10526,11844,22370,2299,1741,4040,30336,31689,62025,Dubbo
10601,22672,22581,45253,4632,4942,9574,6357,6824,13181,172,135,307,684,630,1314,59,54,113,180,159,339,50,50,100,55,49,104,38,38,76,0,0,0,7595,7939,15534,432,422,854,206,187,393,12865,13490,26355,2551,1889,4440,38088,37960,76048,Lower Hunter
10602,16757,17494,34251,2891,3108,5999,6592,7098,13690,119,156,275,374,411,785,66,72,138,107,89,196,24,29,53,57,45,102,41,49,90,0,0,0,7380,7949,15329,437,448,885,123,97,220,10831,11602,22433,1415,1295,2710,29003,30391,59394,Maitland
10603,17213,17943,35156,3639,3808,7447,6248,6581,12829,266,227,493,596,584,1180,134,144,278,97,107,204,42,37,79,136,124,260,105,109,214,0,0,0,7624,7913,15537,545,554,1099,133,124,257,11941,12399,24340,1975,1835,3810,31129,32177,63306,Port Stephens
10604,7520,7291,14811,1967,2037,4004,2341,2407,4748,76,64,140,280,277,557,23,14,37,81,71,152,14,17,31,29,23,52,11,10,21,0,0,0,2855,2883,5738,312,324,636,74,96,170,5208,5340,10548,1153,803,1956,13881,13434,27315,Upper Hunter
10701,22372,22865,45237,2709,2864,5573,5435,5903,11338,73,66,139,172,178,350,30,34,64,32,30,62,10,17,27,11,13,24,49,56,105,0,3,3,5812,6300,12112,451,463,914,134,120,254,9106,9747,18853,1585,1578,3163,33063,34190,67253,Dapto - Port Kembla
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,3,3,6,5,0,5,8,3,11,Illawarra Catchment Reserve
10703,24186,25068,49254,3510,3566,7076,7614,8366,15980,116,114,230,281,292,573,28,37,65,65,80,145,38,39,77,21,33,54,124,153,277,0,0,0,8287,9114,17401,500,657,1157,147,192,339,12444,13529,25973,1565,1445,3010,38195,40042,78237,Kiama - Shellharbour
10704,32248,33318,65566,4548,4665,9213,11727,12433,24160,188,211,399,364,387,751,54,58,112,106,110,216,41,40,81,34,39,73,191,203,394,0,0,0,12705,13481,26186,3307,2836,6143,189,168,357,20749,21150,41899,3034,2608,5642,56031,57076,113107,Wollongong
10801,8021,8405,16426,1360,1524,2884,2992,3224,6216,63,70,133,210,232,442,12,11,23,20,30,50,9,11,20,18,11,29,23,20,43,0,0,0,3347,3609,6956,99,102,201,71,53,124,4877,5288,10165,928,896,1824,13826,14589,28415,Great Lakes
10802,13195,13344,26539,2292,2549,4841,3588,3888,7476,112,116,228,501,550,1051,46,36,82,47,57,104,26,32,58,51,46,97,44,48,92,0,0,0,4415,4773,9188,137,181,318,95,106,201,6939,7609,14548,1673,1279,2952,21807,22232,44039,Kempsey - Nambucca
10803,109,109,218,8,3,11,28,27,55,0,4,4,6,5,11,0,0,0,3,3,6,0,0,0,0,0,0,0,3,3,0,0,0,37,42,79,5,5,10,4,0,4,54,50,104,5,5,10,168,164,332,Lord Howe Island
10804,17742,19159,36901,3851,4308,8159,7438,8312,15750,327,347,674,749,741,1490,58,71,129,117,122,239,69,86,155,40,65,105,146,150,296,0,4,4,8944,9898,18842,480,516,996,142,151,293,13417,14873,28290,1750,1787,3537,32909,35819,68728,Port Macquarie
10805,14228,14684,28912,2716,3141,5857,4267,4638,8905,91,86,177,361,396,757,25,27,52,51,67,118,20,24,44,42,43,85,31,41,72,0,0,0,4888,5322,10210,169,241,410,143,144,287,7916,8848,16764,1417,1382,2799,23561,24914,48475,Taree - Gloucester
10901,14741,15290,30031,2223,2506,4729,4611,5100,9711,1526,1784,3310,294,316,610,70,76,146,64,92,156,43,63,106,47,47,94,79,100,179,0,0,0,6734,7578,14312,627,680,1307,141,116,257,9725,10880,20605,1565,1548,3113,26031,27718,53749,Albury
10902,3827,3521,7348,696,707,1403,360,370,730,431,470,901,65,52,117,70,66,136,20,19,39,11,8,19,21,26,47,6,3,9,0,0,0,984,1014,1998,56,59,115,19,21,40,1755,1801,3556,407,296,703,5989,5618,11607,Lower Murray
10903,12046,11778,23824,2073,2217,4290,1215,1284,2499,1964,2073,4037,209,238,447,56,69,125,54,63,117,31,34,65,44,39,83,22,20,42,0,0,0,3595,3820,7415,175,186,361,76,73,149,5919,6296,12215,1112,967,2079,19077,19041,38118,Upper Murray exc. Albury
11001,8927,9310,18237,2417,2562,4979,2761,3253,6014,86,105,191,412,468,880,26,47,73,45,30,75,15,18,33,15,34,49,22,35,57,0,0,0,3382,3990,7372,565,542,1107,50,56,106,6414,7150,13564,981,984,1965,16322,17444,33766,Armidale
11002,10575,10772,21347,2376,2637,5013,2140,2308,4448,39,43,82,877,918,1795,21,22,43,31,28,59,10,24,34,33,28,61,12,14,26,0,0,0,3163,3385,6548,172,190,362,109,70,179,5820,6282,12102,1083,794,1877,17478,17848,35326,Inverell - Tenterfield
11003,7015,6777,13792,1635,1687,3322,1567,1587,3154,25,30,55,395,394,789,24,25,49,9,17,26,5,9,14,18,19,37,6,7,13,0,0,0,2049,2088,4137,138,143,281,54,40,94,3876,3958,7834,1038,898,1936,11929,11633,23562,Moree - Narrabri
11004,19911,20441,40352,3801,4296,8097,7426,7851,15277,138,120,258,761,833,1594,46,38,84,71,65,136,26,34,60,49,48,97,47,37,84,0,0,0,8564,9026,17590,330,312,642,200,187,387,12895,13821,26716,2225,2161,4386,35031,36423,71454,Tamworth - Gunnedah
10101,18603,18808,37411,3820,4129,7949,4119,4420,8539,183,200,383,314,336,650,73,64,137,80,80,160,33,39,72,63,48,111,1356,1451,2807,4,3,7,6225,6641,12866,388,395,783,129,126,255,10562,11291,21853,2223,1610,3833,31388,31709,63097,Goulburn - Yass
10102,13624,13545,27169,1503,1602,3105,3814,3899,7713,288,256,544,498,515,1013,129,104,233,110,128,238,43,37,80,119,130,249,2285,2286,4571,7,8,15,7293,7363,14656,893,978,1871,107,97,204,9796,10040,19836,1546,1291,2837,24966,24876,49842,Queanbeyan
10103,5242,5047,10289,969,997,1966,1266,1210,2476,95,114,209,161,165,326,16,16,32,30,18,48,15,18,33,11,11,22,190,192,382,0,0,0,1784,1744,3528,149,159,308,48,50,98,2950,2950,5900,934,636,1570,9126,8633,17759,Snowy Mountains
10104,18546,18834,37380,3521,3906,7427,4888,5350,10238,713,751,1464,373,396,769,77,94,171,130,124,254,77,76,153,45,61,106,898,978,1876,0,5,5,7201,7835,15036,312,386,698,143,114,257,11177,12241,23418,1812,1756,3568,31535,32831,64366,South Coast
11101,34322,36094,70416,3573,3797,7370,11121,12163,23284,202,208,410,428,422,850,38,44,82,119,101,220,38,37,75,32,37,69,101,93,194,0,0,0,12079,13105,25184,831,956,1787,201,145,346,16684,18003,34687,2343,2351,4694,53349,56448,109797,Lake Macquarie - East
11102,19794,20511,40305,2582,2834,5416,7104,7693,14797,115,138,253,371,361,732,55,53,108,73,72,145,27,23,50,38,37,75,45,42,87,0,0,0,7828,8419,16247,420,419,839,189,174,363,11019,11846,22865,1417,1353,2770,32230,33710,65940,Lake Macquarie - West
11103,39178,41207,80385,4297,4313,8610,19098,20326,39424,444,407,851,758,746,1504,142,117,259,162,175,337,84,86,170,118,125,243,179,195,374,4,0,4,20989,22177,43166,2675,2694,5369,387,375,762,28348,29559,57907,4230,3706,7936,71756,74472,146228,Newcastle
11201,18635,19471,38106,3740,4129,7869,5839,6571,12410,477,591,1068,1253,1387,2640,77,91,168,132,170,302,62,75,137,58,63,121,82,83,165,0,0,0,7980,9031,17011,905,1071,1976,185,221,406,12810,14452,27262,1983,1808,3791,33428,35731,69159,Richmond Valley - Coastal
11202,18701,19205,37906,3291,3653,6944,5763,6266,12029,188,208,396,1122,1213,2335,65,58,123,87,102,189,43,49,92,75,81,156,41,45,86,0,0,0,7384,8022,15406,409,442,851,191,166,357,11275,12283,23558,1784,1674,3458,31760,33162,64922,Richmond Valley - Hinterland
11203,21332,22564,43896,3745,4146,7891,5761,6701,12462,414,466,880,3306,3664,6970,92,100,192,124,175,299,77,89,166,77,68,145,81,82,163,0,0,0,9932,11345,21277,937,1050,1987,204,196,400,14818,16737,31555,2355,2432,4787,38505,41733,80238,Tweed Valley
11301,13096,12858,25954,3207,3329,6536,2592,2664,5256,242,242,484,159,173,332,60,55,115,22,34,56,13,20,33,21,14,35,62,70,132,0,0,0,3171,3272,6443,617,598,1215,89,89,178,7084,7288,14372,1497,1403,2900,21677,21549,43226,Griffith - Murrumbidgee (West)
11302,4314,4122,8436,835,869,1704,810,865,1675,79,82,161,98,89,187,6,7,13,14,17,31,13,7,20,6,9,15,44,52,96,0,0,0,1070,1128,2198,126,112,238,41,33,74,2072,2142,4214,467,306,773,6853,6570,13423,Tumut - Tumbarumba
11303,23063,23782,46845,4128,4562,8690,8057,8845,16902,546,574,1120,783,642,1425,165,157,322,139,118,257,65,57,122,141,120,261,287,281,568,4,0,4,10187,10794,20981,790,840,1630,178,144,322,15283,16340,31623,2694,1801,4495,41040,41923,82963,Wagga Wagga
11401,24880,25706,50586,4581,5029,9610,8247,8938,17185,294,325,619,518,511,1029,76,85,161,148,140,288,58,62,120,63,54,117,319,345,664,24,15,39,9747,10475,20222,427,508,935,203,167,370,14958,16179,31137,3159,2564,5723,42997,44449,87446,Shoalhaven
11402,11679,12647,24326,1910,2070,3980,4475,5102,9577,83,90,173,193,209,402,32,33,65,33,33,66,23,33,56,9,8,17,89,101,190,0,0,0,4937,5609,10546,346,362,708,100,156,256,7293,8197,15490,990,1000,1990,19962,21844,41806,Southern Highlands
11501,39165,40910,80075,2639,2715,5354,13208,14003,27211,307,309,616,284,365,649,94,84,178,102,104,206,18,25,43,21,19,40,67,81,148,0,0,0,14101,14990,29091,3302,3614,6916,171,166,337,20213,21485,41698,1726,1940,3666,61104,64335,125439,Baulkham Hills
11502,7970,8022,15992,601,583,1184,2478,2602,5080,35,27,62,55,71,126,10,14,24,9,19,28,5,10,15,5,0,5,7,14,21,0,0,0,2604,2757,5361,306,328,634,42,37,79,3553,3705,7258,388,404,792,11911,12131,24042,Dural - Wisemans Ferry
