SA3_MAIN11,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P,SA3_NAME11
30908,4651,9254,66,355,502,2243,127,561,2765,10458,3460,13617,237,967,500,1647,875,2706,1612,5320,5072,18937,27,125,191,650,88,280,915,2410,1221,3465,105,318,295,666,651,1392,1051,2376,2272,5841,205,435,12200,34467,Robina
30909,5411,10777,78,432,445,2038,182,783,2873,10814,3578,14067,200,830,473,1567,909,2797,1582,5194,5160,19261,21,103,179,607,90,319,1057,2660,1347,3689,103,328,310,686,921,1976,1334,2990,2681,6679,336,695,13588,37412,Southport
30910,4457,8771,23,132,259,1144,59,243,1384,5213,1725,6732,109,436,301,991,472,1445,882,2872,2607,9604,10,38,67,215,27,92,450,1080,554,1425,24,77,163,351,466,962,653,1390,1207,2815,199,407,8470,21597,Surfers Paradise
31001,4822,9709,173,1029,821,4025,286,1424,4213,16677,5493,23155,363,1576,537,1814,1110,3625,2010,7015,7503,30170,61,285,244,921,169,639,1445,4104,1919,5949,142,485,303,699,1043,2313,1488,3497,3407,9446,333,719,16065,50044,Forest Lake - Oxley
31002,6611,13107,149,833,663,3164,302,1397,3355,13549,4469,18943,263,1081,400,1284,1281,3969,1944,6334,6413,25277,37,161,174,683,114,399,1174,3318,1499,4561,54,165,146,308,659,1401,859,1874,2358,6435,166,349,15548,45168,Ipswich Hinterland
31003,8696,17314,216,1274,1060,5030,450,2133,6058,24037,7784,32474,517,2163,807,2715,1896,5955,3220,10833,11004,43307,91,439,345,1241,229,871,2372,6783,3037,9334,137,436,363,784,1490,3226,1990,4446,5027,13780,433,914,25160,75315,Ipswich Inner
31004,5228,10416,191,1143,787,3865,363,1792,5400,21480,6741,28280,329,1422,476,1593,1189,3799,1994,6814,8735,35094,68,328,255,1020,169,650,1887,5326,2379,7324,96,319,221,494,829,1837,1146,2650,3525,9974,269,565,17757,56049,Springfield - Redbank
31101,1349,2680,27,172,157,759,66,279,714,2869,964,4079,51,207,78,251,236,743,365,1201,1329,5280,7,30,47,160,32,111,283,813,369,1114,17,49,44,98,167,360,228,507,597,1621,50,100,3325,9681,Beaudesert
31402,5141,10198,101,540,645,3013,215,988,4524,17594,5485,22135,251,1023,397,1330,899,2863,1547,5216,7032,27351,36,153,150,531,102,343,1149,3108,1437,4135,74,213,190,419,535,1139,799,1771,2236,5906,166,335,14575,43790,North Lakes
31403,3476,6940,91,508,362,1667,156,745,2461,9661,3070,12581,228,931,253,849,904,2868,1385,4648,4455,17229,28,114,109,401,75,257,774,2105,986,2877,76,236,142,321,614,1337,832,1894,1818,4771,171,359,9920,29299,Strathpine
31501,2029,4066,72,469,215,1122,269,1520,1913,8060,2469,11171,52,194,89,266,348,1157,489,1617,2958,12788,29,163,63,244,152,710,835,2521,1079,3638,23,83,37,79,378,954,438,1116,1517,4754,193,471,6697,22079,Far North
31502,2668,5307,47,259,269,1201,206,1098,2157,8713,2679,11271,77,320,106,306,426,1360,609,1986,3288,13257,18,80,61,231,91,429,652,1943,822,2683,17,56,44,90,277,638,338,784,1160,3467,149,319,7265,22350,Outback - North
31503,2156,4143,24,133,182,708,83,378,1377,5439,1666,6658,44,150,101,250,329,959,474,1359,2140,8017,5,15,29,123,44,157,347,999,425,1294,11,33,48,85,198,424,257,542,682,1836,66,140,5044,14136,Outback - South
31601,5286,10352,82,444,652,2898,170,738,3134,12299,4038,16379,279,1085,546,1756,759,2335,1584,5176,5622,21555,21,81,165,571,65,216,769,2003,1020,2871,74,233,209,462,452,966,735,1661,1755,4532,107,226,12770,36665,Buderim
31102,3580,7167,81,467,321,1537,178,833,2297,9027,2877,11864,207,850,275,926,766,2431,1248,4207,4125,16071,29,134,129,475,129,481,1112,3089,1399,4179,71,240,157,343,664,1408,892,1991,2291,6170,173,362,10169,29770,Beenleigh
31103,5895,11833,264,1579,867,4257,490,2377,5051,20528,6672,28741,472,2027,577,1922,1776,5720,2825,9669,9497,38410,81,371,262,988,213,806,1881,5385,2437,7550,120,399,251,550,1087,2395,1458,3344,3895,10894,264,554,19551,61691,Browns Plains
31104,3392,6770,128,750,585,2731,307,1468,3162,12785,4182,17734,260,1091,343,1118,955,3011,1558,5220,5740,22954,27,120,104,367,53,198,540,1444,724,2129,35,115,73,157,333,709,441,981,1165,3110,74,157,10371,32991,Jimboomba
31105,5174,10347,162,905,647,3080,303,1426,3697,14576,4809,19987,362,1514,509,1725,1371,4345,2242,7584,7051,27571,26,139,200,727,132,473,1186,3271,1544,4610,107,337,224,501,788,1756,1119,2594,2663,7204,235,500,15123,45622,Loganlea - Carbrook
