SA3_MAIN11,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp,SA3_NAME11
11802,6025,40519,12316,128987,Eastern Suburbs - South
12701,2718,18904,6188,80343,Bringelly - Green Valley
12702,3817,21236,11673,175627,Fairfield
12703,3378,27277,8385,104187,Liverpool
12801,5645,58931,5562,104370,Cronulla - Miranda - Caringbah
12802,5701,62200,4668,105899,Sutherland - Menai - Heathcote
19797,9,44,8,119,Migratory - Offshore - Shipping (NSW)
19999,512,5475,2883,12918,Special Purpose Codes SA3 (NSW)
20101,3395,70733,5991,95576,Ballarat
20102,1192,18084,1557,26774,Creswick - Daylesford - Ballan
20103,832,17718,1539,23886,Maryborough - Pyrenees
20201,2586,67027,5148,86078,Bendigo
20607,3918,30547,6777,74831,Yarra
20202,1840,29512,3173,43425,Heathcote - Castlemaine - Kyneton
20203,319,8653,752,11185,Loddon - Elmore
20301,795,11525,767,16616,Barwon - West
20302,7654,104300,10560,173455,Geelong
20303,2996,40279,3236,60584,Surf Coast - Bellarine Peninsula
20401,2098,34493,3185,49915,Upper Goulburn Valley
20402,1464,33439,2302,44241,Wangaratta - Benalla
20403,2684,46341,3551,65150,Wodonga - Alpine
20501,2023,29684,2285,42986,Baw Baw
20502,1583,29858,2596,42291,Gippsland - East
20503,2623,37149,3587,57015,Gippsland - South West
20504,3070,45072,5023,72213,Latrobe Valley
20505,1632,28856,3345,41329,Wellington
20601,3636,28200,5320,78893,Brunswick - Coburg
20602,2546,20039,2989,48554,Darebin - South
20603,2575,26806,4294,60930,Essendon
20604,3399,24155,11469,93616,Melbourne City
20605,4703,35919,8502,91379,Port Phillip
21001,2167,21695,2858,54830,Keilor
21002,1369,17176,1174,26638,Macedon Ranges
21003,2460,20029,5302,67613,Moreland - North
21004,1869,21975,1890,36859,Sunbury
21005,4484,34493,9793,132558,Tullamarine - Broadmeadows
21101,7298,68432,6144,149340,Knox
21102,1361,13041,984,25506,Manningham - East
21103,5604,55985,4757,103410,Maroondah
21104,2531,24747,2575,57133,Whitehorse - East
21105,8630,82792,7378,143710,Yarra Ranges
21201,4301,42766,4115,74337,Cardinia
21202,5435,42326,6856,124018,Casey - North
21203,5741,47625,7184,128364,Casey - South
21204,4179,28690,11714,169059,Dandenong
21205,5580,47178,8117,162233,Monash
21301,4944,29469,14846,174422,Brimbank
21302,3645,30480,5223,79419,Hobsons Bay
21303,2659,20425,6732,71628,Maribyrnong
21304,5669,51020,8784,124567,Melton - Bacchus Marsh
21305,7363,59408,11437,166016,Wyndham
21401,7345,63642,8540,126463,Frankston
21402,7947,82588,9639,144612,Mornington Peninsula
21501,1583,46869,3992,59252,Grampians
21502,1428,36136,3507,50980,Mildura
21503,946,28049,2436,37195,Murray River - Swan Hill
21601,1159,28359,2384,36552,Campaspe
21602,823,20684,1961,28125,Moira
21603,1762,39922,4457,60229,Shepparton
21701,1194,28019,1998,36000,Glenelg - Southern Grampians
21702,2461,65981,5125,84671,Warrnambool - Otway Ranges
29797,0,16,3,35,Migratory - Offshore - Shipping (Vic.)
29999,338,3186,1827,8303,Special Purpose Codes SA3 (Vic.)
30101,3895,39333,3428,69945,Capalaba
30102,4041,41213,4207,76469,Cleveland - Stradbroke
11002,1077,30147,2417,37760,Inverell - Tenterfield
11003,603,20717,2326,25685,Moree - Narrabri
11004,1939,62014,5322,76810,Tamworth - Gunnedah
11101,5035,83871,6284,116865,Lake Macquarie - East
11102,2990,49777,3885,70005,Lake Macquarie - West
11103,6653,104468,10458,155732,Newcastle
11201,3750,47591,4709,73224,Richmond Valley - Coastal
11202,2617,51457,4212,69286,Richmond Valley - Hinterland
11203,4009,54714,5742,85110,Tweed Valley
11301,1266,30694,3642,46595,Griffith - Murrumbidgee (West)
11302,432,10957,944,14329,Tumut - Tumbarumba
11303,2526,70028,5693,89203,Wagga Wagga
11401,4266,60672,7131,92625,Shoalhaven
11402,2433,27324,2723,44385,Southern Highlands
11501,6213,50703,4988,133821,Baulkham Hills
11502,1393,13019,1105,25342,Dural - Wisemans Ferry
11503,1282,15026,1733,24072,Hawkesbury
11504,1338,13293,1328,27181,Rouse Hill - McGraths Hill
11601,4656,40477,7326,125020,Blacktown
11602,3119,26354,3846,74776,Blacktown - North
11603,3556,33566,8130,103729,Mount Druitt
11701,1575,10533,2941,39361,Botany
11901,5461,39896,12620,159076,Bankstown
11902,3458,17086,10604,125431,Canterbury
11903,4215,33709,6586,116601,Hurstville
11904,4203,26486,9232,122498,Kogarah - Rockdale
12001,3332,24234,5286,74155,Canada Bay
12002,3197,21422,3585,52190,Leichhardt
12003,4972,29944,10970,137212,Strathfield - Burwood - Ashfield
12101,5622,33721,5432,100201,Chatswood - Lane Cove
12102,4146,31199,3352,76533,Hornsby
12103,6628,42352,5069,109584,Ku-ring-gai
12104,4974,33170,7971,88355,North Sydney - Mosman
12201,2533,15665,2876,39741,Manly
12202,3868,28967,3101,57147,Pittwater
12203,8772,61575,7745,140742,Warringah
12301,2839,30826,2183,52239,Camden
12302,6463,62543,10857,147166,Campbelltown (NSW)
12303,1926,23011,1997,36409,Wollondilly
12401,4700,42868,4805,75690,Blue Mountains
12402,0,3,0,6,Blue Mountains - South
12403,6605,67912,7239,124673,Penrith
12404,1885,21380,2934,35751,Richmond - Windsor
12405,2307,23270,3503,52063,St Marys
12501,1587,6998,7738,74417,Auburn
12502,2305,18381,3430,59604,Carlingford
12503,4281,27585,11352,135913,Merrylands - Guildford
12504,4026,30849,9732,124772,Parramatta
12601,2027,16244,1462,43002,Pennant Hills - Epping
12602,5154,37479,6802,119836,Ryde - Hunters Hill
30103,3550,35650,3596,65018,Wynnum - Manly
30201,1873,21003,1631,37760,Bald Hills - Everton Park
30202,3389,36905,3872,65892,Chermside
30203,1729,18299,2167,34569,Nundah
30204,2753,28727,3769,52828,Sandgate
50803,1841,21607,5807,41807,Goldfields
50804,1147,22478,5169,34787,Kimberley
50805,2740,33382,4542,53650,Mid West
50806,2761,27632,12237,59892,Pilbara
50901,3571,30747,3409,55357,Albany
50902,3016,31299,4213,53373,Wheat Belt - North
50903,1201,13215,1459,20714,Wheat Belt - South
59797,18,163,69,409,Migratory - Offshore - Shipping (WA)
59999,297,2791,1344,7294,Special Purpose Codes SA3 (WA)
60101,322,12680,1324,16004,Brighton
60102,1794,35699,3234,49641,Hobart - North East
60103,1504,37328,3219,51254,Hobart - North West
60104,1644,19150,1393,31082,Hobart - South and West
60105,2640,27224,2937,48809,Hobart Inner
60106,553,10962,872,14859,Sorell - Dodges Ferry
60201,3077,56038,4491,79045,Launceston
60202,819,15752,1192,22006,Meander Valley - West Tamar
60203,1152,27489,2040,36504,North East
60301,254,8827,805,11336,Central Highlands (Tas.)
60302,781,12046,905,17937,Huon - Bruny Island
60303,212,4732,408,6518,South East Coast
60401,1438,36721,2885,47967,Burnie - Ulverstone
10101,2361,50375,4848,67500,Goulburn - Yass
10102,2682,31231,3467,53512,Queanbeyan
10103,881,12069,1850,18924,Snowy Mountains
10104,2961,45608,4504,67865,South Coast
10201,8597,98437,11475,163101,Gosford
10202,7086,98534,9906,149079,Wyong
10301,1594,31686,3646,43551,Bathurst
10302,1448,44271,3864,54800,Lachlan Valley
10303,1543,32091,3508,43923,Lithgow - Mudgee
10304,1748,41016,3650,54472,Orange
10401,1744,37635,3164,49239,Clarence Valley
10402,3660,54745,5179,81357,Coffs Harbour
10501,539,19833,2463,25293,Bourke - Cobar - Coonamble
10502,428,16849,1826,21200,Broken Hill and Far West
10503,1696,53777,4934,67095,Dubbo
10601,2922,62368,5597,81995,Lower Hunter
10602,2372,48841,3455,64205,Maitland
10603,2945,46456,4580,67505,Port Stephens
10604,886,22651,2400,29541,Upper Hunter
10701,3778,34797,4402,71917,Dapto - Port Kembla
10702,0,5,7,15,Illawarra Catchment Reserve
10703,4643,47842,4111,83522,Kiama - Shellharbour
10704,6844,62031,6940,120526,Wollongong
10801,1168,21111,2202,29848,Great Lakes
10802,1625,34732,3594,46833,Kempsey - Nambucca
10803,17,248,11,364,Lord Howe Island
10804,3065,51177,4503,72709,Port Macquarie
10805,1771,38505,3409,51353,Taree - Gloucester
10901,1954,42065,3803,57438,Albury
10902,333,9605,973,12427,Lower Murray
10903,1184,31768,2517,40457,Upper Murray exc. Albury
11001,1273,26424,2499,35950,Armidale
60402,1287,33003,2484,43229,Devonport
60403,525,13576,1083,17955,West Coast
69797,0,63,13,108,Migratory - Offshore - Shipping (Tas.)
69999,22,640,163,1069,Special Purpose Codes SA3 (Tas.)
70101,1183,10275,3266,22772,Darwin City
70102,2780,21945,7211,51570,Darwin Suburbs
70103,1016,10739,2645,18616,Litchfield
20904,5901,58637,10139,166903,Whittlesea - Wallan
30303,2975,27463,3609,65664,Mt Gravatt
30305,2188,18034,3325,53642,Rocklea - Acacia Ridge
11702,2663,16414,4168,50611,Marrickville - Sydenham - Petersham
11703,7258,48733,24366,174571,Sydney Inner City
11801,6901,37533,14327,120560,Eastern Suburbs - North
20606,2833,21535,4899,53780,Stonnington - West
20701,8369,73168,7690,159180,Boroondara
20702,3145,25364,3688,85908,Manningham - West
20703,4067,38397,5275,94922,Whitehorse - West
20801,5261,45182,5255,91817,Bayside
31602,3559,41883,3957,70046,Caloundra
31603,2693,29651,3656,51085,Maroochy
31604,3112,35387,3641,57866,Nambour - Pomona
31605,1987,19054,2529,35892,Noosa
31606,2579,28008,2984,46288,Sunshine Coast Hinterland
31701,5147,100723,8771,140223,Toowoomba
31801,1444,31394,2779,43368,Charters Towers - Ayr - Ingham
31802,8270,112762,14475,174527,Townsville
31901,3242,59018,5843,84746,Bundaberg
31902,1674,35103,3059,47480,Burnett
31903,1933,32001,3212,45679,Gympie - Cooloola
31904,2367,33400,3309,52850,Hervey Bay
31905,1670,30220,3365,42526,Maryborough
39797,29,218,79,472,Migratory - Offshore - Shipping (Qld)
39999,452,6009,1984,12546,Special Purpose Codes SA3 (Qld)
30306,1729,12786,2616,46070,Sunnybank
30401,1661,13913,1293,32061,Centenary
30402,2552,20717,1831,43617,Kenmore - Brookfield - Moggill
30403,2726,22266,2881,47299,Sherwood - Indooroopilly
30404,2895,28020,1892,47376,The Gap - Enoggera
30501,2514,20784,7368,57588,Brisbane Inner
30502,2205,19663,2470,37568,Brisbane Inner - East
30503,4201,40473,4374,75271,Brisbane Inner - North
30504,3280,29293,2821,53535,Brisbane Inner - West
30601,3129,24565,3204,47218,Cairns - North
30602,5259,50938,10023,94733,Cairns - South
30603,1416,21963,2232,33465,Innisfail - Cassowary Coast
30604,530,5928,1197,10779,Port Douglas - Daintree
30605,1735,24020,2851,38229,Tablelands (East) - Kuranda
30701,1172,34203,3618,43413,Darling Downs (West) - Maranoa
30702,1178,31149,3321,40366,Darling Downs - East
30703,1436,28310,2194,38497,Granite Belt
30801,1054,21057,2725,29659,Central Highlands (Qld)
30802,2823,49941,5944,72341,Gladstone - Biloela
30803,3911,79009,9858,109332,Rockhampton
30901,3184,28225,5678,57919,Broadbeach - Burleigh
30902,2708,29389,3806,50093,Coolangatta
30903,3056,26696,5022,59614,Gold Coast - North
30904,1081,9179,986,17138,Gold Coast Hinterland
30905,2029,16056,1660,31086,Mudgeeraba - Tallebudgera
30906,3568,29945,4272,62684,Nerang
30907,5310,45074,5625,94065,Ormeau - Oxenford
40102,3872,41507,2854,68055,Adelaide Hills
31502,1122,21585,4582,33131,Outback - North
31503,558,15948,1435,19915,Outback - South
31601,2541,26037,1897,45729,Buderim
40402,2370,25132,4021,56602,Port Adelaide - West
40403,2486,25583,3474,57828,West Torrens
20802,7168,48596,7592,138065,Glen Eira
20803,5819,51023,6247,108970,Kingston
20804,2053,18568,2163,39374,Stonnington - East
20901,5521,60745,5972,118310,Banyule
20902,2904,26629,7242,87914,Darebin - North
20903,3410,38754,2560,63916,Nillumbik - Kinglake
30301,2511,24688,2130,47016,Carindale
30302,3456,32148,4248,65186,Holland Park - Yeronga
30304,1880,16829,2499,36518,Nathan
30908,2442,18462,3556,45196,Robina
30909,2738,22842,5018,54546,Southport
30910,1730,13878,4441,35335,Surfers Paradise
31001,2565,21776,6973,63564,Forest Lake - Oxley
31002,2479,39507,4620,56941,Ipswich Hinterland
31003,4595,62358,6422,94915,Ipswich Inner
31004,3551,29391,4328,66352,Springfield - Redbank
31101,538,8525,939,12379,Beaudesert
40101,793,6416,2247,19642,Adelaide City
31102,2045,19018,3179,37759,Beenleigh
31103,3848,34713,4874,72701,Browns Plains
31104,2293,21484,2141,37342,Jimboomba
31105,3187,26098,3546,54870,Loganlea - Carbrook
31106,3746,31724,6025,75357,Springwood - Kingston
31201,1329,24192,4060,35478,Bowen Basin - North
31202,4572,77127,8903,112798,Mackay
31203,940,10769,2186,18536,Whitsunday
31301,1438,18505,2111,30531,Bribie - Beachmere
31302,3163,35692,5255,59058,Caboolture
31303,468,7297,1309,11291,Caboolture Hinterland
31304,3092,35300,3745,58580,Narangba - Burpengary
31305,2870,30635,3790,55986,Redcliffe
31401,4463,49362,3020,80504,Hills District
31402,2821,28093,2479,51570,North Lakes
31403,1877,21097,1818,35355,Strathpine
31501,825,21851,3193,29872,Far North
40103,2174,20212,2161,42198,Burnside
40104,1874,18293,2111,48497,Campbelltown (SA)
40105,1645,15225,2021,34881,Norwood - Payneham - St Peters
40304,9201,85852,8321,160821,Onkaparinga
40401,4146,44972,5865,102224,Charles Sturt
40107,1815,18717,2330,36849,Unley
40201,1900,18088,1639,31646,Gawler - Two Wells
40202,4853,39174,5643,79872,Playford
40203,2486,24526,4545,60939,Port Adelaide - East
40204,6298,55409,8540,127663,Salisbury
40205,5167,45455,3873,91534,Tea Tree Gully
40501,1593,22865,1444,33206,Barossa
40502,837,16496,1121,22051,Lower North
40503,872,20811,1497,27265,Mid North
40504,842,18174,1113,23997,Yorke Peninsula
40601,2344,38222,3723,56399,Eyre Peninsula and South West
40602,844,19457,3302,28230,Outback - North and East
40701,2075,29118,2644,46353,Fleurieu - Kangaroo Island
40702,2166,47066,3166,63083,Limestone Coast
40703,2285,47511,5076,67694,Murray and Mallee
49797,0,0,5,5,Migratory - Offshore - Shipping (SA)
49999,141,1401,568,3070,Special Purpose Codes SA3 (SA)
50101,2770,22887,2927,42046,Augusta - Margaret River - Busselton
50102,5443,51912,7209,94376,Bunbury
50103,1357,11970,1178,21678,Manjimup
50201,5063,40633,6649,83299,Mandurah
50301,4295,27037,4063,64138,Cottesloe - Claremont
50302,4943,29121,9129,92222,Perth City
50401,4141,24567,5297,76345,Bayswater - Bassendean
50402,2708,17616,3933,40412,Mundaring
50403,6513,39236,7784,103139,Swan
50501,9394,53473,7242,152425,Joondalup
50502,9638,58895,13355,178432,Stirling
50503,8715,45462,10502,152100,Wanneroo
50603,4230,24522,5855,88767,Canning
50801,831,9747,1253,15613,Esperance
50802,467,5219,1058,9287,Gascoyne
40106,1297,12471,1439,26954,Prospect - Walkerville
40301,1480,17899,2219,33062,Holdfast Bay
40302,4076,43296,4335,84319,Marion
40303,3394,33689,2336,61667,Mitcham
50601,4404,23499,4824,62302,Armadale
50602,3285,20390,5828,63807,Belmont - Victoria Park
50604,5905,33695,8796,106587,Gosnells
50605,3453,22623,3409,53562,Kalamunda
50606,1365,8102,1234,17800,Serpentine - Jarrahdale
50607,2405,14820,3112,40807,South Perth
50701,5251,32458,5249,87413,Cockburn
50702,2152,13251,2558,33633,Fremantle
50703,1879,11275,3293,29226,Kwinana
50704,5960,36960,5171,98365,Melville
50705,6940,40424,7394,104113,Rockingham
70104,1632,15781,2984,27609,Palmerston
70202,91,4285,734,5733,Barkly
70203,261,13235,887,15744,Daly - Tiwi - West Arnhem
70204,348,11367,662,14011,East Arnhem
70205,486,13697,1658,17821,Katherine
79797,3,50,10,110,Migratory - Offshore - Shipping (NT)
79999,70,929,268,1869,Special Purpose Codes SA3 (NT)
70201,1257,22812,3937,36062,Alice Springs
80101,5167,47165,5531,92445,Belconnen
80102,41,322,27,548,Cotter - Namadgi
80103,66,706,434,1501,Fyshwick - Pialligo - Hume
80104,2592,21393,1928,47302,Gungahlin
80105,3153,21569,3644,48033,North Canberra
80106,1543,12003,1601,24155,South Canberra
80107,5109,48813,3771,86904,Tuggeranong
80108,1429,12482,983,22744,Weston Creek
80109,1898,15788,1430,32968,Woden
89797,0,0,0,0,Migratory - Offshore - Shipping (ACT)
89999,38,288,79,641,Special Purpose Codes SA3 (ACT)
90101,100,304,842,2071,Christmas Island
90102,17,378,54,558,Cocos (Keeling) Islands
90103,14,294,22,378,Jervis Bay
99797,0,3,0,3,Migratory - Offshore - Shipping (OT)
99999,0,16,0,23,Special Purpose Codes SA3 (OT)
