SA3_MAIN11,P_SOL_SE_Tot_2001_2005,P_SOL_SE_Tot_2006,P_SOL_SE_Tot_2007,P_SOL_SE_Tot_2008,P_SOL_SE_Tot_2009,P_SOL_SE_Tot_2010,P_SOL_SE_Tot_2011,P_SOL_SE_Tot_arrival_ns,P_SOL_SE_Tot_Total,P_L_prof_Eng_ns_bf1996,P_L_prof_Eng_ns_1996_2000,P_L_prof_Eng_ns_2001_2005,P_L_prof_Eng_ns_2006,P_L_prof_Eng_ns_2007,P_L_prof_Eng_ns_2008,P_L_prof_Eng_ns_2009,P_L_prof_Eng_ns_2010,P_L_prof_Eng_ns_2011,P_L_prof_Eng_ns_arrival_ns,P_L_prof_Eng_ns_Total,P_Tot_bf1996,P_Tot_1996_2000,P_Tot_2001_2005,P_Tot_2006,P_Tot_2007,P_Tot_2008,P_Tot_2009,P_Tot_2010,P_Tot_2011,P_Tot_Yr_arrival_not_stated,P_Tot_Total,SA3_NAME11
11201,284,84,99,72,104,103,34,112,2033,8,0,6,0,0,0,0,0,0,0,14,6318,736,963,241,245,234,272,246,113,482,9850,Richmond Valley - Coastal
11202,172,51,52,75,91,76,38,98,1488,7,3,3,0,0,3,0,3,0,3,22,3968,368,453,107,90,152,146,117,67,280,5748,Richmond Valley - Hinterland
11203,238,89,102,130,144,120,54,138,2263,15,0,0,5,0,3,4,0,0,0,27,8615,867,1038,267,327,328,310,254,121,656,12783,Tweed Valley
11301,434,102,149,273,244,156,104,220,3748,8,4,6,0,0,3,8,4,0,6,39,2843,482,612,146,185,328,323,214,141,361,5635,Griffith - Murrumbidgee (West)
11302,33,8,24,26,35,20,9,41,385,0,0,0,0,0,0,0,3,0,0,3,746,66,89,23,37,59,55,45,15,74,1209,Tumut - Tumbarumba
11303,429,144,178,151,264,248,120,245,2528,3,0,12,0,0,3,4,5,5,3,35,3048,435,701,223,260,251,345,319,174,402,6158,Wagga Wagga
11401,161,40,39,56,65,31,21,251,2477,13,3,3,0,0,0,0,0,3,4,26,9327,480,517,105,112,131,175,103,83,695,11728,Shoalhaven
11402,112,35,31,25,48,34,23,106,1320,6,0,3,3,0,3,0,0,0,3,18,5155,327,381,101,76,67,111,62,56,409,6745,Southern Highlands
11501,3947,787,882,778,697,654,322,777,29310,89,26,18,4,3,3,4,6,8,16,177,27190,5974,5756,1132,1317,1298,1079,1200,633,1337,46916,Baulkham Hills
11502,150,45,52,53,49,56,22,104,2298,12,3,0,0,0,0,0,0,0,0,15,3791,508,381,85,113,110,108,80,38,223,5437,Dural - Wisemans Ferry
11503,18,8,6,14,4,13,4,34,554,7,0,0,0,0,0,0,0,0,0,7,2287,154,137,21,24,32,25,29,9,143,2861,Hawkesbury
