gml_id,sa3_code16,f_tot_lf_15_19_yr,f_tot_lf_20_24_yr,f_tot_lf_25_34_yr,f_tot_lf_35_44_yr,f_tot_lf_45_54_yr,f_tot_lf_55_64_yr,f_tot_lf_65_74_yr,f_tot_lf_75_84_yr,f_tot_lf_85,f_tot_lf_tot,f_n_the_lf_15_19,f_n_the_lf_20_24,f_n_the_lf_25_34,f_n_the_lf_35_44,f_n_the_lf_45_54,f_n_the_lf_55_64,f_n_the_lf_65_74,f_n_the_lf_75_84,f_n_the_lf_85,f_n_the_lf_tot,f_lf_st_ns_15_19,f_lf_st_ns_20_24,f_lf_st_ns_25_34,f_lf_st_ns_35_44,f_lf_st_ns_45_54,f_lf_st_ns_55_64,f_lf_st_ns_65_74,f_lf_st_ns_75_84,f_lf_st_ns_85,f_lf_st_ns_total,f_tot_15_19_yr,f_tot_20_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_emp_wrk_ft_15_19,p_emp_wrk_ft_20_24,p_emp_wrk_ft_25_34,p_emp_wrk_ft_35_44,p_emp_wrk_ft_45_54,p_emp_wrk_ft_55_64,p_emp_wrk_ft_65_74,p_emp_wrk_ft_75_84,p_emp_wrk_ft_85,p_emp_wrk_ft_tot,p_emp_wrk_pt_15_19,p_emp_wrk_pt_20_24,p_emp_wrk_pt_25_34,p_emp_wrk_pt_35_44,p_emp_wrk_pt_45_54,p_emp_wrk_pt_55_64,p_emp_wrk_pt_65_74,p_emp_wrk_pt_75_84,p_emp_wrk_pt_85,p_emp_wrk_pt_tot,p_emp_a_f_wrk_15_19,p_emp_a_f_wrk_20_24,p_emp_a_f_wrk_25_34,p_emp_a_f_wrk_35_44,p_emp_a_f_wrk_45_54,p_emp_a_f_wrk_55_64,p_emp_a_f_wrk_65_74,p_emp_a_f_wrk_75_84,p_emp_a_f_wrk_85,p_emp_a_f_wrk_tot,p_hr_wrk_ns_15_19,p_hr_wrk_ns_20_24,p_hr_wrk_ns_25_34,p_hr_wrk_ns_35_44,p_hr_wrk_ns_45_54,p_hr_wrk_ns_55_64,p_hr_wrk_ns_65_74,p_hr_wrk_ns_75_84,p_hr_wrk_ns_85,p_hr_wrk_ns_tot,p_tot_emp_15_19,p_tot_emp_20_24,p_tot_emp_25_34,p_tot_emp_35_44,p_tot_emp_45_54,p_tot_emp_55_64,p_tot_emp_65_74,p_tot_emp_75_84,p_tot_emp_85_over,p_tot_emp_tot,p_ue_lk_fr_ft_wrk_15_19,p_ue_lk_fr_ft_wrk_20_24,p_ue_lk_fr_ft_wrk_25_34,p_ue_lk_fr_ft_wrk_35_44,p_ue_lk_fr_ft_wrk_45_54,p_ue_lk_fr_ft_wrk_55_64,p_ue_lk_fr_ft_wrk_65_74,p_ue_lk_fr_ft_wrk_75_84,p_ue_lk_for_ft_wrk_85,p_ue_looking_for_ft_wk_tot,p_ue_lk_for_pt_wk_15_19,p_ue_lk_for_pt_wk_20_24,p_ue_lk_for_pt_wk_25_34,p_ue_lk_for_pt_wk_35_44,p_ue_lk_for_pt_wk_45_54,p_ue_lk_for_pt_wk_55_64,p_ue_lk_for_pt_wk_65_74,p_ue_lk_for_pt_wk_75_84,p_ue_looking_for_pt_wk_85,p_ue_lk_for_pt_wrk_tot,p_tot_unemp_15_19,p_tot_unemp_20_24,p_tot_unemp_25_34,p_tot_unemp_35_44,p_tot_unemp_45_54,p_tot_unemp_55_64,p_tot_unemp_65_74,p_tot_unemp_75_84,p_tot_unemp_85,p_tot_unemp_total,p_tot_lf_15_19_yr,p_tot_lf_20_24_yr,p_tot_lf_25_34_yr,p_tot_lf_35_44_yr,p_tot_lf_45_54_yr,p_tot_lf_55_64_yr,p_tot_lf_65_74_yr,p_tot_lf_75_84_yr,p_tot_lf_85,p_tot_lf_tot,p_n_the_lf_15_19,p_n_the_lf_20_24,p_n_the_lf_25_34,p_n_the_lf_35_44,p_n_the_lf_45_54,p_n_the_lf_55_64,p_n_the_lf_65_74,p_n_the_lf_75_84,p_n_the_lf_85,p_n_the_lf_tot,p_lf_st_ns_15_19,p_lf_st_ns_20_24,p_lf_st_ns_25_34,p_lf_st_ns_35_44,p_lf_st_ns_45_54,p_lf_st_ns_55_64,p_lf_st_ns_65_74,p_lf_st_ns_75_84,p_lf_st_ns_85,p_lf_st_ns_total,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-640b,"10102","992","1322","3035","3300","3742","2119","381","41","3","14935","626","220","614","479","538","1119","1555","849","390","6388","96","125","338","263","283","268","201","100","40","1708","1709","1666","3990","4044","4563","3507","2136","986","435","23036","401","1568","4404","4805","5684","3029","494","45","7","20430","1178","808","1283","1377","1414","1169","444","61","3","7741","56","75","313","241","221","191","38","3","0","1143","56","45","104","106","101","73","14","12","0","511","1683","2502","6111","6526","7420","4464","985","123","12","29823","72","104","152","149","123","93","17","0","0","704","183","54","91","63","51","73","20","5","0","543","259","159","244","208","180","158","38","5","0","1245","1942","2662","6354","6730","7603","4624","1024","122","18","31065","1422","375","836","703","892","1963","2906","1577","606","11282","218","274","687","638","717","619","441","199","75","3862","3579","3306","7872","8070","9212","7205","4371","1902","693","46207",Queanbeyan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-640a,"10103","416","753","1382","1528","1655","1152","339","42","0","7271","260","78","215","250","262","597","938","455","224","3275","75","137","273","309","290","243","185","87","63","1665","757","966","1867","2088","2209","1989","1459","585","293","12211","284","1013","2126","2101","2287","1550","417","57","12","9852","463","480","698","838","868","855","389","66","4","4662","32","44","159","152","161","194","48","8","3","796","41","58","53","65","62","60","27","8","0","377","816","1590","3039","3157","3384","2652","886","138","22","15679","19","37","58","46","54","46","5","0","0","270","34","24","28","23","22","29","12","3","0","165","52","60","79","69","75","76","21","3","0","432","872","1648","3115","3226","3456","2726","902","144","22","16117","627","153","363","445","500","1112","1917","943","350","6394","178","326","644","686","633","581","446","194","102","3787","1671","2124","4121","4357","4586","4419","3262","1283","470","26297",Snowy Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6409,"10104","953","813","1814","2522","3528","3300","648","62","10","13653","685","267","625","733","963","2903","4629","2631","1196","14631","108","92","169","223","305","406","413","349","254","2309","1743","1171","2611","3482","4798","6610","5692","3037","1455","30596","367","860","2065","2684","3799","3009","542","68","8","13395","1104","622","1231","1791","2373","2849","874","102","16","10963","71","53","167","159","238","354","104","21","3","1166","62","58","75","77","91","105","44","22","5","543","1593","1591","3540","4717","6495","6317","1566","205","30","26060","106","160","210","158","193","205","12","3","3","1051","110","71","88","93","110","174","32","3","0","674","217","228","299","252","307","378","36","3","3","1730","1811","1822","3839","4965","6801","6698","1603","209","35","27789","1502","400","928","1173","1745","5230","9083","5085","1969","27116","205","181","344","443","645","808","841","667","383","4526","3516","2407","5108","6586","9192","12742","11528","5965","2387","59434",South Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6408,"10105","535","599","1491","1502","1838","1329","324","50","10","7667","386","164","397","396","452","965","1483","946","399","5592","59","54","109","109","157","147","163","167","166","1132","982","818","1998","2003","2444","2443","1972","1164","573","14388","277","817","1940","2079","2451","1747","398","69","9","9792","597","380","786","826","997","918","383","71","13","4969","29","34","144","88","105","114","25","5","0","547","24","33","58","61","47","39","27","16","3","304","932","1270","2928","3053","3605","2814","830","163","25","15611","60","104","121","107","125","84","10","3","0","604","87","36","66","53","53","56","15","3","0","365","141","135","182","154","180","139","28","4","0","967","1074","1404","3113","3210","3779","2953","860","167","25","16584","846","347","780","748","851","1612","2805","1756","636","10388","136","114","232","241","331","293","339","290","229","2195","2054","1861","4126","4196","4961","4862","4001","2207","893","29168",Goulburn - Mulwaree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6407,"10106","537","628","1227","1768","2041","1376","400","69","16","8062","484","173","410","364","436","828","1403","862","399","5365","68","50","85","116","164","139","149","144","121","1034","1082","862","1722","2248","2644","2344","1952","1070","533","14459","273","766","1643","2272","2705","1763","513","90","22","10052","597","371","653","971","1044","958","428","93","19","5137","32","41","115","111","132","113","57","7","0","618","35","49","43","64","86","46","27","24","3","383","939","1232","2455","3428","3970","2886","1030","215","43","16188","44","63","87","92","79","59","3","0","0","429","84","27","40","51","44","43","4","0","0","290","126","94","126","139","117","105","11","0","0","715","1060","1320","2580","3565","4090","2985","1036","217","42","16905","988","252","518","544","723","1486","2655","1548","603","9312","121","105","182","231","300","315","300","255","182","1991","2171","1678","3278","4343","5113","4783","3996","2017","827","28208",Young - Yass
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6406,"10201","2863","3297","6682","7957","9157","6714","1334","96","17","38119","1895","725","1843","2114","2212","4348","7877","5451","2941","29412","192","206","424","457","508","488","538","588","583","3978","4948","4235","8947","10530","11879","11545","9747","6133","3542","71509","887","3330","8918","10217","11412","7676","1122","79","12","43647","3205","2638","3545","4846","5304","4689","1725","191","21","26162","164","151","665","503","461","521","123","16","6","2613","94","139","228","276","258","164","61","32","10","1260","4346","6256","13352","15840","17431","13056","3037","319","45","73680","290","467","534","426","552","392","25","6","3","2689","673","291","281","308","274","291","72","9","0","2198","963","752","818","731","822","685","95","17","3","4888","5310","7009","14166","16575","18257","13735","3139","332","48","78570","4313","1384","2593","2931","3483","7233","14369","9618","4754","50690","430","431","864","915","1006","1039","1005","948","821","7455","10053","8823","17621","20420","22750","22005","18509","10895","5629","136714",Gosford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6405,"10202","2760","3398","6385","7064","7722","5403","886","66","9","33702","1855","921","2241","2199","2246","4358","7475","4933","2257","28483","202","252","404","438","502","517","620","623","566","4126","4814","4575","9040","9709","10475","10276","8976","5618","2834","66305","1043","3477","8231","8846","9690","6081","775","44","4","38200","2908","2438","3675","4231","4428","3803","1167","103","16","22774","140","216","563","423","394","439","94","0","4","2278","96","185","241","235","231","181","50","19","3","1234","4187","6313","12713","13738","14747","10507","2090","168","29","64486","471","561","598","515","548","399","26","3","0","3125","636","240","309","314","268","258","44","9","0","2086","1110","803","904","829","820","660","68","14","0","5205","5301","7119","13615","14565","15563","11162","2155","181","29","69689","4064","1543","2996","3207","3726","7308","13572","9061","3674","49147","418","500","829","870","1004","1019","1123","1082","854","7707","9779","9162","17441","18649","20292","19489","16851","10330","4554","126549",Wyong
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6404,"10301","836","1176","1941","2096","2297","1733","412","42","11","10555","722","384","536","439","510","903","1656","1053","528","6740","176","180","137","152","188","183","178","160","122","1470","1737","1741","2616","2688","2996","2815","2246","1256","661","18763","279","1029","2681","2713","3140","2178","447","56","4","12529","887","886","1065","1130","1093","1054","450","82","12","6654","63","104","181","107","110","142","46","14","0","778","53","68","74","73","67","45","19","11","6","413","1280","2088","4003","4020","4408","3424","964","163","27","20374","81","164","140","127","135","82","4","0","3","738","199","135","67","63","61","58","13","0","0","600","276","297","210","192","195","140","21","0","0","1340","1557","2387","4217","4214","4605","3560","983","163","24","21715","1637","901","1115","870","954","1645","3106","1835","807","12858","316","389","313","307","374","349","359","260","169","2836","3507","3676","5640","5387","5928","5554","4447","2254","1004","37410",Bathurst
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6403,"10302","710","886","1868","2116","2531","1986","543","130","22","10781","726","297","697","588","734","1419","2281","1705","901","9343","136","107","212","233","295","303","327","284","177","2074","1567","1290","2774","2932","3558","3710","3145","2116","1101","22197","390","1219","2468","2764","3363","2699","787","164","25","13874","723","479","1084","1196","1373","1348","574","157","28","6951","58","58","187","111","138","182","59","19","3","809","47","48","93","104","101","81","43","31","8","568","1214","1807","3840","4169","4975","4313","1460","373","66","22208","126","168","183","165","169","119","5","3","0","933","91","49","87","69","89","86","12","0","0","474","219","211","265","240","255","201","14","5","0","1410","1432","2019","4101","4405","5229","4511","1475","377","67","23622","1453","466","928","915","1280","2409","4354","3114","1386","16307","268","238","456","484","622","655","685","523","279","4208","3147","2725","5492","5804","7133","7576","6514","4016","1726","44139",Lachlan Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p40b_labour_force_status_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6402,"10303","549","673","1553","1834","2207","1578","389","69","14","8858","530","257","654","604","675","1244","2017","1286","549","7814","105","109","222","241","296","299","315","201","94","1878","1186","1045","2426","2674","3173","3122","2718","1557","652","18552","305","906","2117","2277","2783","1952","396","82","19","10830","581","403","939","1096","1345","1159","466","89","15","6095","54","36","172","123","113","151","50","7","3","701","35","40","61","67","62","46","28","10","8","360","965","1386","3285","3558","4313","3312","936","184","39","17979","94","140","196","171","183","133","4","0","0","931","56","60","93","73","73","66","12","4","0","447","151","207","291","250","258","200","16","6","0","1375","1122","1592","3581","3804","4573","3509","958","188","36","19358","1194","437","1009","958","1233","2219","4001","2371","864","14281","218","219","478","497","619","627","656","366","136","3809","2522","2253","5059","5260","6428","6348","5613","2925","1039","37447",Lithgow - Mudgee
