gml_id,sa3_name16,sa3_code16,p_y8b_15_19_yrs,p_y8b_20_24_yrs,p_y8b_25_34_yrs,p_y8b_35_44_yrs,p_y8b_45_54_yrs,p_y8b_55_64_yrs,p_y8b_65_74_yrs,p_y8b_75_84_yrs,p_y8b_85ov,p_y8b_tot,p_dngts_15_19,p_dngts_20_24,p_dngts_25_34,p_dngts_35_44,p_dngts_45_54,p_dngts_55_64,p_dngts_65_74,p_dngts_75_84,p_dngts_85_ov,p_dngts_tot,p_hghst_yr_schl_ns_15_19_yrs,p_hghst_yr_schl_ns_20_24_yrs,p_hghst_yr_schl_ns_25_34_yrs,p_hghst_yr_schl_ns_35_44_yrs,p_hghst_yr_schl_ns_45_54_yrs,p_hghst_yr_schl_ns_55_64_yrs,p_hghst_yr_schl_ns_65_74_yrs,p_hghst_yr_schl_ns_75_84_yrs,p_hghst_yr_schl_ns_85_yrs_ovr,p_hghst_yr_schl_ns_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-794b,Queanbeyan,"10102","16","13","60","69","129","355","433","333","174","1591","4","3","9","17","15","26","31","56","22","178","229","297","732","695","805","725","570","313","137","4497","1510","3305","7868","8071","9200","7205","4367","1899","693","44117"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-794a,Snowy Mountains,"10103","14","14","20","21","51","144","213","140","104","733","0","3","3","0","7","11","20","13","7","60","185","347","724","773","730","654","521","267","129","4331","855","2126","4121","4353","4586","4418","3262","1278","473","25472"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7949,South Coast,"10104","12","14","86","157","254","580","926","759","412","3198","3","0","12","11","15","26","27","34","16","141","219","200","395","515","767","1069","1193","1062","653","6074","1480","2402","5108","6572","9189","12732","11527","5959","2386","57344"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7948,Goulburn - Mulwaree,"10105","16","17","43","68","135","301","494","384","177","1633","0","3","17","13","20","28","25","25","5","143","153","214","478","463","502","433","530","440","315","3529","978","1860","4114","4194","4961","4862","3996","2205","893","28061"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7947,Young - Yass,"10106","11","8","45","67","128","265","378","346","199","1444","0","6","8","7","14","24","26","20","5","112","147","110","204","273","398","431","457","346","234","2607","879","1670","3277","4338","5106","4784","3989","2013","832","26893"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7946,Gosford,"10201","40","40","116","173","395","839","1199","1038","868","4705","3","14","30","32","64","58","64","71","31","366","467","504","979","1079","1306","1409","1540","1635","1405","10326","4256","8802","17611","20411","22738","21999","18502","10889","5625","130831"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7945,Wyong,"10202","43","76","218","274","523","1258","1601","1356","878","6230","3","13","22","26","45","101","122","72","34","438","458","546","962","1026","1330","1440","1866","1948","1413","10983","4568","9146","17433","18639","20280","19476","16832","10318","4547","121234"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7944,Bathurst,"10301","13","23","47","58","130","275","411","344","204","1507","0","0","11","11","17","24","27","11","7","113","345","624","711","568","548","487","525","368","220","4399","1696","3676","5640","5381","5924","5557","4448","2256","1004","35582"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7943,Lachlan Valley,"10302","16","26","73","101","240","634","838","732","465","3125","0","3","7","10","19","37","41","22","4","150","305","265","505","581","772","858","950","773","352","5357","1447","2719","5487","5803","7130","7575","6511","4010","1729","42416"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p16b_highest_yr_sch_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-7942,Lithgow - Mudgee,"10303","13","21","67","79","211","466","664","475","265","2268","0","3","7","5","4","16","33","27","9","109","248","273","682","680","794","767","898","545","195","5079","1187","2245","5058","5255","6422","6348","5608","2925","1039","36085"
