gml_id,sa3_name16,sa3_code16,p_y8b_15_19_yrs,p_y8b_20_24_yrs,p_y8b_25_34_yrs,p_y8b_35_44_yrs,p_y8b_45_54_yrs,p_y8b_55_64_yrs,p_y8b_65_74_yrs,p_y8b_75_84_yrs,p_y8b_85ov,p_y8b_tot,p_dngts_15_19,p_dngts_20_24,p_dngts_25_34,p_dngts_35_44,p_dngts_45_54,p_dngts_55_64,p_dngts_65_74,p_dngts_75_84,p_dngts_85_ov,p_dngts_tot,p_hghst_yr_schl_ns_15_19_yrs,p_hghst_yr_schl_ns_20_24_yrs,p_hghst_yr_schl_ns_25_34_yrs,p_hghst_yr_schl_ns_35_44_yrs,p_hghst_yr_schl_ns_45_54_yrs,p_hghst_yr_schl_ns_55_64_yrs,p_hghst_yr_schl_ns_65_74_yrs,p_hghst_yr_schl_ns_75_84_yrs,p_hghst_yr_schl_ns_85_yrs_ovr,p_hghst_yr_schl_ns_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_f3,Queanbeyan,"10102","21","14","58","63","132","338","440","342","172","1586","6","3","9","12","12","26","29","57","22","182","209","262","650","613","703","621","519","304","130","4012","1506","3282","7788","8045","9176","7168","4425","1910","693","43993"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_f4,Snowy Mountains,"10103","5","12","15","25","48","141","215","152","104","718","0","3","3","0","6","11","26","16","7","61","88","123","277","248","331","250","255","215","119","1905","509","1040","2162","2322","2906","2774","2193","1117","448","15465"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_f5,South Coast,"10104","19","14","81","143","249","588","927","766","409","3195","3","4","9","12","12","24","27","35","16","138","242","218","433","542","831","1159","1253","1055","660","6392","1541","2462","5103","6528","9334","12962","11695","5921","2384","57933"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_f6,Goulburn - Mulwaree,"10105","13","14","41","66","137","294","504","396","179","1641","0","3","12","13","22","28","25","25","5","141","164","213","495","471","504","448","549","431","315","3602","1009","1883","4001","4121","4926","4913","4081","2234","892","28058"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_f7,Young - Yass,"10106","10","8","45","67","127","268","385","340","206","1457","0","6","8","11","14","28","26","19","5","112","157","122","220","306","423","457","484","363","243","2775","924","1681","3269","4385","5150","4903","4148","2054","837","27346"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_f8,Gosford,"10201","36","39","112","164","402","856","1229","1037","871","4756","3","14","29","29","59","56","63","72","31","363","463","527","1012","1151","1407","1493","1681","1689","1413","10834","4290","8897","17710","20587","23043","22425","19191","11134","5688","132953"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_f9,Wyong,"10202","47","75","215","269","528","1272","1623","1391","881","6299","3","17","20","31","47","95","121","74","34","440","476","572","1020","1111","1430","1550","2000","1998","1425","11576","4625","9241","17547","18771","20570","19923","17373","10541","4579","123168"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_fa,Bathurst,"10301","10","23","45","61","130","287","425","348","209","1540","0","0","11","11","14","24","27","14","7","117","298","551","713","587","582","536","576","386","220","4450","1535","3463","5654","5431","5988","5716","4634","2305","1008","35736"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_fb,Lachlan Valley,"10302","14","24","64","101","242","640","854","746","470","3166","0","3","7","9","19","35","45","25","11","156","329","278","506","593","774","870","935","790","349","5416","1573","2791","5431","5800","7109","7635","6542","4095","1751","42729"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_fc,Lithgow - Mudgee,"10303","10","23","70","75","213","474","678","480","269","2291","0","0","4","5","4","16","33","26","13","110","246","281","681","665","803","794","923","554","196","5150","1235","2285","5023","5224","6473","6446","5778","2963","1050","36474"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_fd,Orange,"10304","28","28","76","101","201","480","581","510","329","2342","0","3","15","25","26","32","34","22","12","166","246","240","511","519","658","560","605","515","216","4063","1669","3011","6982","7181","7427","6964","5516","3127","1265","43147"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_fe,Clarence Valley,"10401","22","21","87","119","217","457","721","658","430","2737","5","3","6","9","13","24","20","33","18","130","215","193","428","498","606","773","806","664","314","4507","1336","2037","4119","5111","6639","8255","7346","3967","1612","40417"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_ff,Coffs Harbour,"10402","35","49","167","195","324","586","774","736","494","3357","4","22","50","57","69","55","50","35","22","367","298","342","680","692","904","1109","1021","992","696","6728","2183","4066","8627","9573","11512","13023","10273","5727","2440","67428"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_g16b_highest_yr_sch_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_100,Bourke - Cobar - Coonamble,"10501","20","39","61","83","155","297","422","263","112","1453","0","0","7","8","22","32","34","26","11","133","154","214","446","381","514","504","451","321","105","3094","656","1339","3060","2646","3360","3219","2431","1307","441","18449"
