sa3_name16,sa3_code16,vfdif_sa2_nt_indst_nsp,vfdif_sa2_nt_totm,vfdif_sa2_nt_totf,vfdif_sa2_nt_totp,vfdif_sa2_act_indig_m,vfdif_sa2_act_indig_f,vfdif_sa2_act_indig_p,vfdif_sa2_act_nonind_m,vfdif_sa2_act_nonind_f,vfdif_sa2_act_nonind_p,vfdif_sa2_act_indst_nsm,vfdif_sa2_act_indst_nsf,vfdif_sa2_act_indst_nsp,vfdif_sa2_act_totm,vfdif_sa2_act_totf,vfdif_sa2_act_totp,vfdif_sa2_ot_indig_m,vfdif_sa2_ot_indig_f,vfdif_sa2_ot_indig_p,vfdif_sa2_ot_nonind_m,vfdif_sa2_ot_nonind_f,vfdif_sa2_ot_nonind_p,vfdif_sa2_ot_indst_nsm,vfdif_sa2_ot_indst_nsf,vfdif_sa2_ot_indst_nsp,vfdif_sa2_ot_totm,vfdif_sa2_ot_totf,vfdif_sa2_ot_totp,vfdif_sa2_t_indig_m,vfdif_sa2_t_indig_f,vfdif_sa2_t_indig_p,vfdif_sa2_t_nonind_m,vfdif_sa2_t_nonind_f,vfdif_sa2_t_nonind_p,vfdif_sa2_t_indst_nsm,vfdif_sa2_t_indst_nsf,vfdif_sa2_t_indst_nsp,vfdif_sa2_t_totm,vfdif_sa2_t_totf,vfdif_sa2_t_totp,vis_tot_vis_indig_m,vis_tot_vis_indig_f,vis_tot_vis_indig_p,vis_tot_vis_nonind_m,vis_tot_vis_nonind_f,vis_tot_vis_nonind_p,vis_tot_vis_indigstat_nsm,vis_tot_vis_indigstat_nsf,vis_tot_vis_indigstat_nsp,vis_tot_visitors_totm,vis_tot_visitors_totf,vis_tot_visitors_totp,lsah_eng_onl_indig_m,lsah_eng_onl_indig_f,lsah_eng_onl_indig_p,lsah_eng_onl_nonind_m,lsah_eng_onl_nonind_f,lsah_eng_onl_nonind_p,lsah_eng_on_ind_sta_nsm,lsah_eng_on_ind_sta_nsf,lsah_eng_on_ind_sta_nsp,lsah_eng_only_totm,lsah_eng_only_totf,lsah_eng_only_totp,lsah_aus_ind_lang_ind_m,lsah_aus_ind_lang_ind_f,lsah_aus_ind_lang_ind_p,lsah_aus_ind_lan_no_ind_m,lsah_aus_ind_lan_no_ind_f,lsah_aus_ind_lan_no_ind_p,lsh_aus_ind_lan_indst_nsm,lsh_aus_ind_lan_indst_nsf,lsh_aus_ind_lan_indst_nsp,lsh_austn_indig_lang_totm,lsh_austn_indig_lang_totf,lsh_austn_indig_lang_totp,saindl_se_nw_na_in_m,saindl_se_nw_na_in_f,saindl_se_nw_na_in_p,saindl_se_nw_na_no_in_m,saindl_se_nw_na_no_in_f,saindl_se_nw_na_no_in_p,saindl_se_nw_na_in_st_nsm,saindl_se_nw_na_in_st_nsf,saindl_se_nw_na_in_st_nsp,saindl_se_nw_na_totm,saindl_se_nw_na_totf,saindl_se_nw_na_totp,saindl_se_vw_wel_in_m,saindl_se_vw_wel_in_f,saindl_se_vw_wel_in_p,saindl_se_vw_we_no_in_m,saindl_se_vw_we_no_in_f,saindl_se_vw_we_no_in_p,saindl_se_vw_we_i_st_nsm,saindl_se_vw_we_i_st_nsf,saindl_se_vw_we_i_st_nsp,saindl_se_vw_we_totm,saindl_se_vw_we_totf,saindl_se_vw_we_totp,auabrigtrrl_indig_m,auabrigtrrl_indig_f,auabrigtrrl_indig_p,auabrigtrrl_no_ind_m,auabrigtrrl_no_ind_f,auabrigtrrl_no_ind_p,auabrigtrrl_indst_nsm,auabrigtrrl_indst_nsf,auabrigtrrl_indst_nsp,auabrigtrrl_totm,auabrigtrrl_totf,auabrigtrrl_totp,apaei_0_4_ind_m,apaei_0_4_ind_f,apaei_0_4_ind_p,apaei_0_4_no_ind_m,apaei_0_4_no_ind_f,apaei_0_4_no_ind_p,apaei_0_4_in_st_nsm,apaei_0_4_in_st_nsf,apaei_0_4_in_st_nsp,apaei_0_4_totm,apaei_0_4_totf,apaei_0_4_totp,apaei_5_14_ind_m,apaei_5_14_ind_f,apaei_5_14_ind_p,apaei_5_14_no_in_m,apaei_5_14_no_in_f,apaei_5_14_no_in_p,apaei_5_14_in_st_nsm,apaei_5_14_in_st_nsf,apaei_5_14_in_st_nsp,apaei_5_14_totm,apaei_5_14_totf,apaei_5_14_totp,apaei_15_19_ind_m,apaei_15_19_ind_f,apaei_15_19_ind_p,apaei_15_19_no_in_m,apaei_15_19_no_in_f,apaei_15_19_no_in_p,apaei_15_19_i_st_nsm,apaei_15_19_i_st_nsf,apaei_15_19_i_st_nsp,apaei_15_19_totm,apaei_15_19_totf,apaei_15_19_totp,apaei_20_24_ind_m,apaei_20_24_ind_f,apaei_20_24_ind_p,apaei_20_24_no_ind_m,apaei_20_24_no_ind_f,apaei_20_24_no_ind_p,apaei_20_24_in_st_nsm,apaei_20_24_in_st_nsf,apaei_20_24_in_st_nsp,apaei_20_24_totm,apaei_20_24_totf,apaei_20_24_totp,apaei_25ov_ind_m,apaei_25ov_ind_f,apaei_25ov_ind_p,apaei_25ov_no_ind_m,apaei_25ov_no_ind_f,apaei_25ov_no_ind_p,apaei_25ov_in_st_nsm,apaei_25ov_in_st_nsf,apaei_25ov_in_st_nsp,apaei_25ov_totm,apaei_25ov_totf,apaei_25ov_totp,hysc_y12_e_ind_m,hysc_y12_e_ind_f,hysc_y12_e_ind_p,hysc_y12_e_no_in_m,hysc_y12_e_no_in_f,hysc_y12_e_no_in_p,hysc_y12_e_in_st_nsm,hysc_y12_e_in_st_nsf,hysc_y12_e_in_st_nsp,hysc_y12_e_totm,hysc_y12_e_totf,hysc_y12_e_totp,hysc_y11_e_ind_m,hysc_y11_e_ind_f,hysc_y11_e_ind_p,hysc_y11_e_no_in_m,hysc_y11_e_no_in_f,hysc_y11_e_no_in_p,hysc_y11_e_in_s_nsm,hysc_y11_e_in_s_nsf,hysc_y11_e_in_s_nsp,hysc_y11_e_totm,hysc_y11_e_totf,hysc_y11_e_totp,hysc_y10_e_ind_m,hysc_y10_e_ind_f,hysc_y10_e_ind_p,hysc_y10_e_no_in_m
Queanbeyan,10102,3,3,5,5,11,10,19,175,219,391,34,28,61,218,259,471,0,0,0,0,0,0,0,0,0,0,0,0,57,33,88,965,898,1862,756,328,1084,1769,1261,3033,56,39,94,987,903,1888,754,335,1087,1795,1273,3068,832,854,1680,22303,21952,44256,205,202,406,23342,23001,46344,3,7,13,0,0,0,0,0,0,8,9,15,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,0,0,0,0,0,0,8,9,15,3,8,13,0,0,0,0,0,0,7,12,16,20,13,34,383,303,689,0,0,3,410,320,727,220,155,378,3256,3147,6402,39,27,66,3511,3335,6847,63,56,124,1310,1200,2510,18,19,37,1388,1279,2668,13,16,29,474,533,1007,3,4,9,484,557,1044,23,48,72,870,1332,2198,6,0,4,898,1384,2283,180,224,403,11915,12744,24660,86,79,161,12180,13050,25229,55,61,117,1454,1259,2716,20,12,35,1530,1328,2861,150,194,347,4703
Snowy Mountains,10103,5,20,15,33,4,3,6,347,294,641,86,81,165,434,377,811,0,0,0,0,0,0,0,0,0,0,0,0,83,69,147,5810,4681,10493,1756,1308,3065,7649,6055,13704,79,69,149,5825,4706,10534,1756,1307,3065,7663,6084,13750,212,182,394,8211,7769,15984,96,93,184,8522,8040,16558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,3,3,8,6,9,12,127,94,222,0,3,3,133,108,235,31,28,61,1047,965,2014,19,19,39,1106,1013,2116,18,12,29,356,339,695,0,4,8,376,348,725,0,0,4,81,116,195,0,0,0,89,118,202,5,10,15,177,356,542,0,0,5,184,370,554,49,38,90,3214,3504,6718,18,23,45,3288,3564,6856,11,12,21,559,542,1105,5,9,12,576,563,1138,58,48,102,2188
South Coast,10104,4,14,13,24,5,3,5,284,272,556,38,19,58,329,289,617,0,0,0,0,0,0,0,0,0,0,0,0,99,87,194,2069,1922,3994,307,207,515,2471,2221,4696,111,99,206,2134,1990,4122,313,210,518,2549,2300,4853,1421,1529,2950,29036,30155,59191,413,406,815,30867,32086,62958,17,22,33,0,3,3,0,0,0,17,22,38,0,0,0,0,0,0,0,0,0,0,3,4,13,15,33,0,0,0,0,0,0,13,22,33,14,22,37,0,0,0,0,0,0,15,23,33,46,39,87,337,312,641,4,7,10,383,352,741,355,367,720,3096,2864,5955,68,58,125,3516,3284,6802,99,84,182,1063,1090,2155,23,17,43,1180,1198,2378,10,11,23,182,232,414,3,0,3,199,240,445,19,58,77,405,976,1382,4,5,10,429,1040,1468,218,248,466,9992,11528,21524,90,105,200,10301,11887,22185,110,102,211,2256,2445,4707,28,23,54,2395,2573,4970,269,336,599,8393
Goulburn - Mulwaree,10105,0,3,0,6,6,0,6,34,34,64,8,4,10,40,38,77,0,0,0,0,0,0,0,0,0,0,0,0,42,25,65,950,650,1606,122,67,189,1116,743,1858,42,29,73,979,671,1652,130,68,190,1146,769,1919,566,617,1179,14696,14831,29530,215,190,403,15473,15630,31104,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,32,225,237,464,4,3,6,252,249,499,124,154,275,1882,1684,3566,32,26,59,2043,1861,3908,39,46,81,648,611,1264,15,10,23,698,665,1363,5,6,12,189,205,396,0,0,3,199,214,414,14,21,33,291,605,893,4,6,13,306,631,941,89,130,219,4566,5293,9859,51,51,100,4702,5477,10180,42,37,81,875,936,1814,11,12,23,932,987,1913,119,119,235,4397
Young - Yass,10106,0,0,0,4,3,7,15,104,122,223,6,8,16,115,137,251,0,0,0,0,0,0,0,0,0,0,0,0,41,41,85,700,601,1299,89,45,136,832,680,1515,45,39,83,732,637,1369,91,47,142,870,725,1596,621,579,1204,15100,15721,30818,176,188,370,15898,16490,32385,3,3,6,0,0,3,0,0,0,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,3,0,0,0,8,3,9,0,3,3,0,0,0,0,0,0,0,3,3,29,17,38,250,252,505,0,3,4,280,269,548,150,146,295,2153,2082,4237,33,29,64,2339,2261,4596,47,40,81,709,755,1459,16,13,29,767,810,1572,9,3,14,171,228,405,0,4,4,184,234,419,5,18,24,266,655,913,0,6,10,272,676,953,97,100,193,5224,6363,11582,38,48,87,5355,6513,11863,50,31,79,917,1061,1980,4,12,16,971,1100,2071,128,131,264,3923
Gosford,10201,4,13,8,19,0,0,0,31,36,66,0,8,8,27,43,74,0,0,0,0,0,0,0,0,0,0,4,4,122,119,239,2462,2391,4859,338,321,659,2919,2833,5756,127,126,251,2531,2486,5023,349,321,670,3008,2935,5942,2276,2293,4570,69067,73044,142108,677,706,1389,72023,76050,148067,13,17,25,0,0,0,0,0,0,13,17,25,0,5,3,0,0,0,0,0,0,0,5,3,13,14,25,0,0,0,0,0,0,13,14,25,16,12,29,3,0,3,0,0,0,20,13,32,69,64,132,1243,1171,2413,12,12,28,1320,1246,2562,472,481,956,9199,8815,18021,112,103,212,9785,9398,19190,187,182,372,3564,3559,7127,42,30,76,3798,3774,7573,56,64,120,1439,1483,2925,10,15,29,1507,1563,3068,65,109,172,1800,3374,5170,11,17,30,1881,3497,5376,509,583,1088,29687,32312,61995,210,223,432,30403,33117,63525,181,149,329,4594,4291,8885,35,44,81,4810,4489,9297,488,513,1004,17599
Wyong,10202,0,3,10,9,0,3,3,31,33,63,0,0,0,31,39,70,0,0,0,0,0,0,0,0,0,0,0,0,186,146,332,2275,2179,4451,224,186,412,2689,2506,5190,195,146,342,2379,2267,4647,230,189,421,2806,2603,5411,3692,3775,7471,64533,68287,132814,703,716,1418,68928,72781,141705,22,14,37,0,0,0,0,0,0,22,14,37,0,0,0,0,0,0,0,0,0,0,0,0,22,14,37,0,0,0,0,0,0,22,14,37,25,17,45,4,0,4,0,0,0,28,17,49,120,128,248,1209,1138,2351,11,11,22,1343,1273,2617,936,818,1757,8803,8159,16956,112,92,210,9854,9069,18923,286,292,575,3023,3047,6067,33,45,75,3344,3380,6727,67,103,169,998,1220,2219,7,7,20,1076,1329,2407,64,181,241,1285,2835,4125,5,19,30,1355,3041,4392,594,780,1374,19738,22656,42392,149,160,307,20476,23604,44079,254,266,524,4485,4333,8816,59,51,112,4805,4645,9450,854,865,1723,19879
Bathurst,10301,3,8,5,11,0,0,0,17,16,31,7,7,9,18,28,43,0,0,0,0,0,0,0,0,0,0,0,0,77,48,123,971,891,1868,178,164,341,1226,1101,2330,88,46,132,1013,928,1936,180,170,347,1270,1147,2418,1028,1099,2128,18626,19210,37836,193,204,397,19857,20510,40365,16,17,30,0,0,0,0,0,0,18,17,32,0,4,4,0,0,0,0,0,0,0,4,4,11,11,27,0,0,0,0,0,0,14,11,28,6,10,18,0,0,0,0,0,0,6,10,18,33,33,63,309,302,613,4,3,3,347,331,682,255,271,529,2656,2441,5102,31,31,64,2948,2744,5690,71,62,133,1099,1117,2222,16,14,30,1187,1192,2379,12,32,49,502,663,1166,10,4,15,519,706,1224,34,70,101,526,920,1443,0,4,6,558,996,1549,173,246,427,6695,8182,14881,46,56,103,6920,8492,15408,76,68,147,1202,1096,2299,18,12,23,1296,1179,2475,200,209,408,5183
Lachlan Valley,10302,0,8,3,12,3,0,3,25,27,52,3,3,11,28,32,65,0,0,0,0,0,0,0,0,0,0,0,0,151,113,264,1209,933,2144,299,167,466,1657,1214,2870,165,121,282,1278,994,2268,307,168,473,1749,1283,3027,2373,2482,4853,21579,21839,43419,336,319,653,24288,24642,48927,37,41,74,3,3,3,0,0,0,42,42,85,0,0,3,0,0,0,0,0,0,3,0,4,37,41,75,4,3,3,0,0,0,36,39,76,16,7,23,0,0,0,0,0,0,16,7,23,75,79,151,326,356,680,3,3,9,402,444,847,562,526,1090,2724,2614,5339,63,61,121,3355,3199,6551,160,181,347,834,935,1771,11,15,28,1015,1131,2146,33,36,65,153,240,393,3,0,6,187,275,464,35,85,124,244,691,930,0,7,6,286,776,1062,309,450,759,5563,7016,12585,58,63,120,5932,7526,13457,153,205,354,1279,1443,2721,15,7,27,1450,1652,3102,517,591,1109,6854
Lithgow - Mudgee,10303,0,0,8,5,3,0,3,12,9,21,0,0,0,17,15,29,0,0,0,0,0,0,0,0,0,0,0,0,76,55,126,988,695,1690,194,114,302,1251,861,2115,80,57,133,1037,731,1765,193,115,306,1308,897,2204,1260,1209,2471,18542,18507,37056,304,298,600,20108,20020,40126,6,5,12,0,0,0,0,0,0,6,5,12,0,0,0,0,0,0,0,0,0,0,0,0,6,5,12,0,0,0,0,0,0,6,5,12,0,3,4,0,0,0,0,0,0,0,3,4,43,33,78,236,278,514,10,5,13,288,314,606,277,262,533,2301,2099,4399,59,62,118,2637,2413,5051,77,91,169,778,702,1486,19,5,23,874,805,1679,5,23,29,160,226,387,0,3,3,163,245,414,29,59,87,325,724,1050,4,4,9,359,788,1149,178,232,410,4872,6179,11047,54,64,121,5104,6474,11578,85,88,167,1260,1199,2456,15,10,27,1353,1297,2657,307,261,567,6130
