yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_age_pension_dva_num,slct_gov_pnsn_alwn_pension_dva_num,slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,sa3_code16,sa3_name16,ogc_fid
2011,14828.0,41.0,658987227.0,39058.0,44442.0,75.0,3840.0,52.0,58144038.0,6562.0,15142.0,10.1,11775.0,49.0,62592751.0,364.0,5316.0,12.3,590.0,58.0,13295464.0,15311.0,22535.0,1.7,17419.0,45.0,781081596.0,38269.0,44841.0,5.15,1.85,0.36,0.14,0.452,6.0,17.5,28.4,26.1,27.1,25.1,21.6,1138.0,23.0,2218.0,20242.0,,,,,,,,,,,,,,,,,,,,,,,646.0,10105,Goulburn - Mulwaree,1
2012,15443.0,41.0,706696515.0,40635.0,45762.0,76.0,3914.0,52.0,49859154.0,4759.0,12739.0,9.2,12334.0,50.0,75558355.0,359.0,6126.0,12.7,598.0,59.0,17050139.0,19033.0,28512.0,1.7,17807.0,45.0,831230139.0,39644.0,46680.0,4.95,1.82,0.37,0.14,0.456,6.7,18.2,29.0,26.3,27.8,25.7,20.2,939.0,20.7,2119.0,22030.0,,6.0,238.0,154.0,,,,,,,,,,,,,,,,,,,,10105,Goulburn - Mulwaree,2
2013,15710.0,41.0,742193571.0,41538.0,47243.0,76.0,3876.0,52.0,42182781.0,3607.0,10883.0,8.9,12293.0,50.0,80799819.0,356.0,6573.0,12.5,600.0,58.0,16291987.0,17881.0,27153.0,1.8,17751.0,46.0,854503110.0,40558.0,48138.0,4.76,1.84,0.39,0.15,0.45399999999999996,7.1,18.4,29.1,27.0,27.9,25.3,19.8,983.0,16.3,1375.0,16554.0,,7.0,214.0,141.0,,,,,,,,,2634.0,2142.0,,,,,,,,,,10105,Goulburn - Mulwaree,3
2014,16008.0,42.0,778089375.0,42799.0,48606.0,76.0,3901.0,53.0,48059251.0,4854.0,12320.0,9.4,12566.0,50.0,74020194.0,349.0,5891.0,12.5,641.0,58.0,16330586.0,15641.0,25477.0,1.7,18059.0,46.0,885129707.0,41732.0,49013.0,4.97,1.84,0.37,0.14,0.451,6.2,17.8,28.6,27.4,27.7,25.0,19.9,1156.0,28.0,2922.0,24225.0,,7.0,204.0,131.0,,,,,,,,,2558.0,2122.0,,,,,,,,,,10105,Goulburn - Mulwaree,4
2015,16591.0,42.0,833011164.0,44123.0,50209.0,75.0,3992.0,53.0,71059505.0,7541.0,17800.0,10.3,12930.0,50.0,81823861.0,304.0,6328.0,12.3,662.0,58.0,17445433.0,17771.0,26353.0,1.8,18495.0,46.0,955859188.0,43488.0,51682.0,4.72,1.83,0.39,0.16,0.444,6.5,18.0,28.7,26.2,27.8,25.2,20.7,1173.0,26.4,2881.0,22507.0,4826.0,6.0,182.0,124.0,397.0,,1565.0,1228.0,506.0,,151.0,210.0,2489.0,2085.0,,,,,,,,,,10105,Goulburn - Mulwaree,5
2016,16953.0,41.0,892932036.0,46597.0,52671.0,76.0,3991.0,53.0,68670555.0,7731.0,17206.0,10.1,13005.0,50.0,79203988.0,267.0,6090.0,11.9,696.0,58.0,17954037.0,15445.0,25796.0,1.8,18981.0,45.0,1007688705.0,45029.0,53089.0,4.88,1.84,0.38,0.15,0.444,5.9,17.4,28.3,26.0,26.8,25.6,21.5,1184.0,51.8,2926.0,43736.0,4962.0,6.0,172.0,117.0,412.0,,1524.0,1178.0,517.0,,135.0,153.0,2476.0,1978.0,,30.0,25.3,20.2,3.6,1.4,6.5,0.5,754.0,10105,Goulburn - Mulwaree,6
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4867.0,6.0,159.0,104.0,406.0,1012.0,1452.0,1108.0,476.0,136.0,138.0,158.0,2358.0,1789.0,2192.0,,,,,,,,,10105,Goulburn - Mulwaree,7
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800.0,,,,430.0,1032.0,1442.0,1132.0,451.0,119.0,150.0,151.0,2222.0,1720.0,2143.0,,,,,,,,,10105,Goulburn - Mulwaree,8
2011,19441.0,43.0,740249511.0,33416.0,38077.0,69.0,5119.0,52.0,65682171.0,5778.0,12831.0,10.0,16982.0,52.0,101607070.0,440.0,5983.0,17.8,1000.0,58.0,22447530.0,16523.0,22448.0,2.4,24295.0,48.0,919507355.0,31331.0,37848.0,6.6,1.88,0.29,0.09,0.49200000000000005,7.5,20.1,31.6,33.3,29.9,22.5,14.4,1417.0,34.2,2420.0,24162.0,,,,,,,,,,,,,,,,,,,,,,,520.0,10805,Taree - Gloucester,9
2012,19538.0,43.0,792578438.0,35542.0,40566.0,70.0,4992.0,53.0,65291451.0,5420.0,13079.0,9.7,17525.0,52.0,97855734.0,408.0,5584.0,17.7,991.0,59.0,23179043.0,16310.0,23390.0,2.3,24243.0,49.0,964787670.0,33146.0,39797.0,6.2,1.87,0.3,0.09,0.48200000000000004,6.9,19.4,31.0,33.0,30.4,22.4,14.3,1122.0,31.7,2010.0,28219.0,,17.0,764.0,383.0,,,,,,,,,,,,,,,,,,,,10805,Taree - Gloucester,10
