gml_id,sa3_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6517,"12302","9976","5701","2080","801","67000",Campbelltown (NSW)
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6516,"12303","3111","1795","805","310","18824",Wollondilly
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6515,"12401","8696","6071","2495","852","42159",Blue Mountains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6514,"12402","0","3","0","0","5",Blue Mountains - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6513,"12403","8370","4861","1958","650","61017",Penrith
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6512,"12404","2250","1366","722","266","16658",Richmond - Windsor
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6511,"12405","3372","1547","564","199","21559",St Marys
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6510,"12501","3959","1790","780","332","40961",Auburn
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-650f,"12502","4947","2867","1588","581","33350",Carlingford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-650e,"12503","6801","3938","1970","938","59210",Merrylands - Guildford
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-650d,"12504","7761","4703","2413","1127","78813",Parramatta
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-650c,"12601","4519","2727","1468","683","27154",Pennant Hills - Epping
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-650b,"12602","9986","6041","3132","1929","76435",Ryde - Hunters Hill
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-650a,"12701","4746","2311","924","231","39206",Bringelly - Green Valley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6509,"12702","8364","4720","2168","727","60609",Fairfield
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6508,"12703","6182","3377","1469","583","50727",Liverpool
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6507,"11702","3197","1599","701","279","31737",Marrickville - Sydenham - Petersham
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6506,"11801","9620","7504","3615","1809","81228",Eastern Suburbs - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6505,"12801","9151","5910","3406","1770","57489",Cronulla - Miranda - Caringbah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6504,"12802","9261","5431","2289","1152","54760",Sutherland - Menai - Heathcote
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6503,"20101","7132","4751","2425","959","47804",Ballarat
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6502,"20102","2947","2048","773","292","14146",Creswick - Daylesford - Ballan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6501,"20103","2219","1830","746","280","11013",Maryborough - Pyrenees
