gml_id,sa3_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,sa3_name16
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64bf,"31605","4399","4448","2241","771","24380",Noosa
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64be,"31606","4820","3656","1426","439","24344",Sunshine Coast Hinterland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64bd,"31607","3492","2478","1164","500","20290",Nambour
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64bc,"31608","2363","1711","601","143","10852",Noosa Hinterland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64bb,"31801","3097","2470","1153","338","17076",Charters Towers - Ayr - Ingham
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ba,"31802","12787","7926","3315","1030","87749",Townsville
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b9,"31901","6915","5710","2969","925","37820",Bundaberg
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b8,"31902","3801","2982","1373","386","20096",Burnett
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b7,"31903","4324","3468","1414","440","21607",Gympie - Cooloola
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b6,"31904","5060","4951","2535","716","27033",Hervey Bay
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b5,"60104","2838","1848","887","301","15999",Hobart - South and West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b4,"60105","4892","3169","1451","736","30361",Hobart Inner
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b3,"60106","1318","879","355","111","6987",Sorell - Dodges Ferry
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b2,"60201","5730","3846","1989","927","35999",Launceston
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b1,"60202","2018","1489","640","175","9779",Meander Valley - West Tamar
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64b0,"60203","3223","2359","1060","268","15399",North East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64af,"60301","909","605","199","52","4448",Central Highlands (Tas.)
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ae,"60302","1978","1469","547","118","9110",Huon - Bruny Island
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ad,"60303","776","665","281","109","3302",South East Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ac,"60402","3337","2465","1231","447","18617",Devonport
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64ab,"20606","4284","3313","1655","656","42296",Stonnington - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64aa,"20607","5670","3775","1390","467","58305",Yarra
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a9,"20701","14739","9577","4708","2555","95574",Boroondara
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a8,"20702","6727","5143","3251","1307","45892",Manningham - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a7,"20703","7234","4557","2990","1584","54578",Whitehorse - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a6,"20801","9341","6080","2905","1758","52217",Bayside
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a5,"20902","4494","2428","1541","935","46440",Darebin - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a4,"20903","6186","3429","1098","300","32826",Nillumbik - Kinglake
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a3,"20904","9989","5296","2164","656","90229",Whittlesea - Wallan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a2,"21001","3707","2640","1517","587","26929",Keilor
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a1,"21002","2558","1667","562","188","14341",Macedon Ranges
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-64a0,"40403","3699","2315","1459","967","30486",West Torrens
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-649f,"40501","2923","1778","729","316","15488",Barossa
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-649e,"40502","1850","1343","546","204","9174",Lower North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-649d,"40503","2064","1367","652","264","10692",Mid North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-649c,"40504","2024","1768","830","359","9976",Yorke Peninsula
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-649b,"40601","4248","2724","1311","513","24781",Eyre Peninsula and South West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-649a,"40602","2469","1437","461","129","14416",Outback - North and East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6499,"20802","11167","6539","3176","1755","81556",Glen Eira
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6498,"20803","8341","4991","2844","1530","59020",Kingston
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6497,"20804","3328","2232","1177","604","24057",Stonnington - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6496,"20901","9580","6291","3144","1484","63687",Banyule
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6495,"21003","3305","1740","1471","896","34996",Moreland - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6494,"21004","2777","1501","641","247","17804",Sunbury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6493,"30306","2813","1798","779","391","24104",Sunnybank
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6492,"30401","2804","1820","670","354","16954",Centenary
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6491,"30402","4089","2914","1378","618","24647",Kenmore - Brookfield - Moggill
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6490,"30403","3361","2334","1015","500","28644",Sherwood - Indooroopilly
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-648f,"30404","3352","2159","1052","516","25297",The Gap - Enoggera
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-648e,"30501","5478","3121","1147","557","50259",Brisbane Inner
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-648d,"30502","2537","1196","481","144","22682",Brisbane Inner - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-648c,"30503","5841","3268","1345","636","51997",Brisbane Inner - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-648b,"30504","4137","2317","895","298","33128",Brisbane Inner - West
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-648a,"30601","5045","3264","1153","235","28878",Cairns - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6489,"30602","7982","5259","2223","711","52738",Cairns - South
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6488,"30603","3186","2382","1004","229","15918",Innisfail - Cassowary Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6487,"30604","2078","1748","702","145","10316",Port Douglas - Daintree
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6486,"30605","3734","3066","1317","361","18952",Tablelands (East) - Kuranda
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6485,"30701","3219","1949","837","231","21578",Darling Downs (West) - Maranoa
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6484,"30702","2667","1735","895","358","16694",Darling Downs - East
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6483,"30703","3053","2452","1111","382","16380",Granite Belt
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6482,"30801","2286","1071","318","52","15641",Central Highlands (Qld)
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6481,"30803","8009","5142","2573","1066","49556",Rockhampton
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6480,"30804","991","520","271","42","6402",Biloela
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-647f,"30805","4297","2319","812","204","28193",Gladstone
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-647e,"30901","5154","4235","2288","777","36266",Broadbeach - Burleigh
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-647d,"30902","4832","3624","2015","829","28825",Coolangatta
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-647c,"30903","5031","4448","2367","937","32955",Gold Coast - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-647b,"30904","2040","1464","557","137","10578",Gold Coast Hinterland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-647a,"40701","4795","4486","2153","887","23358",Fleurieu - Kangaroo Island
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6479,"40702","4143","2637","1312","661","25625",Limestone Coast
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6478,"40703","4690","3485","1578","642","27529",Murray and Mallee
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6477,"50101","4073","2915","1359","534","24143",Augusta - Margaret River - Busselton
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6476,"50102","7048","4373","2031","752","44373",Bunbury
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6475,"50103","2098","1585","669","191","10051",Manjimup
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6474,"50201","6494","5497","3326","1120","40918",Mandurah
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6473,"50301","6664","4796","2636","1261","39329",Cottesloe - Claremont
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6472,"50302","8318","4874","2268","1056","68642",Perth City
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6471,"50401","5357","3389","1751","847","40664",Bayswater - Bassendean
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6470,"50402","3551","2566","1030","317","20750",Mundaring
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-646f,"50403","7022","3813","1760","653","55156",Swan
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-646e,"50501","13322","7780","2796","1083","76535",Joondalup
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-646d,"50502","12355","8188","4952","2096","99138",Stirling
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-646c,"30908","3297","2325","1318","849","24430",Robina
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-646b,"30909","4022","3005","1541","774","30428",Southport
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-646a,"30910","4189","3677","1722","532","29218",Surfers Paradise
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6469,"31001","3446","1970","1102","518","31906",Forest Lake - Oxley
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6468,"31002","4547","3217","1286","326","26155",Ipswich Hinterland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6467,"31003","6268","3689","1926","611","44094",Ipswich Inner
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6466,"31004","3510","1759","595","146","33798",Springfield - Redbank
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6465,"31101","931","733","314","95","5631",Beaudesert
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6464,"31102","2263","1645","761","218","16328",Beenleigh
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6463,"31103","4054","2214","844","264","30213",Browns Plains
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6462,"31104","2661","1407","380","74","18881",Jimboomba
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6461,"31105","3808","2407","967","353","26162",Loganlea - Carbrook
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6460,"31106","4317","2877","1001","275","31813",Springwood - Kingston
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-645f,"31201","3165","1604","522","132","22810",Bowen Basin - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-645e,"31202","7540","4361","1961","634","48378",Mackay
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-645d,"31203","2299","1661","449","116","14233",Whitsunday
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-645c,"31301","2910","3340","1669","553","15082",Bribie - Beachmere
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-645b,"31302","3838","2532","1186","694","27595",Caboolture
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-645a,"31303","1019","778","261","84","6333",Caboolture Hinterland
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6459,"31304","3777","2350","1052","410","25930",Narangba - Burpengary
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6458,"31305","4751","3873","2004","956","28068",Redcliffe
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6457,"31401","6476","3687","1184","318","41339",The Hills District
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6456,"31402","3166","2028","824","325","30965",North Lakes
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6455,"31403","2222","1402","504","227","16033",Strathpine
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6454,"31501","2817","1638","368","76","16657",Far North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6453,"31502","2310","1629","442","75","15739",Outback - North
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6452,"31701","10098","6425","3388","1580","67454",Toowoomba
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6451,"31905","4132","3501","1438","383","20243",Maryborough
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-6450,"50503","8891","5222","2552","927","80226",Wanneroo
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-644f,"50601","4406","2805","1282","470","35002",Armadale
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-644e,"50602","4279","2436","1244","522","38478",Belmont - Victoria Park
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-644d,"50603","5899","3791","2001","1176","47122",Canning
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-644c,"50604","6096","3714","1857","606","50497",Gosnells
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-644b,"50605","4019","3004","1510","432","25974",Kalamunda
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p39c_non_schl_qual_field_of_study_by_age_by_sex_census_2016.fid--7a4d496e_1724c35c6d1_-644a,"50606","1439","785","273","69","11487",Serpentine - Jarrahdale
