gml_id,sa3_name16,sa3_code16,p55_64_c_own_chld_childr,p55_64_c_oth_ch_chiln,p55_64_ca_ow_ch_ch_oth_ch_ch,p55_64_yr_c_for_t,p55_64_d_not_prov_ch_care,p55_64_u_ch_care_ns,p55_64_os_v,p55_64_yr_t,p65_74_c_own_chld_childr,p65_74_c_oth_ch_chiln,p65_74_ca_ow_ch_ch_oth_ch_ch,p65_74_yr_c_for_t,p65_74_d_not_prov_ch_care,p65_74_u_ch_care_ns,p65_74_os_v,p65_74_yr_t,p75_84_c_own_chld_childr,p75_84_c_oth_ch_chiln,p75_84_ca_ow_ch_ch_oth_ch_ch,p75_84_yr_c_for_t,p75_84_d_not_prov_ch_care,p75_84_u_ch_care_ns,p75_84_os_v,p75_84_yr_t,p85ovr_c_own_chld_childr,p85ovr_c_oth_ch_chiln,p85ov_ca_ow_ch_ch_oth_ch_ch,p85ovr_c_for_t,p85ovr_d_not_prov_ch_care,p85ovr_u_ch_care_ns,p85ovr_os_v,p85ovr_t,pt_c_own_chld_childrn,pt_c_oth_ch_chiln,pt_ca_ow_ch_ch_oth_ch_ch,pt_c_for_t,pt_d_not_prov_ch_care,pt_u_ch_care_ns,pt_os_v,pt_t
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5747,Queanbeyan,"10102","278","1028","10","1313","5216","679","45","7257","55","825","8","880","2969","521","19","4387","9","168","0","179","1453","270","5","1904","8","8","0","14","574","107","0","698","9608","3333","355","13300","28454","4455","247","46453"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5748,Snowy Mountains,"10103","167","481","0","651","3140","633","24","4442","31","478","0","508","2246","511","3","3271","6","60","3","68","953","261","4","1284","5","3","0","3","344","127","0","474","4716","1677","147","6546","15386","4370","728","27023"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5749,South Coast,"10104","373","1396","21","1784","9994","967","38","12778","64","1136","3","1204","9212","1108","26","11553","13","181","0","194","4799","973","10","5978","7","17","0","24","1855","512","4","2395","8443","4073","398","12921","40662","5849","236","59665"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_574a,Goulburn - Mulwaree,"10105","157","729","13","900","3580","385","18","4883","36","492","0","524","3021","453","20","4025","8","82","0","91","1726","392","0","2205","4","6","0","10","625","255","0","892","5308","2242","244","7795","18030","3341","129","29293"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_574b,Young - Yass,"10106","156","690","8","856","3559","374","14","4799","53","558","7","618","2953","424","9","4008","13","102","0","113","1569","335","5","2023","4","6","0","10","604","219","0","830","5565","2219","252","8035","17561","2613","98","28303"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_574c,Gosford,"10201","912","3767","42","4719","16041","1248","118","22121","163","3404","15","3586","13540","1386","92","18601","38","597","3","636","8873","1389","39","10933","10","26","0","42","4468","1124","11","5636","26746","11535","1325","39605","87298","9804","695","137412"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_574d,Wyong,"10202","595","3598","41","4228","13955","1305","74","19566","129","2412","16","2556","12678","1619","48","16902","25","435","4","464","8216","1645","22","10353","9","33","0","43","3359","1149","10","4563","25093","10646","1195","36930","79277","10336","348","126895"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_574e,Bathurst,"10301","220","970","4","1192","3897","465","12","5570","43","664","3","714","3246","491","12","4460","12","117","0","125","1763","366","3","2254","14","9","0","23","766","218","0","1004","7249","3101","310","10657","22271","4483","97","37507"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_574f,Lachlan Valley,"10302","207","1052","8","1272","5525","776","21","7598","47","677","8","736","4909","871","10","6530","9","111","0","123","3161","729","8","4016","8","14","0","25","1341","370","3","1731","7729","3224","351","11299","27569","5273","130","44269"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5750,Lithgow - Mudgee,"10303","206","899","4","1102","4506","744","15","6371","61","567","3","632","4195","782","13","5625","13","92","0","109","2273","545","5","2929","5","8","0","12","850","177","0","1042","6732","2713","288","9738","22653","5053","94","37545"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5751,Orange,"10304","220","1167","13","1394","5016","524","27","6972","40","839","5","886","3914","462","16","5283","17","162","3","179","2451","440","5","3076","8","13","0","25","1036","198","0","1259","9666","3744","474","13884","27340","3918","143","45287"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5752,Clarence Valley,"10401","220","1016","22","1253","6474","719","27","8474","62","723","4","792","6293","793","21","7899","10","131","3","138","3324","653","13","4125","7","3","0","7","1363","263","0","1635","6435","3091","354","9881","28847","4525","162","43417"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5753,Coffs Harbour,"10402","500","1753","31","2282","9919","1069","85","13366","79","1265","3","1346","8565","1107","63","11072","23","236","0","262","4789","1038","20","6107","8","24","0","27","1792","659","0","2483","12881","5255","620","18752","46318","6893","670","72638"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5754,Bourke - Cobar - Coonamble,"10501","74","352","0","425","2585","548","8","3573","8","204","0","212","2175","522","4","2914","3","31","0","30","1080","302","0","1418","5","3","0","10","336","95","0","447","3140","1171","101","4412","12440","3344","61","20260"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5755,Broken Hill and Far West,"10502","82","410","3","498","2360","316","16","3183","17","209","0","236","1948","344","18","2546","3","41","0","45","1065","210","6","1328","0","4","0","3","481","114","0","606","2639","1220","98","3949","11213","2168","88","17421"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5756,Dubbo,"10503","293","1381","8","1681","6547","952","44","9221","48","873","0","921","5408","914","18","7257","11","187","0","199","3275","707","3","4191","11","16","0","24","1349","296","5","1670","10384","4297","477","15154","33881","6691","232","55957"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5757,Lower Hunter,"10601","309","2283","21","2608","7668","904","20","11204","89","1214","0","1301","5961","952","23","8239","16","161","0","181","3166","605","7","3961","11","16","0","24","1279","266","3","1579","14419","6358","642","21422","41144","6948","237","69752"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5758,Maitland,"10602","259","1731","21","2007","5799","461","37","8300","45","1159","10","1215","4362","460","34","6063","12","176","0","190","2495","408","4","3098","3","3","0","11","1012","239","0","1260","13689","5136","674","19503","34012","3527","172","57206"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p22b_unpaid_child_care_by_age_by_sex_census_2016.fid-5ff86f36_1724bdf6fd3_5759,Port Stephens,"10603","282","1672","9","1964","7316","737","40","10069","69","1328","5","1396","7489","929","34","9851","21","187","0","211","4140","769","12","5129","9","9","0","12","1499","309","4","1826","10260","4946","499","15706","37405","5178","218","58508"
