sa3_code16,p15_19_managers,p15_19_professionals,p15_19_technictrades_wrs,p15_19_communpersnlsvc_w,p15_19_clericaladminis_w,p15_19_sales_w,p15_19_mach_oper_drivers,p15_19_labourers,p15_19_occu_id_ns,p15_19_tot,p20_24_managers,p20_24_professionals,p20_24_technictrades_w,p20_24_communpersnlsvc_w,p20_24_clericaladminis_w,p20_24_sales_w,p20_24_mach_oper_drivers,p20_24_labourers,p20_24_occu_id_ns,p20_24_tot,p25_34_managers,p25_34_professionals,p25_34_technictrades_w,p25_34_communpersnlsvc_w,p25_34_clericaladminis_w,p25_34_sales_w,p25_34_mach_oper_drivers,p25_34_labourers,p25_34_occu_id_ns,p25_34_tot,p35_44_managers,p35_44_professionals,p35_44_technictrades_w,p35_44_communpersnlsvc_w,p35_44_clericaladminis_w,p35_44_sales_w,p35_44_mach_oper_drivers,p35_44_labourers,p35_44_occu_id_ns,p35_44_tot,p45_54_managers,p45_54_professionals,p45_54_technictrades_w,p45_54_communpersnlsvc_w,p45_54_clericaladminis_w,p45_54_sales_w,p45_54_mach_oper_drivers,p45_54_labourers,p45_54_occu_id_ns,p45_54_tot,p55_64_managers,p55_64_professionals,p55_64_technictrades_w,p55_64_communpersnlsvc_w,p55_64_clericaladminis_w,p55_64_sales_w,p55_64_mach_oper_drivers,p55_64_labourers,p55_64_occu_id_ns,p55_64_tot,p65_74_managers,p65_74_professionals,p65_74_technictrades_w,p65_74_communpersnlsvc_w,p65_74_clericaladminis_w,p65_74_sales_w,p65_74_mach_oper_drivers,p65_74_labourers,p65_74_occu_id_ns,p65_74_tot,p75_84_managers,p75_84_professionals,p75_84_technictrades_w,p75_84_communpersnlsvc_w,p75_84_clericaladminis_w,p75_84_sales_w,p75_84_mach_oper_drivers,p75_84_labourers,p75_84_occu_id_ns,p75_84_tot,p85_ov_managers,p85_ov_professionals,p85_ov_technictrades_w,p85_ov_communpersnlsvc_w,p85_ov_clericaladminis_w,p85_ov_sales_w,p85_ov_mach_oper_drivers,p85_ov_labourers,p85_ov_occu_id_ns,p85_ov_tot,p_tot_managers,p_tot_professionals,p_tot_technictrades_w,p_tot_communpersnlsvc_w,p_tot_clericaladminis_w,p_tot_sales_w,p_tot_mach_oper_drivers,p_tot_labourers,p_tot_occu_id_ns,p_tot_tot,sa3_name16
50201,29,33,328,390,79,856,73,522,33,2340,144,240,845,540,311,561,162,456,32,3284,481,973,1724,812,681,492,748,733,121,6770,773,1188,1598,899,837,533,850,769,143,7588,1007,1376,1632,939,1166,686,1143,893,159,8995,732,954,1041,677,870,526,864,673,106,6438,231,220,175,115,219,145,178,183,39,1489,45,26,17,12,26,22,8,20,24,186,7,6,0,0,4,0,0,0,3,26,3444,4997,7370,4371,4197,3816,4017,4249,654,37124,Mandurah
50301,12,111,75,547,96,526,46,247,19,1678,128,712,235,757,322,552,74,267,29,3083,521,2395,408,468,458,291,64,223,73,4906,1233,2809,256,268,560,200,67,115,102,5606,1827,3536,310,304,837,321,54,102,104,7400,1288,2507,253,239,632,269,62,104,87,5449,462,918,66,69,302,119,24,52,47,2062,88,161,12,14,54,29,8,11,25,407,9,17,0,0,0,0,0,0,3,37,5573,13167,1620,2667,3258,2313,394,1129,499,30625,Cottesloe - Claremont
50302,24,62,72,341,78,506,30,266,22,1403,288,1055,518,1139,527,790,86,529,68,5004,2097,7798,2164,1840,1899,1073,417,1249,222,18747,2172,4995,959,695,1276,494,253,540,198,11571,2023,3523,715,525,1245,421,216,343,131,9134,1208,2447,541,369,936,373,188,282,69,6417,314,712,128,114,284,138,45,117,35,1887,36,77,18,12,29,19,4,19,9,219,6,3,3,0,0,0,0,3,0,25,8160,20667,5108,5028,6285,3814,1237,3338,759,54402,Perth City
50401,26,34,145,297,82,592,40,278,15,1514,150,450,568,675,422,650,160,434,50,3560,1067,3145,1833,1178,1354,723,537,781,177,10803,1252,2693,1344,768,1235,492,473,596,145,9003,1146,1735,1139,741,1345,442,515,624,127,7810,669,1123,820,606,1008,385,431,530,92,5669,145,299,173,112,245,108,136,162,28,1414,13,18,20,6,18,13,7,14,9,121,4,4,3,0,0,0,0,0,0,15,4488,9501,6040,4386,5710,3407,2292,3423,654,39902,Bayswater - Bassendean
50402,12,19,163,184,58,393,21,280,22,1151,69,126,404,225,166,249,94,187,20,1533,239,548,701,288,416,208,252,240,57,2935,523,835,624,347,509,210,281,243,75,3645,749,1030,727,511,738,292,411,359,101,4914,470,815,521,386,598,247,350,299,51,3733,142,217,136,86,128,69,66,75,21,938,14,28,9,3,15,13,3,8,4,96,0,3,0,0,0,0,0,0,0,8,2210,3620,3283,2033,2633,1670,1465,1686,341,18945,Mundaring
50403,53,50,443,513,157,1202,100,720,40,3270,281,561,1243,910,751,1084,395,786,87,6103,1326,2382,3016,1706,2128,1114,1418,1301,243,14633,1632,2387,2456,1552,2058,931,1323,1207,249,13792,1682,1878,2146,1478,2263,1014,1442,1270,230,13414,911,1105,1173,909,1411,595,967,913,133,8114,235,230,234,169,265,130,178,189,25,1657,39,18,17,13,20,4,11,25,4,145,5,0,0,0,0,0,0,6,0,15,6161,8602,10720,7253,9052,6074,5834,6415,1023,61140,Swan
50501,47,108,539,951,203,1909,126,886,55,4823,308,992,1381,1321,796,1425,245,767,111,7349,1291,3602,2866,1343,1781,879,563,897,208,13419,2589,4906,2693,1414,2357,882,558,796,251,16450,3242,4864,2704,1830,3377,1266,750,997,295,19328,2140,3340,1939,1232,2752,1091,748,900,181,14311,420,721,400,260,604,301,185,257,59,3217,26,47,21,17,30,23,8,30,15,212,9,4,3,0,3,0,0,0,10,21,10075,18578,12544,8359,11896,7767,3186,5530,1179,79127,Joondalup
50502,40,95,332,682,181,1434,85,608,57,3516,344,1171,1235,1572,923,1540,300,1015,116,8211,2757,8067,4638,2964,3145,1786,1215,2112,396,27083,3242,6453,2731,1741,2662,1207,913,1396,316,20666,2960,4765,2123,1580,2877,1175,943,1239,284,17951,1827,3128,1512,1085,2191,942,693,1037,150,12557,447,817,368,213,632,298,217,301,85,3376,61,97,43,34,67,54,21,54,28,450,7,12,3,3,4,3,3,10,13,53,11690,24608,12985,9868,12681,8433,4393,7772,1440,93866,Stirling
50503,63,95,700,816,223,2054,153,1102,76,5287,385,689,1972,1497,962,1637,383,1189,164,8876,1858,4039,4670,2412,3067,1584,1499,2015,364,21505,2611,4148,4005,2314,3100,1417,1450,1817,352,21218,2478,2988,3477,2137,3103,1443,1662,1944,343,19577,1118,1341,1624,1122,1813,777,1003,1244,177,10215,219,274,311,203,356,190,166,315,49,2077,31,25,18,8,28,10,8,36,11,180,3,4,3,0,3,0,0,0,0,17,8773,13591,16771,10498,12658,9109,6330,9670,1543,88947,Wanneroo
50601,33,29,259,244,83,695,44,416,32,1830,139,270,768,483,424,604,265,483,45,3478,816,1873,1993,1005,1411,751,971,774,144,9722,828,1620,1413,889,1180,526,879,709,113,8166,830,1049,1113,772,1116,522,897,678,116,7106,526,709,671,594,825,321,583,524,76,4830,127,166,156,105,153,83,120,128,17,1055,29,16,6,5,7,9,12,17,4,97,0,0,4,0,0,0,0,0,0,5,3328,5729,6388,4092,5197,3511,3764,3731,547,36286,Armadale
