sa3_name16,sa3_code16,presch_indig_m,presch_indig_f,presch_indig_p,presch_nonind_m,presch_nonind_f,presch_nonind_p,presch_indig_st_nsm,presch_indig_st_nsf,presch_indig_st_nsp,presch_totm,presch_totf,presch_totp,infprim_indig_m,infprim_indig_f,infprim_indig_p,infprim_nonind_m,infprim_nonind_f,infprim_nonind_p,infprim_indig_st_nsm,infprim_indig_st_nsf,infprim_indig_st_nsp,infprim_totm,infprim_totf,infprim_totp,sec_indig_m,sec_indig_f,sec_indig_p,sec_nonind_m,sec_nonind_f,sec_nonind_p,sec_indig_st_nsm,sec_indig_st_nsf,sec_indig_st_nsp,sec_totm,sec_totf,sec_totp,tfei_ft_st_15_24_in_m,tfei_ft_st_15_24_id_f,tfei_ft_st_15_24_id_p,tfei_ft_st_15_24_no_id_m,tfei_ft_st_15_24_no_id_f,tfei_ft_st_15_24_no_id_p,tfei_ft_st_15_24_i_s_n_s_m,tfei_ft_st_15_24_i_s_n_s_f,tfei_ft_st_15_24_i_s_n_s_p,tfei_ft_st_15_24_totm,tfei_ft_st_15_24_totf,tfei_ft_st_15_24_totp,tfei_ft_st_25over_id_m,tfei_ft_st_25over_id_f,tfei_ft_st_25over_id_p,tfei_ft_st_25ov_non_id_m,tfei_ft_st_25ov_non_id_f,tfei_ft_st_25ov_non_id_p,tfei_ft_st_25ov_i_s_n_st_m,tfei_ft_st_25ov_i_s_n_st_f,tfei_ft_st_25ov_i_s_n_st_p,tfei_ft_st_25ov_totm,tfei_ft_st_25ov_totf,tfei_ft_st_25ov_totp,tfei_pt_st_15_24_id_m,tfei_pt_st_15_24_id_f,tfei_pt_st_15_24_id_p,tfei_pt_st_15_24_non_id_m,tfei_pt_st_15_24_no_id_f,tfei_pt_st_15_24_no_id_p,tfei_pt_st_15_24_i_s_n_s_m,tfei_pt_st_15_24_i_s_n_s_f,tfei_pt_st_15_24_i_s_n_s_p,tfei_pt_st_15_24_totm,tfei_pt_st_15_24_totf,tfei_pt_st_15_24_totp,tfei_pt_st_25ov_id_m,tfei_pt_st_25ov_id_f,tfei_pt_st_25ov_id_p,tfei_pt_st_25ov_non_id_m,tfei_pt_st_25ov_non_id_f,tfei_pt_st_25ov_non_id_p,tfei_pt_st_25ov_i_s_n_s_m,tfei_pt_st_25ov_i_s_n_s_f,tfei_pt_st_25ov_id_s_n_s_p,tfei_pt_st_25ov_totm,tfei_pt_st_25ov_totf,tfei_pt_st_25ov_totp,tfei_ft_pt_s_s_nt_st_id_m,tfei_ft_pt_s_s_nt_st_id_f,tfei_ft_pt_s_s_nt_st_id_p,tfei_ft_pt_s_s_nt_s_n_i_m,tfei_ft_pt_s_s_n_st_n_i_f,tfei_ft_pt_s_s_n_s_no_id_p,tfei_f_p_s_s_n_s_i_s_n_s_m,tfei_f_p_s_s_n_s_i_s_n_s_f,tfei_f_p_s_s_n_s_i_s_n_s_p,tfei_ft_pt_s_s_nt_st_to_m,tfei_ft_pt_s_s_nt_st_to_f,tfei_ft_pt_s_s_nt_st_to_p,tfei_tot_indig_m,tfei_tot_indig_f,tfei_tot_indig_p,tfei_tot_nonind_m,tfei_tot_nonind_f,tfei_tot_nonind_p,tfei_tot_indst_nsm,tfei_tot_indst_nsf,tfei_tot_indst_nsp,tfei_tot_totm,tfei_tot_totf,tfei_tot_totp,ut_ft_s_15_24_ind_m,ut_ft_s_15_24_ind_f,ut_ft_s_15_24_ind_p,ut_ft_s_15_24_nonind_m,ut_ft_s_15_24_nonind_f,ut_ft_s_15_24_nonind_p,ut_ft_s_15_24_in_st_nsm,ut_ft_s_15_24_in_st_nsf,ut_ft_s_15_24_in_st_nsp,ut_ft_s_15_24_totm,ut_ft_s_15_24_totf,ut_ft_s_15_24_totp,ut_ft_s_25_over_ind_m,ut_ft_s_25_over_ind_f,ut_ft_s_25_over_ind_p,ut_ft_s_25ov_nonind_m,ut_ft_s_25ov_nonind_f,ut_ft_s_25ov_nonind_p,ut_ft_s_25ov_indst_nsm,ut_ft_s_25ov_indst_nsf,ut_ft_s_25ov_indst_nsp,ut_ft_s_25ov_totm,ut_ft_s_25ov_totf,ut_ft_s_25ov_totp,ut_pt_s_15_24_ind_m,ut_pt_s_15_24_ind_f,ut_pt_s_15_24_ind_p,ut_pt_s_15_24_no_ind_m,ut_pt_s_15_24_nonind_f,ut_pt_s_15_24_nonind_p,ut_pt_s_15_24_in_st_nsm,ut_pt_s_15_24_in_st_nsf,ut_pt_s_15_24_in_st_nsp,ut_pt_s_15_24_totm,ut_pt_s_15_24_totf,ut_pt_s_15_24_totp,ut_pt_s_25over_in_m,ut_pt_s_25over_in_f,ut_pt_s_25over_in_p,ut_pt_s_25over_non_in_m,ut_pt_s_25over_non_in_f,ut_pt_s_25over_non_in_p,ut_pt_s_25ov_in_s_nsm,ut_pt_s_25ov_in_s_nsf,ut_pt_s_25ov_in_s_nsp,ut_pt_s_25over_totm,ut_pt_s_25over_totf,ut_pt_s_25over_totp,ut_ft_pt_stud_st_ns_ind_m,ut_ft_pt_stud_st_ns_ind_f,ut_ft_pt_stud_st_ns_ind_p,ut_ft_pt_stu_st_ns_nonind_m,ut_ft_pt_stu_st_ns_nonind_f,ut_ft_pt_stu_st_ns_nonind_p,ut_ft_pt_st_st_ns_in_st_nsm,ut_ft_pt_st_st_ns_in_st_nsf,ut_ft_pt_st_st_ns_in_st_nsp,ut_ft_pt_stu_st_ns_totm,ut_ft_pt_stu_st_ns_totf,ut_ft_pt_stu_st_ns_totp,ut_tot_indig_m,ut_tot_indig_f,ut_tot_indig_p,ut_tot_nonind_m,ut_tot_nonind_f,ut_tot_nonind_p,ut_tot_indigstat_nsm,ut_tot_indigstat_nsf,ut_tot_indigstat_nsp,ut_tot_totm,ut_tot_totf,ut_tot_totp,oei_ind_m,oei_ind_f,oei_ind_p,oei_nonind_m,oei_nonind_f,oei_nonind_p,oei_indst_nsm,oei_indst_nsf,oei_indst_nsp,oei_totm,oei_totf,oei_totp,t_ei_ns_ind_m,t_ei_ns_ind_f,t_ei_ns_ind_p,t_ei_ns_nonind_m,t_ei_ns_nonind_f,t_ei_ns_nonind_p,t_ei_ns_indst_nsm,t_ei_ns_indst_nsf
Ku-ring-gai,12103,4,0,3,1218,1089,2307,0,7,4,1221,1095,2319,12,7,20,6188,5719,11902,23,18,36,6217,5745,11965,20,24,45,5591,5382,10975,23,23,46,5636,5432,11067,0,0,0,93,91,187,0,0,0,96,96,191,0,0,0,79,137,215,0,0,0,85,137,214,5,0,3,177,91,266,0,0,4,181,94,274,0,0,0,223,432,652,0,0,0,224,432,654,0,0,0,3,6,13,0,0,0,3,6,13,5,0,5,582,754,1335,4,0,5,588,760,1347,7,3,7,2417,2704,5120,11,6,15,2434,2713,5146,0,0,0,398,497,896,0,0,0,398,496,897,0,0,0,311,260,574,0,0,0,315,260,573,3,5,5,630,908,1533,0,5,4,630,914,1545,0,0,0,18,16,30,0,0,0,18,16,30,10,9,15,3776,4385,8157,9,8,25,3791,4403,8195,0,0,0,294,496,785,0,3,3,294,497,786,0,0,4,620,826,1450,1641,1819
North Sydney - Mosman,12104,5,3,10,710,726,1440,3,3,4,718,732,1455,7,7,11,2790,2689,5487,12,11,28,2812,2710,5520,12,6,18,1981,1975,3953,3,3,10,2000,1983,3978,0,0,0,66,77,140,0,0,0,66,77,140,0,0,0,68,161,226,0,0,0,68,160,222,0,0,0,66,58,124,0,0,0,66,58,124,3,0,0,228,413,634,0,0,0,225,410,640,0,0,0,3,4,10,0,0,0,3,8,9,3,3,4,420,708,1130,0,0,0,428,715,1140,3,3,7,1014,1189,2205,3,3,3,1022,1197,2218,0,3,4,382,626,1005,3,3,9,386,629,1014,0,0,0,162,188,349,0,0,0,162,192,355,0,3,8,795,1157,1954,0,0,0,797,1164,1965,0,0,0,3,15,21,0,0,0,3,15,21,6,13,23,2355,3178,5531,5,6,13,2367,3197,5565,3,0,3,267,523,792,4,3,6,277,526,803,3,8,5,386,473,854,3056,3234
Manly,12201,4,0,4,461,436,890,3,0,3,465,437,896,3,4,7,1763,1777,3542,20,11,29,1790,1797,3587,13,7,18,1232,1231,2464,3,8,7,1247,1245,2487,0,0,0,21,31,49,0,0,0,21,31,55,0,0,0,33,56,90,0,0,0,33,56,90,0,0,0,58,34,91,0,0,0,58,34,91,0,0,0,93,170,261,0,0,0,100,168,269,0,0,0,0,3,5,0,0,0,0,3,5,0,0,3,206,293,497,0,0,0,213,294,506,0,4,0,463,541,1005,3,3,5,470,545,1012,0,0,0,111,173,282,0,0,0,111,170,289,0,0,0,83,80,160,0,0,0,83,80,160,0,0,0,252,314,557,0,0,0,253,314,561,0,0,0,3,5,12,0,0,0,3,5,12,4,4,3,911,1107,2016,3,4,7,920,1110,2028,0,0,0,151,263,409,0,0,3,153,266,414,3,0,3,265,331,600,1085,1116
Pittwater,12202,4,4,9,655,586,1234,3,3,6,668,587,1255,26,35,60,2799,2699,5497,12,21,34,2838,2751,5595,22,28,46,2136,2139,4274,13,11,20,2173,2171,4344,3,0,3,60,63,121,0,0,0,67,63,127,0,0,0,29,38,65,0,0,0,29,39,70,0,0,6,262,101,359,0,0,0,261,97,364,0,0,0,149,215,362,0,0,3,151,220,370,0,0,0,0,0,0,0,0,0,0,0,3,10,6,11,506,411,917,3,0,3,515,418,930,4,4,16,577,631,1208,3,9,8,583,644,1234,0,3,3,105,160,262,0,0,0,105,162,262,0,0,0,110,101,213,0,0,0,110,107,211,0,5,5,218,368,584,0,0,3,218,372,592,0,0,0,0,4,10,0,0,0,0,4,10,4,12,17,1000,1271,2272,4,10,16,1016,1293,2307,0,4,4,113,243,358,0,3,3,109,252,364,3,3,10,377,526,903,1128,1163
Warringah,12203,19,18,38,1621,1437,3057,5,9,13,1646,1462,3114,60,50,116,7213,6688,13899,34,47,81,7312,6783,14090,58,49,101,5418,4987,10403,20,21,45,5494,5053,10552,0,4,7,151,138,287,0,0,0,152,141,290,0,0,0,193,271,466,4,3,5,196,278,472,4,7,6,502,249,749,7,3,7,506,254,763,8,6,10,478,752,1228,3,3,8,486,759,1251,0,0,0,5,8,20,0,0,0,12,8,20,12,12,26,1324,1421,2749,8,6,20,1345,1443,2788,7,11,20,1473,1662,3141,6,12,10,1488,1681,3167,3,5,8,407,545,950,0,0,0,411,549,962,0,7,7,274,292,571,0,0,3,276,301,579,8,9,14,638,1015,1652,0,3,3,642,1030,1677,0,0,0,8,17,25,0,0,0,8,17,25,16,27,51,2801,3538,6341,6,12,21,2826,3585,6408,0,3,11,470,674,1137,3,3,3,473,681,1154,10,11,22,830,1181,2008,2953,3091
Camden,12301,40,25,65,716,714,1436,3,8,10,762,746,1505,156,148,304,3302,3198,6496,18,19,38,3472,3360,6832,106,91,197,2317,2357,4680,16,18,36,2441,2468,4908,6,7,10,66,88,149,0,0,0,72,93,166,0,0,0,27,71,91,0,0,0,27,73,92,10,8,15,365,154,520,3,0,3,378,164,537,3,12,16,139,237,373,0,0,0,140,255,392,0,0,0,3,4,5,0,0,0,3,4,5,22,30,45,590,556,1145,3,0,3,612,582,1197,5,12,20,433,674,1110,3,4,8,447,691,1136,0,7,7,95,201,297,0,0,0,95,206,302,3,4,8,80,114,195,0,3,3,84,118,205,6,17,24,203,393,594,0,0,0,208,412,626,0,0,0,3,7,3,0,0,0,3,6,9,20,43,57,815,1382,2201,3,15,19,837,1437,2278,0,6,13,87,238,329,0,0,0,94,244,339,13,17,33,368,471,847,843,898
Campbelltown (NSW),12302,105,112,210,1326,1200,2525,13,3,17,1440,1317,2754,549,462,1012,6889,6485,13373,69,68,140,7511,7013,14523,360,357,719,5169,4988,10157,51,49,98,5584,5394,10972,9,21,30,255,244,493,0,0,3,261,269,529,5,20,26,190,327,512,0,3,3,193,346,543,22,25,53,561,263,822,3,3,7,585,289,877,16,32,46,399,684,1084,0,3,3,414,719,1137,0,0,0,12,18,35,0,0,0,14,18,35,59,100,165,1415,1529,2943,7,12,18,1475,1648,3125,26,55,79,1546,1817,3362,10,3,17,1572,1877,3453,7,18,33,518,631,1145,3,3,8,524,657,1185,3,6,6,223,274,504,0,3,4,233,282,512,11,22,34,456,717,1177,0,0,3,465,746,1210,0,0,0,13,24,39,0,0,0,15,28,44,48,99,148,2757,3474,6228,13,16,27,2810,3588,6403,16,25,44,415,832,1248,0,3,3,437,857,1294,107,137,239,1432,1788,3227,3546,3756
Wollondilly,12303,20,12,32,442,411,854,3,10,11,462,434,897,107,115,221,1968,1836,3808,36,27,56,2108,1973,4086,88,77,161,1417,1369,2791,17,22,33,1517,1469,2985,6,7,7,36,48,83,0,0,0,41,50,90,3,3,5,8,33,44,0,0,0,5,41,46,15,3,15,244,88,336,3,0,4,261,98,357,6,6,8,77,156,233,0,0,3,81,161,243,0,0,0,7,0,8,0,0,0,7,4,8,28,15,42,367,330,695,4,3,8,394,347,748,7,19,25,215,353,573,0,3,3,224,372,593,0,3,4,71,121,186,3,0,3,74,121,196,0,0,0,44,64,102,0,0,0,44,67,103,4,10,14,87,223,312,0,0,0,92,233,320,0,0,0,0,5,4,0,0,0,3,5,5,11,32,44,419,757,1177,4,3,5,430,797,1222,0,13,10,58,134,197,0,0,0,61,146,209,21,19,38,348,385,736,892,865
Blue Mountains,12401,28,48,72,701,654,1358,5,6,10,732,707,1440,136,137,275,3182,3029,6211,32,30,61,3341,3196,6543,120,102,227,2543,2414,4956,23,13,34,2690,2525,5212,5,12,19,93,100,201,0,0,0,101,114,219,0,7,7,77,114,188,0,0,0,77,118,192,15,10,20,289,143,435,3,0,6,301,160,462,10,24,41,250,399,654,0,3,7,267,433,698,0,0,0,4,4,14,0,0,0,4,4,14,29,57,84,719,766,1489,4,8,14,753,833,1590,14,13,29,632,741,1371,3,3,9,653,754,1407,5,10,14,183,280,471,0,0,0,193,290,483,0,7,10,84,133,216,0,0,0,88,137,223,4,30,34,430,843,1269,0,5,7,436,871,1312,0,0,0,4,3,13,0,0,0,4,3,13,29,53,81,1345,1995,3343,6,9,18,1378,2061,3434,11,7,16,158,329,486,0,3,3,172,338,505,26,27,49,417,494,908,1372,1422
Blue Mountains - South,12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penrith,12403,114,92,209,1491,1351,2841,15,14,29,1624,1453,3069,470,401,870,6109,5982,12085,45,55,104,6620,6437,13059,323,304,629,4463,4409,8869,38,30,65,4820,4742,9562,4,14,21,138,196,335,4,0,3,141,218,357,10,20,25,97,275,372,0,0,0,108,294,401,31,30,65,670,304,978,9,0,11,717,335,1043,17,40,56,368,648,1013,3,0,3,387,691,1071,0,0,0,16,10,28,0,0,0,15,10,25,63,104,170,1284,1436,2724,13,5,14,1361,1539,2906,26,50,77,1003,1275,2276,5,5,11,1039,1332,2367,4,24,30,371,482,850,3,0,3,379,504,888,4,12,16,191,280,469,0,4,4,200,294,496,6,32,42,441,809,1252,0,4,3,453,847,1302,0,0,0,11,14,27,0,0,0,11,14,25,42,123,167,2023,2864,4883,11,16,24,2077,3000,5073,16,22,39,266,549,815,0,3,7,289,571,859,67,126,194,989,1239,2226,2791,2767
Richmond - Windsor,12404,38,25,61,320,298,612,5,0,4,359,326,680,145,124,267,1410,1312,2718,14,19,29,1562,1456,3019,104,97,198,1006,1052,2051,12,6,20,1114,1154,2268,0,4,7,34,66,106,0,0,0,38,77,110,3,4,6,19,44,58,0,0,0,18,45,70,16,8,21,211,94,303,0,0,0,226,102,328,0,5,10,111,180,291,0,0,0,111,186,302,0,0,0,4,3,4,0,0,0,4,3,4,17,27,51,377,382,762,3,4,3,393,419,812,15,18,31,218,347,570,3,3,9,235,371,607,0,7,7,87,133,220,0,0,3,89,142,231,0,5,8,42,75,118,0,0,0,43,86,126,4,9,14,88,196,286,0,0,0,92,206,293,0,0,0,4,4,9,0,0,0,4,3,4,18,46,57,435,759,1194,8,3,13,458,806,1264,8,9,14,41,141,181,0,0,0,50,143,197,180,107,290,873,503,1378,836,855
St Marys,12405,30,24,55,470,418,890,9,3,12,510,446,955,164,141,301,2235,2171,4402,14,14,26,2413,2327,4738,135,104,233,1645,1670,3313,12,19,29,1783,1794,3577,4,6,12,78,87,164,0,0,0,78,93,176,3,8,8,65,123,188,3,0,4,69,128,202,18,15,36,239,121,359,0,0,0,258,138,396,4,16,21,133,230,364,0,0,0,136,251,389,0,0,0,3,7,6,0,0,0,3,7,6,33,44,78,516,573,1085,3,5,4,549,617,1166,6,16,21,410,480,886,3,5,11,423,501,918,0,3,3,120,163,286,3,0,3,128,159,291,0,3,3,77,113,184,0,3,3,75,114,189,0,4,3,116,234,357,0,0,4,119,243,362,0,0,0,5,3,9,0,0,0,5,3,9,13,25,33,736,986,1725,6,11,18,751,1018,1771,3,9,10,113,255,362,0,3,3,118,264,380,45,47,90,484,565,1047,1287,1347
Auburn,12501,0,4,6,599,536,1141,4,0,7,607,539,1147,10,9,18,3051,2862,5910,26,21,47,3089,2894,5986,11,9,21,2399,2367,4767,17,21,33,2429,2398,4823,0,0,3,234,191,423,0,5,5,235,200,433,0,0,3,361,389,752,3,0,3,368,396,762,4,3,5,188,89,277,4,0,4,192,94,283,3,0,3,342,370,707,0,0,0,340,368,712,0,0,0,11,8,12,0,0,0,8,8,14,9,3,10,1127,1048,2180,8,5,6,1141,1056,2201,3,4,8,1966,1764,3737,3,5,11,1977,1775,3749,0,0,0,1176,892,2067,3,7,4,1178,901,2079,0,0,0,203,179,374,0,0,0,204,179,381,0,0,0,421,420,843,3,3,3,424,425,848,0,0,0,15,11,29,0,3,3,15,15,32,4,4,6,3781,3269,7050,12,11,21,3794,3286,7078,0,0,0,812,888,1701,4,4,8,817,894,1709,270,93,368,2344,1150,3497,2242,2052
Carlingford,12502,6,5,12,559,578,1136,0,4,3,562,587,1154,21,37,57,2857,2677,5533,17,12,28,2895,2726,5617,18,17,36,2447,2197,4645,9,17,27,2477,2231,4712,0,3,0,90,71,153,0,0,0,87,73,162,3,0,3,97,206,310,3,0,3,100,206,311,0,0,4,164,64,228,0,0,3,167,64,228,0,3,7,174,305,485,3,0,3,181,312,490,0,0,0,9,7,11,0,0,0,9,4,15,9,8,12,531,656,1182,4,3,4,540,664,1204,0,5,4,1225,1279,2502,0,4,4,1228,1288,2513,0,3,5,349,394,748,0,0,0,352,404,754,0,3,5,136,141,282,0,0,0,139,144,289,3,3,4,319,412,733,0,0,0,316,419,738,0,0,0,12,10,17,0,0,0,10,11,20,3,15,21,2042,2240,4287,0,8,11,2053,2268,4315,3,0,3,239,361,595,0,0,0,241,360,596,7,10,10,456,490,948,1065,1054
Merrylands - Guildford,12503,16,13,26,1377,1233,2608,10,5,16,1400,1249,2652,80,84,160,6710,6432,13144,64,55,121,6858,6570,13421,57,48,100,4889,4883,9765,38,26,66,4977,4954,9934,3,11,10,360,353,713,3,0,3,365,365,727,0,3,5,295,541,832,3,5,8,299,546,844,4,3,5,427,198,623,4,3,11,431,201,634,3,8,13,448,625,1072,0,5,8,450,639,1091,0,0,0,24,24,49,3,0,5,27,30,53,11,20,36,1553,1737,3292,11,14,23,1581,1773,3355,7,14,22,2001,2316,4319,11,14,23,2026,2338,4363,0,6,6,776,728,1508,0,3,4,779,735,1518,4,0,7,285,287,569,0,0,0,287,289,579,8,7,16,424,577,998,0,3,5,431,588,1021,0,0,0,15,17,29,0,0,0,15,18,34,19,30,49,3505,3919,7425,17,19,39,3540,3970,7505,8,4,12,643,1049,1700,7,6,13,659,1066,1724,29,25,54,2322,1987,4306,3396,3412
Parramatta,12504,12,11,21,1279,1165,2450,7,8,16,1304,1179,2482,50,58,114,5525,5175,10701,44,29,75,5617,5269,10885,50,31,86,3565,3263,6829,10,18,29,3632,3309,6939,7,8,11,212,159,371,3,5,7,224,165,386,3,0,5,232,408,637,0,3,3,229,412,644,3,11,11,236,117,356,0,3,3,239,131,373,10,7,15,377,682,1059,0,0,0,386,687,1072,0,0,0,11,4,17,0,0,0,16,4,16,15,19,35,1072,1361,2438,0,13,16,1091,1395,2485,7,14,17,2230,2016,4249,8,4,17,2248,2032,4278,7,8,14,1165,1180,2346,6,5,8,1180,1189,2372,0,0,0,259,246,500,0,0,0,259,245,497,0,3,8,665,832,1505,0,3,8,668,848,1514,0,0,0,15,26,35,0,0,0,15,22,37,16,24,41,4341,4296,8634,10,14,26,4369,4332,8704,8,6,11,670,907,1579,3,3,4,680,914,1591,26,19,46,1098,1177,2283,3637,3521
Pennant Hills - Epping,12601,4,5,8,418,405,826,0,0,0,421,407,830,7,11,13,2111,2023,4133,9,13,20,2119,2045,4160,0,9,5,1794,1781,3568,7,14,26,1801,1798,3599,0,0,0,59,53,113,0,0,0,66,53,116,0,0,0,69,96,163,0,0,0,69,96,163,0,0,0,112,36,153,0,0,0,114,36,151,0,0,0,120,252,375,0,0,0,122,249,373,0,0,0,3,0,4,0,0,0,3,0,4,0,0,3,368,437,806,3,0,4,370,441,812,0,0,5,1296,1280,2575,0,8,10,1300,1287,2586,0,0,3,347,341,685,0,4,4,352,342,696,0,0,0,124,130,252,0,0,0,124,129,255,3,0,3,266,337,607,0,3,3,267,340,608,0,0,0,6,9,18,0,0,0,9,9,18,7,4,6,2041,2094,4137,0,11,12,2047,2116,4159,0,0,0,119,207,334,0,0,0,119,213,334,0,0,3,220,248,468,528,506
Ryde - Hunters Hill,12602,3,4,8,1124,1097,2216,5,0,5,1132,1099,2236,41,32,73,4924,4621,9545,26,23,53,4991,4679,9670,50,27,81,4209,3512,7718,17,11,29,4280,3547,7833,0,0,3,208,271,483,0,3,4,216,273,485,0,0,0,291,444,735,3,3,3,291,448,740,0,5,6,255,109,370,4,0,4,260,112,374,8,3,8,413,686,1099,3,0,3,420,689,1114,0,0,0,8,16,20,0,0,0,8,16,20,13,12,17,1177,1526,2700,7,3,15,1197,1542,2730,13,28,40,3537,3712,7252,9,13,22,3560,3755,7316,0,0,3,1353,1440,2794,3,0,7,1359,1440,2797,0,0,0,320,344,667,3,4,4,330,352,674,8,8,10,758,985,1741,3,4,5,767,992,1763,0,0,0,19,13,32,3,0,3,24,15,34,21,36,53,5995,6496,12489,21,19,42,6038,6550,12588,0,3,3,473,712,1183,3,3,8,475,721,1196,4,6,13,839,981,1818,2287,2330
Bringelly - Green Valley,12701,40,14,53,951,839,1790,11,11,23,1001,868,1869,133,131,267,4987,4745,9734,53,41,97,5168,4926,10094,111,104,218,4108,4085,8193,37,37,75,4256,4223,8480,3,0,4,189,174,360,0,0,3,186,175,363,0,0,0,94,215,312,0,0,0,100,219,317,7,3,7,400,156,556,3,4,5,410,165,577,6,9,18,221,361,578,0,6,6,225,371,601,0,0,0,14,17,31,0,0,0,14,17,31,15,15,28,918,923,1844,7,8,15,941,946,1890,11,15,26,1204,1622,2826,9,10,17,1219,1646,2869,0,5,5,201,291,490,0,0,3,204,299,500,0,4,4,194,228,419,4,0,6,195,231,426,5,8,11,234,444,676,0,0,3,239,455,689,0,0,0,3,10,15,0,0,0,4,10,16,15,32,46,1829,2596,4431,14,11,27,1862,2645,4506,8,7,11,304,482,784,3,5,8,312,495,801,33,37,73,1085,1177,2265,2517,2496
Fairfield,12702,14,24,43,1219,1102,2324,8,8,19,1238,1143,2385,109,94,198,7465,7031,14499,61,83,136,7635,7202,14834,70,74,140,7017,6833,13849,65,47,110,7147,6954,14098,5,3,10,544,465,1011,4,0,7,555,469,1020,0,3,4,429,767,1191,5,3,8,436,773,1200,11,7,16,563,240,795,9,0,9,575,242,819,3,5,8,451,728,1181,4,0,5,458,743,1198,0,0,0,39,29,66,0,0,0,39,29,66,21,18,33,2014,2232,4246,15,3,22,2048,2250,4302,4,15,19,2848,3452,6302,5,10,18,2858,3480,6334,3,3,10,548,603,1148,0,3,5,549,613,1161,3,7,6,387,395,780,3,0,7,392,402,796,3,0,3,377,517,887,0,0,3,380,516,896,0,0,0,27,19,44,0,0,0,27,19,44,11,27,41,4177,4987,9165,12,22,35,4205,5030,9231,3,8,13,966,1672,2629,0,13,18,969,1688,2658,34,31,65,2321,2561,4888,3060,2998
Liverpool,12703,22,15,39,1009,927,1937,3,8,15,1036,948,1990,144,105,250,5339,5118,10455,56,29,86,5540,5252,10793,85,93,174,4152,4032,8184,22,30,51,4257,4149,8406,0,10,6,200,213,413,3,0,5,203,221,424,0,8,8,217,369,589,0,3,3,217,386,604,7,3,10,363,165,523,3,3,7,370,169,539,9,16,24,319,529,848,3,6,9,333,545,880,0,0,0,22,13,29,3,4,3,18,19,41,16,35,49,1125,1286,2412,10,17,25,1144,1335,2482,12,15,26,1384,1738,3127,4,8,17,1401,1767,3163,0,3,3,362,499,865,0,3,4,366,505,869,0,7,9,180,244,425,0,0,0,184,254,435,3,11,13,367,600,970,0,3,3,372,609,982,0,0,0,3,16,23,0,0,0,9,16,24,16,30,45,2311,3106,5412,4,14,21,2326,3149,5480,4,9,12,463,686,1147,3,7,7,468,696,1166,22,22,38,1205,1289,2488,3581,3509
Cronulla - Miranda - Caringbah,12801,17,16,38,1094,899,1994,3,3,10,1122,919,2041,74,61,136,4479,4143,8623,32,26,59,4585,4235,8820,49,63,116,3387,3408,6795,28,26,55,3468,3494,6962,0,3,3,99,150,252,0,0,0,99,154,256,3,0,3,62,104,164,0,0,0,60,106,166,12,5,11,493,166,657,0,0,0,504,170,675,8,0,8,298,430,728,3,0,3,311,433,743,0,0,0,11,5,18,0,0,0,11,10,18,19,9,26,965,855,1819,3,3,8,989,866,1854,3,26,25,1040,1321,2364,4,5,10,1046,1354,2398,3,3,9,234,280,519,0,4,4,238,292,531,3,3,6,184,217,403,5,0,4,190,229,419,3,14,12,449,741,1193,0,3,3,448,757,1205,0,0,0,5,18,27,0,0,0,5,18,27,15,43,53,1909,2586,4500,9,14,21,1927,2642,4572,0,3,6,206,415,622,3,3,8,212,419,634,20,19,44,593,775,1369,2144,2127
Sutherland - Menai - Heathcote,12802,18,21,38,1227,1128,2349,8,5,15,1254,1155,2408,102,93,195,5041,4785,9824,41,23,62,5184,4901,10087,74,76,150,3810,3716,7532,25,16,42,3909,3810,7717,3,0,3,106,149,258,0,0,0,115,148,261,0,3,3,57,94,152,0,0,0,59,94,155,18,5,22,572,219,792,8,0,9,595,222,822,3,8,12,259,408,670,3,0,0,266,418,686,3,0,3,3,8,11,0,0,0,10,8,16,28,15,44,1009,877,1885,11,5,10,1040,898,1939,7,8,15,1188,1479,2668,5,3,14,1199,1491,2691,0,13,12,227,280,506,0,0,3,230,288,522,3,0,5,172,251,425,0,0,0,177,254,431,8,8,9,449,792,1241,0,6,9,454,805,1258,0,0,0,10,13,24,0,0,0,11,13,25,17,24,44,2048,2812,4863,14,16,26,2081,2850,4927,3,4,8,224,366,590,0,3,3,226,370,603,17,18,41,501,612,1111,1286,1296
