sa3_code16,p_pgrad_deg_35_44,p_pgrad_deg_45_54,p_pgrad_deg_55_64,p_pgrad_deg_65_74,p_pgrad_deg_75_84,p_pgrad_deg_85ov,p_pgrad_deg_total,p_graddip_and_gradcert_15_24,p_graddip_and_gradcert_25_34,p_graddip_and_gradcert_35_44,p_graddip_and_gradcert_45_54,p_graddip_and_gradcert_55_64,p_graddip_and_gradcert_65_74,p_graddip_and_gradcert_75_84,p_graddip_and_gradcert_85ov,p_graddip_and_gradcert_total,p_bachdeg_15_24,p_bachdeg_25_34,p_bachdeg_35_44,p_bachdeg_45_54,p_bachdeg_55_64,p_bachdeg_65_74,p_bachdeg_75_84,p_bachdeg_85ov,p_bachdeg_total,p_advdip_and_dip_15_24,p_advdip_and_dip_25_34,p_advdip_and_dip_35_44,p_advdip_and_dip_45_54,p_advdip_and_dip_55_64,p_advdip_and_dip_65_74,p_advdip_and_dip_75_84,p_advdip_and_dip_85ov,p_advdip_and_dip_total,p_cert_iii_iv_15_24,p_cert_iii_iv_25_34,p_cert_iii_iv_35_44,p_cert_iii_iv_45_54,p_cert_iii_iv_55_64,p_cert_iii_iv_65_74,p_cert_iii_iv_75_84,p_cert_iii_iv_85ov,p_cert_iii_iv_total,p_cert_i_ii_15_24,p_cert_i_ii_25_34,p_cert_i_ii_35_44,p_cert_i_ii_45_54,p_cert_i_ii_55_64,p_cert_i_ii_65_74,p_cert_i_ii_75_84,p_cert_i_ii_85ov,p_cert_i_ii_total,p_cert_levl_nfd_15_24,p_cert_levl_nfd_25_34,p_cert_levl_nfd_35_44,p_cert_levl_nfd_45_54,p_cert_levl_nfd_55_64,p_cert_levl_nfd_65_74,p_cert_levl_nfd_75_84,p_cert_levl_nfd_85ov,p_cert_levl_nfd_total,p_cert_lev_tot_15_24,p_cert_lev_tot_25_34,p_cert_lev_tot_35_44,p_cert_lev_tot_45_54,p_cert_lev_tot_55_64,p_cert_lev_tot_65_74,p_cert_lev_tot_75_84,p_cert_lev_tot_85ov,p_cert_lev_tot_total,p_lev_edu_ides_15_24,p_lev_edu_ides_25_34,p_lev_edu_ides_35_44,p_lev_edu_ides_45_54,p_lev_edu_ides_55_64,p_lev_edu_ides_65_74,p_lev_edu_ides_75_84,p_lev_edu_ides_85ov,p_lev_edu_ides_total,p_lev_edu_ns_15_24,p_lev_edu_ns_25_34,p_lev_edu_ns_35_44,p_lev_edu_ns_45_54,p_lev_edu_ns_55_64,p_lev_edu_ns_65_74,p_lev_edu_ns_75_84,p_lev_edu_ns_85ov,p_lev_edu_ns_total,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_total,sa3_name16
12102,2318,1407,876,412,151,32,6760,15,253,515,467,329,197,60,7,1842,821,3555,4536,3104,1985,1082,476,124,15684,324,1018,1523,1611,1266,757,333,100,6923,655,1108,1327,1501,1156,822,405,124,7104,91,59,100,104,115,58,29,5,568,58,123,207,338,351,344,133,46,1604,807,1288,1633,1949,1622,1226,569,182,9272,26,82,146,144,162,123,63,31,769,385,495,575,514,489,472,435,324,3692,2418,8217,11233,9192,6732,4257,2083,810,44945,Hornsby
12103,3488,3646,2226,1351,546,153,13341,21,249,618,828,612,391,165,50,2940,1656,4258,6498,7092,4608,2833,1445,569,28954,334,741,1307,2149,1643,1443,961,422,9002,402,571,685,1009,774,607,383,186,4620,54,42,53,104,68,87,41,16,470,86,96,189,383,366,448,292,164,2024,543,712,927,1497,1209,1139,710,363,7111,50,75,156,230,212,243,177,102,1244,698,449,585,766,626,677,749,984,5542,3402,8331,13583,16206,11135,8081,4762,2640,68140,Ku-ring-gai
12104,3283,2223,1743,1186,369,91,12017,24,656,622,522,451,353,89,20,2743,1479,8696,6202,4198,3217,2200,924,308,27213,260,1483,1577,1506,1243,1131,531,206,7942,260,1045,809,653,538,430,211,78,4024,37,55,72,68,73,67,28,11,420,43,137,218,232,293,318,133,59,1440,345,1239,1096,952,910,813,376,150,5884,36,160,168,154,161,188,94,50,1002,662,1698,1293,1001,940,855,548,390,7387,2893,16961,14246,10550,8658,6735,2934,1216,64199,North Sydney - Mosman
12201,1182,882,507,296,89,29,3876,12,146,255,254,222,117,23,4,1034,481,2876,2830,2084,1292,704,249,84,10593,143,606,745,798,536,456,217,67,3563,160,527,433,483,372,289,165,57,2481,12,29,39,46,39,32,11,8,209,31,60,120,142,155,137,53,27,738,205,615,591,672,573,459,224,91,3430,12,65,81,70,76,93,39,22,451,301,546,489,401,359,336,251,220,2913,1178,5713,6185,5153,3563,2457,1097,516,25855,Manly
12202,650,782,636,413,134,26,2925,5,84,195,259,322,196,57,12,1145,475,1398,2314,2136,1796,1161,450,136,9855,250,629,1217,1417,1216,927,411,128,6187,530,1057,1354,1555,1211,809,443,153,7113,46,48,67,99,75,59,17,11,431,50,84,168,322,356,295,158,45,1483,627,1196,1593,1975,1640,1166,616,210,9026,3,26,74,109,141,120,69,35,570,362,266,436,529,581,673,554,464,3868,1753,3852,6481,7201,6326,4661,2290,1010,33576,Pittwater
12203,2522,2003,971,529,187,52,7806,42,390,771,683,516,262,76,20,2765,1357,5772,7447,5441,2994,1647,719,274,25658,576,2458,3221,3308,2131,1381,709,287,14073,1264,2952,3286,3441,2388,1654,946,337,16274,153,152,214,229,159,122,42,18,1093,144,264,485,749,619,610,312,169,3350,1565,3363,3984,4426,3170,2383,1300,524,20720,53,140,237,270,251,232,153,90,1436,920,1199,1337,1290,1087,1134,1169,1091,9236,4569,14811,19517,17421,11126,7578,4323,2337,81690,Warringah
12301,402,293,190,83,30,5,1423,18,155,184,171,148,48,13,3,742,385,1543,1772,932,604,265,79,20,5597,373,1137,1331,1140,663,291,77,27,5036,1063,2318,2336,1945,1295,736,261,63,10020,121,112,145,107,80,34,3,3,611,99,138,215,261,213,126,51,17,1112,1284,2572,2694,2312,1582,900,319,85,11744,24,47,82,72,74,45,19,3,366,411,393,455,417,333,383,313,332,3028,2514,6246,6914,5334,3583,2020,849,473,27939,Camden
12302,1570,793,501,203,54,10,4671,54,282,297,215,245,104,10,4,1208,1202,4111,3126,2157,1604,783,191,42,13216,1006,2580,2271,2053,1639,764,171,41,10525,2466,4739,3932,3681,3487,1841,634,146,20925,367,369,317,270,227,105,17,7,1686,228,417,526,594,623,398,89,18,2893,3056,5524,4779,4548,4332,2345,739,172,25499,101,213,228,225,234,163,53,13,1229,1816,1714,1535,1504,1529,1442,846,498,10880,7346,15850,13805,11496,10099,5804,2066,782,67244,Campbelltown (NSW)
12303,191,164,152,67,12,7,797,12,80,77,102,106,41,7,0,412,181,668,691,520,451,224,64,17,2820,204,534,645,657,562,262,73,23,2956,817,1588,1672,1546,1181,657,282,49,7785,84,90,82,85,80,29,8,4,469,57,86,163,166,187,121,36,5,820,959,1759,1913,1802,1450,802,324,63,9074,16,30,43,45,50,34,21,10,252,430,325,384,415,451,392,326,196,2911,1817,3574,3950,3707,3222,1829,825,309,19232,Wollondilly
12401,768,966,1067,630,177,26,4182,5,155,353,484,618,334,66,9,2025,409,1523,2505,2331,2228,1439,465,104,11009,361,807,1273,1563,1618,1115,480,126,7349,992,1775,1923,2133,1901,1225,523,153,10625,119,106,121,110,106,108,30,9,708,93,104,206,278,427,422,123,70,1715,1200,1984,2245,2518,2429,1754,675,239,13044,25,35,79,83,127,144,75,31,594,446,378,506,631,805,872,619,344,4609,2497,5387,7736,8572,8896,6292,2558,879,42810,Blue Mountains
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,Blue Mountains - South
12403,987,585,411,191,42,7,3469,38,288,329,237,267,108,13,0,1284,958,3465,2884,1675,1361,601,197,52,11182,739,2439,2360,1864,1433,706,184,51,9783,2615,5594,4583,4004,2916,1657,580,145,22087,281,322,309,218,185,60,12,4,1401,202,350,468,509,532,334,102,28,2532,3092,6269,5360,4736,3637,2053,696,176,26018,59,130,168,163,190,145,54,21,927,1240,1515,1278,1230,1183,1138,736,327,8646,6208,15265,13365,10482,8485,4938,1923,641,61307,Penrith
