sa3_name16,sa3_code16,iad_hhs_with_ind_p,iad_oth_households,iad_tot_households,inad_hhs_with_ind_p,inad_oth_households,inad_tot_households,ia_ns_indig_per,ia_ns_oth_households,ia_ns_tot_households,tot_hholds_w_indig_per,tot_oth_households,tot_tot_households
Queanbeyan,10102,622,16636,17255,166,2518,2685,29,491,522,816,19644,20459
Snowy Mountains,10103,164,5370,5533,45,1387,1430,8,281,295,217,7041,7259
South Coast,10104,897,21056,21951,395,5063,5451,63,847,906,1351,26963,28317
Goulburn - Mulwaree,10105,432,9250,9675,124,2966,3091,20,397,411,572,12607,13180
Young - Yass,10106,428,9611,10031,135,2545,2682,13,375,383,575,12522,13102
Gosford,10201,1876,50151,52025,330,9133,9463,95,1614,1707,2296,60899,63202
Wyong,10202,2870,42719,45585,547,9893,10437,109,1716,1826,3524,54326,57847
Bathurst,10301,713,12050,12768,227,2832,3055,48,407,454,992,15285,16280
Lachlan Valley,10302,1412,12891,14305,650,4859,5511,102,662,767,2169,18409,20578
Lithgow - Mudgee,10303,839,11646,12483,308,3756,4065,40,530,572,1187,15938,17128
Orange,10304,953,15051,16003,329,3743,4067,54,631,689,1339,19421,20755
Clarence Valley,10401,924,13428,14350,384,4091,4481,49,564,613,1353,18089,19441
Coffs Harbour,10402,1343,24579,25916,397,4905,5303,77,880,956,1810,30363,32171
Bourke - Cobar - Coonamble,10501,1148,4230,5370,1078,1692,2768,149,297,441,2370,6214,8581
Broken Hill and Far West,10502,499,4957,5453,327,1867,2201,44,293,338,878,7116,7995
Dubbo,10503,2674,15440,18117,1221,4578,5799,164,590,754,4062,20600,24663
Lower Hunter,10601,1869,21709,23576,487,5527,6020,77,749,827,2435,27988,30417
Maitland,10602,1375,20243,21621,281,3696,3981,61,596,657,1723,24537,26258
Port Stephens,10603,1204,19888,21095,258,4084,4337,60,801,861,1519,24773,26292
Upper Hunter,10604,681,7538,8216,219,2148,2364,32,311,342,937,9988,10929
Dapto - Port Kembla,10701,962,19573,20535,253,5166,5418,38,791,837,1253,25533,26788
Illawarra Catchment Reserve,10702,0,5,5,0,0,0,0,0,0,0,5,5
Kiama - Shellharbour,10703,1132,24622,25748,202,4607,4810,47,727,767,1378,29951,31327
Wollongong,10704,1086,37496,38585,227,7096,7323,53,1215,1264,1366,45800,47170
Great Lakes,10801,532,8876,9409,204,2854,3052,30,429,462,761,12159,12919
Kempsey - Nambucca,10802,1087,12012,13102,610,3994,4606,95,538,635,1795,16552,18344
Lord Howe Island,10803,0,115,118,0,10,10,0,6,9,3,130,132
Port Macquarie,10804,1175,22903,24080,305,5571,5876,27,877,910,1512,29353,30864
Taree - Gloucester,10805,1082,14555,15639,413,4411,4818,80,539,617,1571,19505,21079
Albury,10901,557,17661,18224,185,4079,4268,46,602,650,796,22350,23140
Lower Murray,10902,214,2908,3120,168,1032,1198,17,168,184,398,4104,4502
Upper Murray exc. Albury,10903,377,11422,11797,161,3684,3841,25,535,564,561,15641,16202
Armidale,11001,628,9673,10297,335,2207,2546,60,313,369,1016,12192,13211
Inverell - Tenterfield,11002,738,9122,9863,433,3797,4227,53,494,547,1221,13417,14635
Moree - Narrabri,11003,837,5255,6095,691,1721,2413,105,306,410,1636,7273,8915
Tamworth - Gunnedah,11004,2444,19285,21727,1025,5820,6851,157,809,967,3629,25921,29544
Lake Macquarie - East,11101,1640,34870,36510,376,7249,7626,63,948,1012,2076,43068,45146
Lake Macquarie - West,11102,1370,20868,22233,262,3982,4237,47,625,674,1678,25464,27146
Newcastle,11103,2365,48705,51065,537,9979,10519,108,1519,1626,3008,60198,63212
Richmond Valley - Coastal,11201,768,23310,24084,233,4326,4554,43,903,951,1048,28542,29589
Richmond Valley - Hinterland,11202,1124,18702,19826,498,5120,5618,71,757,825,1694,24577,26275
Tweed Valley,11203,1284,26179,27462,305,6190,6492,62,1072,1131,1652,33438,35089
Griffith - Murrumbidgee (West),11301,816,11096,11913,419,3552,3974,59,530,590,1286,15183,16474
Tumut - Tumbarumba,11302,200,3622,3820,79,1328,1411,14,154,167,287,5109,5403
Wagga Wagga,11303,1479,24358,25839,535,6224,6761,94,941,1038,2117,31523,33640
Shoalhaven,11401,1844,27701,29544,488,6887,7380,92,1108,1206,2427,35702,38127
Southern Highlands,11402,369,14617,14982,65,2300,2363,10,411,422,439,17325,17770
Baulkham Hills,11501,237,41256,41498,16,2497,2520,3,695,706,264,44456,44721
Dural - Wisemans Ferry,11502,75,6960,7035,8,654,663,4,167,170,90,7777,7867
Hawkesbury,11503,276,6429,6707,33,746,776,8,166,174,313,7339,7649
Rouse Hill - McGraths Hill,11504,164,8623,8789,16,579,596,5,195,192,187,9390,9577
