sa3_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,sa3_name16
10102,4073.0,4058.0,3996.0,3585.0,3650.0,48.0,48.0,49.0,49.0,50.0,7220886.0,6782050.0,7567677.0,8184576.0,10128076.0,100.0,94.0,109.0,90.0,124.0,1773.0,1671.0,1894.0,2283.0,2775.0,0.4,0.4,0.5,0.5,0.4,Queanbeyan
10103,1324.0,1317.0,1327.0,1177.0,1124.0,52.0,52.0,52.0,53.0,53.0,2964222.0,2467547.0,2656189.0,3249324.0,3344913.0,85.0,77.0,86.0,91.0,105.0,2239.0,1874.0,2002.0,2761.0,2976.0,0.7,0.7,0.6,0.8,0.8,Snowy Mountains
10104,4612.0,4750.0,4500.0,4016.0,3879.0,56.0,56.0,56.0,57.0,58.0,11020455.0,11990398.0,13845747.0,14072556.0,14846604.0,110.0,117.0,126.0,124.0,171.0,2390.0,2524.0,3077.0,3504.0,3827.0,0.9,0.9,0.9,0.9,0.8,South Coast
10105,2035.0,1992.0,1864.0,1727.0,1671.0,51.0,52.0,52.0,53.0,53.0,2864897.0,1996156.0,2128244.0,2508884.0,3315754.0,70.0,64.0,72.0,70.0,98.0,1408.0,1002.0,1142.0,1453.0,1984.0,0.5,0.3,0.4,0.3,0.5,Goulburn - Mulwaree
10106,2663.0,2734.0,2704.0,2312.0,2114.0,50.0,50.0,51.0,51.0,52.0,5118183.0,5095682.0,3920328.0,4264006.0,4757909.0,77.0,70.0,86.0,81.0,100.0,1922.0,1864.0,1450.0,1844.0,2251.0,0.6,0.6,0.5,0.4,0.4,Young - Yass
10201,12098.0,12179.0,11754.0,10337.0,10521.0,54.0,53.0,53.0,54.0,55.0,31329484.0,31291046.0,34834495.0,32864219.0,38543700.0,122.0,115.0,147.0,140.0,156.0,2590.0,2569.0,2964.0,3179.0,3664.0,0.8,0.8,0.8,0.8,0.8,Gosford
10202,7304.0,7848.0,7372.0,6401.0,6681.0,52.0,51.0,51.0,52.0,52.0,12919547.0,14238591.0,14114180.0,14423133.0,15353966.0,117.0,104.0,124.0,114.0,124.0,1769.0,1814.0,1915.0,2253.0,2298.0,0.5,0.5,0.5,0.5,0.5,Wyong
10301,2679.0,2800.0,2636.0,2584.0,2432.0,52.0,52.0,52.0,52.0,53.0,4359986.0,5163009.0,4842144.0,5518787.0,7345464.0,81.0,76.0,80.0,87.0,89.0,1627.0,1844.0,1837.0,2136.0,3020.0,0.4,0.5,0.4,0.4,0.4,Bathurst
10302,3530.0,3606.0,3662.0,3097.0,2895.0,52.0,52.0,52.0,52.0,53.0,4086835.0,3582565.0,4086481.0,3911914.0,3818875.0,64.0,51.0,65.0,62.0,82.0,1158.0,994.0,1116.0,1263.0,1319.0,0.3,0.5,0.4,0.4,0.4,Lachlan Valley
10303,2368.0,2380.0,2339.0,2131.0,2180.0,52.0,52.0,52.0,52.0,53.0,4133793.0,3625810.0,4535815.0,3886338.0,4469483.0,83.0,82.0,89.0,76.0,85.0,1746.0,1523.0,1939.0,1824.0,2050.0,0.5,0.5,0.5,0.4,0.5,Lithgow - Mudgee
