gml_id,sa3_name16,sa3_code16,r_0_74_lt_real_estate_agent,r_0_74_lt_ste_terr_hsg_auth,r_0_74_lt_psn_not_sme_hhd,r_0_74_lt_hs_coop_com_ch_g,r_0_74_lt_other_lld_type,r_0_74_lt_lld_type_ns,r_0_74_tot,r_75_99_lt_real_estate_agent,r_75_99_lt_ste_terr_hsg_auth,r_75_99_lt_psn_not_sme_hhd,r_75_99_lt_hs_coop_com_ch_g,r_75_99_lt_other_lld_type,r_75_99_lt_lld_type_ns,r_75_99_tot,r_100_149_lt_real_este_agent,r_100_149_lt_st_ter_hsg_aut,r_100_149_lt_psn_not_sme_hhd,r_100_149_lt_hs_coop_com_ch_g,r_100_149_lt_other_lld_type,r_100_149_lt_lld_type_ns,r_100_149_tot,r_150_199_lt_real_este_agent,r_150_199_lt_ste_ter_hsg_aut,r_150_199_lt_psn_not_sme_hhd,r_150_199_lt_hs_coop_com_ch_g,r_150_199_lt_other_lld_type,r_150_199_lt_lld_type_ns,r_150_199_tot,r_200_224_lt_real_este_agent,r_200_224_lt_ste_ter_hsg_aut,r_200_224_lt_psn_not_sme_hhd,r_200_224_lt_hs_coop_com_ch_g,r_200_224_lt_other_lld_type,r_200_224_lt_lld_type_ns,r_200_224_tot,r_225_274_lt_real_este_agent,r_225_274_lt_ste_ter_hsg_aut,r_225_274_lt_psn_not_sme_hhd,r_225_274_lt_hs_coop_com_ch_g,r_225_274_lt_other_lld_type,r_225_274_lt_lld_type_ns,r_225_274_tot,r_275_349_lt_real_este_agent,r_275_349_lt_ste_ter_hsg_aut,r_275_349_lt_psn_not_sme_hhd,r_275_349_lt_hs_coop_com_ch_g,r_275_349_lt_other_lld_type,r_275_349_lt_lld_type_ns,r_275_349_tot,r_350_449_lt_real_este_agent,r_350_449_lt_ste_ter_hsg_aut,r_350_449_lt_psn_not_sme_hhd,r_350_449_lt_hs_coop_com_ch_g,r_350_449_lt_other_lld_type,r_350_449_lt_lld_type_ns,r_350_449_tot,r_450_549_lt_real_este_agent,r_450_549_lt_ste_ter_hsg_aut,r_450_549_lt_psn_not_sme_hhd,r_450_549_lt_hs_coop_com_ch_g,r_450_549_lt_other_lld_type,r_450_549_lt_lld_type_ns,r_450_549_tot,r_550_649_lt_real_este_agent,r_550_649_lt_ste_ter_hsg_aut,r_550_649_lt_psn_not_sme_hhd,r_550_649_lt_hs_coop_com_ch_g,r_550_649_lt_other_lld_type,r_550_649_lt_lld_type_ns,r_550_649_tot,r_650_749_lt_real_este_agent,r_650_749_lt_ste_ter_hsg_aut,r_650_749_lt_psn_not_sme_hhd,r_650_749_lt_hs_coop_com_ch_g,r_650_749_lt_other_lld_type,r_650_749_lt_lld_type_ns,r_650_749_tot,r_750_849_lt_real_este_agent,r_750_849_lt_ste_ter_hsg_aut,r_750_849_lt_psn_not_sme_hhd,r_750_849_lt_hs_coop_com_ch_g,r_750_849_lt_other_lld_type,r_750_849_lt_lld_type_ns,r_750_849_tot,r_850_949_lt_real_estat_agent,r_850_949_lt_ste_ter_hsg_aut,r_850_949_lt_psn_not_sme_hhd,r_850_949_lt_hs_coop_com_ch_g,r_850_949_lt_other_lld_type,r_850_949_lt_lld_type_ns,r_850_949_tot,r_950_over_lt_real_este_agent,r_950_over_lt_ste_ter_hsg_aut,r_950_over_lt_psn_not_sme_hhd,r_950_ovr_lt_hs_coop_com_ch_g,r_950_over_lt_other_lld_type,r_950_over_lt_lld_type_ns,r_950_over_tot,rent_ns_lt_real_este_agent,rent_ns_lt_ste_ter_hsg_auth,rent_ns_lt_psn_not_sme_hhd,rent_ns_lt_hs_coop_com_ch_g,rent_ns_lt_other_lld_type,rent_ns_lt_lld_type_ns,rent_ns_tot,tot_lt_real_este_agent,tot_lt_ste_ter_hsg_auth,tot_lt_psn_not_sme_hhd,tot_lt_hs_coop_com_ch_g,tot_lt_other_lld_type,tot_lt_lld_type_ns,tot_tot
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aaf,Queanbeyan,"10102","7","21","73","4","27","74","216","5","23","6","0","7","0","40","24","182","39","13","19","0","266","265","130","96","37","16","4","541","343","55","71","13","11","3","495","498","60","143","10","118","3","829","648","47","206","10","164","0","1072","943","71","269","6","54","4","1345","375","8","145","0","15","0","545","175","0","45","0","10","0","232","61","0","15","0","5","0","77","21","0","6","0","0","0","31","11","0","3","0","0","0","10","9","0","5","0","3","0","14","51","37","35","10","21","7","158","3424","631","1164","101","454","109","5878"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aae,Snowy Mountains,"10103","10","6","85","0","51","79","225","4","4","14","3","7","0","45","63","24","53","8","17","3","176","140","17","101","8","21","3","297","102","10","82","9","23","0","228","216","19","96","3","13","0","361","173","3","67","0","16","0","265","141","0","45","0","18","0","202","27","0","4","0","3","0","37","17","0","5","0","6","0","32","15","0","9","0","4","3","34","12","0","7","0","7","0","23","19","0","9","0","11","0","31","90","0","46","0","54","0","189","20","6","49","0","27","0","106","1050","92","685","40","287","95","2247"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aad,South Coast,"10104","5","20","184","3","56","154","431","4","31","15","15","15","0","78","47","240","158","55","32","12","542","281","167","246","64","61","9","822","320","62","265","16","32","7","704","757","67","338","18","31","12","1227","1067","84","408","10","35","11","1622","778","10","213","7","21","4","1030","76","0","32","0","10","0","116","9","0","7","0","4","0","16","3","0","3","0","3","0","12","3","0","7","0","7","0","14","3","0","4","0","0","0","3","12","0","10","0","5","0","25","63","44","90","12","38","7","262","3413","740","1986","211","351","219","6922"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aac,Goulburn - Mulwaree,"10105","12","42","98","7","45","78","277","3","33","15","12","0","0","63","49","193","59","31","24","3","363","177","113","110","39","16","12","465","150","38","112","5","7","3","312","368","51","119","3","15","3","561","644","30","163","3","20","4","862","373","8","77","0","9","3","467","56","0","14","0","0","0","68","5","0","3","0","0","0","11","0","0","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","6","39","29","37","12","20","0","138","1871","539","805","108","164","108","3596"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aab,Young - Yass,"10106","3","6","149","3","90","130","389","4","4","6","15","11","0","42","53","32","97","26","18","7","228","190","67","128","21","26","4","428","144","34","129","3","19","4","337","341","31","124","4","18","0","518","324","18","135","0","7","3","489","171","0","76","0","11","3","265","39","0","35","0","3","0","84","21","0","15","0","0","0","40","6","0","5","0","0","0","13","0","0","3","0","0","0","9","4","0","0","0","0","0","3","3","0","4","0","0","0","12","18","12","46","11","41","0","138","1317","216","960","83","244","162","2984"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aaa,Gosford,"10201","10","90","213","16","37","189","561","4","72","17","10","9","7","115","25","797","84","65","36","16","1031","154","319","162","103","70","12","821","215","146","226","27","31","8","649","597","120","292","28","57","12","1108","1970","172","559","15","51","19","2791","4378","83","801","10","37","14","5328","1887","9","297","9","17","8","2219","687","5","99","0","6","3","795","244","4","27","0","0","0","281","99","0","22","0","0","0","117","33","0","8","0","0","0","45","50","0","15","0","3","3","70","135","116","137","30","28","17","461","10497","1934","2951","322","386","305","16391"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa9,Wyong,"10202","12","63","187","13","30","143","458","9","64","7","30","5","0","117","27","579","72","30","58","6","769","193","340","189","107","190","17","1039","272","166","227","39","67","6","770","694","126","384","60","65","10","1333","2833","171","826","24","61","22","3945","4240","61","731","11","54","15","5114","1604","5","211","0","19","6","1849","246","3","50","0","5","0","307","59","0","12","0","3","0","73","17","0","6","0","3","0","30","7","0","3","0","0","0","15","15","0","12","0","3","0","24","130","96","126","36","42","24","464","10366","1669","3049","351","617","258","16313"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa8,Bathurst,"10301","12","27","82","14","41","65","242","4","31","12","8","4","0","65","69","191","69","19","20","8","376","238","111","107","6","8","5","483","207","65","134","3","8","3","420","608","38","161","6","11","6","833","961","54","225","21","18","4","1281","765","12","105","17","5","3","906","87","0","8","0","0","0","96","10","0","5","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3","3","0","3","0","0","0","3","42","31","44","22","22","10","172","3010","562","954","118","143","108","4904"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa7,Lachlan Valley,"10302","3","46","270","53","181","201","757","13","36","48","26","25","0","157","230","282","268","58","57","10","913","563","186","405","54","69","18","1296","353","69","268","5","34","10","735","515","38","236","9","43","10","845","285","12","130","3","27","3","460","54","0","43","0","10","0","115","6","5","9","0","3","0","21","3","0","4","0","3","0","13","0","0","3","0","0","0","10","0","0","0","0","0","0","4","0","0","0","0","0","0","3","3","0","8","0","3","0","15","26","37","89","27","85","10","272","2071","711","1772","240","555","257","5601"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa6,Lithgow - Mudgee,"10303","19","40","149","4","71","119","397","3","24","13","0","0","0","43","63","191","86","3","13","3","365","266","156","162","24","23","8","644","232","72","150","9","20","3","478","499","69","174","6","22","3","775","756","59","148","3","18","4","993","486","15","71","3","3","3","576","76","0","16","0","3","0","100","13","0","0","0","0","0","13","3","0","0","0","0","0","3","0","0","0","0","3","0","5","0","0","0","0","0","0","0","0","0","7","0","0","0","12","40","43","50","3","28","14","185","2453","666","1030","60","209","156","4583"
datasource-AU_Govt_ABS_Census-UoM_AURIN_DB_2_sa3_p34_weekly_rent_by_landlord_type_census_2016.fid--7a4d496e_1724c35c6d1_-6aa5,Orange,"10304","13","42","138","9","54","90","351","3","42","7","17","7","0","78","69","283","76","31","14","7","477","310","200","130","22","18","4","684","353","79","156","10","8","9","619","788","78","191","8","21","7","1090","1117","57","217","5","23","3","1420","859","14","130","3","20","0","1031","103","3","25","0","3","0","140","20","3","10","0","3","0","30","4","0","3","0","3","0","9","3","0","0","0","0","0","7","0","0","0","0","0","0","0","3","0","3","0","0","0","11","55","54","72","13","39","3","236","3710","861","1154","119","207","127","6174"
