SA3_MAIN11,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons,SA3_NAME11
69999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (Tas.)
70101,2434,7264,303,593,1023,2328,1326,2921,787,1498,1083,2193,2136,4356,20,34,4026,8081,128,216,143,244,44,78,315,538,31,44,8132,18848,1408,0,9540,18848,Darwin City
70102,10937,33776,1700,3430,795,1756,2495,5186,1814,3721,515,1039,167,349,35,74,2531,5183,239,428,31,59,31,53,301,540,52,126,16316,44811,1282,0,17598,44811,Darwin Suburbs
70103,4706,13660,203,574,13,40,216,614,83,159,0,0,0,0,3,3,86,162,392,859,66,126,5,19,463,1004,14,30,5485,15470,393,0,5878,15470,Litchfield
79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (NT)
79999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (NT)
50601,19513,53157,1253,2423,51,83,1304,2506,1003,1896,32,50,3,3,7,15,1045,1964,87,112,4,19,9,21,100,152,6,8,21968,57787,2022,0,23990,57787,Armadale
50604,32821,93022,1662,3026,82,217,1744,3243,1327,2371,40,78,0,0,10,16,1377,2465,109,140,0,0,39,97,148,237,12,27,36102,98994,2536,0,38638,98994,Gosnells
50605,17798,47919,691,1128,77,231,768,1359,214,299,3,4,9,22,4,16,230,341,64,103,4,3,7,12,75,118,0,3,18871,49740,1474,0,20345,49740,Kalamunda
50606,5600,16329,20,38,0,0,20,38,3,10,0,0,0,0,11,20,14,30,13,17,10,26,3,7,26,50,4,7,5664,16454,595,0,6259,16454,Serpentine - Jarrahdale
50607,8310,21967,2331,4058,2132,4221,4463,8279,1330,2277,1090,1745,1048,1811,11,14,3479,5847,0,0,0,4,0,0,0,4,4,5,16256,36102,2289,0,18545,36102,South Perth
70104,6783,20935,760,1484,187,478,947,1962,821,1620,90,206,91,201,9,9,1011,2036,8,19,24,49,12,28,44,96,9,16,8794,25045,757,0,9551,25045,Palmerston
70202,1040,4298,59,99,8,13,67,112,108,182,3,4,0,0,0,5,111,191,88,238,22,47,10,23,120,308,23,70,1361,4979,368,0,1729,4979,Barkly
70203,2742,12721,21,59,3,0,24,59,277,583,0,0,0,0,0,0,277,583,242,557,69,166,3,7,314,730,24,50,3381,14143,923,0,4304,14143,Daly - Tiwi - West Arnhem
70204,2180,11953,163,329,5,10,168,339,260,448,0,0,0,0,3,0,263,448,5,11,6,38,3,3,14,52,17,40,2642,12832,603,0,3245,12832,East Arnhem
70201,6966,24196,975,1895,418,834,1393,2729,1413,2694,22,34,0,0,4,8,1439,2736,385,729,118,272,56,98,559,1099,52,132,10409,30892,2109,0,12518,30892,Alice Springs
70205,3400,13473,194,412,50,80,244,492,331,730,12,15,0,0,0,0,343,745,268,578,64,124,12,25,344,727,41,93,4372,15530,753,0,5125,15530,Katherine
80101,25695,70812,3669,6782,1260,2880,4929,9662,1011,1805,761,1365,850,1506,95,164,2717,4840,0,6,0,0,0,6,0,12,16,36,33357,85362,2251,0,35608,85362,Belconnen
80102,175,488,0,7,0,0,0,7,3,0,0,0,0,0,0,0,3,0,3,4,0,0,3,4,6,8,0,0,184,503,23,0,207,503,Cotter - Namadgi
80103,263,577,19,28,7,11,26,39,52,55,22,24,0,0,3,7,77,86,177,267,0,0,0,0,177,267,0,5,543,974,81,0,624,974,Fyshwick - Pialligo - Hume
80104,11453,34875,2173,4977,1743,4393,3916,9370,161,346,231,417,193,328,17,24,602,1115,5,3,0,3,11,37,16,43,0,3,15987,45406,1161,0,17148,45406,Gungahlin
80105,9345,24035,875,1599,1702,3702,2577,5301,1765,2878,2061,3384,1883,3179,83,129,5792,9570,4,10,0,3,6,5,10,18,14,23,17738,38947,1838,0,19576,38947,North Canberra
80106,5319,14062,445,747,534,1201,979,1948,916,1572,1382,2402,1071,1783,16,22,3385,5779,0,0,0,3,4,5,4,8,4,3,9691,21800,1396,0,11087,21800,South Canberra
80107,26031,74686,2746,5400,763,1747,3509,7147,391,690,280,472,68,127,42,75,781,1364,3,0,0,0,3,8,6,8,8,24,30335,83229,1657,0,31992,83229,Tuggeranong
80108,7172,19057,880,1390,257,548,1137,1938,232,391,50,52,0,0,22,41,304,484,0,0,4,3,4,4,8,7,4,16,8625,21502,604,0,9229,21502,Weston Creek
80109,8815,23627,1069,1877,667,1371,1736,3248,856,1375,1046,1738,452,772,57,90,2411,3975,0,0,0,0,0,0,0,0,3,13,12965,30863,1184,0,14149,30863,Woden
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
89999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (ACT)
90101,184,527,62,131,7,15,69,146,88,176,111,294,8,15,0,0,207,485,0,0,0,0,3,8,3,8,3,4,466,1170,67,0,533,1170,Christmas Island
90102,141,531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,531,8,0,149,531,Cocos (Keeling) Islands
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (OT)
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Special Purpose Codes SA3 (OT)
