sa3_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa3_name16
10102,32818.0,43.0,2106331431.0,56376.0,64182.0,3.77,1.66,0.44,0.22,0.405,5.8,17.1,27.3,17.5,21.3,28.1,33.1,Queanbeyan
10103,10555.0,46.0,481980250.0,38554.0,45664.0,4.84,1.82,0.38,0.16,0.457,6.6,18.9,29.9,29.2,29.0,24.9,16.8,Snowy Mountains
10104,36071.0,51.0,1487468705.0,33504.0,41237.0,5.39,1.86,0.35,0.12,0.48100000000000004,7.8,20.5,31.8,33.6,31.1,21.8,13.5,South Coast
10105,17751.0,46.0,854503110.0,40558.0,48138.0,4.76,1.84,0.39,0.15,0.45399999999999996,7.1,18.4,29.1,27.0,27.9,25.3,19.8,Goulburn - Mulwaree
10106,19154.0,46.0,996397765.0,42164.0,52020.0,5.02,1.89,0.38,0.14,0.478,7.2,20.1,31.2,26.5,26.5,24.1,22.9,Young - Yass
10201,89929.0,46.0,4768274443.0,41796.0,53023.0,5.03,1.91,0.38,0.16,0.46799999999999997,8.0,20.7,31.7,26.8,26.4,24.1,22.7,Gosford
10202,74745.0,43.0,3595171689.0,41021.0,48099.0,4.33,1.77,0.41,0.18,0.42700000000000005,5.9,17.5,28.2,25.8,28.9,26.7,18.6,Wyong
10301,23300.0,44.0,1208364377.0,43730.0,51861.0,4.67,1.83,0.39,0.17,0.439,5.9,17.6,28.3,25.2,25.9,25.6,23.4,Bathurst
10302,28133.0,46.0,1239136002.0,36665.0,44046.0,5.57,1.92,0.34,0.11,0.49700000000000005,6.6,19.4,31.1,31.2,28.9,22.6,17.3,Lachlan Valley
10303,22085.0,45.0,1167485977.0,40090.0,52863.0,6.34,2.18,0.34,0.12,0.498,5.9,18.7,31.3,29.0,26.0,20.2,24.8,Lithgow - Mudgee
10304,29655.0,43.0,1617053919.0,44980.0,54529.0,4.77,1.85,0.39,0.16,0.455,7.4,19.2,29.9,24.7,25.0,25.6,24.6,Orange
