sa3_code16,p_noni_35_44_ptgdde_gddp_gdct,p_noni_35_44_bdl,p_noni_35_44_adip_dipl,p_noni_35_44_ct_iii_iv,p_noni_35_44_ct_i_ii,p_noni_35_44_cl_nfd,p_noni_35_44_loe_ns,p_noni_35_44_tot,p_noni_45_54_ptgdde_gddp_gdct,p_noni_45_54_bdl,p_noni_45_54_adip_dipl,p_noni_45_54_ct_iii_iv,p_noni_45_54_ct_i_ii,p_noni_45_54_cl_nfd,p_noni_45_54_loe_ns,p_noni_45_54_tot,p_noni_55_64_ptgdde_gddp_gdct,p_noni_55_64_bdl,p_noni_55_64_adip_dipl,p_noni_55_64_ct_iii_iv,p_noni_55_64_ct_i_ii,p_noni_55_64_cl_nfd,p_noni_55_64_loe_ns,p_noni_55_64_tot,p_noni_65ov_ptgdde_gddp_gdct,p_noni_65ov_bdl,p_noni_65ov_adip_dipl,p_noni_65ov_ct_iii_iv,p_noni_65ov_ct_i_ii,p_noni_65ov_cl_nfd,p_noni_65ov_loe_ns,p_noni_65ov_tot,p_noni_tot_ptgdde_gddp_gdct,p_noni_tot_bdl,p_noni_tot_adip_dipl,p_noni_tot_ct_iii_iv,p_noni_tot_ct_i_ii,p_noni_tot_cl_nfd,p_noni_tot_loe_ns,p_noni_tot_tot,p_is_ns_15_19_pgdde_gddp_gdct,p_is_ns_15_19_bdl,p_is_ns_15_19_adip_dipl,p_is_ns_15_19_ct_iii_and_iv_l,p_is_ns_15_19_ct_i_ii,p_is_ns_15_19_cl_nfd,p_is_ns_15_19_loe_ns,p_is_ns_15_19_tot,p_is_ns_20_24_pgde_gddp_gdctl,p_is_ns_20_24_bdl,p_is_ns_20_24_adip_dipl,p_is_ns_20_24_ct_iii_and_iv_l,p_is_ns_20_24_ct_i_ii,p_is_ns_20_24_cl_nfd,p_is_ns_20_24_loe_ns,p_is_ns_20_24_tot,p_is_ns_25_34_pgde_gddp_gdctl,p_is_ns_25_34_bdl,p_is_ns_25_34_adip_dipl,p_is_ns_25_34_ct_iii_and_iv_l,p_is_ns_25_34_ct_i_ii,p_is_ns_25_34_cl_nfd,p_is_ns_25_34_loe_ns,p_is_ns_25_34_tot,p_is_ns_35_44_pgde_gddp_gdctl,p_is_ns_35_44_bdl,p_is_ns_35_44_adip_dipl,p_is_ns_35_44_ct_iii_and_iv_l,p_is_ns_35_44_ct_i_ii,p_is_ns_35_44_cl_nfd,p_is_ns_35_44_loe_ns,p_is_ns_35_44_tot,p_is_ns_45_54_pgde_gddp_gdctl,p_is_ns_45_54_bdl,p_is_ns_45_54_adip_dipl,p_is_ns_45_54_ct_iii_and_iv_l,p_is_ns_45_54_ct_i_ii,p_is_ns_45_54_cl_nfd,p_is_ns_45_54_loe_ns,p_is_ns_45_54_tot,p_is_ns_55_64_pgde_gddp_gdctl,p_is_ns_55_64_bdl,p_is_ns_55_64_adip_dipl,p_is_ns_55_64_crt_iii_and_iv,p_is_ns_55_64_ct_i_ii,p_is_ns_55_64_cl_nfd,p_is_ns_55_64_loe_ns,p_is_ns_55_64_tot,p_is_ns_65ov_pgdde_gddp_gdct,p_is_ns_65ov_bdl,p_is_ns_65ov_adip_dipl,p_is_ns_65ov_crt_iii_and_iv,p_is_ns_65ov_ct_i_ii,p_is_ns_65ov_cl_nfd,p_is_ns_65ov_loe_ns,p_is_ns_65ov_tot,p_is_ns_totpdde_gddp_gdct,p_is_ns_tot_bdl,p_is_ns_tot_adip_dipl,p_is_ns_tot_ct_iii_iv,p_is_ns_tot_ct_i_ii,p_is_ns_tot_cl_nfd,p_is_ns_tot_loe_ns,p_is_ns_tot_tot,p_tot_15_19_pgde_gddp_gdctl,p_tot_15_19_bdl,p_tot_15_19_adip_dipl,p_tot_15_19_ct_iii_and_iv_l,p_tot_15_19_ct_i_ii,p_tot_15_19_cl_nfd,p_tot_15_19_loe_ns,p_tot_15_19_tot,p_tot_20_24_pgde_gddp_gdctl,p_tot_20_24_bdl,p_tot_20_24_adip_dipl,p_tot_20_24_ct_iii_and_iv_l,p_tot_20_24_ct_i_ii,p_tot_20_24_cl_nfd,p_tot_20_24_loe_ns,p_tot_20_24_tot,p_tot_25_34_pgde_gddp_gdctl,p_tot_25_34_bdl,p_tot_25_34_adip_dipl,p_tot_25_34_ct_iii_and_iv_l,p_tot_25_34_ct_i_ii,p_tot_25_34_cl_nfd,p_tot_25_34_loe_ns,p_tot_25_34_tot,p_tot_35_44_pgde_gddp_gdctl,p_tot_35_44_bdl,p_tot_35_44_adip_dipl,p_tot_35_44_ct_iii_and_iv_l,p_tot_35_44_ct_i_ii,p_tot_35_44_cl_nfd,p_tot_35_44_loe_ns,p_tot_35_44_tot,p_tot_45_54_pgde_gddp_gdctl,p_tot_45_54_bdl,p_tot_45_54_adip_dipl,p_tot_45_54_ct_iii_and_iv_l,p_tot_45_54_ct_i_ii,p_tot_45_54_cl_nfd,p_tot_45_54_loe_ns,p_tot_45_54_tot,p_tot_55_64_pgde_gddp_gdctl,p_tot_55_64_bdl,p_tot_55_64_adip_dipl,p_tot_55_64_ct_iii_and_iv_l,p_tot_55_64_ct_i_ii,p_tot_55_64_cl_nfd,p_tot_55_64_loe_ns,p_tot_55_64_tot,p_tot_65ov_ptgdde_gddp_gdct,p_tot_65ov_bdl,p_tot_65ov_adip_dipl,p_tot_65ov_ct_iii_and_iv_l,p_tot_65ov_ct_i_ii,p_tot_65ov_cl_nfd,p_tot_65ov_loe_ns,p_tot_65ov_tot,p_tot_tot_pgde_gddp_gdctl,p_tot_tot_bdl,p_tot_tot_adip_dipl,p_tot_tot_ct_iii_and_iv_l,p_tot_tot_ct_i_ii,p_tot_tot_cl_nfd,p_tot_tot_loe_ns,p_tot_tot_tot,sa3_name16
80103,6,18,15,21,3,4,99,168,15,13,14,43,0,9,51,145,15,15,15,34,0,4,35,123,10,15,11,25,0,3,24,88,45,93,66,156,11,26,385,783,0,0,0,0,0,0,7,7,0,0,0,0,0,0,10,10,0,0,0,0,0,0,25,28,0,0,0,0,0,0,16,16,0,0,0,0,0,0,35,41,0,0,0,0,0,0,33,30,0,0,0,0,0,0,41,41,0,0,4,0,0,0,162,174,0,0,0,0,0,0,14,17,0,5,0,9,3,0,76,100,4,23,11,24,3,7,193,264,6,18,15,20,3,4,136,209,15,17,20,47,0,9,96,196,15,15,14,38,0,4,65,152,10,14,11,24,0,3,61,124,45,94,74,159,11,26,651,1067,Canberra East
80104,2950,3448,1677,1490,92,196,260,10116,1568,1825,1184,1037,63,166,194,6028,865,863,623,574,44,132,160,3248,366,537,361,421,18,113,257,2065,8163,11928,5718,6188,491,778,1297,34560,0,0,0,3,0,0,134,139,0,5,0,3,0,0,233,239,7,16,3,3,0,0,604,636,10,11,4,3,0,0,504,540,3,13,0,5,0,0,352,368,3,0,0,0,0,0,205,212,4,3,5,0,0,0,148,158,23,41,15,19,3,0,2180,2290,3,3,26,157,57,16,215,477,115,954,329,653,90,51,329,2523,2313,4352,1562,1918,136,111,862,11267,2977,3478,1696,1521,94,194,770,10732,1584,1845,1194,1050,63,168,545,6452,870,868,631,576,44,130,372,3489,371,539,368,424,18,117,405,2236,8236,12041,5806,6310,504,789,3493,37177,Gungahlin
80105,2234,2055,481,401,31,77,116,5402,1786,1539,502,411,29,85,122,4473,1283,1192,367,299,19,82,106,3354,977,1049,447,377,25,146,457,3471,9504,12269,2672,2656,274,486,1176,29040,0,0,0,0,0,0,180,180,0,0,3,0,0,0,456,461,7,13,0,4,0,0,909,934,6,6,3,0,0,0,493,512,3,11,3,3,0,0,390,409,8,10,3,0,0,0,280,299,3,7,6,4,0,0,445,463,24,39,17,16,0,3,3166,3263,6,7,21,100,55,10,263,466,191,2000,246,425,78,30,594,3565,3054,4494,636,680,49,51,1076,10039,2248,2069,493,407,38,81,616,5957,1794,1559,512,422,28,86,519,4931,1296,1198,375,307,19,81,390,3672,985,1057,448,378,28,147,905,3949,9577,12394,2733,2726,294,496,4358,32577,North Canberra
80106,1129,1196,279,216,16,37,51,2927,1255,1082,318,271,23,55,90,3089,952,944,317,204,13,69,90,2582,817,1063,401,214,20,98,593,3200,5381,6588,1637,1295,119,283,911,16215,0,0,0,0,0,0,49,49,0,0,0,0,0,0,104,108,0,7,0,3,0,0,388,395,3,3,3,0,0,0,228,240,4,3,0,0,0,0,248,266,0,0,0,3,0,5,221,228,3,7,5,0,0,0,268,284,13,20,12,9,0,6,1506,1567,0,0,8,16,8,3,73,110,50,435,54,114,11,15,113,793,1188,1890,271,287,25,14,453,4126,1134,1206,284,230,16,39,279,3184,1259,1087,329,286,23,63,341,3380,958,943,318,211,13,67,309,2827,816,1067,405,212,27,93,862,3490,5407,6630,1667,1348,130,295,2435,17914,South Canberra
80107,1322,2530,1496,1998,128,204,229,7905,1376,2116,1730,1999,113,290,326,7950,1301,1930,1441,1646,101,365,379,7163,713,1300,951,1131,79,327,878,5377,5608,10879,7237,10342,817,1401,2244,38523,0,0,0,0,0,0,174,177,0,0,0,5,3,0,206,216,3,6,11,13,0,0,430,461,0,7,8,14,0,0,433,454,6,7,14,10,0,8,474,516,0,7,4,6,0,0,439,458,3,0,3,13,0,0,470,491,7,33,31,54,3,11,2634,2781,0,6,21,196,103,21,311,664,63,578,348,981,145,71,309,2494,851,2460,1311,2534,176,139,653,8122,1332,2576,1537,2058,137,210,668,8523,1398,2162,1791,2041,118,301,812,8615,1309,1953,1455,1676,103,367,826,7693,715,1308,956,1148,79,327,1358,5891,5673,11042,7427,10637,860,1435,4934,42008,Tuggeranong
80108,738,1034,381,343,14,47,72,2621,621,763,412,367,21,63,63,2321,542,573,277,253,8,74,67,1799,478,783,467,435,29,146,480,2824,2751,4071,1794,1940,135,372,766,11835,0,0,0,0,0,0,35,35,0,0,0,0,0,0,30,37,0,3,3,3,0,0,133,139,3,6,0,3,0,0,137,154,5,0,0,3,0,0,114,122,3,3,0,4,0,0,110,119,4,4,3,3,0,0,226,235,11,15,10,15,3,0,779,836,0,3,3,34,14,3,66,126,5,127,52,160,22,15,45,432,367,799,194,364,31,26,170,1950,745,1056,383,345,14,45,210,2803,634,773,420,376,21,63,181,2468,547,571,287,261,8,74,180,1937,484,789,473,448,32,146,709,3071,2778,4119,1828,1984,138,376,1570,12788,Weston Creek
80109,1196,1584,480,374,24,42,101,3801,1197,1348,517,418,29,84,80,3666,930,1066,403,285,22,80,88,2882,871,1288,654,513,41,215,522,4111,5046,7515,2572,2227,195,476,936,18966,0,0,3,0,0,0,69,67,0,0,0,0,0,0,94,96,0,7,3,0,0,0,307,313,5,6,0,0,0,0,230,241,3,4,0,0,0,0,225,235,3,5,0,0,0,0,194,201,3,3,3,4,0,0,356,372,16,22,15,7,0,7,1472,1533,0,3,10,35,16,5,103,170,37,427,102,216,23,22,126,954,822,1822,419,404,34,32,404,3921,1203,1594,489,377,23,42,331,4066,1203,1360,533,427,25,87,304,3936,941,1084,409,284,22,84,287,3114,878,1291,664,517,41,216,880,4488,5087,7580,2619,2265,195,484,2428,20654,Woden Valley
80110,240,317,85,61,4,9,12,731,93,103,57,30,0,10,12,314,41,38,22,32,0,8,7,153,27,37,18,14,0,3,14,110,641,1105,333,301,30,46,94,2554,0,0,0,0,0,0,7,7,0,0,0,0,0,0,26,26,0,3,0,0,0,0,111,114,0,0,0,0,0,0,57,57,0,0,0,0,0,0,24,24,0,0,0,0,0,0,19,19,0,0,0,0,0,0,10,6,0,3,0,0,0,0,262,262,0,0,0,7,0,3,17,23,12,94,18,39,14,5,40,214,225,516,135,121,17,6,133,1159,240,319,81,61,4,9,74,793,93,103,57,33,0,10,36,342,44,38,22,32,0,8,31,179,27,41,18,14,0,3,21,123,648,1108,341,305,34,46,349,2835,Molonglo
80111,19,21,20,23,0,0,3,89,8,11,15,13,0,0,0,57,11,3,7,12,0,0,0,43,8,6,3,8,0,0,0,20,50,65,60,103,0,6,12,292,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,12,15,0,0,0,0,0,0,7,7,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,41,0,0,0,0,0,0,8,8,0,0,0,11,0,0,0,16,8,16,11,37,0,0,12,82,19,27,19,23,0,0,17,99,8,11,15,13,0,0,7,61,11,3,7,12,0,0,10,48,8,6,3,8,0,0,0,23,50,66,64,100,0,6,56,339,Urriarra - Namadgi
90101,17,33,30,54,3,3,66,208,15,21,21,51,5,4,46,163,9,9,14,38,0,6,24,99,7,6,3,13,4,0,13,42,59,97,89,217,27,19,301,809,0,0,0,0,0,0,8,8,0,0,0,0,0,0,14,14,0,0,0,0,0,0,41,45,0,0,0,0,0,0,22,22,0,0,0,0,0,0,48,47,0,0,0,0,0,0,48,48,0,0,0,0,0,0,31,29,0,0,0,3,0,0,209,216,0,0,0,3,3,0,19,27,3,3,0,12,5,0,54,77,17,26,20,49,9,9,143,263,17,31,30,54,3,3,90,234,15,18,21,51,5,4,94,215,9,9,14,45,0,6,73,151,7,6,3,12,4,0,43,71,59,96,89,222,27,22,517,1027,Christmas Island
90102,3,10,7,9,0,4,8,39,3,4,7,8,0,0,8,31,0,7,3,17,3,0,4,31,0,4,0,4,0,0,9,12,9,34,20,65,9,11,36,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,3,0,0,0,0,0,0,7,7,0,0,0,0,0,0,4,4,0,0,0,0,0,0,24,26,0,0,0,4,3,0,6,14,0,0,0,3,0,0,3,11,3,7,6,16,7,0,6,50,3,10,7,13,0,4,4,42,3,4,7,14,0,0,11,37,0,7,3,17,3,0,12,42,0,4,0,4,0,0,16,20,9,34,20,65,9,14,63,216,Cocos (Keeling) Islands
