sa3_name16,sa3_code16,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Queanbeyan,10102,22,39,38,661,937,930,1561,1890,1878,2167,2080,2080,290,300,300,1.0,0.8,0.8,3.1,2.5,2.6,6.5,2.5,2.7
Snowy Mountains,10103,30,44,44,575,671,669,1170,1176,1176,1333,1300,1300,240,220,220,0.9,0.8,0.8,2.7,2.3,2.3,5.2,1.9,2.0
South Coast,10104,22,53,52,411,530,524,944,961,961,1430,1378,1387,246,250,250,1.0,0.7,0.7,3.0,2.2,2.2,9.8,1.8,2.2
Goulburn - Mulwaree,10105,24,44,43,496,622,618,1218,1177,1178,1690,1517,1517,250,250,250,0.9,0.7,0.8,3.1,2.4,2.4,6.9,2.1,2.3
Young - Yass,10106,21,43,43,456,669,662,1072,1300,1288,1408,1586,1560,225,225,225,0.9,0.7,0.8,3.1,2.5,2.5,6.9,1.7,1.9
Gosford,10201,22,44,43,501,635,632,1358,1329,1330,1950,1900,1900,350,360,360,1.0,0.8,0.8,3.2,2.5,2.5,8.2,2.1,2.3
Wyong,10202,21,42,41,487,571,568,1291,1183,1190,1733,1733,1733,340,340,340,1.0,0.8,0.8,3.3,2.5,2.5,8.4,2.5,2.9
Bathurst,10301,22,39,38,488,649,642,1114,1314,1301,1652,1634,1638,280,270,270,1.0,0.7,0.8,3.1,2.5,2.5,7.0,1.9,2.2
Lachlan Valley,10302,22,46,44,427,557,543,948,1036,1025,1083,1127,1108,175,175,175,1.0,0.7,0.7,3.0,2.3,2.4,7.0,1.7,2.3
Lithgow - Mudgee,10303,22,45,44,441,537,529,1121,1047,1054,1517,1517,1517,250,240,245,1.0,0.7,0.8,3.0,2.3,2.4,6.3,2.0,2.3
Orange,10304,20,40,38,481,673,663,1207,1322,1314,1517,1608,1603,250,260,260,1.0,0.8,0.8,3.2,2.5,2.5,7.2,1.6,1.9
Clarence Valley,10401,22,51,49,414,481,478,986,906,912,1300,1300,1300,250,260,255,1.0,0.7,0.8,3.1,2.3,2.3,10.2,2.2,2.8
Coffs Harbour,10402,22,45,44,445,563,557,1125,1084,1086,1647,1560,1560,300,300,300,1.0,0.8,0.8,3.2,2.4,2.4,10.5,2.8,3.2
Bourke - Cobar - Coonamble,10501,25,45,40,403,645,557,872,1123,1040,953,1000,1000,153,120,150,0.9,0.7,0.8,3.0,2.2,2.4,10.0,1.8,4.1
Broken Hill and Far West,10502,24,47,44,408,544,524,984,962,965,960,932,932,175,180,180,1.0,0.7,0.7,3.0,2.1,2.2,9.3,1.7,2.5
Dubbo,10503,22,43,40,462,644,617,1085,1195,1176,1300,1387,1365,220,220,220,1.0,0.7,0.8,3.1,2.4,2.5,7.8,1.6,2.6
Lower Hunter,10601,22,40,38,474,586,578,1277,1285,1284,1700,1625,1625,280,280,280,1.0,0.8,0.8,3.3,2.5,2.6,9.2,2.7,3.2
Maitland,10602,20,37,36,486,659,652,1418,1438,1436,1744,1733,1733,320,320,320,1.0,0.8,0.8,3.2,2.6,2.7,5.5,1.7,2.0
Port Stephens,10603,21,47,45,484,567,563,1253,1151,1158,1647,1690,1690,300,300,300,1.0,0.7,0.7,3.3,2.4,2.5,6.7,1.7,2.0
Upper Hunter,10604,20,39,38,481,647,635,1149,1309,1294,1647,1703,1700,240,240,240,0.9,0.7,0.8,3.0,2.4,2.5,5.2,1.4,1.7
Dapto - Port Kembla,10701,21,41,40,456,529,526,1207,1221,1220,1857,1733,1733,280,300,300,1.1,0.8,0.8,3.2,2.6,2.6,11.7,3.3,3.7
Illawarra Catchment Reserve,10702,0,67,67,0,374,374,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiama - Shellharbour,10703,20,42,41,479,608,604,1450,1379,1382,1950,1907,1907,330,350,350,1.0,0.8,0.8,3.4,2.6,2.7,8.2,2.3,2.5
Wollongong,10704,24,38,38,490,623,620,1323,1417,1413,2167,2084,2093,300,340,340,1.0,0.9,0.9,2.9,2.5,2.5,7.5,3.5,3.6
Great Lakes,10801,23,55,54,418,478,476,926,850,855,1320,1387,1387,260,260,260,1.0,0.7,0.7,3.0,2.1,2.2,10.6,1.8,2.3
Kempsey - Nambucca,10802,22,51,49,397,477,471,900,866,869,1300,1300,1300,228,250,243,1.0,0.8,0.8,3.2,2.2,2.3,12.5,2.5,3.5
Lord Howe Island,10803,17,44,44,0,765,762,0,1412,1397,0,1867,1867,0,235,220,0.0,0.9,0.8,0.0,2.2,2.2,0.0,3.2,3.1
Port Macquarie,10804,22,49,48,473,543,540,1156,1037,1042,1658,1671,1670,320,310,310,1.0,0.7,0.8,3.1,2.3,2.3,7.8,1.7,2.0
Taree - Gloucester,10805,20,51,49,395,480,476,905,905,905,1322,1300,1300,250,250,250,1.0,0.7,0.8,3.1,2.3,2.3,8.8,1.9,2.4
Albury,10901,19,40,40,440,639,634,942,1189,1181,1300,1394,1387,230,230,230,1.0,0.8,0.8,3.0,2.4,2.4,8.0,1.7,1.9
