sa3_code16,sa3_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
21102,Manningham - East,7.992999999999999,7.57,15.565999999999999,55099.0,34641.0,42923.0
21103,Maroondah,31.81,30.03,61.84,53687.0,36594.0,44278.0
21104,Whitehorse - East,17.525,16.408,33.929,53797.0,36313.0,44242.0
21105,Yarra Ranges,45.494,41.452,86.94,50382.0,32583.0,40777.0
21201,Cardinia,25.209,22.199,47.403,51281.0,32912.0,41600.0
21202,Casey - North,38.138000000000005,32.775,70.91199999999999,50366.0,34597.0,42183.0
21203,Casey - South,43.163000000000004,35.846,79.01100000000001,50854.0,35036.0,43050.0
21204,Dandenong,52.56399999999999,39.596,92.164,41116.0,32593.0,37170.0
21205,Monash,50.056999999999995,44.448,94.5,47774.0,35197.0,41089.0
21301,Brimbank,51.981,41.303999999999995,93.28299999999999,45054.0,33592.0,39390.0
21302,Hobsons Bay,24.878,22.186999999999998,47.06100000000001,56910.0,40754.0,48340.0
21303,Maribyrnong,25.197,21.491,46.681000000000004,48180.0,40204.0,44451.0
21304,Melton - Bacchus Marsh,39.419000000000004,34.395,73.812,55028.0,36150.0,44905.0
21305,Wyndham,58.352,48.191,106.53399999999999,55560.0,36644.0,45694.0
21401,Frankston,39.008,35.371,74.376,50024.0,34571.0,41999.0
21402,Mornington Peninsula,41.073,38.734,79.806,46530.0,30372.0,37552.0
21501,Grampians,17.684,15.417,33.102,41039.0,30000.0,35718.0
21502,Mildura,14.654000000000002,13.208,27.862,39235.0,28975.0,33818.0
21503,Murray River - Swan Hill,11.752,9.802999999999999,21.555999999999997,37283.0,27651.0,32600.0
21601,Campaspe,10.852,9.631,20.480999999999998,41085.0,28521.0,34595.0
21602,Moira,8.177,7.053,15.232999999999999,39161.0,26827.0,32802.0
21603,Shepparton,18.334,16.752,35.091,41426.0,29422.0,35186.0
21701,Glenelg - Southern Grampians,11.142999999999999,9.638,20.779,41012.0,26446.0,33124.0
21703,Colac - Corangamite,11.539000000000001,10.119,21.653000000000002,37495.0,24694.0,30543.0
21704,Warrnambool,14.628,13.548,28.171,42059.0,28842.0,35101.0
30101,Capalaba,22.589000000000002,20.82,43.407,56235.0,37358.0,45617.0
30102,Cleveland - Stradbroke,22.71,21.206,43.919,56353.0,35755.0,44217.0
