sa3_code16,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot,sa3_name16
11202,6886,4164,1783,738,32705,Richmond Valley - Hinterland
11203,8468,6301,3664,1753,44134,Tweed Valley
11301,3111,1904,1066,530,19775,Griffith - Murrumbidgee (West)
11302,1219,861,430,205,6470,Tumut - Tumbarumba
11303,7035,4427,2244,821,42647,Wagga Wagga
11401,9733,8271,4221,1633,49603,Shoalhaven
11402,4692,4595,2351,791,25190,Southern Highlands
11501,13091,8116,3386,1710,77288,Baulkham Hills
11502,2478,1827,728,275,13589,Dural - Wisemans Ferry
11503,2303,1368,440,119,12470,Hawkesbury
11504,2102,1153,371,89,15679,Rouse Hill - McGraths Hill
11601,8083,4546,1959,753,61158,Blacktown
11602,5078,2391,653,147,45064,Blacktown - North
11603,5590,2868,1167,341,42530,Mount Druitt
11701,2527,1393,790,305,23568,Botany
11703,12121,6989,2786,985,149386,Sydney Inner City
11802,9282,5888,2910,1536,82229,Eastern Suburbs - South
11901,9028,5146,2790,1483,69339,Bankstown
11902,6044,3231,1777,775,56638,Canterbury
11903,8641,5184,2807,1363,63280,Hurstville
11904,7852,4760,2678,1533,70677,Kogarah - Rockdale
12001,6391,3952,1671,819,48804,Canada Bay
12002,4829,2983,878,248,34728,Leichhardt
12003,9828,5191,2623,1291,84927,Strathfield - Burwood - Ashfield
12101,8773,5661,2691,1345,67024,Chatswood - Lane Cove
12102,6732,4257,2083,810,44945,Hornsby
12103,11135,8081,4762,2640,68140,Ku-ring-gai
12104,8658,6735,2934,1216,64199,North Sydney - Mosman
12201,3563,2457,1097,516,25855,Manly
12202,6326,4661,2290,1010,33576,Pittwater
12203,11126,7578,4323,2337,81690,Warringah
12301,3583,2020,849,473,27939,Camden
12302,10099,5804,2066,782,67244,Campbelltown (NSW)
12303,3222,1829,825,309,19232,Wollondilly
12401,8896,6292,2558,879,42810,Blue Mountains
12402,0,3,0,0,4,Blue Mountains - South
12403,8485,4938,1923,641,61307,Penrith
12404,2259,1369,731,263,16680,Richmond - Windsor
12405,3419,1585,588,205,21823,St Marys
12501,3920,1798,795,329,40638,Auburn
12502,5049,2947,1631,608,33899,Carlingford
12503,6849,4025,1993,988,59733,Merrylands - Guildford
12504,7515,4655,2338,1065,76941,Parramatta
12601,4589,2836,1526,715,27645,Pennant Hills - Epping
12602,9944,6100,3162,1936,76460,Ryde - Hunters Hill
12701,4794,2364,954,237,39547,Bringelly - Green Valley
12702,8433,4778,2181,755,60969,Fairfield
12703,6137,3357,1419,560,50455,Liverpool
11702,3231,1612,709,287,32204,Marrickville - Sydenham - Petersham
11801,9668,7551,3646,1827,82094,Eastern Suburbs - North
12801,9387,6090,3497,1755,58680,Cronulla - Miranda - Caringbah
12802,9543,5686,2357,1170,56021,Sutherland - Menai - Heathcote
20101,7360,5104,2599,977,48845,Ballarat
20102,3070,2153,776,293,14414,Creswick - Daylesford - Ballan
20103,2289,1934,768,292,11273,Maryborough - Pyrenees
20201,6823,4670,2470,1193,44195,Bendigo
20202,5087,3770,1572,548,25071,Heathcote - Castlemaine - Kyneton
20203,1098,724,292,119,5046,Loddon - Elmore
20301,1586,953,314,91,9036,Barwon - West
20302,13206,8886,4747,2245,90616,Geelong
20303,7148,5805,2497,916,38076,Surf Coast - Bellarine Peninsula
20401,4961,3918,1691,627,25715,Upper Goulburn Valley
20402,4196,3001,1477,741,21903,Wangaratta - Benalla
20403,6177,4107,1703,652,34200,Wodonga - Alpine
20501,4061,3070,1330,422,22950,Baw Baw
20502,4338,4093,1894,747,21790,Gippsland - East
20503,5844,5020,2253,862,29498,Gippsland - South West
20504,5747,3797,1952,738,33616,Latrobe Valley
20505,3727,2486,1154,413,20318,Wellington
20601,4725,2146,936,444,50293,Brunswick - Coburg
20602,3397,1475,698,347,30617,Darebin - South
20603,4915,2386,1005,525,37327,Essendon
20604,5836,3800,1474,782,90603,Melbourne City
20605,7609,4712,1766,712,67794,Port Phillip
21005,6603,3447,1436,357,61218,Tullamarine - Broadmeadows
21101,11743,6884,3465,1468,75671,Knox
21102,2542,1600,754,298,13534,Manningham - East
21103,7821,5254,2797,1232,55239,Maroondah
21104,4188,3136,1808,742,31680,Whitehorse - East
21105,12282,8076,3093,1122,72669,Yarra Ranges
21201,5544,3426,1409,491,42450,Cardinia
21202,8292,4404,2160,847,57935,Casey - North
21203,7660,3842,1621,484,71111,Casey - South
21204,8661,5975,3176,1238,76593,Dandenong
21205,11565,7838,5064,2315,92217,Monash
21301,8891,5172,2176,857,73844,Brimbank
21302,5705,3048,1516,718,41188,Hobsons Bay
21303,3938,1668,802,482,44164,Maribyrnong
21304,7361,4060,1394,429,64841,Melton - Bacchus Marsh
21305,9750,4891,1796,596,101396,Wyndham
21401,9406,6000,3010,1288,64144,Frankston
21402,13444,11926,6526,2483,77580,Mornington Peninsula
21501,4821,3318,1617,777,25819,Grampians
21502,3676,2378,1224,526,22696,Mildura
21503,2826,1925,1039,462,15646,Murray River - Swan Hill
21601,2864,2039,1151,499,16233,Campaspe
21602,2226,1752,988,363,12418,Moira
21603,4181,2741,1324,555,26880,Shepparton
21701,3100,2113,963,445,15936,Glenelg - Southern Grampians
21703,3031,2115,1028,396,16127,Colac - Corangamite
21704,3880,2548,1242,556,23149,Warrnambool
30101,5806,3179,1332,656,33535,Capalaba
30102,6976,5268,2555,1058,39984,Cleveland - Stradbroke
30103,4702,2761,1264,557,33016,Wynnum - Manly
30201,2925,1860,963,497,20760,Bald Hills - Everton Park
30202,4328,2520,1673,964,36058,Chermside
30203,2432,1311,664,427,20561,Nundah
30204,3674,2246,1238,560,28186,Sandgate
30301,3702,1904,925,500,26534,Carindale
30302,4609,2353,1209,643,42310,Holland Park - Yeronga
30303,4300,2747,1485,560,36724,Mt Gravatt
30304,2319,1421,752,286,20795,Nathan
30305,3311,1723,732,327,28157,Rocklea - Acacia Ridge
30905,2572,1546,592,153,16119,Mudgeeraba - Tallebudgera
30906,4587,3073,1380,619,31525,Nerang
30907,6874,4419,1614,540,54820,Ormeau - Oxenford
31503,1237,629,314,109,6966,Outback - South
31601,4080,3002,1723,810,27292,Buderim
31602,6196,5135,2816,1132,38782,Caloundra
31603,5116,3542,1768,741,29939,Maroochy
31605,3925,3557,1650,679,21655,Noosa
31606,4937,3736,1428,450,24691,Sunshine Coast Hinterland
31607,3547,2489,1124,471,20500,Nambour
31608,2421,1713,593,140,11048,Noosa Hinterland
31801,2851,1978,1014,337,16077,Charters Towers - Ayr - Ingham
31802,12219,6900,2858,919,86475,Townsville
31901,6806,5246,2745,911,37211,Bundaberg
31902,3722,2889,1347,392,19826,Burnett
31903,4325,3333,1394,440,21545,Gympie - Cooloola
31904,4759,4398,2261,684,25809,Hervey Bay
60104,3029,2037,955,316,16687,Hobart - South and West
60105,4855,3264,1445,717,29697,Hobart Inner
60106,1401,929,367,115,7277,Sorell - Dodges Ferry
60201,5843,4166,2112,935,36573,Launceston
60202,2156,1628,681,182,10219,Meander Valley - West Tamar
60203,3360,2571,1116,274,15973,North East
60301,928,621,209,53,4482,Central Highlands (Tas.)
60302,2061,1536,554,118,9370,Huon - Bruny Island
60303,787,765,298,108,3352,South East Coast
60402,3532,2707,1301,464,19259,Devonport
20606,4292,3405,1803,696,42867,Stonnington - West
20607,5598,3648,1272,432,58289,Yarra
20701,15114,10016,4879,2627,97790,Boroondara
20702,6890,5358,3470,1345,46903,Manningham - West
20703,7386,4711,3093,1580,55308,Whitehorse - West
20801,9658,6470,3135,1815,53935,Bayside
20902,4513,2462,1610,975,46936,Darebin - North
20903,6525,3657,1170,322,34026,Nillumbik - Kinglake
20904,10102,5495,2262,657,91071,Whittlesea - Wallan
21001,3812,2791,1597,617,27507,Keilor
21002,2678,1799,617,203,14878,Macedon Ranges
40403,3767,2380,1481,967,31013,West Torrens
40501,2984,1826,724,310,15755,Barossa
40502,1889,1359,558,206,9329,Lower North
40503,2047,1344,657,267,10545,Mid North
40504,2099,1883,868,362,10306,Yorke Peninsula
40601,3975,2497,1269,517,23618,Eyre Peninsula and South West
40602,1877,1063,416,132,11678,Outback - North and East
20802,11372,6696,3266,1823,83109,Glen Eira
20803,8529,5237,3049,1591,60466,Kingston
20804,3367,2294,1225,582,24500,Stonnington - East
20901,9740,6606,3172,1459,64676,Banyule
21003,3320,1791,1512,929,35359,Moreland - North
21004,2891,1584,678,253,18233,Sunbury
30306,2870,1871,787,392,24552,Sunnybank
30401,2910,1873,686,359,17427,Centenary
30402,4288,3031,1436,635,25516,Kenmore - Brookfield - Moggill
30403,3512,2451,1045,531,29548,Sherwood - Indooroopilly
30404,3453,2228,1071,524,25978,The Gap - Enoggera
30501,4627,2475,918,467,45232,Brisbane Inner
30502,2659,1205,484,152,23675,Brisbane Inner - East
30503,5756,3120,1271,620,52191,Brisbane Inner - North
30504,4186,2273,836,275,33776,Brisbane Inner - West
30601,4690,2522,811,190,27429,Cairns - North
30602,7015,4061,1697,601,47854,Cairns - South
30603,2883,1743,815,215,14518,Innisfail - Cassowary Coast
30604,1188,709,314,94,6209,Port Douglas - Daintree
30605,3585,2782,1252,356,18405,Tablelands (East) - Kuranda
30701,2676,1570,739,234,18335,Darling Downs (West) - Maranoa
30702,2690,1755,900,358,16958,Darling Downs - East
30703,3083,2477,1125,387,16495,Granite Belt
30801,1580,593,211,50,12306,Central Highlands (Qld)
30803,8074,4654,2375,1040,50102,Rockhampton
30804,816,391,209,48,5503,Biloela
30805,4011,1893,714,194,27378,Gladstone
30901,4634,3390,1763,664,33224,Broadbeach - Burleigh
30902,4506,3025,1535,690,27166,Coolangatta
30903,5096,4486,2335,950,33227,Gold Coast - North
30904,1991,1402,527,130,9961,Gold Coast Hinterland
40701,4963,4926,2286,906,24315,Fleurieu - Kangaroo Island
40702,4284,2897,1372,671,26366,Limestone Coast
40703,4808,3566,1619,639,27644,Murray and Mallee
50101,4146,3030,1434,549,24815,Augusta - Margaret River - Busselton
50102,7516,4702,2119,754,46289,Bunbury
50103,2196,1608,669,190,10259,Manjimup
50201,6962,5961,3470,1140,43409,Mandurah
50301,6875,4893,2588,1154,39908,Cottesloe - Claremont
50302,7726,4599,2119,1004,65861,Perth City
50401,5538,3476,1801,882,42050,Bayswater - Bassendean
50402,3737,2666,1063,330,21564,Mundaring
50403,7243,3891,1736,616,56792,Swan
50501,13933,8067,2838,1062,79140,Joondalup
50502,12735,8412,5062,2157,102142,Stirling
30908,3380,2357,1306,814,24747,Robina
30909,3972,2809,1442,746,29963,Southport
30910,3327,2691,1157,399,23320,Surfers Paradise
31001,3499,2037,1132,530,32349,Forest Lake - Oxley
31002,4676,3277,1278,329,26553,Ipswich Hinterland
31003,6412,3783,1931,605,44897,Ipswich Inner
31004,3614,1780,604,147,34469,Springfield - Redbank
31101,963,729,314,94,5674,Beaudesert
31102,2315,1709,794,228,16666,Beenleigh
31103,4179,2258,866,268,30694,Browns Plains
31104,2773,1437,371,84,19419,Jimboomba
31105,3896,2485,970,343,26635,Loganlea - Carbrook
31106,4405,2922,1007,285,32271,Springwood - Kingston
31201,1914,1003,359,112,14831,Bowen Basin - North
31202,7897,4034,1856,627,50912,Mackay
31203,1667,972,317,96,11153,Whitsunday
31301,2976,3386,1693,565,15291,Bribie - Beachmere
31302,3903,2574,1163,658,27828,Caboolture
31303,1041,763,261,78,6363,Caboolture Hinterland
31304,3907,2448,1081,412,26708,Narangba - Burpengary
31305,4786,3865,1976,943,28065,Redcliffe
31401,6729,3821,1218,330,42658,The Hills District
31402,3246,2066,834,346,31793,North Lakes
31403,2311,1432,528,239,16425,Strathpine
31501,1993,963,254,60,13578,Far North
31502,1550,714,227,59,12399,Outback - North
31701,10340,6652,3402,1579,68460,Toowoomba
31905,4045,3314,1383,372,19653,Maryborough
50503,9212,5428,2629,962,83273,Wanneroo
50601,4587,2902,1295,451,36072,Armadale
50602,4267,2426,1277,546,38924,Belmont - Victoria Park
50603,6097,3926,2045,1194,48314,Canning
50604,6321,3824,1918,642,51981,Gosnells
50605,4194,3119,1578,456,27066,Kalamunda
50606,1491,813,278,80,11936,Serpentine - Jarrahdale
50607,3751,2352,1077,655,24893,South Perth
50701,6077,3267,1571,664,49653,Cockburn
50702,3712,2245,1028,421,21663,Fremantle
50703,1795,1022,499,141,17790,Kwinana
50704,9312,6072,3290,1737,55396,Melville
50705,7113,4410,2374,823,56365,Rockingham
50901,5118,3602,1704,653,27384,Albany
40101,1511,1300,494,243,14023,Adelaide City
40102,7088,4686,1575,528,36826,Adelaide Hills
40105,2983,2032,986,497,19703,Norwood - Payneham - St Peters
40107,3574,2363,989,738,21559,Unley
40201,2419,1489,717,298,14796,Gawler - Two Wells
40202,4202,2437,1521,572,32734,Playford
40203,3623,2432,1294,634,32651,Port Adelaide - East
40204,6905,4478,2207,748,53525,Salisbury
40205,6931,4956,2372,804,44260,Tea Tree Gully
40303,5866,4283,2045,1063,34603,Mitcham
40304,12671,9046,3886,1553,77720,Onkaparinga
40401,7470,4768,2496,1132,50950,Charles Sturt
40402,4054,2288,1017,538,25237,Port Adelaide - West
50902,4646,3288,1431,413,24001,Wheat Belt - North
50903,1545,996,448,152,8286,Wheat Belt - South
51001,2246,862,221,55,15724,Kimberley
51002,1357,303,53,22,13274,East Pilbara
51003,1938,368,53,7,19036,West Pilbara
51101,1144,732,370,127,7007,Esperance
51102,714,440,147,46,4439,Gascoyne
51103,2304,891,297,66,17116,Goldfields
51104,3938,2419,1097,315,23847,Mid West
60101,999,588,233,75,6245,Brighton
40103,4437,3500,1719,904,24783,Burnside
40104,3293,2367,1515,548,24168,Campbelltown (SA)
60102,4412,3091,1669,708,25300,Hobart - North East
60103,3402,2165,1370,510,21605,Hobart - North West
40106,2577,1477,624,314,15196,Prospect - Walkerville
40301,3488,2531,1281,768,18794,Holdfast Bay
40302,6779,4195,2127,1117,44733,Marion
60401,3712,2468,1445,477,20268,Burnie - Ulverstone
60403,1434,832,361,74,7084,West Coast
70101,1986,915,263,88,16182,Darwin City
70102,3841,1994,634,138,27592,Darwin Suburbs
70103,1959,852,182,40,13330,Litchfield
70104,1579,570,205,55,15818,Palmerston
70202,292,121,28,0,1966,Barkly
70203,795,370,73,17,5329,Daly - Tiwi - West Arnhem
70204,566,165,30,0,4411,East Arnhem
70205,1058,487,169,28,8046,Katherine
80101,7018,5343,2139,788,51956,Belconnen
70201,2595,981,294,83,17172,Alice Springs
80103,152,94,27,10,1067,Canberra East
80104,3489,1579,561,97,37177,Gungahlin
80105,3672,2226,1123,604,32577,North Canberra
80106,2827,2001,886,600,17914,South Canberra
80107,7693,3995,1408,485,42008,Tuggeranong
80108,1937,1793,898,380,12788,Weston Creek
80109,3114,2390,1505,593,20654,Woden Valley
80110,179,90,28,3,2835,Molonglo
80111,48,17,4,3,339,Urriarra - Namadgi
90101,151,58,8,0,1027,Christmas Island
90102,42,16,9,0,216,Cocos (Keeling) Islands
90103,23,12,3,0,218,Jervis Bay
90104,205,146,71,24,877,Norfolk Island
