sa3_code16,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot,sa3_name16
10102,4735,2606,956,290,29102,Queanbeyan
10103,1838,1275,609,216,10055,Snowy Mountains
10104,8416,6871,3262,1246,36076,South Coast
10105,2978,2224,1099,492,17016,Goulburn - Mulwaree
10106,2974,2226,973,381,16616,Young - Yass
10201,14735,10998,5784,2895,84870,Gosford
10202,11464,8637,4990,2247,70673,Wyong
10301,3725,2670,1155,474,22851,Bathurst
10302,4151,2998,1646,643,23328,Lachlan Valley
10303,3828,2999,1408,428,21722,Lithgow - Mudgee
10304,4286,3003,1450,506,27003,Orange
10401,5016,3701,1803,690,23335,Clarence Valley
10402,8578,5801,2892,1269,42245,Coffs Harbour
10501,1592,1013,520,148,9780,Bourke - Cobar - Coonamble
10502,1570,1017,525,315,8611,Broken Hill and Far West
10503,5202,3348,1702,647,31231,Dubbo
10601,6415,4095,1777,632,38658,Lower Hunter
10602,4995,3016,1431,552,33289,Maitland
10603,6322,5743,2717,965,34690,Port Stephens
10604,1991,1193,581,253,12912,Upper Hunter
10701,5295,3218,1887,826,32885,Dapto - Port Kembla
10702,0,7,0,0,7,Illawarra Catchment Reserve
10703,7534,4980,2378,1033,42753,Kiama - Shellharbour
10704,10380,6760,3452,1329,67416,Wollongong
10801,3005,2945,1636,701,14905,Great Lakes
10802,4922,3577,1766,771,22445,Kempsey - Nambucca
10803,44,19,12,4,223,Lord Howe Island
10804,7321,6417,3569,1513,38899,Port Macquarie
10805,5306,4320,2048,819,24841,Taree - Gloucester
10901,4956,3154,1618,627,29096,Albury
10902,925,623,321,107,5222,Lower Murray
10903,3445,2720,1505,588,18464,Upper Murray exc. Albury
11001,3227,2314,1040,380,18336,Armidale
11002,3191,2548,1210,442,16526,Inverell - Tenterfield
11003,1748,1047,560,179,10702,Moree - Narrabri
11004,6147,4168,2161,745,35764,Tamworth - Gunnedah
11101,10148,7228,3775,1519,58297,Lake Macquarie - East
11102,6241,4928,2562,1300,35784,Lake Macquarie - West
11103,12641,7798,4066,2314,83588,Newcastle
11201,9000,5890,2544,1234,42310,Richmond Valley - Coastal
