sa3_name16,sa3_code16,t_ei_ns_indst_nsp,t_ei_ns_totm,t_ei_ns_totf,t_ei_ns_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indigstat_nsm,tot_indigstat_nsf,tot_indigstat_nsp,tot_totm,tot_totf,tot_totp
Charles Sturt,40401,4054,3054,3178,6230,288,335,628,12091,12780,24863,2155,2094,4248,14530,15206,29736
Port Adelaide - West,40402,2358,1737,1884,3621,299,327,629,6217,6769,12986,1197,1291,2490,7712,8386,16097
Murray and Mallee,40703,3579,3326,2769,6098,597,517,1114,6864,6822,13688,1950,1834,3785,9414,9170,18582
Augusta - Margaret River - Busselton,50101,3080,2124,2087,4217,168,170,344,5454,5896,11351,1667,1529,3198,7288,7598,14887
Burnside,40103,1315,928,1031,1963,23,41,62,6136,6543,12674,680,708,1391,6839,7283,14127
Campbelltown (SA),40104,1269,1029,1048,2083,50,67,120,6344,6426,12768,697,664,1360,7089,7161,14248
Bunbury,50102,6207,4504,4135,8644,615,575,1196,11112,11868,22981,3298,3120,6416,15027,15568,30590
Prospect - Walkerville,40106,1087,724,719,1444,46,46,89,3705,3678,7384,579,556,1137,4329,4277,8612
Manjimup,50103,1677,1074,1133,2204,105,97,205,2096,2285,4374,851,882,1727,3051,3259,6317
Mandurah,50201,5223,3722,3534,7255,401,419,822,9606,10830,20438,2850,2522,5369,12860,13770,26629
Cottesloe - Claremont,50301,3171,2069,2053,4115,114,115,231,11010,10943,21955,1653,1616,3268,12780,12679,25458
Perth City,50302,8591,5105,4788,9889,80,126,204,11172,12112,23285,4533,4175,8711,15793,16407,32198
Bayswater - Bassendean,50401,3788,2736,2751,5485,227,235,463,9018,9261,18282,2005,1895,3899,11246,11392,22641
Mundaring,50402,1834,3180,1257,4434,731,187,915,5770,4740,10504,1032,886,1915,7534,5806,13337
Swan,50403,6375,4648,4966,9617,675,874,1546,15900,16818,32717,3432,3188,6622,20001,20876,40879
Joondalup,50501,4845,3494,3211,6704,180,221,397,19985,20566,40548,2769,2317,5087,22934,23102,46036
Stirling,50502,9590,6613,7019,13636,374,375,754,22407,23850,46258,4978,4881,9860,27760,29113,56872
Wanneroo,50503,8590,6207,6233,12439,584,568,1149,24752,26114,50862,4608,4321,8931,29939,31004,60941
Armadale,50601,3803,2788,2703,5488,335,445,783,9244,10022,19258,2058,1846,3906,11644,12311,23947
Belmont - Victoria Park,50602,5603,3756,3362,7117,247,265,513,7990,8018,16009,3013,2662,5674,11253,10939,22193
Canning,50603,3609,2666,2679,5350,181,205,384,14158,13720,27877,1995,1750,3747,16332,15671,32001
Gosnells,50604,4610,4649,3416,8066,746,536,1283,15810,15428,31239,2538,2214,4757,19100,18180,37278
Kalamunda,50605,2571,1841,1775,3611,209,230,442,6633,7166,13805,1400,1260,2654,8243,8656,16895
Serpentine - Jarrahdale,50606,1300,1264,826,2088,138,116,262,3419,3273,6692,723,619,1347,4278,4019,8301
South Perth,50607,2369,1469,1545,3008,162,112,271,5671,5586,11253,1226,1202,2432,7053,6902,13955
Cockburn,50701,4916,3415,3384,6790,332,325,650,12076,13130,25211,2618,2483,5098,15023,15937,30959
Fremantle,50702,2646,1695,1713,3416,103,77,183,3751,4456,8210,1378,1312,2691,5224,5849,11076
Kwinana,50703,2298,2586,1518,4100,557,210,767,5016,4723,9738,1258,1101,2359,6837,6032,12863
Melville,50704,3639,2589,2749,5341,172,144,320,13250,13766,27021,1931,1851,3780,15359,15759,31120
Rockingham,50705,7693,5232,4731,9960,481,561,1041,14611,15899,30509,4281,3639,7927,19370,20105,39476
Albany,50901,3801,3118,2516,5630,598,380,979,6062,5978,12033,2034,1924,3956,8690,8281,16965
Wheat Belt - North,50902,4368,3496,2699,6193,423,459,880,5408,5108,10513,2407,2097,4502,8236,7659,15897
Wheat Belt - South,50903,1719,1174,1083,2264,195,180,374,1667,1901,3572,936,841,1782,2799,2926,5729
Kimberley,51001,3039,2687,2500,5184,2656,2548,5208,1739,1966,3704,1558,1559,3114,5955,6071,12027
East Pilbara,51002,3772,2833,1597,4423,728,668,1398,1676,1777,3455,2486,1326,3816,4893,3777,8665
West Pilbara,51003,4279,3677,1513,5193,767,625,1391,2947,2662,5605,3157,1193,4354,6867,4480,11348
Esperance,51101,1572,1046,970,2013,154,140,296,1495,1635,3131,875,761,1633,2520,2537,5062
Gascoyne,51102,999,745,638,1375,248,235,484,712,710,1424,549,465,1022,1510,1409,2925
Goldfields,51103,3616,2760,2121,4874,919,903,1824,3575,3816,7393,2134,1558,3686,6634,6266,12899
Mid West,51104,4118,3164,2659,5822,1111,1001,2113,4804,5312,10119,2311,1930,4241,8230,8241,16471
Brighton,60101,876,674,734,1409,309,297,600,1786,1856,3636,461,487,955,2552,2643,5193
Hobart - North East,60102,1919,1808,1520,3333,423,344,769,5890,5878,11771,997,1044,2046,7317,7265,14585
Hobart - North West,60103,2782,1985,2220,4203,466,516,985,5515,5956,11474,1428,1514,2948,7415,7992,15402
Hobart - South and West,60104,1116,808,820,1631,213,205,410,3997,4253,8250,614,570,1184,4820,5025,9844
Hobart Inner,60105,2605,1617,1598,3211,148,140,287,6913,7185,14101,1374,1314,2686,8435,8644,17077
Sorell - Dodges Ferry,60106,786,560,609,1168,115,118,229,1563,1737,3293,402,421,826,2079,2273,4349
Launceston,60201,4271,2893,3130,6027,517,518,1033,9516,9932,19447,2142,2296,4432,12170,12740,24913
Meander Valley - West Tamar,60202,1242,919,945,1867,139,155,299,2176,2328,4503,655,641,1302,2979,3124,6103
North East,60203,2285,1751,1659,3412,220,250,473,3372,3635,7006,1241,1137,2375,4830,5017,9846
Central Highlands (Tas.),60301,637,533,475,1009,92,115,205,1126,1114,2237,355,325,675,1575,1549,3124
Huon - Bruny Island,60302,1052,794,770,1560,310,296,603,1705,1770,3468,560,545,1107,2570,2609,5179
South East Coast,60303,540,370,385,750,69,54,120,427,451,882,271,280,555,764,789,1549
Burnie - Ulverstone,60401,2214,1775,1919,3696,623,669,1296,4374,4923,9297,1169,1162,2336,6171,6758,12927
Devonport,60402,2072,1628,1713,3336,472,448,915,4233,4578,8811,1065,1094,2158,5767,6121,11889
West Coast,60403,995,772,752,1523,349,345,695,1476,1449,2927,551,520,1069,2377,2315,4690
Darwin City,70101,2870,1851,1421,3276,193,194,383,2141,2515,4655,1648,1244,2896,3983,3961,7938
Darwin Suburbs,70102,4595,2918,2782,5704,920,984,1913,5911,6432,12340,2434,2310,4742,9267,9728,18993
Litchfield,70103,3318,3508,1287,4798,1034,349,1383,2224,2043,4266,2371,1031,3408,5630,3425,9058
Holdfast Bay,40301,1624,973,1109,2078,43,41,79,3451,3798,7249,800,856,1659,4290,4692,8984
Marion,40302,2965,2057,2249,4304,218,221,441,10358,11392,21747,1538,1563,3100,12113,13175,25283
Palmerston,70104,2391,1549,1539,3088,747,789,1534,3445,4055,7507,1249,1225,2471,5446,6064,11514
Barkly,70202,310,425,282,704,657,519,1174,184,169,346,175,141,317,1014,828,1838
Daly - Tiwi - West Arnhem,70203,1002,1262,1086,2347,1945,1857,3800,348,388,730,570,456,1023,2860,2691,5549
East Arnhem,70204,478,942,803,1747,1735,1719,3455,529,561,1093,290,219,501,2548,2495,5042
Katherine,70205,2216,1789,1574,3361,1684,1668,3356,816,828,1641,1212,1038,2247,3717,3531,7245
Belconnen,80101,3949,2506,2521,5024,307,327,632,13066,13460,26527,2056,2025,4084,15424,15819,31240
Alice Springs,70201,3131,2938,2537,5472,2708,2356,5061,2295,2633,4928,1611,1575,3188,6614,6561,13171
Canberra East,80103,169,522,104,623,95,10,109,399,106,508,109,67,174,603,183,784
Gungahlin,80104,2573,1699,1625,3325,211,206,412,10440,10901,21340,1374,1302,2674,12030,12401,24431
North Canberra,80105,3374,2097,1869,3968,113,118,225,9132,9224,18358,1846,1611,3457,11092,10954,22047
South Canberra,80106,1635,1041,1118,2153,67,64,131,3261,3486,6742,828,830,1664,4154,4381,8535
Tuggeranong,80107,3021,2013,2151,4163,429,432,858,10149,10906,21054,1526,1577,3104,12100,12917,25013
Weston Creek,80108,877,612,728,1339,67,71,136,2897,3043,5942,449,457,911,3415,3572,6989
Woden Valley,80109,1624,1055,985,2041,90,75,167,4458,4414,8874,887,790,1674,5443,5283,10723
Molonglo,80110,285,157,172,328,6,11,17,563,596,1153,142,153,300,708,760,1468
Urriarra - Namadgi,80111,47,32,28,57,0,0,3,81,85,168,26,24,47,108,112,220
Christmas Island,90101,238,408,113,519,3,0,8,403,164,568,143,98,247,546,266,819
Cocos (Keeling) Islands,90102,22,23,15,35,0,0,3,48,47,99,17,17,32,65,66,131
Jervis Bay,90103,47,48,44,92,45,47,95,18,5,21,34,20,47,96,68,163
Norfolk Island,90104,84,65,81,140,3,0,4,179,179,356,40,54,94,220,232,446
