sa3_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa3_name16
10102,32501.0,43.0,2018127429.0,54299.0,62094.0,3.77,1.66,0.44,0.21,0.41,6.1,17.5,27.7,17.4,21.1,28.5,33.0,Queanbeyan
10103,10314.0,46.0,464649785.0,37863.0,45050.0,4.74,1.81,0.38,0.17,0.456,6.6,19.1,30.0,27.4,29.5,25.3,17.9,Snowy Mountains
10104,36375.0,51.0,1449156264.0,32356.0,39839.0,5.65,1.87,0.33,0.12,0.48200000000000004,7.8,20.6,31.9,33.3,31.0,22.0,13.6,South Coast
10105,17807.0,45.0,831230139.0,39644.0,46680.0,4.95,1.82,0.37,0.14,0.456,6.7,18.2,29.0,26.3,27.8,25.7,20.2,Goulburn - Mulwaree
10106,19035.0,45.0,967760339.0,40857.0,50841.0,5.27,1.91,0.36,0.14,0.48100000000000004,7.3,20.3,31.5,26.0,26.4,24.1,23.5,Young - Yass
10201,89484.0,45.0,4546241656.0,40077.0,50805.0,5.27,1.92,0.36,0.15,0.473,8.1,20.9,31.9,26.9,26.4,24.0,22.7,Gosford
10202,74523.0,43.0,3409739743.0,39195.0,45754.0,4.7,1.78,0.38,0.16,0.435,6.1,17.7,28.5,26.4,28.6,26.5,18.5,Wyong
10301,23160.0,43.0,1170391083.0,42997.0,50535.0,4.91,1.83,0.37,0.16,0.439,5.9,17.5,28.2,24.9,25.1,25.6,24.4,Bathurst
10302,28292.0,46.0,1206986548.0,35428.0,42662.0,5.96,1.91,0.32,0.1,0.506,6.9,19.7,31.4,30.7,28.7,22.9,17.7,Lachlan Valley
10303,21853.0,45.0,1134750136.0,39486.0,51927.0,6.23,2.13,0.34,0.13,0.493,6.3,19.1,31.6,27.9,25.8,21.1,25.2,Lithgow - Mudgee
10304,29451.0,43.0,1564672317.0,44112.0,53128.0,4.94,1.85,0.37,0.16,0.45399999999999996,6.9,18.9,29.9,24.0,24.7,26.0,25.3,Orange
10401,23326.0,48.0,868129839.0,30579.0,37217.0,6.54,1.93,0.29,0.09,0.503,7.0,19.7,31.6,35.8,30.1,20.8,13.2,Clarence Valley
10402,42938.0,46.0,1795144930.0,33806.0,41808.0,5.75,1.88,0.33,0.12,0.485,8.0,20.8,32.1,32.3,29.6,22.7,15.3,Coffs Harbour
10501,11968.0,44.0,560983974.0,38479.0,46874.0,5.87,1.97,0.34,0.11,0.534,7.2,20.6,32.5,28.7,26.0,23.3,22.0,Bourke - Cobar - Coonamble
10502,9390.0,44.0,473769977.0,41859.0,50455.0,5.15,1.92,0.37,0.15,0.444,5.8,17.4,28.3,24.9,26.5,23.9,24.8,Broken Hill and Far West
10503,34379.0,44.0,1573925071.0,39255.0,45782.0,4.96,1.79,0.36,0.14,0.46399999999999997,6.9,18.8,29.7,26.9,28.1,26.1,18.9,Dubbo
10601,42319.0,42.0,2439779071.0,43672.0,57652.0,5.75,2.17,0.38,0.16,0.47200000000000003,6.4,18.3,30.0,24.3,24.9,21.0,29.7,Lower Hunter
10602,35739.0,41.0,2070986067.0,46572.0,57948.0,4.97,1.91,0.38,0.16,0.452,6.9,18.6,29.8,22.5,23.9,24.1,29.5,Maitland
10603,35757.0,46.0,1735031594.0,38776.0,48523.0,5.73,1.93,0.34,0.13,0.474,7.2,20.0,31.3,28.5,26.2,23.6,21.6,Port Stephens
10604,16136.0,42.0,947726197.0,44705.0,58734.0,6.17,2.23,0.36,0.15,0.488,6.5,18.0,29.8,24.4,23.9,20.7,31.0,Upper Hunter
10701,35042.0,42.0,1784481579.0,41954.0,50924.0,5.09,1.9,0.37,0.15,0.445,6.2,17.8,28.8,25.3,25.9,24.5,24.4,Dapto - Port Kembla
10702,,,,,,,,,,,,,,,,,,Illawarra Catchment Reserve
10703,44717.0,43.0,2309873374.0,42124.0,51655.0,5.19,1.93,0.37,0.16,0.45,6.3,18.1,29.1,25.4,25.6,23.8,25.2,Kiama - Shellharbour
10704,64465.0,43.0,3620462579.0,44115.0,56162.0,5.77,1.96,0.34,0.14,0.47200000000000003,7.3,20.0,31.2,25.8,23.1,22.4,28.7,Wollongong
10801,14387.0,50.0,558141580.0,29393.0,38795.0,7.25,2.02,0.28,0.08,0.519,8.4,22.4,34.6,37.1,30.0,18.9,14.0,Great Lakes
10802,20657.0,49.0,764610697.0,30526.0,37015.0,6.52,1.9,0.29,0.09,0.493,7.2,19.8,31.5,35.7,31.1,20.6,12.6,Kempsey - Nambucca
10803,254.0,49.0,10931028.0,33717.0,43036.0,3.44,1.8,0.52,0.26,0.41200000000000003,,17.7,29.3,25.8,34.5,27.8,11.9,Lord Howe Island
10804,37895.0,48.0,1597640320.0,33739.0,42160.0,6.43,1.93,0.3,0.1,0.49200000000000005,7.7,20.7,32.3,32.9,29.1,21.5,16.5,Port Macquarie
10805,24243.0,49.0,964787670.0,33146.0,39797.0,6.2,1.87,0.3,0.09,0.48200000000000004,6.9,19.4,31.0,33.0,30.4,22.4,14.3,Taree - Gloucester
10901,32474.0,43.0,1572980894.0,40670.0,48438.0,4.59,1.77,0.38,0.17,0.451,7.8,19.8,30.2,25.4,27.6,27.3,19.7,Albury
10902,6222.0,47.0,263200979.0,35827.0,42302.0,5.66,1.85,0.33,0.12,0.48700000000000004,6.6,19.5,30.8,30.7,28.9,23.5,16.9,Lower Murray
10903,22419.0,48.0,919370560.0,35021.0,41009.0,6.13,1.86,0.3,0.1,0.503,6.9,19.6,31.0,32.1,27.8,24.3,15.8,Upper Murray exc. Albury
11001,19173.0,46.0,837814067.0,36007.0,43698.0,5.6,1.88,0.34,0.12,0.494,7.6,20.5,32.0,30.6,28.7,23.3,17.4,Armidale
11002,18039.0,47.0,656732410.0,31751.0,36406.0,6.47,1.81,0.28,0.06,0.522,7.2,20.0,31.7,35.1,30.3,22.6,12.0,Inverell - Tenterfield
11003,13912.0,43.0,697239346.0,40492.0,50118.0,5.05,1.81,0.36,0.14,0.5379999999999999,11.1,24.5,35.6,26.4,27.1,26.0,20.5,Moree - Narrabri
11004,40505.0,44.0,1847696486.0,38563.0,45617.0,5.22,1.81,0.35,0.13,0.48200000000000004,7.6,19.7,31.0,28.1,27.8,25.4,18.8,Tamworth - Gunnedah
11101,64665.0,44.0,3546697553.0,43696.0,54847.0,5.36,1.91,0.36,0.14,0.466,7.3,19.9,31.1,25.1,24.2,24.1,26.6,Lake Macquarie - East
11102,36929.0,44.0,1884050659.0,41517.0,51018.0,5.17,1.89,0.37,0.15,0.456,6.7,19.0,30.2,25.8,25.9,24.7,23.6,Lake Macquarie - West
11103,85702.0,40.0,4836901341.0,45177.0,56439.0,5.05,1.87,0.37,0.16,0.461,8.0,20.5,31.3,23.8,23.9,24.9,27.4,Newcastle
11201,42296.0,47.0,1781369258.0,31842.0,42117.0,6.14,1.99,0.32,0.12,0.518,9.6,23.5,35.0,34.5,29.6,20.0,15.9,Richmond Valley - Coastal
11202,34089.0,47.0,1348345184.0,34539.0,39554.0,5.57,1.75,0.31,0.11,0.473,7.0,19.0,30.2,31.9,30.4,24.3,13.4,Richmond Valley - Hinterland
11203,42726.0,47.0,1820418902.0,34256.0,42607.0,5.5,1.89,0.34,0.13,0.48100000000000004,7.8,20.7,32.0,31.7,29.7,22.6,16.1,Tweed Valley
11301,26064.0,43.0,1119978415.0,37250.0,42970.0,5.02,1.75,0.35,0.13,0.483,8.1,20.0,30.9,28.9,28.6,26.8,15.7,Griffith - Murrumbidgee (West)
11302,7604.0,46.0,352763194.0,39905.0,46392.0,5.02,1.83,0.37,0.14,0.445,5.4,17.0,28.1,26.6,27.3,25.3,20.8,Tumut - Tumbarumba
11303,48422.0,43.0,2354177309.0,40797.0,48618.0,4.86,1.8,0.37,0.15,0.457,7.4,19.4,30.1,25.8,27.0,26.4,20.8,Wagga Wagga
11401,45827.0,48.0,1946723221.0,34402.0,42480.0,5.75,1.92,0.33,0.13,0.474,6.9,19.5,30.9,31.5,29.6,22.2,16.8,Shoalhaven
11402,25302.0,49.0,1324162061.0,37657.0,52334.0,5.86,2.03,0.35,0.13,0.525,11.3,25.8,37.1,29.2,27.1,21.6,22.1,Southern Highlands
11501,82387.0,45.0,5446623047.0,48866.0,66110.0,5.99,2.02,0.34,0.15,0.498,8.4,22.4,34.1,24.0,21.2,21.1,33.7,Baulkham Hills
11502,15696.0,47.0,1119796113.0,43724.0,71343.0,6.13,2.17,0.35,0.16,0.5710000000000001,15.6,31.3,42.9,25.6,23.6,20.1,30.8,Dural - Wisemans Ferry
11503,14348.0,45.0,746405027.0,42768.0,52022.0,4.81,1.86,0.39,0.18,0.45,6.8,18.9,29.6,24.2,26.0,24.9,24.9,Hawkesbury
11504,15767.0,42.0,959564045.0,49429.0,60859.0,4.59,1.84,0.4,0.2,0.447,6.7,19.1,30.2,20.6,23.1,24.8,31.4,Rouse Hill - McGraths Hill
