SA3_MAIN11,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,SA3_NAME11
50601,126,168,282,246,258,194,40,0,0,1314,76,98,162,138,133,86,20,7,0,720,2128,3312,6769,6111,6292,4343,732,54,4,29745,Armadale
50604,193,306,518,501,427,296,71,3,0,2315,84,153,299,309,217,159,57,14,0,1292,3351,5324,12039,11611,10364,7108,1199,75,0,51071,Gosnells
50605,139,164,249,276,308,193,43,4,0,1376,44,47,106,93,124,101,20,10,6,551,2050,2612,4813,5840,6172,4613,934,97,10,27141,Kalamunda
50606,54,56,74,93,99,39,3,3,3,424,18,23,36,68,38,31,7,0,0,221,714,853,1503,2159,2092,1274,216,21,9,8841,Serpentine - Jarrahdale
50607,40,93,133,110,126,112,22,6,0,642,23,54,109,81,86,67,16,5,3,444,1035,2748,5333,3962,4163,3308,706,70,9,21334,South Perth
70201,62,76,165,142,136,79,11,0,0,671,29,42,100,51,54,31,11,3,0,321,907,1503,3867,3637,3583,2256,366,36,0,16155,Alice Springs
70205,30,50,108,91,69,51,9,0,0,408,24,40,64,40,32,18,8,4,0,230,403,798,1697,1479,1331,901,194,18,9,6830,Katherine
79797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,30,14,12,8,3,0,0,84,Migratory - Offshore - Shipping (NT)
79999,0,0,6,0,0,7,0,0,0,13,0,0,6,0,4,0,0,0,0,10,5,92,187,90,101,96,9,0,0,580,Special Purpose Codes SA3 (NT)
80101,112,227,415,338,239,188,45,6,0,1570,65,101,195,134,108,98,28,11,0,740,2828,5840,12608,11150,9281,6520,1183,66,8,49484,Belconnen
80102,0,0,0,3,3,0,0,0,0,6,3,5,0,0,0,0,0,0,0,8,22,48,63,80,81,33,12,0,0,339,Cotter - Namadgi
80103,5,7,3,11,8,0,0,0,0,34,3,3,3,6,0,4,3,0,0,22,31,55,89,124,155,125,33,0,0,612,Fyshwick - Pialligo - Hume
80104,52,120,209,213,150,75,17,0,0,836,33,44,114,87,59,34,15,0,0,386,1393,2648,7769,7548,4929,2214,362,20,3,26886,Gungahlin
80105,40,117,195,134,127,73,23,0,0,709,22,47,68,60,53,27,10,8,3,298,1504,4418,7811,5042,4378,2511,462,74,6,26206,North Canberra
80106,14,42,85,65,80,78,7,3,0,374,10,10,38,27,42,26,16,0,0,169,501,1190,3365,2696,2973,2066,483,62,9,13345,South Canberra
80107,158,246,401,379,344,252,50,0,0,1830,88,96,171,150,173,91,20,8,3,800,3707,5310,9961,10696,12118,7061,899,53,3,49808,Tuggeranong
80108,17,34,61,89,66,68,21,0,0,356,15,19,30,28,29,20,16,0,0,157,597,879,2300,3004,2593,1786,508,29,3,11699,Weston Creek
80109,24,36,89,116,123,72,27,8,0,495,22,21,56,53,47,27,14,3,3,246,909,1689,3579,3855,4173,2321,610,92,10,17238,Woden
89797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Migratory - Offshore - Shipping (ACT)
89999,0,3,0,0,7,0,0,0,0,10,0,6,6,0,0,3,0,0,0,15,14,45,94,59,39,23,0,0,0,274,Special Purpose Codes SA3 (ACT)
90101,0,0,0,6,0,7,0,0,0,13,0,4,7,0,0,3,0,0,0,14,36,61,127,169,203,185,21,0,0,802,Christmas Island
90102,0,0,0,3,3,0,0,0,0,6,0,0,0,0,4,0,0,0,0,4,7,0,51,55,77,28,0,0,0,218,Cocos (Keeling) Islands
90103,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,26,40,29,19,4,3,0,0,131,Jervis Bay
99797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,6,Migratory - Offshore - Shipping (OT)
99999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,9,0,0,0,0,23,Special Purpose Codes SA3 (OT)
