sa3_code16,sa3_name16,num_employed_000_males,num_employed_000_females,num_employed_000_persons,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
10102,Queanbeyan,17.93,16.709,34.639,63705.0,50508.0,57000.0
10103,Snowy Mountains,5.949,5.2989999999999995,11.247,43054.0,32587.0,37640.0
10104,South Coast,17.633,16.864,34.497,38204.0,29545.0,33536.0
10105,Goulburn - Mulwaree,9.906,8.876,18.785999999999998,49112.0,36767.0,42284.0
10106,Young - Yass,10.477,9.477,19.957,47040.0,36261.0,41741.0
10201,Gosford,46.788999999999994,44.233999999999995,91.024,53347.0,36592.0,43991.0
10202,Wyong,41.443999999999996,38.058,79.497,51572.0,35148.0,42630.0
10301,Bathurst,12.842,11.729000000000001,24.565,52319.0,36726.0,44405.0
10302,Lachlan Valley,15.718,13.384,29.108,43738.0,32363.0,37988.0
10303,Lithgow - Mudgee,12.182,10.399000000000001,22.583000000000002,52776.0,31185.0,40437.0
10304,Orange,16.394000000000002,15.128,31.522,53254.0,37229.0,44717.0
10401,Clarence Valley,11.868,10.775,22.641,38976.0,29382.0,34013.0
10402,Coffs Harbour,23.112,22.153000000000002,45.263999999999996,41010.0,31390.0,36008.0
10501,Bourke - Cobar - Coonamble,7.006,5.901,12.909,44637.0,34026.0,39343.0
10502,Broken Hill and Far West,5.343999999999999,4.768,10.115,52508.0,36202.0,43583.0
10503,Dubbo,19.53,17.917,37.446,45362.0,35567.0,40445.0
10601,Lower Hunter,24.175,20.309,44.483999999999995,60846.0,31436.0,43839.0
10602,Maitland,20.479,18.45,38.93,64096.0,36616.0,48077.0
10603,Port Stephens,18.444000000000003,16.324,34.766999999999996,53569.0,32393.0,41389.0
10604,Upper Hunter,9.366,7.542999999999999,16.903,62023.0,32051.0,44556.0
10701,Dapto - Port Kembla,19.657,17.18,36.836,57352.0,35364.0,44793.0
10702,Illawarra Catchment Reserve,,,,,,
10703,Kiama - Shellharbour,24.41,22.265,46.672,59184.0,35448.0,45119.0
10704,Wollongong,35.347,32.647,67.98899999999999,60008.0,38822.0,47593.0
10801,Great Lakes,6.886,6.52,13.404000000000002,37974.0,28797.0,33310.0
10802,Kempsey - Nambucca,10.992,10.16,21.156,36980.0,29351.0,32941.0
10803,Lord Howe Island,0.14800000000000002,0.161,0.311,39537.0,27818.0,32108.0
10804,Port Macquarie,18.578,18.496,37.073,43371.0,33561.0,38263.0
10805,Taree - Gloucester,12.423,11.485,23.904,39290.0,30598.0,34902.0
10901,Albury,17.328,16.063,33.388000000000005,49956.0,35506.0,42248.0
10902,Lower Murray,3.907,3.045,6.95,37546.0,29170.0,33435.0
10903,Upper Murray exc. Albury,12.024000000000001,10.469000000000001,22.493000000000002,45387.0,31242.0,38074.0
11001,Armidale,10.267000000000001,9.677,19.937,39906.0,32429.0,36234.0
11002,Inverell - Tenterfield,9.838,8.686,18.523,35769.0,27025.0,31347.0
11003,Moree - Narrabri,7.971,6.513999999999999,14.489,46514.0,32999.0,39684.0
11004,Tamworth - Gunnedah,22.987,20.202,43.191,47333.0,34584.0,40756.0
11101,Lake Macquarie - East,33.047,31.035,64.082,59148.0,37546.0,46585.0
11102,Lake Macquarie - West,20.169,18.245,38.412,55896.0,35193.0,44194.0
11103,Newcastle,46.43,43.693999999999996,90.124,57188.0,39532.0,47121.0
11201,Richmond Valley - Coastal,22.656,22.122,44.778,36794.0,28021.0,32148.0
11202,Richmond Valley - Hinterland,18.357,17.121,35.475,39803.0,31812.0,35829.0
11203,Tweed Valley,22.45,21.685,44.141999999999996,43174.0,31844.0,37096.0
11301,Griffith - Murrumbidgee (West),15.072000000000001,12.779000000000002,27.854,46627.0,33874.0,40039.0
11302,Tumut - Tumbarumba,4.343,3.5789999999999997,7.922999999999999,52935.0,31903.0,41072.0
11303,Wagga Wagga,26.265,24.048000000000002,50.312,50256.0,37068.0,43410.0
