sa3_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,sa3_name16
10102,34001.0,44.0,2282273751.0,58463.0,67124.0,3.85,1.68,0.44,0.22,0.409,5.8,17.2,27.6,17.9,21.4,28.1,32.7,Queanbeyan
10103,10913.0,46.0,536705720.0,40727.0,49180.0,4.88,1.83,0.37,0.16,0.461,6.8,19.4,30.5,28.6,29.1,24.5,17.9,Snowy Mountains
10104,37516.0,52.0,1640749539.0,35359.0,43735.0,5.38,1.86,0.35,0.13,0.479,7.8,20.8,32.0,33.5,30.8,22.0,13.6,South Coast
10105,18495.0,46.0,955859188.0,43488.0,51682.0,4.72,1.83,0.39,0.16,0.444,6.5,18.0,28.7,26.2,27.8,25.2,20.7,Goulburn - Mulwaree
10106,19578.0,46.0,1099266462.0,45382.0,56148.0,4.88,1.88,0.39,0.15,0.46399999999999997,6.7,19.6,30.8,25.5,26.3,24.4,23.9,Young - Yass
10201,93031.0,46.0,5234143701.0,44208.0,56262.0,5.02,1.91,0.38,0.16,0.469,7.9,20.8,31.8,26.4,26.4,24.0,23.2,Gosford
10202,78547.0,44.0,3983080096.0,43137.0,50710.0,4.39,1.78,0.4,0.18,0.429,5.8,17.6,28.4,25.9,28.7,26.5,18.9,Wyong
10301,23997.0,44.0,1320567091.0,46279.0,55031.0,4.56,1.81,0.4,0.17,0.435,6.1,17.8,28.4,24.4,26.2,25.8,23.6,Bathurst
10302,28483.0,47.0,1403305732.0,40164.0,49268.0,5.18,1.89,0.36,0.14,0.475,7.1,19.8,31.2,28.9,29.0,23.5,18.6,Lachlan Valley
10303,22305.0,46.0,1218277323.0,41919.0,54619.0,6.09,2.1,0.35,0.12,0.496,6.2,19.0,31.7,28.7,26.7,21.0,23.7,Lithgow - Mudgee
