sa3_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,sa3_name16
10102,31945.0,32501.0,32818.0,32923.0,34001.0,42.0,43.0,43.0,43.0,44.0,1901877963.0,2018127429.0,2106331431.0,2158928574.0,2282273751.0,51858.0,54299.0,56376.0,57185.0,58463.0,59536.0,62094.0,64182.0,65575.0,67124.0,Queanbeyan
10103,10155.0,10314.0,10555.0,10805.0,10913.0,46.0,46.0,46.0,46.0,46.0,438208380.0,464649785.0,481980250.0,516091481.0,536705720.0,35884.0,37863.0,38554.0,39826.0,40727.0,43152.0,45050.0,45664.0,47764.0,49180.0,Snowy Mountains
10104,36044.0,36375.0,36071.0,36501.0,37516.0,50.0,51.0,51.0,51.0,52.0,1377225262.0,1449156264.0,1487468705.0,1554957446.0,1640749539.0,30908.0,32356.0,33504.0,34767.0,35359.0,38210.0,39839.0,41237.0,42600.0,43735.0,South Coast
10105,17419.0,17807.0,17751.0,18059.0,18495.0,45.0,45.0,46.0,46.0,46.0,781081596.0,831230139.0,854503110.0,885129707.0,955859188.0,38269.0,39644.0,40558.0,41732.0,43488.0,44841.0,46680.0,48138.0,49013.0,51682.0,Goulburn - Mulwaree
10106,18574.0,19035.0,19154.0,19353.0,19578.0,45.0,45.0,46.0,46.0,46.0,910140382.0,967760339.0,996397765.0,1035231315.0,1099266462.0,39489.0,40857.0,42164.0,43420.0,45382.0,49001.0,50841.0,52020.0,53492.0,56148.0,Young - Yass
10201,88746.0,89484.0,89929.0,90826.0,93031.0,45.0,45.0,46.0,46.0,46.0,4290439095.0,4546241656.0,4768274443.0,4951991871.0,5234143701.0,38189.0,40077.0,41796.0,42865.0,44208.0,48345.0,50805.0,53023.0,54522.0,56262.0,Gosford
10202,73471.0,74523.0,74745.0,76092.0,78547.0,42.0,43.0,43.0,43.0,44.0,3194271659.0,3409739743.0,3595171689.0,3780497626.0,3983080096.0,37082.0,39195.0,41021.0,42144.0,43137.0,43477.0,45754.0,48099.0,49683.0,50710.0,Wyong
10301,22830.0,23160.0,23300.0,23471.0,23997.0,43.0,43.0,44.0,44.0,44.0,1096994692.0,1170391083.0,1208364377.0,1250391394.0,1320567091.0,40497.0,42997.0,43730.0,44775.0,46279.0,48051.0,50535.0,51861.0,53274.0,55031.0,Bathurst
10302,27967.0,28292.0,28133.0,28293.0,28483.0,46.0,46.0,46.0,46.0,47.0,1212688121.0,1206986548.0,1239136002.0,1328928858.0,1403305732.0,34752.0,35428.0,36665.0,38212.0,40164.0,43361.0,42662.0,44046.0,46970.0,49268.0,Lachlan Valley
10303,21463.0,21853.0,22085.0,22122.0,22305.0,45.0,45.0,45.0,46.0,46.0,1037363504.0,1134750136.0,1167485977.0,1205623362.0,1218277323.0,37354.0,39486.0,40090.0,41013.0,41919.0,48333.0,51927.0,52863.0,54499.0,54619.0,Lithgow - Mudgee
10304,28974.0,29451.0,29655.0,29967.0,30660.0,43.0,43.0,43.0,43.0,44.0,1436278066.0,1564672317.0,1617053919.0,1660869141.0,1764829381.0,41241.0,44112.0,44980.0,45783.0,47103.0,49571.0,53128.0,54529.0,55423.0,57561.0,Orange
10401,23535.0,23326.0,22941.0,22942.0,23163.0,48.0,48.0,49.0,49.0,49.0,835613303.0,868129839.0,887805617.0,925722411.0,965297065.0,29412.0,30579.0,32379.0,33742.0,35117.0,35505.0,37217.0,38700.0,40351.0,41674.0,Clarence Valley
10402,43053.0,42938.0,43280.0,44353.0,45784.0,46.0,46.0,47.0,47.0,47.0,1694702610.0,1795144930.0,1903956453.0,2005102118.0,2155024738.0,31848.0,33806.0,35589.0,36972.0,37936.0,39363.0,41808.0,43992.0,45208.0,47069.0,Coffs Harbour
10501,11726.0,11968.0,11924.0,11748.0,11716.0,44.0,44.0,43.0,44.0,44.0,569350124.0,560983974.0,600931849.0,547940918.0,602870109.0,38522.0,38479.0,40403.0,40656.0,43628.0,48555.0,46874.0,50397.0,46641.0,51457.0,Bourke - Cobar - Coonamble
10502,9146.0,9390.0,9280.0,9293.0,9466.0,44.0,44.0,45.0,45.0,45.0,425422166.0,473769977.0,487323954.0,498568767.0,528449605.0,38238.0,41859.0,43746.0,45165.0,46508.0,46515.0,50455.0,52513.0,53650.0,55826.0,Broken Hill and Far West
10503,33974.0,34379.0,34582.0,35075.0,35836.0,44.0,44.0,44.0,44.0,44.0,1500392990.0,1573925071.0,1613588426.0,1686241160.0,1820081056.0,37539.0,39255.0,40321.0,41361.0,43185.0,44163.0,45782.0,46660.0,48075.0,50789.0,Dubbo
10601,41401.0,42319.0,42178.0,42262.0,42783.0,42.0,42.0,42.0,43.0,43.0,2201870036.0,2439779071.0,2528896224.0,2507980547.0,2564279394.0,40819.0,43672.0,44923.0,45127.0,45736.0,53184.0,57652.0,59958.0,59344.0,59937.0,Lower Hunter
10602,34507.0,35739.0,36192.0,37032.0,38148.0,41.0,41.0,41.0,41.0,41.0,1852972214.0,2070986067.0,2154451059.0,2222834816.0,2307037401.0,43752.0,46572.0,48402.0,48733.0,49381.0,53698.0,57948.0,59528.0,60025.0,60476.0,Maitland
10603,35292.0,35757.0,35936.0,35976.0,36468.0,45.0,46.0,46.0,47.0,47.0,1600969293.0,1735031594.0,1805339651.0,1842860784.0,1887429641.0,36084.0,38776.0,40093.0,40456.0,41153.0,45364.0,48523.0,50238.0,51225.0,51756.0,Port Stephens
10604,15650.0,16136.0,16075.0,15797.0,16081.0,42.0,42.0,42.0,42.0,42.0,854083966.0,947726197.0,1041429882.0,1284112394.0,1083381783.0,41976.0,44705.0,46098.0,46427.0,46730.0,54574.0,58734.0,64786.0,81288.0,67370.0,Upper Hunter
