sa3_code16,p_othserv_0,p_othserv_1_15,p_othserv_16_24,p_othserv_25_34,p_othserv_35_39,p_othserv_40,p_othserv_41_48,p_othserv_49over,p_othserv_hours_ns,p_othserv_tot,p_id_ns_0,p_id_ns_1_15,p_id_ns_16_24,p_id_ns_25_34,p_id_ns_35_39,p_id_ns_40,p_id_ns_41_48,p_id_ns_49over,p_id_ns_hours_ns,p_id_ns_tot,p_tot_0,p_tot_1_15,p_tot_16_24,p_tot_25_34,p_tot_35_39,p_tot_40,p_tot_41_48,p_tot_49over,p_tot_hours_ns,p_tot_tot,sa3_name16
10102,36,110,86,110,203,228,138,164,17,1095,37,101,65,91,189,203,72,152,251,1153,1219,2664,2155,2941,6439,6196,3314,4579,527,30027,Queanbeyan
10103,7,33,17,24,47,70,30,65,8,298,18,31,21,20,38,38,32,43,78,317,335,977,861,1125,1602,1413,900,2009,212,9436,Snowy Mountains
10104,23,158,105,123,166,172,77,147,15,991,44,131,84,97,120,122,44,106,246,990,1191,3943,3152,3894,4560,3708,1887,3311,547,26195,South Coast
10105,11,70,49,64,140,113,53,104,8,610,31,51,32,40,85,87,33,81,122,574,603,1570,1558,1869,3210,2572,1227,2503,312,15408,Goulburn - Mulwaree
10106,20,85,37,65,119,116,66,85,3,596,27,75,49,52,87,87,37,87,156,663,665,1781,1512,1862,2872,2777,1452,2959,380,16274,Young - Yass
10201,84,435,348,345,598,550,274,373,39,3039,108,306,226,229,461,545,179,360,579,2984,2683,9307,8343,8722,13535,14351,6270,9973,1269,74452,Gosford
10202,70,331,272,341,594,543,271,375,24,2827,82,275,248,200,524,498,162,304,559,2852,2397,7588,7170,8089,13107,11953,5424,8171,1246,65144,Wyong
10301,17,104,65,69,147,126,70,131,4,735,40,81,50,53,129,96,52,107,173,791,806,2479,1960,2179,4147,3409,1776,3246,408,20409,Bathurst
10302,18,96,79,80,143,188,90,152,7,852,45,72,52,66,113,133,65,123,260,933,874,2367,2074,2518,3393,3549,2081,4729,594,22183,Lachlan Valley
10303,15,96,78,83,125,142,61,165,8,773,30,70,46,46,86,92,22,84,134,618,725,2070,1900,2141,3063,2805,1685,3209,365,17966,Lithgow - Mudgee
